{'descr': '价格比较合理，房间不错！下次再来', 'star': 5}
{'descr': '总体感觉还不错，只是离我的目的地有点远，而且打车很不方便。', 'star': 5}
{'descr': '+旁边就是博纳电影院', 'star': 3}
{'descr': '+有二台公用电脑可以免费上网，还不错！', 'star': 5}
{'descr': '早餐 比较差劲！比上次又差了！别的还不错！', 'star': 5}
{'descr': '性价比较高，房间比较有风格，还紧邻电影院，不错的酒店。', 'star': 5}
{'descr': '酒店还是不错的，值得推荐~~~~~~~~~~~&#183;&#183;&#183;&#183;', 'star': 5}
{'descr': '卫生、环境很好，不错。', 'star': 3}
{'descr': '环境不错，性价比高。', 'star': 5}
{'descr': '第二次入住，不错的酒店！', 'star': 5}
{'descr': '很不错 温馨干净 有气氛', 'star': 3}
{'descr': '不错的酒店，就是门的隔音较差，对面和隔壁开关门和说话都听得到哟！', 'star': 5}
{'descr': '很好很干净 复式田园风格 很温馨浪漫', 'star': 5}
{'descr': '性价比较高，很满意', 'star': 5}
{'descr': '不错，出差的可以选择一下！', 'star': 5}
{'descr': '还不错。', 'star': 5}
{'descr': '环境可以，不过打车不方便，还有隔音效果确实不好，总体还算不错，希望改进', 'star': 5}
{'descr': '这家酒店住的不是很舒适，设施方面有些陈旧，整体感觉性价比一般了。', 'star': 1}
{'descr': '酒店内部环境还是挺不错的，房间很干净也很舒适就是感觉房间有些小了，服务态度还行，价格也很适中，不过酒店的位置挺一般的不是太好找，其他方面都还行，感觉还是比较不错的酒店。', 'star': 5}
{'descr': '内部环境挺不错的房间很舒适，但是酒店的位置不是很好找当时是找了很长时间才找到，酒店服务还不错，价格还是和里面的内部环境挺合适的，感觉还是挺不错的酒店。', 'star': 5}
{'descr': '单人间确实有点小，隔音效果确实很不好，地理位置也不是很好找，不过设施跟服务不错，还是推荐入住。望改进隔音，要不睡觉有影响啊。。。', 'star': 5}
{'descr': '房间比较小，房间隔音很差，在走廊都可以听见房间内的说话声。\r\n\r\n优点是交通其实很方便，周边很安静，绿化很好，空气非常好，早餐提供内容较少，但很合适。总体来说，经济与舒适都兼顾了。\r\n\r\n我还即将入住，希望这次体验感觉能好些，起码在隔音方面要舒服些。', 'star': 5}
{'descr': '房间小，位置不太好！有点难找！性价比不太高！', 'star': 5}
{'descr': '南坪有两个，第一次跑错了，跑到映像店了，不过早上起来打车不好打，去机场的车很不好找。房间的隔音设施不怎样，楼道人说话房间听的很清楚，其他倒还可以。', 'star': 5}
{'descr': '非常划算的酒店,就是房间小了一点~~', 'star': 5}
{'descr': '喜欢其装修风格，和爱人一起度过了美好的一晚。', 'star': 5}
{'descr': '性价比很高的酒店', 'star': 5}
