{'短评内容': '比较一般，房间隔音不好。', '短评打分': 5}
{'短评内容': '整体卫生比较整洁。清理也很及时，服务也不错。最重要的是性价比较高。值得入住。', '短评打分': 5}
{'短评内容': '总体很卫生，服务态度都不错，不过就是房间隔音效果不是很好，望注意改进', '短评打分': 5}
{'短评内容': '价格便宜  房间清洁度一般，屋子里有味道，总之一般，服务态度蛮好', '短评打分': 1}
{'短评内容': '床很硬.很不舒服.房间里有条毛毯很脏.上面很多头发还有血迹', '短评打分': 3}
{'短评内容': '差强人意！有些失望！不过交通还算方便！凑合！！', '短评打分': 1}
{'短评内容': '超烂，各方面都不好，住的很后悔，赶紧的换了酒店', '短评打分': 1}
{'短评内容': '脏乱差，不好，不建议入住，前台很吵，枕头上有血渍', '短评打分': 1}
{'短评内容': '各方面都不怎么好，不建议入住，除非万不得已', '短评打分': 1}
{'短评内容': '床不舒服，其他还好！', '短评打分': 3}
{'短评内容': '比较干净，服务还可以，价格合理', '短评打分': 3}
{'短评内容': '床垫不舒服，其余还好！', '短评打分': 3}
{'短评内容': '隔音不好，透气不好，房间图片看起来很大，但实际很小', '短评打分': 1}
{'短评内容': '隔音不好，图片的房间看起来挺大的，但实际很小！', '短评打分': 1}
{'短评内容': '房间小，隔音不好。热水需要到水房自己去打。地理位置还可以\n', '短评打分': 1}
{'短评内容': '设施还行，但是房间不隔音是毛病，不过价格还能接受，毕竟是在北京嘛', '短评打分': 5}
{'短评内容': '挺不错  经济实惠，价格合理 又在三环内  是低价人群可选的宾馆', '短评打分': 5}
{'短评内容': '又来住了，总体不错，经营者如果把不隔音问题能解决了，就太完美了！还会去的！', '短评打分': 5}
{'短评内容': '总体还可以，价格不算贵，真的不隔音！能改一下就太好了！下次还去那里住。', '短评打分': 5}
{'短评内容': '宾馆干净，热水洗澡很舒服，服务很热情，但有一个缺点就是不隔音！早上服务员说话声音太大。影响客人休息。', '短评打分': 5}
{'短评内容': '总体还算可以 三环以里，这个价位，这个档次，算是可以了 不过单人间是有点小  ', '短评打分': 5}
{'短评内容': '还算可以，交通方便，在对面还有一个打乒乓球的地方。', '短评打分': 3}
{'短评内容': '服务和地理位置都很好，坐车也很方便，但是太吵了，隔音不是差，压根就没有隔音。', '短评打分': 1}
{'短评内容': '说这家酒店好的人很有托儿的嫌疑，入住了到现在还说没住，不给积分，同时意味着扣积分，想订就订吧。', '短评打分': 3}
{'短评内容': '总体来说,只是隔音确实不理想!', '短评打分': 5}
{'短评内容': '这个价位还算可以吧。房间没照片的大，房间墙壁是木板的。', '短评打分': 3}
{'短评内容': '+在北京这个价位算可以的', '短评打分': 5}
{'短评内容': '条件不错', '短评打分': 5}
{'短评内容': '房间比较小,服务员都是一些大姐,态度真是一般,但位置是不错的.', '短评打分': 1}
{'短评内容': '不能和星级酒店比。不过床单被套都干净。设施齐全，有电视、空调、暖气、热水，对着走廊有窗户。隔壁就是一个“老上海城隍庙”小吃店，一些附近居民也在那里吃饭。总体比较实惠。缺点，进房有股闷久了的气味。', '短评打分': 5}
{'短评内容': '性价比还好,交通较便利,缺陷是服务员交谈声音大,影响客人休息', '短评打分': 5}
{'短评内容': ' 服务员很热心  就是隔音效果不好  早晨的喧哗声音很大    旁边有一个餐馆吃东西比较方便 搭公交比较方便   但就离地铁站太远。。', '短评打分': 5}
{'短评内容': '还可以吧，就是房间小了点,上网的网速不太好', '短评打分': 3}
{'短评内容': '离地铁站不是很近，走路要15分钟左右，房间卫生打扫不是很及时，连续住的几天毛巾床单都是没有换过的。\r\n最开始住的房间空调声音很大，像拖拉机，向宾馆反应后很快就给调了临街的房间，虽然临街，但是夜间声音不大，而且窗子很大采光很充足。\r\n总体来说性价比还是可以的', '短评打分': 5}
{'短评内容': '不会向朋友介绍，国有宾馆，服务很差，条件很烂', '短评打分': 1}
{'短评内容': '离地铁站有点远，2站的距离，房间还不错，略小，就是隔音效果不行，当天有个旅行团，吵得要命，性价比还行', '短评打分': 3}
{'短评内容': '还不错，房间略小，就是太吵，性价比还是不错的', '短评打分': 5}
{'短评内容': '和平街宾馆挺干净的，挺温馨，就是房间小了点', '短评打分': 5}
{'短评内容': '卫生还算干净,整体来说还是比较满意', '短评打分': 5}
{'短评内容': '房间小了一点，配套设施还算是齐全的，一个人出差到北京，花148元能住上这样的地方，应该说可以了，总比花六、七十元几个人拼住普通大房间安全、舒适多了，就是隔音效果较差。', '短评打分': 5}
{'短评内容': '很不错的，很温馨；稍有点儿遗憾的是我们所住的标间的床有点小了，淋浴的喷头出水量太细太“温柔”了。', '短评打分': 5}
{'短评内容': '去看了，还可以，标间', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间很干净，服务蛮好，下次还会去入住的。', '短评打分': 5}
{'短评内容': '房间整洁卫生，地段不错；服务值得表扬：落在房间里件东西，回去取已经给保管好了……', '短评打分': 5}
{'短评内容': '1、地段好，在和平东桥南约100；2、卫生搞得不错，地板非常干净；3、宾馆外观及卫生间都是明亮的黄色，我喜欢…', '短评打分': 5}
{'短评内容': '酒店的价格比较优惠，卫生还不错，位置还可以出行交通方便，性价比不错的酒店值得推荐入住。', '短评打分': 5}
{'短评内容': '房间打扫的很干净，维护的也好，定时会有专人来做打扫，住着还是比较放心的。', '短评打分': 5}
{'短评内容': '位置不错，服务也很好，比之前住的那家宾馆热情多了，起码让人感觉对顾客是用心的。', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '宾馆在朝阳区，交通位置还是可以的，离地铁不算远，公交车辆也多，出行方便。', '短评打分': 5}
{'短评内容': '性价比比较高', '短评打分': 5}
{'短评内容': '价格可以接受，卫生状况比较理想。', '短评打分': 5}
{'短评内容': '宾馆给人第一印象就是很干净，这点非常满意。', '短评打分': 5}
