{'descr': '很好，不错', 'star': 5}
{'descr': '一如既往好，一直都选这家，值得信赖\n每次来盐城都选的这家，离市中心近，又方便，对面有很多吃的地方，总之是便利极了，定的又是特惠房，那是相当满意~~~', 'star': 5}
{'descr': '一如既往好，一直都选这家，值得信赖\n每次来盐城都选的这家，离市中心近，又方便，对面有很多吃的地方，总之是便利极了，定的又是特惠房，那是相当满意~~~', 'star': 5}
{'descr': '不错，有机会还会入住的', 'star': 3}
{'descr': '不错，有机会还会入住的', 'star': 3}
{'descr': ' 不错', 'star': 3}
{'descr': ' 不错', 'star': 3}
{'descr': '容易迷路，不过整体还可以，房间很干净，服务员态度还不错，位置稍微有点偏', 'star': 5}
{'descr': '容易迷路，不过整体还可以，房间很干净，服务员态度还不错，位置稍微有点偏', 'star': 5}
{'descr': '服务态度好，房间干净，客房服务也挤时，就是 一楼有点潮', 'star': 5}
{'descr': '服务态度好，房间干净，客房服务也挤时，就是 一楼有点潮', 'star': 5}
{'descr': '地段不错，设施和服务一般，第一次入住如家，感觉和锦江之星、汉庭有差距。', 'star': 1}
{'descr': '地段不错，设施和服务一般，第一次入住如家，感觉和锦江之星、汉庭有差距。', 'star': 1}
{'descr': '很舒适，环境也不错，温馨，唯一不足的是洗手间的门后固定的东西刚好在马桶前方，容易碰到脚', 'star': 5}
{'descr': '很舒适，环境也不错，温馨，唯一不足的是洗手间的门后固定的东西刚好在马桶前方，容易碰到脚', 'star': 5}
{'descr': '不错，服务态度很好，房间也很好，价格也很便宜', 'star': 5}
{'descr': '不错，服务态度很好，房间也很好，价格也很便宜', 'star': 5}
{'descr': '蛮好的。下次还来。。。。。。。。。。。。', 'star': 5}
{'descr': '蛮好的。下次还来。。。。。。。。。。。。', 'star': 5}
{'descr': '周边环境不错，房间也不错。不过也没有什么特色。跟所有如家一样。', 'star': 5}
{'descr': '周边环境不错，房间也不错。不过也没有什么特色。跟所有如家一样。', 'star': 5}
{'descr': '交通比较便利，环境清静，价格实惠出差旅游首选。', 'star': 5}
{'descr': '交通比较便利，环境清静，价格实惠出差旅游首选。', 'star': 5}
{'descr': '还不错，挺安静，服务也不错，就是卫生间有点儿积水', 'star': 5}
{'descr': '还不错，挺安静，服务也不错，就是卫生间有点儿积水', 'star': 5}
{'descr': '如家酒店非常干净，房间大小还可以，一般星级酒店有的东西如家基本上也有，很安静，比较小资', 'star': 5}
{'descr': '如家酒店非常干净，房间大小还可以，一般星级酒店有的东西如家基本上也有，很安静，比较小资', 'star': 5}
{'descr': '灬房间很大~不过离盐城师范学院有点远~新长校区打车过来~出租车司机开了好久~毕业离开盐城最后住的地方~盐城~后会有期~', 'star': 5}
{'descr': '灬房间很大~不过离盐城师范学院有点远~新长校区打车过来~出租车司机开了好久~毕业离开盐城最后住的地方~盐城~后会有期~', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '还不错', 'star': 3}
{'descr': '还不错。特价房很实在。房间环境也比较干净，舒适', 'star': 5}
{'descr': '还不错。特价房很实在。房间环境也比较干净，舒适', 'star': 5}
{'descr': '离市中心较近，交通方便，客房很安静。。。', 'star': 5}
{'descr': '离市中心较近，交通方便，客房很安静。。。', 'star': 5}
{'descr': '好！已经住了很多次了，每次都挺满意的~~~', 'star': 5}
{'descr': '好！已经住了很多次了，每次都挺满意的~~~', 'star': 5}
{'descr': '还不错  附近吃饭的地儿也挺多的 楼下还有食品店  ', 'star': 5}
{'descr': '还不错  附近吃饭的地儿也挺多的 楼下还有食品店  ', 'star': 5}
{'descr': '主要是方便靠近富克斯，交通便利，还有超市等，房间一般，也不会太小，价位合适，下次还会再来的，', 'star': 5}
{'descr': '主要是方便靠近富克斯，交通便利，还有超市等，房间一般，也不会太小，价位合适，下次还会再来的，', 'star': 5}
{'descr': '环境不错，服务不错，设施也蛮好的。希望大家来盐城就选如家', 'star': 5}
{'descr': '环境不错，服务不错，设施也蛮好的。希望大家来盐城就选如家', 'star': 5}
{'descr': '环境很好！设施也不错！就是服务不怎么热情！把钱收过了就不管了', 'star': 3}
{'descr': '环境很好！设施也不错！就是服务不怎么热情！把钱收过了就不管了', 'star': 3}
{'descr': '房间一般，但位置方便快捷，服务还算可以的。近富克斯', 'star': 5}
{'descr': '房间一般，但位置方便快捷，服务还算可以的。近富克斯', 'star': 5}
{'descr': '环境很好，早餐品种一般不是很多 、、、、、、、、、、、、\n\n', 'star': 5}
{'descr': '环境很好，早餐品种一般不是很多 、、、、、、、、、、、、\n\n', 'star': 5}
{'descr': '房间宽敞，不错', 'star': 3}
{'descr': '房间宽敞，不错', 'star': 3}
{'descr': '设施一流，装潢一流，这家店非常棒！\n非常满意卫生和服务都是满分，总之很干净很舒心！\n非常满意地处繁华地带，交通发达，购物休闲非常好\n非常满意真是又好又划算，超乎意料，绝对推荐！', 'star': 5}
{'descr': '设施一流，装潢一流，这家店非常棒！\n非常满意卫生和服务都是满分，总之很干净很舒心！\n非常满意地处繁华地带，交通发达，购物休闲非常好\n非常满意真是又好又划算，超乎意料，绝对推荐！', 'star': 5}
{'descr': '交通蛮便利的，就是招牌在车上不太容易看到，房间内部不错', 'star': 5}
{'descr': '交通蛮便利的，就是招牌在车上不太容易看到，房间内部不错', 'star': 5}
{'descr': '还行吧', 'star': 3}
{'descr': '还行吧', 'star': 3}
{'descr': '\n很好 ， 蛮干净，环境也不错，离市中心也不远', 'star': 5}
{'descr': '\n很好 ， 蛮干净，环境也不错，离市中心也不远', 'star': 5}
{'descr': '很不错。地方较大。又较方便，近超市方便等。', 'star': 5}
{'descr': '很不错。地方较大。又较方便，近超市方便等。', 'star': 5}
{'descr': '以后去盐城都是住这家的，环境不错，房间适中', 'star': 5}
{'descr': '以后去盐城都是住这家的，环境不错，房间适中', 'star': 5}
{'descr': '很不错，地理位置方便，主要的商场购物一站式，很不错。', 'star': 5}
{'descr': '很不错，地理位置方便，主要的商场购物一站式，很不错。', 'star': 5}
{'descr': '房间较大，隔音较好，服务员态度很好。。。门口就有家快餐店，但是味道不怎么好，总的来说，吃饭什么的不大方便', 'star': 5}
{'descr': '房间较大，隔音较好，服务员态度很好。。。门口就有家快餐店，但是味道不怎么好，总的来说，吃饭什么的不大方便', 'star': 5}
{'descr': '住了好几次了，感觉都很不错，房间很宽敞，服务态度也很好，早餐很好吃，以后去盐城都住这家了~~~', 'star': 5}
{'descr': '住了好几次了，感觉都很不错，房间很宽敞，服务态度也很好，早餐很好吃，以后去盐城都住这家了~~~', 'star': 5}
{'descr': '满意…', 'star': 3}
{'descr': '满意…', 'star': 3}
{'descr': '~~~算盐城不错的了~环境也很好，靠近市区，吃饭，超市都很方便\n最主要也实惠，当时是商务房间。特价119.\n很划的来。。都介绍给朋友了\n环境很好很赶紧\n~~~总之很不错。。价格还适中~~~', 'star': 5}
{'descr': '~~~算盐城不错的了~环境也很好，靠近市区，吃饭，超市都很方便\n最主要也实惠，当时是商务房间。特价119.\n很划的来。。都介绍给朋友了\n环境很好很赶紧\n~~~总之很不错。。价格还适中~~~', 'star': 5}
