{'descr': '好好好好好好好好好好好', 'star': 5}
{'descr': '太差，他家有3排酒店，我住的在中间，两边都是楼道，隔音效果差，通风不够', 'star': 1}
{'descr': '酒店差的没法说，太脏了，这天居然还没莫名飞行物，床都是坏的，', 'star': 1}
{'descr': '设备比较完善  服务态度较好  就是隔音有待提高', 'star': 3}
{'descr': '很好的，手机丢了，及时找到了。感谢', 'star': 3}
{'descr': '只能说在这个城市、这个区位这个价位还行，不过卫生间是太小了点。', 'star': 5}
{'descr': '酒店很破旧，感觉不太干净。。找不到插座，拉开桌子后面看到一包用过的卫生巾恶心死了。厕所味道太大了很难闻。定的大床房，结果是两张小床拼一起的，中间睡起来都咯的慌。。。不过酒店的面积到不小，服务态度也还好。', 'star': 1}
{'descr': '房间卫生很好，服务比较亲切，总之下次有机会再次光临。', 'star': 5}
{'descr': '住宿不错，就是床是两张床拼起来的…', 'star': 3}
{'descr': '感觉还好 。就是当时自己订错房了。而且去的比较晚，剩余的房间都比较小，通知前台有房帮我们调换。可能是没有房间一直都没有换。都还挺正常的', 'star': 5}
{'descr': '安静，离景点近，服务态度好！入住后有问题随时就给解决了！挺不错', 'star': 5}
{'descr': ' 挺好的 很干净第二次来了  就是晚上车挺吵的  。。。', 'star': 5}
{'descr': '帮朋友订的 住得很满意 房间干净整洁 床也很舒服 \n出行交通也十分便利～', 'star': 5}
{'descr': '整体感觉不错，但是距离市中心较远。我是来考试的，所以位置很好。', 'star': 5}
{'descr': '挺好，就是离火车站太远了，有一点点偏啊啊啊。。。。。。', 'star': 5}
{'descr': '感觉还好', 'star': 3}
{'descr': '没有冰箱,屋子太小,毛巾和床被不干净,床缝还有遗留的手纸(恶心),热水是饮水机烧的,量少且不开,窗外噪音大.地角偏\n凑合一宿还行,常驻就算了', 'star': 1}
{'descr': '很好！:-):-DB-)', 'star': 3}
{'descr': '＋房间太小', 'star': 3}
{'descr': '还算不错，酒店比较肃静，卫生条件也好，交通方便，但服务一般。', 'star': 5}
{'descr': '交通挺方便的，附近饭店均不错，大连湾酒家，紫菜包饭，等', 'star': 5}
{'descr': '酒店位置离市区较远，附近基本找不到饭店，但是去海边很近很方便。同价位房间大小不一样，小的太局促。房间玻璃胶味道很大。对住宿要求不高的还可以。早餐12元/人偏贵、服务一般，因为餐品缺的太多、上的太慢还惹的一位天津大姐发飙。大连城市不大、公交发达、打车不贵，推荐来大连玩的住繁华地段。大连城市干净、本地人（特别是女生）非常热情、城市形象好，玩的不错。', 'star': 1}
{'descr': '这里的服务还可以，比较好打车！就是离市区较远，不过很安静！', 'star': 5}
{'descr': '环境服务什么都挺好的，去海边也挺方便的。', 'star': 5}
{'descr': '太吵了，连续三晚要求加被子，都说没有，建议旅游的别选这家。', 'star': 1}
{'descr': '地理位置挺好，离海边挺近，房间也不错。就是早餐需要改进', 'star': 5}
{'descr': '环境很好', 'star': 3}
{'descr': '房间干净，面积也不小，有热水，不错。', 'star': 3}
{'descr': '酒店环境 地理位置都很好 去哪都很方便！！', 'star': 5}
{'descr': '酒店环境很好，房间很干净，床也很大，就是附近吃饭的地方很少！机场打车30多元就到了。', 'star': 3}
{'descr': '交通倒还方便，就是房间小。不适合度假的人住。', 'star': 5}
{'descr': '很干净，服务态度也很好，离各景点都不会太远，很方便。', 'star': 5}
{'descr': '地點離市中心有一點點偏，但是還是有蠻多路公交車停在飯店門口的。前臺服務不錯，房間裝修很新，大床房的床的確很大，房間也蠻大的（522房）。最主要是很安靜！搭公交到銀沙灘10分鐘內就到，到市區（友好廣場）30-40分鐘左右。總而言之很實惠！', 'star': 5}
{'descr': '1、定的商务大床房，但房间极小，就一张床和桌子，连转身的地方都没有。很怀疑给我安排的到底是不是商务大床房。\n2、隔音效果很差，隔壁房间、走廊的声音都听得很清楚，下水道的水流声，还有马路上汽车声。非常影响睡眠\n3、枕头太高，想换个矮点的都没有\n4、要了两次电吹风才拿到，不过第二次服务员帮我保留了一天，这一点还比较满意', 'star': 1}
{'descr': '隔音效果不太好 房间有点小 不会推荐朋友', 'star': 1}
{'descr': '如家还是蛮舒服的，只是服务的速度慢了点，其他都非常好！', 'star': 5}
{'descr': '房间有点小，不过环境不错，周边很安静，离海边也近', 'star': 5}
{'descr': '各方面都还行，不好不坏吧。。。离公园很近', 'star': 5}
{'descr': '入住', 'star': 3}
{'descr': ' 还好，就是空间太小了，不过房间里居然还有暖气，5月了已经，太奇怪了…', 'star': 3}
{'descr': '位置有点偏，厕所的马桶不是很好，冲水很难冲下去，其他还好了。', 'star': 5}
{'descr': '空间很大，服务态度也不错…', 'star': 3}
{'descr': '比较经济实惠，卫生、服务都不错，预定的带早餐，比金卡稍贵一点而已。', 'star': 5}
{'descr': '环境卫生很好，交通很好，房间的环境卫生也很好，只是早餐最好再好一点', 'star': 5}
{'descr': '居住环境很好，交通也很好，服务可以，房间很干净。但是早点最好改进一下', 'star': 5}
{'descr': '环境不错 挺惬意', 'star': 3}
{'descr': '环境不是很满意，床的位置很憋屈，浴室很小而且开关很容易碰到，水酒一会热一会冷，很憋气，电视很小，看起来费力，水还是过期了一个月的~~~~很无语啊', 'star': 1}
{'descr': '时间太长了，忘记具体什么样了，印象中好像还不错。', 'star': 5}
{'descr': '条件不错,是经济形酒店,但室内空调,应该能自己调节就好了,', 'star': 3}
{'descr': '条件不错,是很好的经济房,价格合理,房间里还有饮水机.但房间里要有窗户才好', 'star': 5}
{'descr': '位置很好 离老虎滩  森林动物园 星海广场 都很近   交通便利  服务也不错', 'star': 3}
{'descr': '位置不错 离星海广场 老虎滩 付家庄 森林动物园  机场都不远  服务态度也不错', 'star': 5}
{'descr': '干净，房间小，如果坐火车到大连，从火车站坐公交去该店公交站不太好找，位置稍偏，但去付家庄游泳方便。', 'star': 5}
{'descr': '房间设施很好,床铺都是粉红色的,很温馨可爱.服务人员很热情!就是地方偏远~去市中心有点远!!!', 'star': 5}
{'descr': '整体装修设计像儿童房，没体现什么商务特色，性价比不高。要命的是房间（房门）几乎就不隔音，万籁清晰的。。。囧~~而且，卫生间门开关很费劲，总能听到别的房间的卫生间门被开或者关的砰砰砰山响，此起彼伏，令人心惊肉跳。。。选这是为了看海方便，但这里的海滩实在让人失望，小碎石滩而已，扎脚不说，且人潮汹涌，海水浑浊，根本就是人滩。。。', 'star': 3}
{'descr': '房间很大，很舒适，交通方便，离海边不远。', 'star': 5}
{'descr': '居住环境很安静。交通方便。服务人员亲切、热情。下次还会住这里。', 'star': 5}
{'descr': '环境可以', 'star': 3}
{'descr': '选这位置是为了看海近，挑了商务大床房，但房间可用空间狭小，家具设施非常简单，并未体现商务特点，且摆放格局别扭，让人行动不便。装修色彩也过于鲜艳，整体上感觉是精打细算的儿童房，性价比不高。不过酒店服务比较专业，人员素质较好，值得肯定。', 'star': 1}
{'descr': '帮姐姐订的 她觉得还好 ', 'star': 3}
{'descr': '位置稍微偏僻了一点。其他的都还好！', 'star': 5}
{'descr': '条件很好，环境不错', 'star': 5}
{'descr': '性价比不太好.硬件条件一般,中央空调不能自行开关调整.这点很不好,其它各方面也一般.连锁酒店还是有欠缺的地方.', 'star': 1}
{'descr': '地理位置还比较好，离海近，就是房间比较小，设施一般，餐厅的服务员很和蔼，在那里吃饭很方便。推荐。', 'star': 5}
{'descr': '离海边很近去老虎滩的话打车也还不到十块钱 价格也便宜，房间就是小点但是其他的都还行，服务也还不错感觉还是挺好的酒店我挺满意的。', 'star': 5}
{'descr': '卫生还是挺干净，不过酒店位置挺一般不是很好找但是离海边是比较近，性价比挺一般的，', 'star': 5}
{'descr': '还不错，近景区', 'star': 5}
{'descr': '海景房图有虚名，到海边还是要坐一块钱公交车，和住市内差别不多，好处在于傍晚想去海边也能走到。房间设施一般。', 'star': 1}
