{'descr': '很好。', 'star': 5}
{'descr': '环境可以！！只是地理位置有一些偏僻而已！', 'star': 5}
{'descr': '服务态度优秀，屋内大床超值，明码标价非免费用品列出收费清单', 'star': 3}
{'descr': '除了隔音不太好之外，其它方面基本都不错！！', 'star': 5}
{'descr': '环境还不错，最好的是酒店的信誉，走的时候大意把手机忘在房里了，第二天去工作人员很负责的问了我几个问题然后给了我，非常感谢！', 'star': 5}
{'descr': '给朋友预定的，朋友非常满意，下次还会来光顾的。', 'star': 5}
{'descr': '酒店性价比比较高，是快捷酒店里硬件条件较好的，但是免费提供的早餐有点简单，建议索性不用提供早餐的为好。', 'star': 5}
{'descr': '\u3000旁边的工地施工，有些吵', 'star': 3}
{'descr': '室内配置一般，隔音不好。服务态度一般', 'star': 3}
{'descr': '房间舒适温馨,很满意', 'star': 3}
{'descr': '找的时候费了一点时间，不过到了之后发现条件不错，值得推荐，住的还算舒服........', 'star': 5}
{'descr': '酒店的服务还是很不错，房间也比较干净，唯一的不足就是楼下一直有施工，会比较吵一点。', 'star': 5}
{'descr': '帮朋友顶多，据说不错。要真正自己。知道是否好', 'star': 5}
{'descr': '酒店总体来说还是不错的，经济实惠，缺点是隔音效果不好，走廊里人的对话一清二楚，电视也太小了。不过其他还是不错的', 'star': 3}
{'descr': '条件不错', 'star': 3}
{'descr': '环境可以，价格合理，服务态度好，应该算性价比比较高吧', 'star': 5}
{'descr': '嗯  这家酒店很不错，来好几次了，环境不错 房间很干净，大家可以考虑考虑。', 'star': 5}
{'descr': '不错…比较方便，门口有停车位，但过了9点基本没位置…', 'star': 3}
{'descr': '施工噪音太大，半夜还有施工的，睡不好   床有点硬  不过很快就送了一床被子  服务很好', 'star': 1}
{'descr': '价格不贵，环境也可以，对于工薪阶层出差临时居住还可以。', 'star': 5}
{'descr': '很不错  就是在装修  挺安静的呵呵     饭店也不错', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '因临时有事提前退了房  女服务员态度挺好 还是给退了', 'star': 5}
{'descr': '＋屋子里有点潮，电视小点，总的来说还行。', 'star': 3}
{'descr': '中秋那天去的，感觉还不错，送了小礼物，服务态度也好，环境也还可以，10点前好像有施工的。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': ' 很好', 'star': 3}
{'descr': '单位组织开会定了5间房，总体感觉还可以。交通业 很便利的。从卫生方面不错，就是有时感觉前台服务速度好像慢点。希望改进。', 'star': 5}
{'descr': '酒店设施环境不错，服务也不错，值得入住，价格也挺实惠的', 'star': 5}
{'descr': '酒店设施尚可，楼层装修入店前未告知。很吵。', 'star': 3}
{'descr': '还可以，挺干净还算整洁~交通也非常方便，只是房间面积较小 \n', 'star': 5}
{'descr': '还不错 挺干净的 卫生间很大 也很便宜 就是屋里的电脑无法用u盘 考不了东西', 'star': 5}
{'descr': '环境不错，就是房间不隔音，服务态度还可以', 'star': 5}
{'descr': '住了12天，总的来说还不错。000000', 'star': 5}
{'descr': '还不错。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '还不错。。。。。。。。。。。。还不错。。。。。。。。。。。。', 'star': 5}
{'descr': '早餐票是否可以一次给完，或是在你收拾房间的时候把第二天的餐票放到桌子上，不然我每天下去跟你要  太不方便。而且第一次要早餐票的时候还跟服务员说了半天才给。让人感到不很愉快。', 'star': 5}
{'descr': '有一点你们要注意，服务员进门的时候要先敲门，确认没有人的时候再进。而你们的人都是在敲门的同时在开门，敲门就根本失去了意义。。。在7月10日时，正在休息中午1点半，服务员当当当三声敲门 与此同时房间门开了，实在不合适。', 'star': 5}
{'descr': '噪音问题还是有的，纱帘能挡住噪音？？？ 我第一天来的时候就问房间了，服务员说 对面的房间全是大床房。只有迎街的这边是双床。。。', 'star': 5}
{'descr': '每天给两瓶水还不错，就是有时候收拾房间后 忘记给，需要自己去要。。。。', 'star': 5}
{'descr': '这两天味道小了。其他都还不错。。。。。。', 'star': 5}
{'descr': '房间还不错，就是有像稀料的味道 挺呛人。服务员说是刚用什么东西打扫了卫生的原因。预定了12天，要是一直有这个味道可真坚持不下去了。 而且窗户对着马路 早上5点多就有拖拉机的声音，很吵的。', 'star': 5}
{'descr': '服务不错~房间卫生环境都挺好的。只是早餐的东西有点少了~呵呵。不过没关系。整体都不错。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '酒店新开的干净卫生设施齐全住这很舒服', 'star': 3}
{'descr': '总体来说还可以吧', 'star': 3}
{'descr': '周围有工地，工地有个工人养了一只鸡，半夜就开始打鸣，一直到早晨6,7点，一夜没睡着。', 'star': 1}
{'descr': '服务不错，很好，下次还会去的！ 位置略偏！', 'star': 5}
{'descr': '酒店位置较偏，周围环境一般，但服务不错，可以尝试！', 'star': 5}
{'descr': '干净 卫生  舒适  不错  就是价格高一点  以后应该还会去的', 'star': 5}
{'descr': '酒店卫生很好，新装修的很干净，服务还可以，就是酒店附近有施工工地，噪音很大。', 'star': 5}
{'descr': '服务态度很好，环境卫生可以，最关键的是实惠，性价比高', 'star': 3}
{'descr': '因为离办事的地方近订的，如果不是在附近办事还是离市区有些远，房间还不错，就是没有公共上网区，不方便', 'star': 5}
{'descr': '隔音效果不好，而且往来人员很杂，夜里还有在走廊大吵大嚷的人。', 'star': 1}
{'descr': '服务人员态度不错,但是硬件设施要跟上.', 'star': 3}
{'descr': '环境很不错，宽敞舒适，就是早餐自助很单调，样数不多，性价比很高！', 'star': 5}
{'descr': '价格实惠，环境不错，方位好。服务态度好，', 'star': 5}
{'descr': '已入住,谢谢！', 'star': 3}
{'descr': '环境不错，房间光线很好，我觉得如果能有早餐提供会更受欢迎，下次还会过来住，', 'star': 5}
{'descr': '还行吧，就是隔音不太好，据说是新开的，住一晚还行，热水不太好，说是坏了', 'star': 5}
{'descr': '感觉还不错！卫生挺干净，服务态度挺好，有机会还会来住。', 'star': 5}
{'descr': '酒店设施完善服务周道住这很舒服', 'star': 3}
