{'短评内容': '前台服务差，大清早装修把人能吵死，房间不干净，空调不暖。', '短评打分': 1}
{'短评内容': '环境还行  就是房间小了点 有异味  对的起这个价格   其实还挺实惠的   还有就是没有窗户 难受了点', '短评打分': 5}
{'短评内容': '好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。好，喜欢。', '短评打分': 5}
{'短评内容': '交通便利，房间整洁，虽设施一般，但经济实惠。', '短评打分': 5}
{'短评内容': '很好，很舒服。很喜欢，条件设施都是首选，价格优惠，比较满意的', '短评打分': 5}
{'短评内容': '就是早餐太差了点。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，早餐非常人性化，最晚可以到11点去吃早餐，对我们睡懒觉的人来讲很不错的', '短评打分': 5}
{'短评内容': '中央空调太烂，不建议大家去住。中央空调太烂，不建议大家去住', '短评打分': 1}
{'短评内容': '标间不错的，迷你特色房确实迷你。装修得还可以，设备也都还算齐全。', '短评打分': 5}
{'短评内容': '环境倒是不错，可惜晚上竟然有蚊子，另外隔音效果太差，隔壁的爱爱声音一清二楚啊', '短评打分': 5}
{'短评内容': '住着还行，不沿街，很安静，卫生还行，就为了离考场近点选择了这里', '短评打分': 5}
{'短评内容': '酒店早餐一直供应到11点,这点比较贴心,洗澡水也比较大', '短评打分': 5}
{'短评内容': '总体感觉还不错，蛮安静的，不是靠马路这边的，性价比还是蛮不错的！', '短评打分': 5}
{'短评内容': '硬件设施非常好，唯一不如意的是晚上稍嫌吵闹', '短评打分': 5}
{'短评内容': 'nice!', '短评打分': 3}
{'短评内容': '酒店很好，价格、条件、早晨都好。就是交通设置有问题，当然不是酒家的问题。', '短评打分': 5}
{'短评内容': '小小的空间里，设备十分齐全，很温馨，每次去基本都是住那里', '短评打分': 5}
{'短评内容': '酒店地处比较繁华，距离火车西站、汽车西站都很近，周围就餐也很方便，早餐种类也较多，是出差旅游较好的选择之一。', '短评打分': 5}
{'短评内容': '适合出差旅游', '短评打分': 3}
{'短评内容': '服务还不错，早餐十点之后，希望能够再热点，不然冷了也没什么味道', '短评打分': 3}
{'短评内容': '靠近马路边的房子比较吵。旁边有咖啡厅 晚上音乐声响而且到比较晚的时间。总的来说房间还不错，住靠里面的房间就可以', '短评打分': 5}
{'短评内容': '  我住的是豪华单人间  房间好小', '短评打分': 3}
{'短评内容': '早餐挺丰富 的，而且持续时间很长，这点更值得推荐', '短评打分': 5}
{'短评内容': '酒店大堂面积挺大，但空空的就一服务台，感觉很不好．住了一天豪华单间、一天标间、四天特色房，感觉房间设施挺陈旧，一方面是装修材料质量本不大好，另一方面可能还是客人不注意随便乱弄造成的．迷你特色房面积小，但感觉挺不错，可惜就是没窗户，还有网络速度时好时差．最让人不爽的是这个酒店太过抠门，我下午2点去结帐时前台说超过12点了，硬是加算了我半天房费．想想我连住了这么多天，这点小事也商量不到，让人无语．', '短评打分': 1}
{'短评内容': '没有想象的好，酒店生意还不错，但是服务很一般', '短评打分': 1}
{'短评内容': '酒店位置很好，周边出行方便，性价比蛮高的，房间住宿条件很好，卫生比较满意', '短评打分': 5}
{'短评内容': '房间住起来很温馨舒适，这里的服务很到位，房间硬件设施齐全，卫生条件好，真是物超所值', '短评打分': 5}
{'短评内容': '性价比很高的一个酒店，有机会到金华的还会选择', '短评打分': 5}
{'短评内容': '不错，房间挺大，早餐也比较好，能延迟到11点哦，真的太人性化了，服务员态度也好', '短评打分': 5}
{'短评内容': '房间装修的很有特色，卫生条件很不错，干净整洁，房间硬件设施蛮齐全的，服务很到位', '短评打分': 5}
{'短评内容': '。很好的酒店', '短评打分': 3}
{'短评内容': '非常温馨 圣诞节住的 还送苹果核棒糖  早饭是最大的特色 到11点半还有  还有圣诞老人送的棒糖。 推荐', '短评打分': 5}
{'短评内容': '很温馨，，很不错...住的是迷你房，第二次住了，感觉真的很不错。。。就是电脑如果可以弄音箱就好了\n', '短评打分': 5}
{'短评内容': '位置好,就近选择的,所以比较方便我出行办事,其它各方面条件也不错,整体来讲还好.', '短评打分': 5}
{'短评内容': '住了2天，基本都是满意的。虽然早餐没吃。但是看到是延迟到11.30分。感觉很人性化。地段也是很不错。买东西吃饭都很方便。', '短评打分': 5}
{'短评内容': '房间比较有特色，只是没有窗户，总体来说还是不错的，挺温馨，适合情侣入住', '短评打分': 5}
