{'短评内容': '住宿条件还不错，早餐有待改进，服务态度很好！', '短评打分': 5}
{'短评内容': '国庆聚会帮朋友订的这家酒店，位置还算优越，门口就是菜市场、金德利吃饭很方便，去附近植物园、英雄山都挺方便，火车站有直达公交车，下次朋友来还订这家酒店。', '短评打分': 5}
{'短评内容': '不错相比较这个价钱而言还是物有所值的.... ', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 3}
{'短评内容': '有点失望,服务太不专业了。问个吹风机问了n次,都说没有办法。房间隔音太差,连隔壁开啤酒的声音都有。', '短评打分': 3}
{'短评内容': ' 一般', '短评打分': 3}
{'短评内容': '酒店周围环境不好，服务人员不专业！!!!!!!', '短评打分': 1}
{'短评内容': '我是6月4号晚上入住的，隔音效果特别差，房间设施陈旧，服务员效率很低，退房办理半小时还弄不完，而且入住的时候酒店房间一些自身的原因比如插电卡槽里有东西，或者有些小物件损毁什么的，他们在退房的时候都会归结到房客弄坏的，所以建议大家在入住的时候对所有的物品检查一下，省得到时候说不清。', '短评打分': 1}
{'短评内容': '一般吧，没有一次性拖鞋！！！！！！！！！！', '短评打分': 1}
{'短评内容': '住得很舒适,不吵,服务也超级好.就是酒店很隐蔽,不好找.外面是一个小市场,卖很多好吃的!水果.蔬菜.小吃什么都有得卖!', '短评打分': 3}
{'短评内容': '环境很干净，设施也很齐全，服务态度也很好，位于省体附近，交通很方便，总之，很满意', '短评打分': 5}
{'短评内容': '家庭房很适合带小孩入住，干净整洁，有电梯，水电、空调、电视都能用，早餐自助有鸡蛋，油条好吃', '短评打分': 5}
{'短评内容': '在经九路看到酒店的招牌时有些失望来到酒店门口看着还不错,酒店服务不怎么好房间也没想象的大还有味.不过还行吧.', '短评打分': 3}
{'短评内容': '此酒店隔音差', '短评打分': 3}
{'短评内容': '很不错的 复式 结构 宾馆，  环境很好也  ', '短评打分': 5}
{'短评内容': '房间有点小，酒店门的位置不好找，卫生服务还行，基本满意', '短评打分': 5}
{'短评内容': ' 晚上来的时候的服务员态度非常的好，怎么到了白天离店的时候，换了人就不太友善了，结账的时候，我说房费怎么多了2元钱，一问又说我消费了房间的矿泉水了，我说什么牌子，她也不知道，说了几个牌子的，结果都不是！我自己带的哇哈哈 最后，这水也没算到我的帐上！！本来是觉得靠近省体看鲁能的比赛，比较便捷，看酒店这样的水平，我宁愿远点找一酒店 也不在住这样的酒店了！！', '短评打分': 1}
{'短评内容': '房间不太干净。前台小姐对网上预定房间的程序规定什么好像也不太熟悉。还得我住了房间还被扣积分了。。。。呜呜。门口是一脏乱差的胡同。。除了胡同貌似还挺繁华的', '短评打分': 1}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '周边环境差，价格太高，不建议入住。（糖酒会期间）', '短评打分': 1}
{'短评内容': '比较干净，性价比较高。周围有小市场，卖水果很方便。', '短评打分': 5}
{'短评内容': '这个酒店还可以，卫生比较干净。交通也方便！', '短评打分': 3}
{'短评内容': '这个酒店除了早餐可以，其他都没什么好的。当时打车过来，看见银都那几个字挂在居民破楼上，我几乎崩溃，以为被个小旅馆骗了。幸好，下车发现底下还有个内走88米的字样，差点错过……\r\n继续向前，里面不是很卫生，总之有点差。', '短评打分': 3}
{'短评内容': '这家真够呛，冲着送双早来的，结果，进屋桌子边角处还有上个客人留下的棒棒糖垃圾，枕头上不知道什么脏兮兮的，，水竟然还要收费…失望透顶…', '短评打分': 5}
{'短评内容': '虽然是商务型酒店，隔音效果很不错，晚上休息很安静。', '短评打分': 5}
{'短评内容': '位置挺好的，出行方便，周围环境也很好，安静舒适的酒店。', '短评打分': 5}
{'短评内容': '客房服务员很好，打扫比较及时，也不会打搅客人休息。', '短评打分': 5}
{'短评内容': '酒店的性价比还不错，对酒店挺满意的。', '短评打分': 5}
{'短评内容': '比较卫生，出去出去就是市场，购物方便。', '短评打分': 5}
{'短评内容': '酒店管理的很好，任何角落都非常干净。', '短评打分': 5}
{'短评内容': '房间不错，设施齐全，地理位置不错，属于中心区。但周边环境差，经九路是一条小胡同，路面很差，脏乱差！', '短评打分': 5}
{'短评内容': '位置差，其他的还不错。', '短评打分': 5}
{'短评内容': '特别推荐家庭房，一张大床一张小床，很适合三口之家旅行入住。', '短评打分': 3}
{'短评内容': '酒店刚装修过，卫生很好，干净舒适。', '短评打分': 5}
{'短评内容': '不错，距离泉城广场比较近，价位也挺合适的，有机会，还会光临。', '短评打分': 3}
{'短评内容': '酒店挺好，性价比挺高，各方面都很满意', '短评打分': 5}
