{'descr': '还可以房间挺大的', 'star': 5}
{'descr': '酒店位置挺好的，去哪都方便，门口打车坐公交都没问题，这里的服务人员态度很好，卫生也不错，住宿环境挺好的', 'star': 5}
{'descr': '酒店室内环境好，整洁舒适，而且装修风格也不错，住着挺踏实的.', 'star': 5}
{'descr': '价格很合理，房间卫生条件挺好的，住宿环境不错。硬件设施齐全，服务很到位，住宿环境挺好', 'star': 5}
{'descr': '地理位置不错,价位合理,硬件设施尚可,可能因春节期间的缘故,服务只能说是一般.', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '按照这个价格，各方面还算不错。周边出行不是很方便。', 'star': 5}
{'descr': '干净卫生，设施较新，也较安静，不错，周边各色餐厅较多，', 'star': 5}
{'descr': '位置好距离华东师范大学比较近，所以就近选择了这里.住着感觉也比较舒适.', 'star': 5}
{'descr': '酒店整体条件非常不错，而且硬件设施也是比较齐全的，住着感觉挺舒服的.', 'star': 5}
{'descr': '天星楼宾馆位置不错，离夫子庙很近，内有停车场，管理比较严格；只是设施比较陈旧，还因为在一条小路上，所以不太容易找到，特别是用导航还会指示错误的地点，害我们在南京转了一大圈，提醒用导航的朋友千万别把目标位置设为天星楼宾馆，设为瞻园会比较容易找到。', 'star': 5}
{'descr': '不错的酒店，很舒服，交通方便，值得推荐。', 'star': 5}
{'descr': '锦江之星服务一向比较好，但这家的服务比别家还要舒服，房间整体环境也比想象的要好，性价比还是很不错的，周边吃饭娱乐的地方也不少，就是离地铁站比较远', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '地段不错，在夫子庙景区，如果逛夫子庙挺方便的。', 'star': 5}
{'descr': '有点旧，还是干净，位置很好，性价比还是不错。', 'star': 5}
{'descr': '离夫子庙很近，还是不错的选择 性价比高。', 'star': 5}
{'descr': '地理位置很好,就是设施什么都很旧,觉得对不起这个价格,还有我的发卡忘那了...', 'star': 5}
{'descr': '性价比很高 离夫子庙也近', 'star': 5}
{'descr': '真的好难找好难找啊，就在宾馆旁边兜了好几个圈子，才无意中看到，不过位置是很不错额，方便逛街。房间一般吧，还挺干净的，服务员爱理不理的感觉，国企吧。。。。。。', 'star': 5}
{'descr': '位置好方便出行，环境比较安全安静，相对来说性价比比较高，但是设施卫生一般，总体来说还是不错的。', 'star': 5}
{'descr': '性价比很高。就是酒店内部与大门口看大门的协调不好，车辆进出很不方便', 'star': 5}
{'descr': '酒店的内部环境不是很好，看起来不显新，卫生弄的还是比较干净的，周边环境还可以了，交通比较方便的，价格方面还是比较合适的。', 'star': 5}
{'descr': '酒店其实就是单位的招待所，位置相当好，离夫子庙就几分钟步行的路程。卫生不错，就是设施有点旧。可以上网，而且网速很快。不过感觉价位高了点，能有所优惠就好了', 'star': 5}
{'descr': '环境还行,位置也很方便,物有所值', 'star': 5}
{'descr': '酒店虽然硬件比较旧乐，服务情况一般，但是挺干净的，而且位置很好，交通比较方便，价格来说还算是可以接受吧。', 'star': 5}
{'descr': '对酒店还是比较满意的,性价比很好,离夫子庙很近,房间虽然比较小,不过针对旅游的人觉得足够了,不过就是酒店的位置不太明显,很不好找,是在', 'star': 5}
