{'descr': '床换了新的，睡着很舒服，中央空调给力，房间好暖和。', 'star': 5}
{'descr': '酒店位置挺偏的，周围没有什么饭店，有一个兰州拉面，还有好多摆摊的小商贩做炒饼炒面烧烤类的吃的。我们入住的是大床房，房间比较大，感觉很舒服。卫生间也还好，酒店给准备了地巾，洗完澡踩在上面不会很凉。就是洗澡的地方光线不足，感觉黑乎乎的，洗澡设施不是很干净。', 'star': 5}
{'descr': '干净卫生，交通比较方便，早餐不免费，电视信号一般。', 'star': 5}
{'descr': '房间挺干净的，卫生间也不错，就是房间隔音效果不怎么好，电视不怎么好。距离轻轨站挺近的，交通还是很便利的。', 'star': 5}
{'descr': '实惠，还会再来。。。。。。。。。！！！！！！！！！！', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '环境挺好，就是电视的信号不好', 'star': 3}
{'descr': '环境还可以 电视有点差劲 周围交通还不错 ', 'star': 5}
{'descr': '还不错哦\n给朋友定的 朋友说很好\n只是有点偏僻\n大门口没在外面', 'star': 5}
{'descr': '房间很干净也很安静,卫生间抽风机噪声太大形成共振挺难受,需改进!', 'star': 3}
{'descr': '在开发区算是比较划算的酒店了，恩，地段都还可以，挨着泰达轻轨站，出门吃饭打车，公交到三街也很方便', 'star': 5}
{'descr': '房间比较舒适，电视有点儿老～比较诡异的是明明是莫泰168酒店，房间里为啥写的是268？', 'star': 3}
{'descr': '酒店整体环境不错，性价比比较高，前台服务人员态度和作业不是很到位，其他设施挺好！！！', 'star': 5}
{'descr': '价格还可以，设施有点旧，交通方便。周边环境一般', 'star': 5}
{'descr': '酒店环境还不错，房间跟照片上差不多就是离繁华区稍微有一点距离', 'star': 5}
{'descr': '酒店各方面还行，就是有点偏，停车也方便。', 'star': 5}
{'descr': '经济实惠 特别是小时房很便宜 整体来说不错 地毯有点脏 电视不太给力 ', 'star': 5}
{'descr': '房间很好', 'star': 3}
{'descr': '价格实惠，位于轻轨边上，去开发区‘市区方便，周边其他设施就很少了。房间干净，整洁，设施也全，但隔音不太好。。。总结下，在这个价位是一个不错的选择。', 'star': 5}
{'descr': '位置较偏，最糟糕的是卫生间的地板都没擦干净，可能是清洁工根本忘记了，侧面看起来象有大片的水渍，住进去的时候清洁工已经下班，是保安大叔拿拖布来拖一下。更糟糕的是洗澡洗着洗着，上面的莲篷头居然掉下来了，还好没砸伤。和酒店协商，居然说才减20元钱，我说在国内，别说要钱，不打官司让你们赔偿我就不错了。最好100元结帐。下次再也不住了。', 'star': 1}
{'descr': '1、入住登记时前台态度亟待改善。\n2、离店手续办理快速，前台因换人态度明显好转，值得表扬。\n3、刚进房间没有热水，打电话给前台，态度和解决速度都很好。', 'star': 5}
{'descr': '离轻轨泰达站很近  出行很方便  环境也不错  下回来还住这里', 'star': 5}
{'descr': '很舒服，房间很干净', 'star': 3}
{'descr': '房间很大 很舒适 尤其是卫生间特别大 还有沙发 特别好 总之很值很值很值啊 和老公都很开心', 'star': 5}
{'descr': '不错，值了。房间挺干净 周围环境也好 安静 。酒店整体环境也相当不错。推荐。', 'star': 5}
{'descr': '相对来说还是比较好的，就是洗澡水不是很热', 'star': 5}
{'descr': '酒店一下轻轨 走五分钟就到了  虽然周围在施工 有点吵  不过 酒店内设施挺好   房间非常满意  ', 'star': 5}
{'descr': '酒店还行，设施也行，服务态度一般，一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般', 'star': 5}
{'descr': '离泰达站挺近的，价格也合适，而且所有的房间都有明窗。缺点就是房间内设施有些陈旧了，还有就是附近吃饭的地方稍微远些。综合还是不错的', 'star': 5}
{'descr': '莫泰确实不错。这是这周第二次入住了，干净舒适，很划算，以后来塘沽就住这了', 'star': 3}
{'descr': '环境很干净，不错，就是酒店位置不怎么好，出门不方便。总体来说很不错的。', 'star': 5}
{'descr': '硬件还可以，但是服务有待提高，晚上想多加床被子都说没有。', 'star': 3}
{'descr': '定了两间 离城铁近 路边有有轨电车 服务很好', 'star': 5}
{'descr': '交通方便 服务好 周围在拆迁比较乱 喜欢浴室的镜子', 'star': 5}
{'descr': '地理位置方便，房间环境不错，打扫清洁，整体不错。', 'star': 5}
{'descr': '去塘沽出差是个不错的选择，干净，便宜，我喜欢。', 'star': 5}
{'descr': '这次水不好，下午洗澡停水，喷头不出水~其他方面还和以前一样，车很好停，环境干净', 'star': 3}
{'descr': ' 住宿环境不错，网上预定真方便，好评！', 'star': 3}
{'descr': '如果去塘沽出差是个不错的选择，干净，便宜', 'star': 5}
{'descr': '酒店环境和卫生都还不错；但是服务不够热情积极，优惠券不可使用有点儿可惜～', 'star': 3}
{'descr': '特价房很好，面积很大，住的蛮舒服的，位置也还不错，值得推荐！只是联系房间打扰的更干净些更好！我那间刚入住地上还有些许纸屑。。。', 'star': 5}
{'descr': '房间有点小，屋子挺暖和的。但是早上起来竟然没有热水，连头发都没洗上', 'star': 5}
{'descr': '很干净，屋里气氛也很好，服务员态度也很好，停车方便。', 'star': 3}
{'descr': '房间环境不错就是服务不怎么好，家具有点老了', 'star': 1}
{'descr': '很好，房间很大，床也比较舒服，地点也很好，唯一美中不足的是枕套有点脏，其他都很好，下次还会入住。', 'star': 5}
{'descr': '网太给力了！什么都做不了！', 'star': 3}
{'descr': '床够大，也很便宜，就是电视和洗澡不太给力，早晨起来没热水，郁闷', 'star': 5}
{'descr': '168都差不多，离办事地方很近，挺实惠的', 'star': 5}
{'descr': '168全国都差不多，挺实惠的，也安静，下次还去', 'star': 5}
{'descr': '房间还可以，价格很实惠', 'star': 3}
{'descr': '价格还算合适，酒店还算卫生，但就是热水不好使，还有电视有线也不好使。', 'star': 5}
{'descr': '莫泰洞庭路店房间很安静，床很大很舒服，就是电视是老式的，卫生间偏小，还有晚上由于人手不够不能送矿泉水和吃的等，有待提高！', 'star': 3}
{'descr': '不错不错。。。我蛮喜欢的。。就是洗手间有点小了- -', 'star': 5}
{'descr': '莫泰168总体来说不错，就是吃饭比较远，服务人员特别热心，态度很好。', 'star': 3}
{'descr': '安静,床有点软，别的一切还是很满意，性价比比较高', 'star': 5}
{'descr': '很烂的酒店，床都是坏的，被子床单都是湿漉漉的，空调也不好，无语', 'star': 1}
{'descr': '房间挺好，窗外的景色也可以，比起其他店的无窗房，价格也成', 'star': 5}
{'descr': '很满意~比想象中好很多~特价房性价比挺高的~下次试下其他房型~~', 'star': 5}
{'descr': '这里的环境挺好的', 'star': 3}
{'descr': '房间还可以挺大的，环境比较清静，就是电视信号不太好，建议调整一下，推荐', 'star': 5}
{'descr': '第一次去，感觉不是特别好找。交通还算便利，卫生条件一般，不过基本上对得起这个价格了', 'star': 5}
{'descr': '很一般，虽然价格很低。还有就是现在美林小厨没有了，附近吃饭有点麻烦', 'star': 1}
{'descr': '房间还可以，实在。', 'star': 3}
{'descr': '还不错，挺舒适', 'star': 3}
{'descr': '酒店相较于开发区内的其他酒店比较经济，周边靠近公交和轻轨站，交通比较方便。但是房间设施比较陈旧，房间隔音稍差，电视信号不稳、可接收节目比较少。', 'star': 5}
{'descr': '比较舒适，也方便', 'star': 3}
{'descr': '还可以  挺干净 水挺好的  热啊   地方也可以 还便宜', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '该重新装修了', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '宾馆挺干净，交通也方便，只是略有些偏，而且网上定的房间没有早餐，四周也不知道哪有早餐，还得再花十五早餐', 'star': 3}
{'descr': '离泰达站比较近，走路十分钟吧。但是周围比较荒凉，没有什么吃饭的地方，门口就有个超市挺方便的。住宿条件还是挺好的，也比较安静。', 'star': 5}
{'descr': '在那地段 性价比还行 就是有点旧了 早饭不是很好吃                                                                                                                                                                               ', 'star': 5}
{'descr': '环境服务不错，网速稍慢', 'star': 3}
{'descr': '性价比还可以。。。。。洗澡很舒服，水蛮大的。电视台不多，不过有我喜欢的湖南台什么的。就是最好在卫生间外面玻璃那装个帘子，不然外面能看到里面的情况。', 'star': 5}
{'descr': '酒店地址有些偏，一般，条件还可以\n酒店地址有些偏，一般，条件还可以\n酒店地址有些偏，一般，条件还可以\n酒店地址有些偏，一般，条件还可以\n酒店地址有些偏，一般，条件还可以', 'star': 5}
{'descr': '相当不错相当干净，下次继续', 'star': 3}
{'descr': '＋酒店还可以', 'star': 3}
{'descr': '性价比不高，很不精致。性价比不高，很不精致。性价比不高，很不精致。性价比不高，很不精致。性价比不高，很不精致。性价比不高，很不精致。性价比不高，很不精致。性价比不高，很不精致。性价比不高，很不精致。性价比不高，很不精致。性价比不高，很不精致。', 'star': 1}
{'descr': '住的比较安静，房间看得出以前很时尚，但现在比较旧了。另外中央空调不给力。', 'star': 5}
{'descr': '只有中央空调，电视也看不到几个台，但整体还是不错的，干净整洁', 'star': 5}
{'descr': '这家酒店越来越破旧了 去年住着还行 现在实在是太差了', 'star': 1}
{'descr': '附近交通便利 汽车站 电车 轻轨 都离得很近  浴室不太好 其它还好', 'star': 5}
{'descr': '一分钱一分货\n于秀清', 'star': 3}
{'descr': '感觉不错，外面还有很多喜鹊啊，喜庆', 'star': 3}
{'descr': '酒店还不错，位置挺好，价格也合理，装修中规中矩而已，不过酒店不是很隔音，这个价格就是这样了。', 'star': 5}
{'descr': '经济型酒店也就这样子，还可以吧，网络还不算慢，就是装修太时尚了', 'star': 5}
{'descr': '各方面都还不错，便宜又方便，网速也可以。房间隔音确实差一些，不过经济酒店都这样子的。', 'star': 5}
{'descr': '价格在当地是比较低的，但设施总体感觉还不错！', 'star': 5}
{'descr': '很多次入住了,跟我的出行计划比较方便,以后还会来的', 'star': 5}
{'descr': '清净、干净、价格合理、交通便利、便于停车。\n', 'star': 5}
{'descr': ' 被罩床单比较陈旧', 'star': 3}
{'descr': '非常郁闷的酒店，服务员态度冷漠，貌似欠她钱一样。房间里只要有电，卫生间排风扇就转，噪音非常大。为了能睡的着，只要把取电的房卡拔下来，彻底断电。当时酒店不知道是装修还是只修电梯，电梯只有一部运行，上不去下不来的。早饭看了一眼，没有吃的欲望，遂出门买的煎饼。', 'star': 1}
{'descr': '酒店环境还可以，洗澡的地方有点小！', 'star': 3}
{'descr': '位置不错，服务也不错，总体还算满意！！！', 'star': 5}
{'descr': '住很多次了还可以', 'star': 3}
{'descr': '暖气挺不错的，价格对得起这房间，呵呵。下次还会住的', 'star': 5}
{'descr': '在开发区同等价位这家酒店很不多，酒店比较干净，交通比较便利', 'star': 5}
{'descr': '挺不错的 ....\n\n很僻静的位置。房间干净，整洁。', 'star': 5}
{'descr': '我可能会继续选择这家酒店但是我不会推荐给朋友，房间洗澡地漏不通，电视画面抖动不清。', 'star': 1}
{'descr': '房间干净宽敞，隔音稍差。', 'star': 3}
{'descr': '房间不错 干净舒适 适合居住 地点也好 交通方便', 'star': 5}
{'descr': '房间不隔音，马桶漏水，电视机遥控器不好使。交通还算便利。', 'star': 1}
{'descr': '＋good', 'star': 3}
{'descr': '酒店位置不错，在开发区办事方便。已经入住多次。', 'star': 5}
{'descr': '已经入住过好几次了，性价比适中，推荐入住。', 'star': 5}
{'descr': '老宾馆改造而成，位置还可以，就是酒店周围施工暂时较乱。', 'star': 5}
{'descr': '不错。', 'star': 3}
{'descr': '位置不错，离开发区很近，办事很方便。    ', 'star': 5}
{'descr': '挺好的。', 'star': 3}
{'descr': '各个条件都不错 各个条件都不错 各个条件都不错 各个条件都不错', 'star': 5}
{'descr': '服务员态度很差，基本是我住酒店遇到最差的，位置还不错，房间设施一般。', 'star': 1}
{'descr': '就是不隔音 隔壁房间说话声稍微大点儿都能听见 浴巾是黄色的 就个人习惯来说不喜欢用带颜色的浴巾 有点儿不想用 早上吃饭的餐厅挺小的 早餐一般吧 不过就价格来说 也还可以吧 距离外滩几公里 开车不算远 比较方便 总体来说 性价比还是可以的 ', 'star': 5}
{'descr': '交通比较方便，距离轻轨比较近，福建还有有轨电车，总体感觉还不错', 'star': 5}
{'descr': '房间挺宽敞，就是隔音差点。不过这个价格也是很实惠了。', 'star': 5}
{'descr': '周边环境比较乱，服务态度很差，房间还好吧，虽然有点小。', 'star': 5}
{'descr': 'bucuo......................', 'star': 5}
{'descr': '卫生环境都挺好的\u3000物有所值\u3000不过位置有些偏了\u3000特别冷清\u3000不过总的来说还不错', 'star': 5}
{'descr': '干净环境优雅', 'star': 5}
{'descr': '距离第三大街，宏达街略微远一点，走五分多钟就有一个轻轨站，位置还行，内部装饰普通房子和特价房是一样的还可以，一般都是面朝西边有窗子的。 要是能是独立空调就好了', 'star': 5}
{'descr': '下午三点钟入住，很满意！', 'star': 5}
{'descr': '很安静', 'star': 5}
{'descr': '伙食不行 宾馆条件不错！地方有点偏啊啊啊啊！！！！！！！！！', 'star': 3}
{'descr': '伙食不好 别的还行~地方有点偏！！！！！！！！！！！！！', 'star': 5}
{'descr': '+满意', 'star': 5}
{'descr': ' 走廊多而且很近，噪音大', 'star': 5}
{'descr': '水龙头上下漏水，房子太吵，蚊子很多，住了一夜，半夜四次起来打蚊子。', 'star': 1}
{'descr': '经济住宿，适合希望节省又不太挑剔的出差人士。', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '物有所值', 'star': 5}
{'descr': '位置距离轻轨站比较近，但是周围用餐不变，其他设施服务尚可，推荐入住。', 'star': 5}
{'descr': '环境好,前台服务一般', 'star': 5}
{'descr': '一如既往的不错 就是不清楚为什么网上预订贵了10元', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '酒店整体还可以', 'star': 5}
{'descr': '卫生间风扇和灯是同一个按钮，风扇打开的声音太大，嗡嗡的能让人头晕。要想关掉风扇，就连卫生间的灯都得关掉。早餐不好，位置也较偏，两百多元的价格住这样的房间感觉不值。', 'star': 1}
{'descr': '不好，连锁店里最差的，电梯不行，像随时要塌下去，安全门紧锁，服务员态度冷淡', 'star': 3}
{'descr': '居住环静四颗星周围环静差', 'star': 5}
{'descr': ' 好', 'star': 5}
{'descr': '設施太陳舊!房間還行離會展中心還算方便!但早餐及中午餐性價比太差、旅店附近沒得吃的(只有兩家小餐館)', 'star': 3}
{'descr': '内饰挺好的，前台小姐太差，非常的冷漠！！！！！！！！', 'star': 3}
{'descr': ' 設施蠻陳舊的!隔音不是很好', 'star': 5}
{'descr': '这个酒店不是很好，能不住最好不要住，硬件软件都不咋的，特别是服务员，欠她钱似的', 'star': 3}
{'descr': '非常差，服务不行，卫生也不行，吃饭等待时间很久，电梯好像要掉下去一样', 'star': 1}
{'descr': '住的有点小偏，不远，但是方向有点背离\n房子还不错，东西比较全，不过没有刮胡刀，烧水超级难喝，矿泉水居然还要钱！！！\n前台服务员态度比较散漫', 'star': 1}
{'descr': '总体感觉还不错   比较舒服    关系也很好     没去过的朋友建议去试下\r\n还蛮不错的     就是电视没几个台    如果加台电脑就比较好咯', 'star': 5}
{'descr': '已经不是第一次入住这几酒店了，入住的理由就是离要去的地方很近，但这次彻底失望了。酒店比去年入住时的卫生还要差。\n难以理解的是加个枕头或被子都要另付费。\n入住又赶上更换电梯，这下好了，超级脏，超级乱，等个电梯要5，6分钟，可是酒店只贴了个通知表示抱歉，其他啥也没了', 'star': 1}
{'descr': '枕头有点潮湿', 'star': 5}
{'descr': '空气很差', 'star': 1}
{'descr': '服务员和杀比一样，简直太差了，气死我了。', 'star': 1}
{'descr': '设备 很不错 哦 ', 'star': 5}
{'descr': '好，', 'star': 3}
{'descr': '较安静，位置也还可以。性价比还好。', 'star': 5}
{'descr': '酒店卫生可以、位置也可以，但如到天津市里游玩有一点远。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '对得起这价钱，在开发区这个价位不好找，总体还行', 'star': 5}
{'descr': '位置很好，就是态度差点', 'star': 3}
{'descr': '咨询问题的时候没有等客户描述完问题对方就匆忙挂掉电户（显得好像挺忙的），再次打通电话仍旧这种态度，让人一点也不觉得温馨，服务意识太差！', 'star': 1}
{'descr': '还可以，就是服务态度差点', 'star': 3}
{'descr': '一般般吧', 'star': 3}
{'descr': '值得推荐', 'star': 3}
{'descr': '酒店附近吃饭还比较方便', 'star': 5}
{'descr': '酒店周围环境不是很好，市场挺脏的，酒店只有套餐，食物比较单调。', 'star': 5}
{'descr': '一切都不错，就是服务态度差点', 'star': 5}
{'descr': '设施完善，服务周到，设计合理亲切', 'star': 3}
{'descr': '很干净整洁，服务很周到', 'star': 3}
{'descr': '酒店很人性化', 'star': 5}
{'descr': '酒店还不错.....', 'star': 5}
{'descr': '很好的酒店！', 'star': 3}
{'descr': '目前塘沽地区酒店唯一有168元房的酒店，算是价格较低吧，不过没有CCTV5，对于近期看球的住户会有很大影响，总体来说的话觉得位置偏僻，室内设施一般，很庆幸的是有个车载小冰箱，可以冷藏些饮品，值得推荐下。', 'star': 5}
{'descr': '很好的酒店！', 'star': 5}
{'descr': '地址有点偏，但是附近的条件也许就只能这样了，没有什么吃饭的地方', 'star': 5}
{'descr': '住惯这里还觉得是不错的！', 'star': 3}
{'descr': '我住8楼，我说热服务员说叫我开窗户，要空调遥控器没有，前台服务员工作态度也不够热情，还有就是洗漱池热水放出的是黑色的一块一块的东西不知道是什么，刷牙都恶心。', 'star': 1}
{'descr': '位置偏僻些，其他的还好吧。餐饮种类有些少。', 'star': 3}
{'descr': '感觉还可以，但是比较远，相对于塘沽市区啊', 'star': 5}
{'descr': '位置太偏了！而且到那个地方挺不方便的！不过房屋住着还是很舒服的，还有就是洗澡的地方太小了！\r\n', 'star': 5}
{'descr': '酒店设施还好，就是环境一般吧，总体说来讲，考虑性价比的话，还不错，距离泰达轻轨站挺近的，可步行250米到达。就是位置距离外滩和三大街金融区都不是很近，交通需要打车或者挤公交，麻烦。', 'star': 5}
{'descr': '是大地方的问题啦，离海不近不远，离城也是。建议开车去\r\n', 'star': 5}
{'descr': '都挺好 就是位置太偏', 'star': 5}
{'descr': '服务一般，整体来说还比较干净，缺点是空调是单冷，这个月份没有暖气还是比较冷的，另外，餐厅的菜品种类就那么几样，饭菜定点供应过时不候。', 'star': 5}
{'descr': '整体不如其它 莫泰酒店', 'star': 5}
{'descr': '    酒店还不错.....', 'star': 3}
{'descr': '不错，就是有点贵', 'star': 5}
{'descr': '很不错的酒店，外表不是问题，里面真的很不错。', 'star': 5}
{'descr': '感觉挺舒服的，就是服务需要提高！', 'star': 5}
{'descr': '位置紧邻地铁但路标不是很完善需要拐到内侧才看到酒店正门，遇到马桶不通畅现象，入住的人不算多，但早餐还算丰盛，服务也还蛮到位的。', 'star': 5}
{'descr': ' 停车位是收费的，与网站上有所不同，总体来讲还不错。', 'star': 5}
{'descr': '位置不是太好，相对塘沽三大街的其它酒店性价比不高，结账速度超慢', 'star': 5}
{'descr': '出差的时候订的酒店，位置很偏。。。离工业区还很远', 'star': 5}
{'descr': '为什么没有99元特价房了呢??这次入住的198的价格,和以前99的特价房一样,失望', 'star': 1}
{'descr': '酒店隔音效果不是很好，能听到隔壁的声音。入住的时候酒店附近正在施工，影响作息。户型一般。', 'star': 3}
{'descr': '有停车场，能上网，不错！', 'star': 5}
{'descr': '很有特色的酒店，很舒适，性价比也不错', 'star': 5}
{'descr': '莫泰的就是干净，实用', 'star': 5}
{'descr': '住的是99元的特价房，虽然房间有点小，性价比很高，值得推荐。', 'star': 5}
{'descr': '  99元房真的很划算,缺点还是有。只是相对于这个价钱而言还是很不错de。附近确实没什么吃喝玩乐的地方，不过好在到哪里都不太远。还算方便。\r\n  还有...那个前台，我没感觉服务很差劲啊?很不错的。', 'star': 5}
{'descr': '挺舒服的，环境挺好的。', 'star': 3}
{'descr': '挺舒服的。', 'star': 5}
{'descr': '总体觉得性价比还是不错的，因为开发区的所有酒店都要比市内要贵一些，但是觉得前台的服务还需要提高，面部表情僵硬，没有一丝笑容，同时屋内的电视只有几个频道，有点让人觉得不舒服', 'star': 5}
{'descr': '位置比较偏, 在开发区边上, 周围在拆建. ', 'star': 5}
{'descr': '比第一次有所改进', 'star': 1}
{'descr': '第二次入住,感觉比第一次稍差些,我入住的房间浴室淋浴喷头居然是坏的,最后嫌麻烦也没有换房,凑合用的.', 'star': 5}
{'descr': '性价比很高，值得一住！前台服务有待提高！', 'star': 5}
{'descr': '总体感觉不错交通便利', 'star': 5}
{'descr': '很不错。希望优惠房多一点。', 'star': 5}
{'descr': '酒店早餐不错，赞一个', 'star': 3}
{'descr': '1月18日入住，19日离开，早餐下楼时居然被困在了电梯，悬在10楼，上不去、下不来，电梯又没有信号，从电梯里面敲也没人应声，按紧急报警按钮又没有任何反应，最后是用力硬把电梯门扒开，得以逃命。想想真恐怖！后来据酒店人员反映，出现此类问题已不是一次，望酒店彻底整改。', 'star': 1}
{'descr': '房间非常不错,室内空调真好,是我住过的所有酒店里,性价比最高的了,唯一一点点不足的就是房间隔音效果有点不好,隔壁开关门声音很大.不过总体而言,还是很推荐的.以后还会光顾', 'star': 5}
{'descr': '酒店不错...........', 'star': 3}
{'descr': '99的特价房，还行吧', 'star': 3}
{'descr': '电梯往上升的过程中居然停住不动了，事后居然没人出来做个解释，连最起码的道歉都没有。', 'star': 1}
{'descr': '上次我住的是99元的特价房，我觉得房间环境还可以，价格也比较适中，就是酒店本身周围交通一般', 'star': 3}
{'descr': '位置很好，也行方便，价格也合理，但前台的服务不是很当，当时办理入住手续就我一位，弄了半天才登记完，太慢了', 'star': 3}
{'descr': '价格适中，其它不咋的。', 'star': 3}
{'descr': 'economical', 'star': 1}
{'descr': '吃饭不方便,服务员态度奇差', 'star': 5}
{'descr': '很好 服务也不错 而且还有窗户 性价比很高啊', 'star': 5}
{'descr': '吃饭不方便，服务员感觉很屌，缺乏服务意识', 'star': 3}
{'descr': '附近找个吃饭的地方有点困难', 'star': 1}
{'descr': '房间不错，就是周围环境有些乱，可能拆迁吧，另外，入住时晚餐结束时间未到就没东西吃了，也是个问题..', 'star': 3}
{'descr': '不是很值感觉', 'star': 5}
{'descr': '前台服务超差,是我去过所有的莫泰中最差的,我入住的时候,我后面还有个人一起进来.前台竟然先问他是否办理入住,没有先来后到啊!', 'star': 3}
{'descr': '服务水平太低', 'star': 1}
{'descr': '酒店的服务很好，使我们有了一种到家的感觉！呵呵！', 'star': 3}
{'descr': '酒店的服务很好，使我们有了一种到家的感觉！呵呵！', 'star': 3}
{'descr': '酒店的服务很好，使我们有了一种到家的感觉！呵呵！', 'star': 5}
{'descr': '卫生还可以很干净,设施完善,地理位置交通也很方便,前台服务不好,比较冷漠,性价比还可以.', 'star': 3}
{'descr': '    服务员各具特色，有嘴贫的、有连个屁都不爱放的，总体讲就是脸子难看态度操蛋！但是条件不错，房间很舒适，卫生间性价比还算高，每次去塘沽都住这儿，享受还算舒适的房间，忍受服务员无法形容的一张张破脸。兜里钱不壮，哪有十全十美的！', 'star': 5}
{'descr': '很舒适，室内空调可以自己调节，比较方便。', 'star': 5}
{'descr': '酒店设施不错， 服务一般，价格在开发区算合理的', 'star': 5}
{'descr': '前台服务超差,是我去过所有的莫泰中最差的,我入住的时候站在前台竟然没有服务员来问,只是在忙别的事情.当我说明我是入住的,才开始为我办理手续,连最起码的你好都没说,退房时竟然没有人去查房,最后叫了楼下的保安去查的房,房间隔音太差.还有请问我是晚上6点半下去退的房,为什么要算一天的房钱,退房用了半个小时,前台服务实在太差我要赶行程也没有时间跟他们理论.除了房价上优势我不推荐这家莫泰.', 'star': 1}
{'descr': '价格并不贵，靠近泰达轻轨站', 'star': 5}
{'descr': '酒店前台服务需要改进！', 'star': 3}
{'descr': '就是周围环境不太好。。。店内的设施很时尚。。也很卫生。。', 'star': 5}
