{'短评内容': '位置还不错 很安静', '短评打分': 5}
{'短评内容': '网络不好~严重的问题，到晚上8点开始就基本很难上网，估计是人多，网络慢！出差在外，晚上要处理邮件的人要权衡一下。', '短评打分': 5}
{'短评内容': '性价比比较高~~~比较推荐~~~', '短评打分': 5}
{'短评内容': '不错，下次还订这家', '短评打分': 5}
{'短评内容': '总的来说不错，就是感觉房间味道重了点，我住的是标准双人房，另外电视的位置摆的太高了，看起来不太爽', '短评打分': 5}
{'短评内容': '空间较紧凑。飘窗视野很开阔！', '短评打分': 5}
{'短评内容': '普通的大床房，房间太小，洗手间太简单，有点像小旅馆的那种。。房间配套设施还欠缺。。。', '短评打分': 3}
{'短评内容': '卫生较差，位置还算不错。相对于其他酒店公寓，性价比差。', '短评打分': 1}
{'短评内容': '还不错~一直住', '短评打分': 3}
{'短评内容': '酒店比较新，是住宅小区的一栋，干净整洁，交通方便。订的标间感觉房间有点小，但是有个大飘窗，很喜欢。', '短评打分': 5}
{'短评内容': '真的很難找到酒店', '短评打分': 1}
{'短评内容': '价格实惠,总体来说不错', '短评打分': 5}
{'短评内容': '总起来不错，就是位置不太好找呢', '短评打分': 3}
{'短评内容': '环境还不错，就是位置有一点点不方便找，但是很划算的。', '短评打分': 5}
{'短评内容': '性价比比较高的酒店，但洗手间的味道可以处理一下', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '除了地方有点偏，其它都挺好。', '短评打分': 5}
{'短评内容': '性价比非常高的酒店', '短评打分': 5}
{'短评内容': '还可以~', '短评打分': 3}
{'短评内容': '还可以，目前出差都住这边的~', '短评打分': 5}
{'短评内容': '还不错，因为工作，下次还会去', '短评打分': 3}
{'短评内容': '比较喜欢这家公寓酒店，碰巧办事也方便，难得在深圳有一家不超过200元的酒店', '短评打分': 5}
{'短评内容': '是小区的一动公寓，当做短租房还可以，入住退房等候时间长。', '短评打分': 1}
{'短评内容': '还可以了.', '短评打分': 5}
{'短评内容': '房间可以，电梯比较难坐。', '短评打分': 5}
{'短评内容': '还不错，后续在深圳就常住这家了', '短评打分': 5}
{'短评内容': '非常不错的酒店，我又去住啦', '短评打分': 3}
{'短评内容': '非常好的酒店，值得一住', '短评打分': 5}
{'短评内容': '酒店挺新，酒店大门应设置更明显的标志，配套设施还欠缺，入住的时候房间连饮料都没有。', '短评打分': 5}
{'短评内容': '第一次住，感觉还是很不错\r\n就是交通有点紧张，高峰时间太难打车', '短评打分': 5}
{'短评内容': '很好.环境也好,在深圳大学附近,文化品位.但部分电热水器不好用,洗澡不方便.', '短评打分': 3}
{'短评内容': '第一次住，觉得真是很不错的酒店。位置很方便，还提供免费地下车位。以后去南山，还打算住这里。', '短评打分': 5}
{'短评内容': '总体感觉不错。值得推荐', '短评打分': 5}
{'短评内容': '被子看起来很脏，定了三间房，只有一间每天都有清理，有一间三天都没有清理，一间清理了一次', '短评打分': 5}
{'短评内容': '还不错。除了部分电热水器不好以外', '短评打分': 5}
{'短评内容': '整体还可以，干净清净，在深圳大学附近，交通较方便，但没有热空调、没有暖气，我们赶上寒流，只好多加了床被子解决问题。', '短评打分': 5}
{'短评内容': '前台动作太慢，其余的都不错，环境都很好...如果前台快的话就很好了\r\n而且有时候预定了去到居然还要等，说是在打扫...等2个小时', '短评打分': 5}
{'短评内容': '总的来说这是一家性价比不错的酒店,可能所在的位置有点难找,不过交通还是很便利的,就在深大的旁边', '短评打分': 5}
{'短评内容': '干净整洁，值得推荐。', '短评打分': 5}
{'短评内容': '酒店的性价比还是蛮不错的,住起来挺舒适的,我觉得这样的酒店值得推荐.', '短评打分': 3}
{'短评内容': '总得来说不错，交通比较方便', '短评打分': 5}
{'短评内容': '总体来说还不错，位置有点偏，房间有点小，其它都还是很好的！', '短评打分': 5}
{'短评内容': '房间的卫生和设施还是比较不错,服务也还行,位置挺好找的,性价比还是比较不错的,总体感觉还是挺不错的一家酒店.', '短评打分': 3}
{'短评内容': '酒店很干净，住在19楼，有落地玻璃窗，很爽~！但是，好像单人房的床有点太短~~~1米6的人随便一睡脚都快到边了~~~', '短评打分': 5}
