{'descr': '价格有点小贵的快捷酒店', 'star': 4}
{'descr': '信价比相当高，在上海来说，房间算宽敞的了，就是房间地毯有点脏，但交通方便，吃饭也方便，出门往北走不到5分钟有个日月光广场，上面有港式茶餐厅避风塘，寿司店，铁板烧等，地铁站也在日月光楼下，很方便！\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '交通比较方便，还可以吧。就是房间小了一点。', 'star': 5}
{'descr': '酒店设施比较陈旧，房间太小，不过交通很便利。\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '住宿条件一般。服务也不行。撮合吧。。要是价格能便宜的话还可以', 'star': 5}
{'descr': '这个你懂的.............................................', 'star': 5}
{'descr': '酒店设施比较陈旧，房间太小，不过交通很便利。', 'star': 3}
{'descr': '设施太陈旧。', 'star': 3}
{'descr': '设备太差', 'star': 3}
{'descr': ' 位置很好，非常满意！反正离我开会的地方也很近！', 'star': 3}
{'descr': '第一次住迷宫酒店,所谓的豪华间小的象豆腐块,且服务员接待态度一般', 'star': 1}
{'descr': '酒店中午退房时间一点都不能延迟，没有一点通融。 这样的管理实在不敢恭维，以后不会住此酒店。', 'star': 1}
{'descr': '酒店交通便利房间干净比较满意', 'star': 3}
{'descr': '信价比相当高，在上海来说，房间算宽敞的了，就是房间地毯有点脏，但交通方便，吃饭也方便，出门往北走不到5分钟有个日月光广场，上面有港式茶餐厅避风塘，寿司店，铁板烧等，地铁站也在日月光楼下，很方便！', 'star': 5}
{'descr': '个人感觉客房的设施比较陈旧，但客服方面还算可以。', 'star': 1}
{'descr': '隔音不行。边上在装修，有点吵。套房也不够大。\n但是地段确实比较有优势。周围比较繁华。\n', 'star': 1}
{'descr': '不错，外表旧了点，窗户小了点，房间还是比较大的。', 'star': 3}
{'descr': '酒店设施比较陈旧，服务态度还是蛮好的，酒店位置还是蛮好找，价格感觉还是和酒店硬件设施不是匹配，', 'star': 1}
{'descr': '感觉很不错 至少在世博期间能租到这样的房子还是很满意了。谢谢酒店的服务让我的客户比较满意', 'star': 1}
{'descr': '离要办事的地方最近，房间比较久了，隔音也不是很好，不过价格还是很便宜的', 'star': 5}
{'descr': '设备有点儿旧。但其他没有问题，服务态度也很好。\n\n', 'star': 1}
{'descr': '酒店有些小，但是吃饭交通购物都很方便，对得起这个价格吧', 'star': 5}
{'descr': '地点还行,但房间内有股非常恶心的味道。只是住了一晚，隔天就搬去别家酒店了。', 'star': 1}
{'descr': '因为是方便去瑞金医院看病 所以订了这间酒店 还可以吧', 'star': 5}
{'descr': '已经成功入住，只是原来订的房间没有，换房后还行，店员出售世博门票，70块钱能买到票他们卖给顾客180！', 'star': 5}
{'descr': '很旧的房间不建议去', 'star': 5}
{'descr': '五星级的收费，青年施舍的感觉。房间一阵嗅味，床褥高底不平非常不舒服，员工态度差。', 'star': 1}
{'descr': '酒店条件挺好，位置较好，去市区很方便。宾馆环境很安静。', 'star': 3}
{'descr': '酒店还好，就是没有热水洗澡。说是在维修', 'star': 5}
{'descr': '离浦西很近，就是床不是很软', 'star': 5}
{'descr': '+', 'star': 5}
{'descr': '房间有点小', 'star': 5}
{'descr': '地理位置还好（离地铁九号线步行3-5分钟，非常方便），周边有便利超市、快餐店等，但房间设施确实旧，手巾、床单都比较旧。酒店服务人员态度还不错：）喜欢田子坊艺术区的可步行5分钟到达。', 'star': 5}
{'descr': '尚可', 'star': 5}
{'descr': '价格适中，性价比较高。服务人员的态度比较规范，适合短期旅游居住', 'star': 5}
{'descr': '房间太小了,也许是世博会期间吧,价格很贵的啊.', 'star': 1}
{'descr': '还有，房间里面蚊子很多啊，希望能改进。离地铁8号线还算近，这倒是方便', 'star': 3}
{'descr': '还行，就是床板真的很不舒服，垫的被子太薄了。', 'star': 5}
{'descr': '+酒店还行,就是有蚊子。', 'star': 5}
{'descr': '还不错!', 'star': 5}
{'descr': '位置很好，交通便利。服务人员态度很好，卫生也好。就是设施太老，床板太硬。', 'star': 1}
{'descr': '交通方便，购物方便，吃饭方便，性价比不错。缺点是年龄有些大了，设施有些落后了', 'star': 5}
{'descr': '世博会啊世博会，没有了性价比咯。但是出门走地铁还是很方便的', 'star': 1}
{'descr': '世博期间这个价格还是比较可以的，不过啊，如果是其他时候选择来住这里简直是太浪费钱了', 'star': 5}
{'descr': '美其名曰“高级套房”，  房间太小。。。   太久了。。。', 'star': 3}
{'descr': '边上应该算是上海比较方便的地方了..到哪里都还近', 'star': 5}
{'descr': '蟑螂太多房间太小，还上不去网', 'star': 5}
{'descr': '酒店服务很好，网速也不错，虽然环境相对差一点，下次过去，还是可以再住。', 'star': 3}
{'descr': '世博期间算是比较经济方便的，靠近园区入口，交通发达，去南京路也近，推荐一下！', 'star': 3}
{'descr': '请改善设施和卫生，空间太小了，服务也比较差   请改善设施和卫生，空间太小了，服务也比较差', 'star': 1}
{'descr': '距离世博1号门大约步行25分钟，旁边就有超市，吃饭的地方也比较多，房间超小，洗澡热水还好。', 'star': 5}
{'descr': '房间太小了，卫生也一般。', 'star': 5}
{'descr': '同样地理位置，价钱和条件和汉庭比差一些。', 'star': 1}
{'descr': '总体还不错，周边环境也不错，服务挺好，就是房间小了点，窗户小了点，而且那个窗户好像还有点问题，纱窗关不牢', 'star': 5}
{'descr': '+很一般，不值……', 'star': 5}
{'descr': '设施一般有点旧；交通极其方便；网速超慢；床有点硬。', 'star': 3}
{'descr': '地段不错，去世博很方便，早上吃早饭也很方便。只是世博期间价格有点贵。', 'star': 5}
{'descr': '世博会期间能住上该酒店还算不错了，到马当路入口很近。', 'star': 5}
{'descr': '酒店设施较陈旧。门口无停车的地方。不能做到每天更换床上用品。服务需改善！', 'star': 5}
{'descr': '交通超级方便，走几步就是9号线。打车方便。网速很慢，床不够舒适。其他都不错。', 'star': 5}
{'descr': '周边设施很好', 'star': 5}
{'descr': '帮我朋友订的，还不错', 'star': 5}
{'descr': '去世博比较近，房间干净，上网比较麻烦。', 'star': 5}
{'descr': '房间大小差别很大，价格一样，预定时25平米，但入住时不到10平米，经交涉同意换房，位置很好。', 'star': 1}
{'descr': '交通很方便', 'star': 5}
{'descr': '酒店的条件一般不过因为是世博期间价位有些贵.位置不错距离世博园比较近.', 'star': 1}
{'descr': '酒店的条件非常好,无论是从硬件条件还是到软件服务上都是相当的到位,尤其是服务人员都很热情.整体感觉是一家不错的酒店.', 'star': 5}
{'descr': '櫃台經理服務周到,下次再住.', 'star': 3}
{'descr': '酒店基本情况一般，但是如果是看世博的话，个人觉得性价比不错，是自助游的好选择，理由很简单，此店步行4-5分钟即到地铁9号线打浦桥站，然后一站地就到马当站的世博9号门，很是方便。\n酒店内容评价如下：\n1. 整体装饰一般，色调、设施略显陈旧；\n2. 房间面积稍小一些，呵呵，当然经济型嘛，无所谓啦；\n3. 网速还可以，能够满足使用；\n4. 门脸儿和大堂有点儿小，停车肯定是没地方；', 'star': 5}
{'descr': '离世博会一号门很近，价格适中，卫生和设施尚可以接受，是参观世博会的优选酒店之一，', 'star': 5}
{'descr': '乾淨清潔', 'star': 5}
{'descr': '不幸我也是住的豪华双床房8323，走廊已经有人讲过了，小侄子倒是把它当迷宫玩的不亦乐乎。第一晚，席梦思放反了，木板的一面冲上，上面一张薄薄的床单，可想而知有多硬，没有衣橱，没有椅子，小小的房间只挤得下两张窄窄的床，服务员解释，是按摩房改的，我质疑这是豪华房吗？前台解释有窗户的就是豪华房，标准房没窗户。是的，它有一扇窄窄的窗户，看的见对面的墙。我儿子拍了实景照片，不知怎样可以发上来。', 'star': 1}
{'descr': '看世博会 这家不错 （浦西入口）', 'star': 5}
{'descr': '这是我所住过性价比最低的一间酒店 我订的是豪华单人房 我甚至怀疑他给的特价单人房！！！睡的床非常不平  睡得非常不好', 'star': 1}
{'descr': '还可以，环境和设施都过得去。', 'star': 5}
{'descr': '看世博的好住处，卫生好，位置好，只是装修太久了！', 'star': 3}
{'descr': '交通便利，性价比高，值得一住哦！', 'star': 5}
{'descr': '这家酒店整体感觉还可以，服务卫生方面还是不错的，设施也蛮齐全的，酒店的位置也可以，出行也比较便利。整体感觉价格也比较合适的。', 'star': 5}
{'descr': '为了感受幽静的水乡之夜，一晚住宿是必须的。 ', 'star': 5}
{'descr': '由于格林豪泰是经济型的酒店住宿，可以考虑如果客户在订房时，可以选择不要用酒店的毛巾等，可以减少房租，也可以减少酒店的清洗费用', 'star': 5}
{'descr': '总体情况一般，上海的酒店就这条件了，没办法', 'star': 5}
{'descr': '房间有点小，价格不便宜，没办法，世博会，不过最过分的是让我把车停在马路边，一天50块。。。', 'star': 1}
{'descr': '经济型酒店', 'star': 5}
{'descr': '房间空调很有问题。前台只有一人当值，顾得接电话就不顾得理睬客人，服务欠妥。', 'star': 5}
{'descr': '室内的设备普遍比较陈旧，不过保安工作做得很到位。', 'star': 1}
{'descr': '相对房间而言，卫生间很大，但是地上的瓷砖有点脏。房间的床超大，还算不错。虽然有窗，但外面有广告牌遮挡。服务地理位置尚可。', 'star': 5}
{'descr': '房间的卫生和设施也很不错,酒店的位置是挺好找的出行也很方便,酒店的服务态度还是挺不错的,性价比还可以.', 'star': 3}
{'descr': '还行', 'star': 3}
{'descr': '一般', 'star': 5}
