{'短评内容': '位置较偏僻，比较难找，性价比不高，总之不太让人满意', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错 性价比高 服务态度好 已经多次入住', '短评打分': 5}
{'短评内容': '设施不行，卫生间太破旧了，以后不住了，出了房间大点，其他不怎么行，也不推荐', '短评打分': 1}
{'短评内容': '服务周到、热情、环境优美、房间干净整洁，下次继续入住。', '短评打分': 5}
{'短评内容': '已经多次入住该酒店 对于这个价位性价比比较高 ', '短评打分': 5}
{'短评内容': '房间还不错，但被罩上有不少的小窟窿，该换新的了。', '短评打分': 5}
{'短评内容': '不错，但延时退房，不论时间都收半天房费有点贵，别的宾馆是每延长1小时只收10元。', '短评打分': 3}
{'短评内容': '还行吧 就是下水道容易积水 服务不错 位置还可以 这个价格差不多', '短评打分': 5}
{'短评内容': '干净舒适，服务不错。位置尚可，停车在大门口，比较方便。周围比较安静，但走一条街外有几个大商场，大排档，很热闹。', '短评打分': 5}
{'短评内容': '地理位置不错 价格稍高 房门居然是防盗门 晕', '短评打分': 5}
{'短评内容': '内部设施不错，服务态度也很好，停车方便。周围商业不多。', '短评打分': 5}
{'短评内容': '地理位置不错，价格也适中，就是房间设施陈旧，墙皮多有脱落。', '短评打分': 5}
{'短评内容': '酒店住的舒服的,物有所值啊！下次到淄博还住这！', '短评打分': 5}
{'短评内容': '差劲，饮水机不能用，水没法喝，味道特别大。。。。。。', '短评打分': 1}
{'短评内容': '吃饭时间规定太短，白天有时都没饭吃。', '短评打分': 3}
{'短评内容': '服务还行,也挺干净,早餐也很丰盛。我是在逃生通道旁边住的,老是有很浓的烟味让人无法入睡,不知道哪的原因,开了半夜的窗户都不管事', '短评打分': 3}
{'短评内容': '有点偏，吃饭和玩都不是很方便，但是价格适中', '短评打分': 5}
{'短评内容': '卫生间太小。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺好 不错                        可以推荐                                                                                                                                        ', '短评打分': 5}
{'短评内容': '性价比很高，知道这个酒店的人应该不多，因为名字听起来就不象酒店。', '短评打分': 3}
{'短评内容': '商务大床房总体还不错,干净!但房间隔音效果一般,有待提高!', '短评打分': 5}
{'短评内容': '总体不错，比较满意。就是厕所下水道不太好，希望下次有所改善', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '非托 可让E作证 超值 实用 下次如需要我还会住此的 早餐还可以 网速快 服务好 ', '短评打分': 5}
{'短评内容': '超值 实用 下次如需要我还会住此的 早餐还可以 网速快 服务好 我住三次得评三次吧 ', '短评打分': 5}
{'短评内容': '超值 实用 下次如需要我还会住此的 早餐还可以 网速快 服务好 ', '短评打分': 5}
{'短评内容': '我已经是第二次入住该酒店了 ，总体感觉还行，美中不足的是卫生间缺下水道口，洗澡后满地的水', '短评打分': 5}
{'短评内容': '淄博豪森俪客假日酒店总体还行，就是不是提供24小时热水', '短评打分': 5}
{'短评内容': ' 总体感觉还不错，就是设施稍微有些陈旧，不过128的价位在这，性价比还是相当不错的，支持', '短评打分': 5}
{'短评内容': ' 房间不大 环境一般', '短评打分': 5}
{'短评内容': '房间、卫生间都太小，还算安静，用餐不是很方便，下次不会再住这里。', '短评打分': 5}
{'短评内容': '酒店环境非常好，前台的服务员也很非常漂亮哦', '短评打分': 3}
{'短评内容': '很干净，有点像家的感觉，我住的都不想走咯！早餐也很丰富', '短评打分': 5}
{'短评内容': '不错 位置离火车站打的起步价，唯一不足的地方是位置在新华制药厂  空气污染比较厉害', '短评打分': 3}
{'短评内容': '总体感觉不错，唯有一点小小不足，本人晚上办公较晚，早上走廊服务员整理客房时说话声音如果能小一点就太好了。希望下次入住能好转。谢谢', '短评打分': 3}
{'短评内容': '还是不错，挺好 比较干净 服务也挺好 总之，可以作为商务酒店来使用', '短评打分': 3}
{'短评内容': '还是不错，挺好 比较干净 服务也挺好 总之，可以作为商务酒店来使用', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错的地方，价格实惠，早餐也不错', '短评打分': 5}
{'短评内容': '酒店基本情况评价-请根据您的入住体会，客观的做出评价', '短评打分': 5}
{'短评内容': '挺好的！', '短评打分': 5}
{'短评内容': '洗澡间与水池是一处，卫生间太容易积水了，马桶旁没有地漏，洗澡间出来的水下不去，一直要垫着脚走路，要注意防滑呀！', '短评打分': 5}
{'短评内容': '卫生状况还不错，只是所在位置有点太偏', '短评打分': 5}
{'短评内容': '电梯只有一部，还老出问题，周围吃饭不方便，都是买五金的。房间不像介绍的没有30平方。', '短评打分': 1}
{'短评内容': '个人开的，不是太干净，不是太舒适；', '短评打分': 1}
{'短评内容': '很经济性', '短评打分': 5}
{'短评内容': '总的来说还行', '短评打分': 5}
{'短评内容': '服务人员比较少，顾客比较多，性价比高，前台等候时间比较长', '短评打分': 5}
{'短评内容': '高氧水没有了都不换 隔音效果很差 服务态度一般 位置一般 卫生倒不错 只有网线没有电脑 上不去网', '短评打分': 1}
{'短评内容': '舒适度比较不错，没有车接送，但一般会报销入住前的路费', '短评打分': 5}
{'短评内容': '整体还可以  就是有些偏僻，周边吃饭的地方少了些', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间很大 很舒服 但是隔音不好有点吵 不过服务很好 还可以啊 哈哈\r\n', '短评打分': 5}
{'短评内容': '真的不错，呵呵顶一个！~~~', '短评打分': 5}
{'短评内容': '凑合住', '短评打分': 1}
{'短评内容': '位置有些偏了,价格还是挺不错的,酒店的卫生和设施也挺好的,总体感觉还是挺不错的酒店.', '短评打分': 3}
{'短评内容': '服务很好，设施一般，入住时床帮掉了，找服务生维修，很及时。价格也不错，唯一缺陷就是太偏僻了，晚上周围亮灯的地方不多。', '短评打分': 5}
{'短评内容': '整体不错！但是没有赠果盘啊！', '短评打分': 5}
{'短评内容': '位置感觉不是很方便，不怎么好打车\r\n舒适度和早餐还算可以\r\n离火车站10分钟左右车程还算可以吧', '短评打分': 5}
{'短评内容': '酒店服务很好，市内免费接送车很方便，但卫生间设施问题较多，如下水道不通畅、淋浴水经常是凉的等，亟待改进。总体还是不错的。', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置很好的，出行很方便的。性价比不错的酒店。', '短评打分': 5}
{'短评内容': '酒店条件环境还是不错的；干净舒适；价格也很合适；就是稍微有些偏；不是在市中心；出行不太方便；', '短评打分': 5}
{'短评内容': '酒店的设施挺不错的,很新很齐全,环境也比较舒适,而且人员也蛮热情的,就是地理位置稍微有点偏,不过价格还可以.', '短评打分': 5}
{'短评内容': '这是一家不错的酒店', '短评打分': 5}
{'短评内容': '酒店的整体还可以的,服务卫生以及房间的设施都很好的,位置很好,出行很方便的,价格有点高了,还有下调的空间的', '短评打分': 5}
{'短评内容': '性价比挺好的.', '短评打分': 5}
