{'短评内容': '环境舒适安静，交通便利。', '短评打分': 5}
{'短评内容': '环境优美，服务规范，但缺少娱乐场所是一个缺点', '短评打分': 5}
{'短评内容': '\u3000宾馆内部环境不错,主楼客房设施配备其全,床铺很宽敞也很软,美中不足的是外面修地铁打车不方便,不过离商业步行街不远,走路二十分钟就行', '短评打分': 3}
{'短评内容': '政府迎宾馆，位于市中心北京路上。大气、庄重，设施标准比较高，服务到位，价格适中，非常值得住。下次还会再选择震庄迎宾馆。', '短评打分': 5}
{'短评内容': '位置中心，环境好，房间舒服，符合5星标准，值得再住。就是昆明在修地铁，搞得整个城市乱糟糟，到处堵车，使人游兴不高。', '短评打分': 5}
{'短评内容': '古时的房子， 现代 的 装修， 结合的好有味道。房间好大。\n问题是， 现在没 WIFI ,不可以的啦！！！！！！要改变啦！！！！ 快点买 无线的回来吧。。', '短评打分': 5}
{'短评内容': '云南省接待领导住的地方，环境不错，就是门口地铁施工弄得交通不便。', '短评打分': 5}
{'短评内容': '嗯不错房间不错，前台服务也很好，下次来一定还会住这里。', '短评打分': 3}
{'短评内容': '挺好的，服务台不错，地点方便，酒店商务房很大，就是没有游泳池，健身房等。', '短评打分': 5}
{'短评内容': '国有宾馆，很有特色，园林不错。\n可惜没有无烟房，早餐实在不怎么样。。。', '短评打分': 1}
{'短评内容': '国宾馆的感觉\u3000不过周边不是很方便\u3000打车吃饭都不方便', '短评打分': 5}
{'短评内容': '酒店的环境非常的好！\n停车也是非常的方便！', '短评打分': 5}
{'短评内容': '感觉不错，环境优美，服务一流，很好！下次到昆明还住该酒店！', '短评打分': 5}
{'短评内容': '设施齐全档次高,顶!', '短评打分': 3}
{'短评内容': '该酒店清洁卫生干净整洁，服务一流交通方便，下次来昆明还住这里，并会向朋友推荐。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': 'A lovely oasis in the center of Kunming. Very comfortable rooms; great room-service dinner (we arrived late); excellent breakfast. I wish we had been able to stay longer!', '短评打分': 5}
{'短评内容': '交通相当不方便。而且服务很差，连出租车都不帮忙叫。反正不顾客人的感受。配的上五星的称号吗？？', '短评打分': 1}
{'短评内容': '还可以的,价格适中,园林风格,大堂没有那么浓的商业气息', '短评打分': 5}
{'短评内容': '酒店位置还可以 在市中心 前台服务非常不好 尤其前台经理 不爱搭理人', '短评打分': 1}
{'短评内容': '酒店内环境不错，服务不错，自助早餐简单点', '短评打分': 5}
{'短评内容': '中规中矩的品牌宾馆 适合中年人居住。不错！ NICE', '短评打分': 5}
{'短评内容': '服务很差很差。好像欠了酒店钱一样。退房的时候酒店服务生也很牛，这个不行那个不行的。。。下次不住了', '短评打分': 1}
{'短评内容': '各方面都挺不错的酒店，房间硬件很齐全，卫生条件挺好的，服务比较一般，住宿环境很好', '短评打分': 5}
{'短评内容': '＋环境好，房价偏贵了，相对于其陈旧的设施。', '短评打分': 3}
{'短评内容': '房间非常不错，但早饭一般般。\n国家领导人住的地方，感觉是不大一样哈。。。。。。', '短评打分': 5}
{'短评内容': '酒店相当不错，环境也很好', '短评打分': 5}
{'短评内容': '各方面都还不错，可惜北京路在修地铁，听说需要三年．打车很不方便．', '短评打分': 5}
{'短评内容': '性价比可以，周围大街在施工，但酒店比较安静', '短评打分': 5}
{'短评内容': '房间的设施很舒服，环境也好。就是两个大人带一个九岁的娃娃早餐要补交60元的费用，有点不划算。', '短评打分': 5}
{'短评内容': '该酒店位于闹市，方便出行，同时其拥有一个宽敞而景色十分优美的园林，十分适合休闲度假之人', '短评打分': 5}
{'短评内容': '酒店硬件设施相当不错，卫浴基本都是科勒，床也还舒服，房间够大，最重要是有花园。。。不足是服务员态度相当不热情，而且作为五星级酒店没有健身中心。。。', '短评打分': 3}
{'短评内容': ' 酒店相当不错 就是没有健身中心 其次服务员态度不热情', '短评打分': 5}
{'短评内容': '非常漂亮的地方，与普通的五星级很不一样，服务人员的态度也是一流的。离火车站和机场都不远。', '短评打分': 5}
{'短评内容': '不错，下次还会入住，环境比较好。', '短评打分': 5}
{'短评内容': '非常好的酒店！就是餐饮一般！', '短评打分': 3}
{'短评内容': '好  很好', '短评打分': 5}
{'短评内容': '位置还是挺好找出行很方便，服务态度的话还是挺不错的，早餐不是太好选择的种类很少，房间还是很干净很舒适的，性价比真的是挺不错的，我挺满意的。', '短评打分': 5}
{'短评内容': '硬件很好,环境更好,就是餐厅不好,吃饭成问题......!', '短评打分': 5}
{'短评内容': '不错的点 ', '短评打分': 5}
{'短评内容': '地理位置比较好，环境比较吸引人，房间不错，有个快递寄到了前台很快就转交给收件人了', '短评打分': 3}
{'短评内容': '地理位置比较好，环境比较吸引人，房间不错，有个快递寄到了前台很快就转交给收件人了', '短评打分': 5}
{'短评内容': '房间里空调效果不好，不制冷。开着象没开一样，别的我都很满意的，价格优惠，地段也很方便', '短评打分': 5}
{'短评内容': '酒店位置很好，环境很优美，硬件设施也很好。美中不足的是餐厅点菜速度慢，而且厨师的手艺也太一般般，有点遗憾。', '短评打分': 5}
{'短评内容': '酒店位置很好，花园很大很漂亮。 房间的设施，也还是可以。但是不怎么隔音。\r\n一楼的餐厅坐着很闷。\r\n由于住店期间生病了，问客房部借个体温计，都没有准备。\r\n希望改善。', '短评打分': 5}
{'短评内容': '我是10月22日晚上入住5416房间的客人当我们到了酒店都没有服务员帮我们拿一下行李，我们向服务员说了，才有一个服务员过来帮我们拿行李（只是从电梯口到4楼房间），办理入住登记的时候信用卡不能使用，服务态度远远不如五星级酒店，入住3天，遇到服务员大多都没有主动向我们打招呼（只有一位帮我们房间清洁的服务员主动与我们打招呼），第三天中午我们要出门，让总台帮我们打出租车，我们等了半个多小时都没有叫到车，向', '短评打分': 3}
