{'短评内容': '房间很新。好！', '短评打分': 5}
{'短评内容': '这个酒店性价比不错，我们住好几次了，只是我想怎么没会员卡啊，这点上还可以做得更好，那样就更具人性化了，还有，我挺喜欢这个酒店的早餐，很丰盛，味道也不错，希望还有机会再来这', '短评打分': 5}
{'短评内容': '很不错的酒店，以前也住过，这次去还是没让我失望，性价比高，服务也不错。就在汽车东站对面，交通很方便。', '短评打分': 5}
{'短评内容': '房间比较大,我住的B栋,设施可能有点旧,离马路近,有点吵,关了窗还可以,总的说来还不错。', '短评打分': 3}
{'短评内容': '环境不错，房间很好，餐饮口味不错，交通便利，价格中等偏上，较为适合小型较豪华的旅游团队。\n\n环境不错，房间很好，餐饮口味不错，交通便利，价格中等偏上，较为适合小型较豪华的旅游团队。', '短评打分': 5}
{'短评内容': '到丽水玩，首选吧！价格实惠，环境不错！交通更是方便。吃的也多。只是好吃的太少。呵呵！要是房内有冰箱就更好了。想吃冰激凌还的下楼买。有点麻烦！', '短评打分': 5}
{'短评内容': '在丽水这个地方来说这家酒店是我住得最舒服的，装修比较新，房间配套也挺不错的，比得上一般的四星酒店~就价位来讲真的很便宜啊，在别的地方这价位只够住个很普通的经济酒店~总体来说还是很不错的，推荐一下！', '短评打分': 5}
{'短评内容': '很好！感觉非常人性话，下次有机会再去丽水，一定还会选择它！', '短评打分': 5}
{'短评内容': '这家酒店就在汽车站对面，规模比较大， AB两幢楼都是他的，停车位多，早餐还可以，房间也还行，符合三星的标准。可能因为在汽车站附近，周围环境一般，人多较嘈杂。交通便利，距火车站才两站路。', '短评打分': 5}
{'短评内容': '还算OK吧，不过A楼比B楼好点，B楼太旧啦', '短评打分': 5}
{'短评内容': '这次去丽水还是住了这家酒店，不过最近涨价了，不过我觉得还是不错的', '短评打分': 5}
{'短评内容': ' 酒店不错，每次来丽水都住这里，昨天还介绍了一个偶遇的一起打出租的陌生朋友来入住，当然也要提醒他先打电话通过亿龙预定了咯!', '短评打分': 3}
{'短评内容': '性价比还可以,也比较干净,早餐很丰富,下次还会来的.', '短评打分': 5}
{'短评内容': '＋好', '短评打分': 3}
{'短评内容': '酒店服务意识相当到位，我们退房的时候有东西遗留，与酒店联系后他们很重视，马上帮我们快递回去，在此要十分感谢。房间也干净，虽然B楼设施不是很新，但是性价比已经很高了。还是不错的选择！', '短评打分': 5}
{'短评内容': '该酒店的环境还可以,服务员态度不错,感觉不错的', '短评打分': 5}
{'短评内容': '挺不错的，便宜也挺好，就是每次定都是同一两间，呵', '短评打分': 5}
{'短评内容': '虽然是经济房，房间挺大，实惠，自助早餐不错', '短评打分': 5}
{'短评内容': '很值得推荐，房间环境很好，前台服务也好。特别要提醒的是，这个酒店对青田和温州身份证有额外折扣，打完这比任何网上订购都要便宜...带电脑的都只要165左右...反正相当好！！！', '短评打分': 5}
{'短评内容': '设备还不错。以后有空再过来。。。环境也很好', '短评打分': 5}
{'短评内容': '酒店很不错，交通方便，而且酒店坏境很好。大力推荐', '短评打分': 5}
{'短评内容': '一定要去住啊 性价比很高哇 装修能保持的那么好不容易啊', '短评打分': 5}
{'短评内容': '因为酒店所处位置不错，交通方便，性价比也好，不过隔音有待加强，总体满意，我们住过好几次了', '短评打分': 5}
{'短评内容': '卫生、服务好、环境好、早餐不错、值得；卫生、服务好、环境好、早餐不错、值得', '短评打分': 5}
{'短评内容': '酒店设施一般，但结合房价，性价比还可以，临车站的房间有些吵，隔音也差些！', '短评打分': 5}
{'短评内容': '价格还实惠 想要的特色房还没找到了', '短评打分': 3}
{'短评内容': '酒店设施不错，服务业还可以，装修条件不错，主要价格不高，性价比优厚', '短评打分': 5}
{'短评内容': '环境很好，设备也很齐全，真的很温馨，而且早餐也非常不错', '短评打分': 5}
{'短评内容': '    酒店位置非常好，对面就是丽水汽车东站，离火车站只有二站之地，且有多路公交到达。性价比很高，特别适合爱好旅游的背包族入住。\r\n    前台接待人员态度不温不火，谈不上热情，但也不能算差，只是让人没有宾至如归的感觉而已。\r\n    总的感觉很不错。\r\n', '短评打分': 5}
{'短评内容': '比预想的好多了：）', '短评打分': 5}
{'短评内容': '总体来说环境和位置不错，早餐也不错。值得住。', '短评打分': 5}
{'短评内容': '酒店价格比较实惠，早晨可以，就是房间邻路，都是汽车喇叭。', '短评打分': 5}
{'短评内容': '位置不错，房间还可以，上网速度快，早餐不错比如家等好，总体性价比高', '短评打分': 5}
{'短评内容': '服务很好，很干净，早餐很好吃。。。下次还要住喜尔顿', '短评打分': 3}
{'短评内容': '酒店就在丽水汽车东站对面，交通相当方便的。但是丽水城区不大，就市区而言，不一定要选择这里。当然你要经常往返下属各县的话，的确这里很方便。晚上还可以，但是凌晨会比较吵。房间不小，设施还可以。早餐很一般，跟别人点评的差距不小。 110元的价位高了一些，旁边紧邻得50-70元，看起来这家干净些。市区中山路一带也有不少酒店，也不错的。\r\n\r\n总之还不错的，推荐一下。', '短评打分': 5}
{'短评内容': '酒店很温馨，服务很好，地理位置也很好，早餐种类很多，非常可口\r\n嘻嘻，下次还住喜尔顿~ ^_^ ', '短评打分': 5}
{'短评内容': '比想像中的要好，服务方面确实不错，卫生方面也不错，设施很齐全，有点家的感觉，平常我们住的酒店都是没吹风机的，但喜尔顿有；就是隔音差了点，因为比较近马路的，所以能很清楚地听得见外面汽车的鸣笛声。', '短评打分': 5}
{'短评内容': '房间还行。比对面的好的就是热水比较热。房间还是挺舒服的。', '短评打分': 5}
{'短评内容': '设施略微旧一些，性价比不错，下次有机会可以再住。 ', '短评打分': 5}
{'短评内容': '酒店性价比不错，下次还会入住', '短评打分': 3}
{'短评内容': '酒店性价比不错，下次还会入住', '短评打分': 3}
{'短评内容': '酒店还不错，价格也比较合理，就是晚餐结束的时间太早了，过了7点半基本上就没有吃的了', '短评打分': 5}
{'短评内容': '整体讲酒店的性价比较高，但是卫生间有渗水情况，早餐能丰富些就更好了！', '短评打分': 5}
{'短评内容': '很不错的酒店，性价比高，下次还会住。', '短评打分': 5}
{'短评内容': '酒店硬件是很不错的，位置很好很方便，配置设施装潢都很好，性价比还不错的酒店。', '短评打分': 5}
{'短评内容': '房间蛮干净的，服务一般，感觉不规范，硬件设施还可以，性价比蛮好，住着也比较舒服，下次还会入住。', '短评打分': 5}
{'短评内容': '设施有些旧了', '短评打分': 1}
{'短评内容': '性价比比较高，价格实惠，挺卫生干净的，早饭也还行哦，就在丽水东站两对面，交通方便', '短评打分': 5}
{'短评内容': '酒店位置就在汽车东站对面，周边超市、排挡、饭店、药店一应俱全，而且乘坐公交车辆也非常方便。虽然住的是普通标间，但是酒店的卫生和舒适度都很好，性价比较高。就是早餐比较中国化，但是非常喜欢他们的笋干、小鱼等佐餐。', '短评打分': 5}
{'短评内容': '还可以，丽水嘛也就服务了', '短评打分': 5}
