{'短评内容': '还可以。比较干净。。。。。。', '短评打分': 5}
{'短评内容': '第二次住了，感觉不错，晚上休息很安静，房间感觉也很让人放松。这次发现自助早餐还不错。', '短评打分': 5}
{'短评内容': '位置环境都很好，还很舒服，隔音也好，下次再次入住', '短评打分': 5}
{'短评内容': '还是如家的酒店最贴心，干净的房间，幽静的环境，是出差办公的最佳居住地。', '短评打分': 5}
{'短评内容': '什么都好，开车到酒店途中来回要收费20元，这个挺郁闷的！！！', '短评打分': 5}
{'短评内容': '交通挺方便的，位置也还行，房间很干净，就是那天早上可能有施工，早上有点杂音，平时还是很安静的。', '短评打分': 5}
{'短评内容': '嗯，还是不错的酒店，地理位置也蛮好，很安静，适合出差人事~', '短评打分': 5}
{'短评内容': '挺不错的。。就是比较偏的地理位置。。但是楼下有公交车站还是很方便的\n工作人员都很客气 很不错', '短评打分': 5}
{'短评内容': '酒店比较舒适，外面环境也很好，离宜家，太平洋电脑城等地方近，交通比较方便。性价比比较高。', '短评打分': 5}
{'短评内容': '真的是有居家的感觉，非常干净整洁，床很大', '短评打分': 3}
{'短评内容': '很好~干净~交通也还不错的说~~~~~~~~~~', '短评打分': 5}
{'短评内容': '＋酒店位置一般，出来打车不是很方便。不过广州哪打车都有点难度。还算干净；空调一般，而且处处提醒小心空调滴水。既有这份贴心，何不彻底解决它？', '短评打分': 3}
{'短评内容': '离火车东站较近，打的不用跳表都可到。附近就有公交车站，去哪都方便。', '短评打分': 5}
{'短评内容': '里面格局太恐怖了。。。。完全没必要入住\n\n虽然价格便宜', '短评打分': 1}
{'短评内容': '其实地段蛮好的。走路到东站15分钟。。。', '短评打分': 5}
{'短评内容': '交通比较方便，房间比较安静，但因为团购活动开展得好，前台接电话的时间比办理入住手续的时间还长，要有耐心等待哦', '短评打分': 5}
{'短评内容': '性价比比较高，很干净舒服，就是交通不是太方便，离地铁三站公交，打的10元', '短评打分': 5}
{'短评内容': '感觉还不错  就是吃东西的地方有点少   有无线网可以用    ', '短评打分': 5}
{'短评内容': '在写字楼里，环境不错，可惜还是没窗户。房间装修没三元里大道棠溪的好。', '短评打分': 5}
{'短评内容': '一如既往如家的风格，很温馨，也很贴心。很多细节都比以前升级了，不过这次衣架没有足够哈~网速有点龟速的说', '短评打分': 5}
{'短评内容': '在地铁体育西路站下然后到体育中心巴士站坐B6在兴华路口下车，过马路看到万事达酒店，如家酒店就在右边二十米处。房间干净舒适价格不贵。', '短评打分': 5}
{'短评内容': '挺好的，只是房间小了点', '短评打分': 3}
{'短评内容': '很干净，离地铁不是特别远，门口有几个公交车', '短评打分': 5}
{'短评内容': '格音不好…毛巾有点脏…用前注意检查下', '短评打分': 3}
{'短评内容': '还不错 价位比较低 就是环境也很好 比较难找 交通还是很便利的', '短评打分': 5}
{'短评内容': '还不错 就是没有窗户的房间有点闷 整体环境还是很好地 性价比比较高', '短评打分': 5}
{'短评内容': '安静，卫生，交通便利。隔音不好，能清晰听到隔壁折腾的声音。', '短评打分': 5}
{'短评内容': '酒店环境很好，卫生干净，服务周到，价格实惠，下次来还选择这里！', '短评打分': 5}
{'短评内容': '安静，卫生。早上五点多到店了，前台安排小休息了下，六点就给安排房间了，颇受感动。WIFI很给力。', '短评打分': 5}
{'短评内容': '酒店很整洁干净，离火车东站不远，但入住期间正好3楼在装修，比较吵', '短评打分': 5}
{'短评内容': ' 环境不错的', '短评打分': 3}
{'短评内容': '酒店不错，下次还会选择，只是不巧的是本次去住是在二楼，但三楼正在装修，吵死了，还好是白天', '短评打分': 5}
{'短评内容': '干静，实惠！离燕塘地铁b出站口较近。出门右走，看见广州大道北路，左走直行，看见万事达酒店就到了。', '短评打分': 5}
{'短评内容': '这家如家很不错！', '短评打分': 3}
{'短评内容': '卫生很干净 房间也很安静 离市场超市也较近', '短评打分': 5}
{'短评内容': '很干净，早餐不错！虽然品种不多，但味道挺好，小心是收费的哟！', '短评打分': 5}
{'短评内容': '很不错啊，虽然找了好久好久才找到，其实在个挺好的位子。环境很不错！', '短评打分': 3}
{'短评内容': '房间环境算蛮干净的，就是不巧我入住的时候正遇上楼上办公楼装修 吵的要死。。要求前台换房间 前台态度很好的为我换了没那么吵的房间 交通还算方便 就是周边没什么吃的 半夜饿没什么外卖可以叫。。这不是方便 其他都OK的。。。下次去广州应该还会选这家吧。。。', '短评打分': 5}
{'短评内容': '还好吧,服务周到,但是有点慢,公车方便,就是这么样了,呵呵呵', '短评打分': 5}
{'短评内容': '环境很好，有一次性洗漱工具，个别房间隔音效果差（应该说地处楼层方位不同），价格比较合理', '短评打分': 5}
{'短评内容': '非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~', '短评打分': 5}
{'短评内容': '很不错的酒店，就是有点偏，但是总体感觉很舒服很安静', '短评打分': 5}
{'短评内容': '房间很干净，服务不错只是离火车站有点远,交通不方便，早餐种类少。', '短评打分': 3}
{'短评内容': '找了很长时间，其实就在75中学对面啊，离燕塘地铁站B出口比较近，走路十分钟就到了。附近买东西或者吃饭都挺方便的', '短评打分': 5}
{'短评内容': '房间不错，不过楼上在装修早上八点就开始吵', '短评打分': 3}
{'短评内容': '不错，设施齐全有电脑可以上网，也很安静，推荐', '短评打分': 5}
{'短评内容': '离地铁站有点远了。不过门口就有公车站，我们是做B6然后到体育中心做地铁的。挺不错的。外面蛮漂亮', '短评打分': 5}
{'短评内容': '房间很干净，物有所值，，很不错，，就是网速不行，，，网线也太短', '短评打分': 5}
{'短评内容': '酒店很不错,温馨舒适.服务人员态度很好.', '短评打分': 3}
{'短评内容': '新酒店 颜色很温馨 很干净 不错的地方！', '短评打分': 5}
{'短评内容': '房间在角落，但前台服务质量一般，客房还挺干净的', '短评打分': 5}
{'短评内容': '服务好，有wifi上网，刚开始连不上技术人员很快就来处理，响应速度很快，值得推荐', '短评打分': 5}
{'短评内容': '是新的酒店，很干净服务也很好，可是房间太小了很局促～', '短评打分': 3}
{'短评内容': '不错，很干净很新的一家如家', '短评打分': 3}
{'短评内容': 'clean and good quality', '短评打分': 5}
{'短评内容': '整体很好,就是感觉房间有点闷,可能是没窗户吧,价格不错还会继续住', '短评打分': 5}
{'短评内容': '酒店设施还可以，看、就是周围吃饭不方便，很不方便，没什么好吃的。', '短评打分': 1}
{'短评内容': '挺好，干净卫生服务周到，环境好，不吵，安静，建议出差人士首选', '短评打分': 5}
{'短评内容': '非常好啊，在这儿住的挺舒服，电视小了点，因为是特价房，所以没有窗户，关上窗帘在房间里就不知道白天还是黑夜了。', '短评打分': 5}
{'短评内容': '五一期间入住的，挺好的，干净，温馨，只是房间太多了，绕来绕去总是找不到自己的房间，嘿嘿。', '短评打分': 5}
{'短评内容': '酒店室内干净 舒服 性价比高，但交通不是很方便', '短评打分': 5}
{'短评内容': '挺不错的，吃饭也方便，旁边就有个煲仔饭的店。就是最后没发票了挺郁闷。', '短评打分': 5}
{'短评内容': '环境很好，有家的感觉。下次还来。。', '短评打分': 3}
{'短评内容': '环境不错，就是隔音差点', '短评打分': 3}
{'短评内容': '地方不错，感觉有点小，不过消防标识不明显，七拐八拐的都不知道怎么走…', '短评打分': 3}
{'短评内容': '不错，不过房间太多，找房间跟找迷宫一样。其他都挺好的，就是周围吃的比较少。', '短评打分': 3}
{'短评内容': '前台服务很好，房间干净，整齐，地上没发现头发，就这价钱范围，绝对无敌了，下次还来如家，', '短评打分': 3}
{'短评内容': '服务很好，前台和搞卫生的阿姨都很热情，另外离火车东站也近，挺方便', '短评打分': 5}
{'短评内容': '非常不错，环境整洁，如果服务态度好点就更好了', '短评打分': 5}
{'短评内容': '房间的空间不大，但是床真的很舒服，如家还是挺推荐的', '短评打分': 5}
{'短评内容': ' 不错，很温馨很划算的房间！', '短评打分': 3}
{'短评内容': '总的来说很不错,就是购物还有吃饭有点麻烦而已', '短评打分': 5}
{'短评内容': '环境还好  价格适中  是个比较舒适的廉价酒店', '短评打分': 5}
{'短评内容': '还不错吧，就是房间有点小，价格倒也便宜。', '短评打分': 5}
{'短评内容': '大道北店位置较好，靠近天河客运站交通便利；另外房间干净整洁，服务态度好，值得推荐！', '短评打分': 5}
{'短评内容': '环境很好，就是住店登记时的服务员态度不好，不过退房时另一个服务员态度却很好，最主要是隔音效果不太好，不过WIFI信号超好...', '短评打分': 5}
{'短评内容': '服务态度很好，房间干净舒适，交通也挺方便', '短评打分': 3}
{'短评内容': '酒店比较新，挺干净的！服务态度也很好，住那么多地方的如家，总感觉广州的服务最好·····', '短评打分': 5}
{'短评内容': '环境还可以，隔音有待提高', '短评打分': 3}
{'短评内容': '服务态度不错，环境也可以。', '短评打分': 3}
{'短评内容': '房间还不错，服务挺周到', '短评打分': 3}
{'短评内容': '环境不错，酒店设施很新，服务还好，唯一不方便的是吃饭', '短评打分': 5}
{'短评内容': '环境还可以，就是地方相对其他地方的如家店要小些，总体不错', '短评打分': 3}
{'短评内容': '很安静，也干净，早餐也很丰富，服务态度好。', '短评打分': 5}
{'短评内容': '酒店比较干净、安静。位于白云区天平架，总体来说交通算便利', '短评打分': 5}
{'短评内容': '比较舒服，没有异味，床单很干净，就是楼层比较矮，有蚊子，自助早餐还不错', '短评打分': 5}
{'短评内容': '环境很不错，墙壁是粉红色的，浴室是黄色的。很干净，价钱也很实惠~~', '短评打分': 5}
{'短评内容': '干净卫生，交通便利，楼下不远就有很多吃的东西，但就是有点吵。建议房间门再做好隔音改进', '短评打分': 5}
{'短评内容': '不错的酒店，以后有机会还会去的吧、。。。\n性价比很高的！', '短评打分': 5}
{'短评内容': '离天河客运中心几站路,各方面都还好,就是房间隔音效果有点差,走廊与隔壁的声音会时不时传来', '短评打分': 5}
{'短评内容': '其实也不是特别难找，在兴华街口，好多公交都到，环境不错，干净，服务态度也不错。\n不过服务员确实喜欢在走廊大声说话。其他的都比较完美。', '短评打分': 5}
{'短评内容': '价钱不贵。就是隔音很差啊。门口经常有服务员的声音。很吵！ 床单不是很干净。不过换了一张还行。。', '短评打分': 5}
{'短评内容': '隔音效果差，其他不错，值得推荐！！！！！！！', '短评打分': 5}
{'短评内容': ' 性价比还好。', '短评打分': 3}
{'短评内容': '环境不错，位置有点远', '短评打分': 3}
{'短评内容': '清新、惬意。', '短评打分': 3}
{'短评内容': '就只住了一晚，感觉挺不错的，里面好多转弯，找到房间都费了下时间', '短评打分': 5}
{'短评内容': '房间整洁给力，性价比高，服务员态度都很好。', '短评打分': 5}
{'短评内容': '很好哟 就是比较小  好小好小的说 在转角处  位置有点奇怪。。。。。价格实惠', '短评打分': 5}
{'短评内容': '位置有点偏僻，但服务还行，走廊比较曲折。', '短评打分': 5}
{'短评内容': '不错 还是那么干净 广交会期间招呼的挺好的。继续努力', '短评打分': 5}
{'短评内容': '性价比挺高的！ 广交会期间入住，感觉挺热情的。服务态度也挺好的，有机会还会选择它！', '短评打分': 5}
{'短评内容': '离地铁口还有些远，不是太方便，其他都还可以。', '短评打分': 5}
{'短评内容': '离地铁还比较远，有些不太方便。其他还同如家的一贯差不多。', '短评打分': 5}
{'短评内容': '酒店环境很好，房间设备齐全，干净卫生，装修很雅致，酒店的前台人员态度很好，附近没有地铁站，但门口有BRT的公交站，交通比较方便，满意~~', '短评打分': 5}
{'短评内容': '＋很可爱很干净的房间，也很安静，设施齐全，喜欢:)唯一美中不足的是附近没有地铁站', '短评打分': 3}
{'短评内容': '环境不错，价格一般，地段还可以。', '短评打分': 3}
{'短评内容': '如家基本差不多，还行，住了好几天。安全卫生', '短评打分': 5}
{'短评内容': '性价比挺高的，但是房间有股味道啊~~~酒店旁边那家吃湘菜的地方倒非常得不错', '短评打分': 5}
{'短评内容': '还行，就是隔音效果不好！其他服务什么的都还不错！', '短评打分': 5}
{'短评内容': '住的是特价的无窗大床房，环境还行，但是房间的隔音效果并不是很好，会听见旁边的房间的声音，虽然可以免费上网，但是速度不怎么样，看视频之类的就不要了', '短评打分': 5}
{'短评内容': '距离燕塘地铁站挺近的，交通挺方便的，就是周围没有出名的建筑物可以找到。', '短评打分': 5}
{'短评内容': '应该开业不久，房间味道重，走廊有怪味，希望改进；旁边有小超巿和夜宵，总体一般。', '短评打分': 3}
{'短评内容': '还好。交通挺便利的。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '在广州这酒店不错，交通方便，但附近吃饭相对不方便', '短评打分': 5}
{'短评内容': '位置是在正大道上，价格也较低。但是房间很小，内部房间太多，走路好晕。', '短评打分': 5}
{'短评内容': '如家酒店的这个分店，服务态度一定要上去啊，总感觉脾气比较大', '短评打分': 5}
{'短评内容': '.环境更好了！', '短评打分': 3}
{'短评内容': '不错！性价比也是比较高的！但是，没有第一次团购那次的房型好！而且酒店也没有记录客人上次是住的那间房！不足', '短评打分': 5}
{'短评内容': '好像每次人都挺多的，是附近几个酒店中，性价比最好，最干净的\n别选到夹层', '短评打分': 5}
{'短评内容': '房间收拾的比较干净\n别选夹层的房间。\n其他还可以。', '短评打分': 5}
{'短评内容': '比较不错吧。\n但是需要注意，别给弄到夹层的房间里\n', '短评打分': 5}
{'短评内容': '服务员的态度是个问题，一定要改正。不要怕嫌麻烦，服务业就是要不厌其烦', '短评打分': 5}
{'短评内容': '不错，不错，不错，不错，真不错，真不错，真不错，很不错，很不错，很不错，呵呵', '短评打分': 5}
{'短评内容': '特惠的大床房是内窗，如果住的时间长，最好订不带特惠的房间。\n白云机场坐3号线，梅花园下，打车10元到酒店。', '短评打分': 5}
{'短评内容': '环境还可以就是隔音效果太差了半夜都被隔壁吵得睡不着', '短评打分': 1}
{'短评内容': '网速比较慢，离地铁比较远，要坐三站公交车才能到，不过还算可以的了', '短评打分': 5}
{'短评内容': '性价比比较高，房间整洁，一贯的如家标准。酒店内比较安静！周边环境一般，吃饭不是太方便！', '短评打分': 5}
{'短评内容': '酒店不错。\n\n<薛建波>', '短评打分': 3}
{'短评内容': '很新很干净，下次还住那里。很正规的连锁酒店。', '短评打分': 5}
{'短评内容': '比较干净，无窗房的通风还不错，不会觉得闷。\n两人间床也挺大的，其实可以住4个人，如果愿意挤一挤。\n酒店内部房间很多，很复杂……\n没有风筒、两人房的网线只有一根，是个问题。\n性价比还可以吧。', '短评打分': 5}
{'短评内容': '干净、整洁，被子枕头什么的都不错。\n出行主要靠旅游3线，虽然车多但不是特别便利。\n前台态度比较冷淡、房间只配了两个衣架、风筒也很难借到。\n2月的价格性价比比较高，三月份涨价后，相比同价位的酒店、这里的交通条件就比较差了。', '短评打分': 5}
{'短评内容': '房间不错，设施全，24小时热水，晚上冲个热水澡很舒服，服务员态度非常的好，很耐心的回答你的问题，最主要是，住\u3000几天后发现那个地方交通很方便，离地铁口两到三站地，\u3000很方便出行', '短评打分': 5}
{'短评内容': '还不错~就是离地铁站比较远 最近的一个也要走20分钟~', '短评打分': 5}
{'短评内容': '环境不错，价格也很优惠，不过网速不是很好，交通还行，出去就是公车站，地铁站有点远。酒店不是很好找。', '短评打分': 3}
{'短评内容': '挺好的，下次会再来！！～～～～～～～～～', '短评打分': 5}
{'短评内容': '还可以，无线网络还好，干净卫生，就是离地铁比较远', '短评打分': 5}
{'短评内容': '很干净，很安静，不过周边没有大型购物商场，交通还是挺方便的，公交车站就在门口不远', '短评打分': 5}
{'短评内容': '很不错，价格不错，位置也不算偏僻，前台有一个美女，也许是对信用卡预授权及解除预售不熟悉，说话有点粗鲁。', '短评打分': 5}
{'短评内容': '比较干净整洁，设施比较新。周边交通：离地铁口稍远，门前就有公交车站。', '短评打分': 5}
{'短评内容': '门店的一位员工名字好像叫赖惠玲值得表扬的。服务特别周到！', '短评打分': 5}
{'短评内容': '交通挺方便的...出门就有巴士站...服务也不错,以后还会来的....', '短评打分': 5}
{'短评内容': '急需风筒急需风筒急需风筒急需风筒急需风筒急需风筒急需风筒急需风筒急需风筒急需风筒', '短评打分': 5}
{'短评内容': '酒店整体来说都不错，美中不足之处就只是离地铁站太远了。', '短评打分': 5}
{'短评内容': '房间小，但是很温馨，值得一试。。。。。。', '短评打分': 5}
{'短评内容': '环境可以，卫生不错，网速一般，没有免费车位是个问题。119的特惠大床房物超所值！', '短评打分': 5}
{'短评内容': '环境很好，交通方便，价格更不用说咯！！超值！', '短评打分': 5}
{'短评内容': '很好！还是一样的那么好！很满意，一直住了很久了，长期住的！', '短评打分': 5}
{'短评内容': '环境和服务都还可以，下次还会住，不错，价位也可以。', '短评打分': 5}
{'短评内容': '非常舒适，房间虽然比较小，但是很干净，设施也很完善，服务态度也挺好，挺不错的~~', '短评打分': 5}
{'短评内容': '环境很不错！', '短评打分': 3}
{'短评内容': '入住该酒店的那几天，房间的电视和网络都有点问题，还有无线网络的信号比较弱一点，上网的速度不是很理想。', '短评打分': 5}
{'短评内容': '   127元订的标准双床房（无窗），服务不错，早餐一般。因为这家如家两层大概一百三十多个房间，所以蜿蜒曲折不太好找房间。安静+干净，还是不错的。\n   其实地理位置还是不错的，出门就有去各个景点的公交车，很方便。如果想要坐地铁，步行15分钟或打车5分钟就到地铁3号线燕塘站，三号线可直接到白云机场的。如果是前往酒店，从燕塘站下地铁，打车的时候跟师傅说到万事达酒店或军委后勤~~\n   唯一不方便的就', '短评打分': 5}
{'短评内容': '整体来说都很不错，房间都很干净卫生，下次还会入住！', '短评打分': 5}
{'短评内容': '酒店服务很好，缺点应该在于网速，邮件的发送都会比较慢。', '短评打分': 5}
{'短评内容': ',经济型，不错', '短评打分': 3}
{'短评内容': '蛮好的看着满舒服的', '短评打分': 3}
{'短评内容': '很卫生，就是房间有点小，其他服务还倒可以！', '短评打分': 5}
{'短评内容': '非常满意！', '短评打分': 3}
{'短评内容': '特惠房这个价钱还OK，环境还OK，虽然房子很小，但也没什么影响，隔音效果一般，最主要位置不是很理想咯，不过也是正常了，位置好的地方又贵而且路边人多车多，这里是大厦里面，还算比较安静一点，但大厦的名字竟然在网页上没有改过来的，之前那里叫振兴商业大厦，现在改名叫什么大厦，我忘记了，搞得我朋友找那么久，过分！', '短评打分': 5}
{'短评内容': '环境  服务都还好...物有超值   很喜欢。', '短评打分': 5}
{'短评内容': '不错，挺舒适的', '短评打分': 3}
{'短评内容': '酒店性价比挺高，附近公交地铁都很方便，很干净，格调也不较舒服', '短评打分': 5}
{'短评内容': '一如既往支持如家，如家环境很好，而且干净，但是这次住的房间有点小，总体感觉不错！', '短评打分': 5}
{'短评内容': '房间小~服务员态度不好~位置不好找', '短评打分': 3}
{'短评内容': '房间比较整洁，交通便捷，虽然小了点。还是很舒适得。。。', '短评打分': 5}
{'短评内容': '感觉很好，交通也可以，洗发水和沐浴露不像其他酒店那样，用了感觉很不错。唯一的缺点是附近好像没什么可以逛的', '短评打分': 5}
{'短评内容': '酒店很干净，服务很好，就是地点有点偏！', '短评打分': 3}
{'短评内容': '服务器差，房间有烟味，上网只有100k。差差差差差差差差差差差差差差差差', '短评打分': 1}
{'短评内容': '不错，出了地铁口对面就有公车直达，比较方便，就是没有吹风筒，洗头后不是很方便', '短评打分': 5}
{'短评内容': '地方有点难走，不过坐公交还算方便，房间小了点，不过很干净，总的来说还是很温馨很不错的，以后有机会还是会住这间酒店！', '短评打分': 5}
{'短评内容': '酒店不错，很干净，风筒不够用，太晚去没拿到，房间有点小。不过很舒适，119的价格，值得推荐', '短评打分': 5}
{'短评内容': '小是小了点 但五脏俱全  这个价格算适中的了！挺好~~', '短评打分': 5}
{'短评内容': '差评！！！！！一百多个房只有15个吹风机~还是借完就没了！！也没有公用的自主吹风机！！要洗头的人伤不起！！服务员的答复是：第二天别人退房就可以送到！晕！第二天我的头发干了还吹什么？？第二天我们也要退房了！这酒店配叫“如家”吗？？？地方也不方便~比较偏僻！其他方面还好~', '短评打分': 1}
{'短评内容': '比较卫生，房间较小！这个价位算是一般般啦', '短评打分': 5}
{'短评内容': '房間很好，設計好溫馨！可惜附近無地鐵站！值得推薦', '短评打分': 3}
{'短评内容': '一进房间感觉好干净，感觉也很舒服，下次还会继续住的～', '短评打分': 3}
{'短评内容': '第二次 入住  交通便利 打扫房间的阿姨 很好 就是觉得房间位置 没有第一次入住的好', '短评打分': 5}
{'短评内容': '虽然有点小，但是还可以，住的很舒服！下次还是会选择如家', '短评打分': 5}
{'短评内容': '晚上到了酒店 室内布置不错 干净卫生，门口有便利店 比较方便，只是地点比较偏僻。不足之处在于前台好像新来的，速度慢，反应迟钝。', '短评打分': 5}
{'短评内容': '感觉还可以，价格也还合理，服务也好，就是差个窗户...', '短评打分': 5}
{'短评内容': '如家不错呀,在广州大道北稍微偏了点,还好广州交通网够广,出门挺方便,又便宜.', '短评打分': 5}
{'短评内容': '环境还可以，房间很温馨啊~~设备齐全，就是有点小，但是这个价钱，算是不错的了，还会再来！', '短评打分': 5}
{'短评内容': '床很舒服，就是坐地铁不太方便，离地铁口远了点', '短评打分': 3}
{'短评内容': '如家物如其名 环境很好 很不错 ', '短评打分': 3}
{'短评内容': '价格实惠，自身条件不错，就是地址有点小偏，但去哪都不是很远', '短评打分': 5}
{'短评内容': '还好，价钱还可以。好像客房走廊声音有点大。其他没啥了。', '短评打分': 5}
{'短评内容': '这是第二次住如家，第一次是同学聚会，住的标间，这一次是赶火车，网上订的特惠大床房119元，比前台订要便宜40元，虽然面积较小，打一个人住够了，只是窗户外面对着的是一个已经封闭了的电梯，即使是白天也看不到光线，这个窗户有点儿形同虚设啊。一直都很喜欢如家小碎花的被套和墙壁明亮的色调，让人有种家的温馨感觉，我想以后住酒店还是会选择如家的，毕竟温馨又实惠。', '短评打分': 5}
{'短评内容': '干净整洁，不错，性价比挺高的。', '短评打分': 3}
{'短评内容': '便宜干净服务态度好，下次去广州还来。。。。。。。', '短评打分': 5}
{'短评内容': '酒店确实不错，满干净，隔音效果不错，特别是卫生间设计很贴心，附近有很多小吃店，从东站过去也很近，下次还会选！', '短评打分': 3}
{'短评内容': '总体比较实惠，房间也不错，不过走道有小小气味~', '短评打分': 5}
{'短评内容': '服务员态度较好，但是环境比较阴森，黑暗。', '短评打分': 1}
{'短评内容': '大床房，房间有点小，卫生很不错，床很舒服', '短评打分': 3}
{'短评内容': '很好很舒适，房间是居家型暖色调的。  。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '比较满意，具体如下：一是前台服务很客气态度很好，二是房间没有窗户不透气隔音不佳，三是酒店位置不是太方便，离地铁口还需要坐三个公交车站', '短评打分': 3}
{'短评内容': '这地段这价钱好给力。力荐。。。', '短评打分': 3}
{'短评内容': '位置有点偏僻！但酒店好大啊！！！虽然很晚到店的，但服务依然不错，楼下的前台很小但楼上像迷宫一样，很大，房间差点找错。冲凉的水漏有点小问题，维修很快就到，而且立即搞定。不好的就是淋浴的花洒 水压很小！！', '短评打分': 5}
{'短评内容': '如家一般的感觉！环境漂亮~希望价钱可以再便宜点~', '短评打分': 5}
{'短评内容': '环境不错，清洁卫生，住得舒服，很安静。而且便宜', '短评打分': 5}
{'短评内容': '如家的环境不错，大床房虽然有点窄但是布局较好，舒适，如果房内设施再完善就更好了', '短评打分': 3}
{'短评内容': '环境不错，交通也算便利。唯一不足就是服务态度有点不大好，因为房间超多，想找到自己住的房间不容易，但是楼上一个值班的人员也没有，想问下怎么走都找不到人，还有就是前台只有一个人值班，想借个吹风机还要自己下楼去拿，有点不大方便。。。', '短评打分': 5}
{'短评内容': '酒店环境还可以，服务还行。装修有个性，有特点。挺喜欢', '短评打分': 5}
{'短评内容': '＋帮朋友订的，离办事地点近才选择。', '短评打分': 3}
{'短评内容': '室内手机信号不好,其它还行吧。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错  挺安静 舒适度较高  ', '短评打分': 3}
{'短评内容': '环境不错，服务态度也不错，就是位置不好找', '短评打分': 5}
{'短评内容': '不多说~一百分~环境一流~不过交通有点麻烦', '短评打分': 5}
{'短评内容': '比较难找。环境还可以', '短评打分': 3}
{'短评内容': '星期六去的.特价房119.这个价格来说在广州住如家是个不错的选择', '短评打分': 5}
{'短评内容': '很满意，前台服务人员服务态度也不错。', '短评打分': 3}
{'短评内容': '房间虽然不大，但挺干净的，还是可以的,服务态度也不错的。。。。。', '短评打分': 5}
{'短评内容': '条件还可以，价位合理，就是不太容易找司机问了好几次才给我送到！', '短评打分': 3}
{'短评内容': '走廊里有明显的装修后的味道，服务态度一般，不能开发票，不能刷卡。', '短评打分': 1}
