{'短评内容': '满意，服务不错，卫生干净', '短评打分': 5}
{'短评内容': '服务不错（除了维修师傅态度不专业外，其他工作人员还是很好的）房间干净整洁；基本设施良好。\r\n有2条意见：\r\n1. 为何叫醒电话采用系统和人工的重复，如果采用人工确认叫醒，就不用自动叫醒，否则实际已经起床在卫生间洗漱了，还要再跑出来接叫醒电话，实在不便。\r\n2. 刚刚进房间时，以为卫生间排风扇不工作，故报修。维修师傅很快来了，踩着马桶上去检查，发现其实是工作的，语气很不专业“哪里不工作了？”，然后就', '短评打分': 5}
{'短评内容': '此酒店价格公道,服务态度很好,都能做到微笑服务.', '短评打分': 5}
{'短评内容': '早餐种类太少，吃起来不可口。停车场不是很好，车放在里面不放心', '短评打分': 5}
{'短评内容': '方便，便宜，，干净，不错。就是房间比较紧张', '短评打分': 5}
{'短评内容': '总的感觉还是挺好的,服务员很有耐心.', '短评打分': 5}
{'短评内容': '住的很舒适，就是停车不方便，停车场小了点', '短评打分': 5}
{'短评内容': '性价比高,餐费可以挂帐,但是房间隔音效果太差,隔壁打电话听得清清楚楚,真是脸红ING~', '短评打分': 5}
{'短评内容': '满意！', '短评打分': 5}
{'短评内容': '总体来说还是可以的，比较整洁，餐厅很实惠，呵呵，停车场感觉一般，另外位置相对偏远了一点，不过倒是离石油大学很近', '短评打分': 5}
{'短评内容': '一如既往的“如家”\r\nps 网络需要改善，慢', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店很干净，饭菜也很好，价格很实惠！', '短评打分': 5}
{'短评内容': '房间相对其他如家好像小了点，其他没什么了', '短评打分': 5}
{'短评内容': '离火车站远了点 房间设施有点旧', '短评打分': 5}
{'短评内容': '环境不错，服务也不错，就是位置偏了点', '短评打分': 3}
{'短评内容': '整体还行，之前预定了商务大床房，可能是在2楼原因，有点吵。再就是卫生间厕所冲便器不太好用。。', '短评打分': 3}
{'短评内容': '感觉还凑合吧，我定了个商务大床房，可能因为2楼的原因，噪音有点大，再就是卫生间马桶冲水不太好用。', '短评打分': 5}
{'短评内容': '价格便宜，就是位置一般', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '酒店卫生很好，干净又舒适，适合出差居住。', '短评打分': 5}
{'短评内容': '酒店各方面都是非常满意,经济型酒店也就这样,房间温馨整洁,干净舒适,性价比很高.', '短评打分': 3}
{'短评内容': '这家酒店感觉很新，东西很干净，主要是枕头被子很舒服！', '短评打分': 3}
{'短评内容': '这家酒店感觉很新，东西很干净，主要是枕头被子很舒服！', '短评打分': 5}
{'短评内容': '服务很好，卫生很好，就是离市区有点远，不过打的起步价就到了', '短评打分': 5}
{'短评内容': '这已经是第三次入住住一家了，除了位置不是很好，主要看你要到哪里办事情，我常到石油大学，觉得还算方便，其他的都不错的', '短评打分': 5}
{'短评内容': '如家的酒店就是干净、舒适，这家店也不例外。但这家店服务态度有些冷，酒店位置有些偏了，离商业繁华区较远。', '短评打分': 5}
{'短评内容': '酒店位置有些偏,而且当时东营天气不好下雨了,后来就挺电了,酒店没有应急灯,走廊里面一片漆黑,非常不方便.房间里面还是很干净的.', '短评打分': 1}
{'短评内容': '房间干净整洁，服务也很周到，地理位置也不错', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '各方面都很不错的的酒店，尤其是前台服务人员很热情；房间打扫的也很干净；唯独一点就是酒店在市中心的边上，在市中心就更好了，不过也要看个人需要了；', '短评打分': 5}
{'短评内容': '很不错的地方，每次去南京都住那里，服务很好的。', '短评打分': 5}
{'短评内容': '餐饮方面要是能改进一下。', '短评打分': 5}
