{'短评内容': '不错的位置', '短评打分': 5}
{'短评内容': '酒店地理位置不错，周围环境也好。还有早餐，挺丰盛的。', '短评打分': 5}
{'短评内容': '一切还好吧  唯独就是商务大床房太小。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很喜欢这里的小商品，价格公道，每回都会买很多', '短评打分': 5}
{'短评内容': '位置不错，楼层也合适，服务态度比较好，不错', '短评打分': 5}
{'短评内容': '服务人员很有礼貌，比较干净，但是晚上噪音较大，大床比想象中的小', '短评打分': 5}
{'短评内容': '服务不错。地点也好。价格适中，总体感觉不错。', '短评打分': 5}
{'短评内容': '，还不错', '短评打分': 3}
{'短评内容': '取消预订。', '短评打分': 5}
{'短评内容': '不错，位置不错，服务业不错，设施确实比较少见', '短评打分': 5}
{'短评内容': '环境各方面都还可以，从住房条件来说值得推荐，但从积分返还及每次需要再次核实入住信息来说，实在是不令人满意，为此请改善', '短评打分': 3}
{'短评内容': '干净，简洁，在经济型酒店性价比最好，地处最繁华的柳泉路，出入方便。', '短评打分': 5}
{'短评内容': '比其他经济酒店来的干净，位置较好，有停车位', '短评打分': 5}
{'短评内容': '房间布局不太喜欢', '短评打分': 5}
{'短评内容': '+宾馆很干净,很满意。', '短评打分': 5}
{'短评内容': '干净卫生，服务热情，位置也不错。下次来还住这。', '短评打分': 5}
{'短评内容': '酒店的小商品很全，而且经常搞一些活动，能给客人一些惊喜。附近大排档很多，而且开的很晚，不过食品卫生情况堪忧，呵呵。', '短评打分': 5}
{'短评内容': '很干净，很舒适，地段也不错。前台还卖周村酥饼，挺会做生意的;)', '短评打分': 5}
{'短评内容': '网上介绍的入住条件和实际办理不一致有欺骗行为！请对照网上发布信息更改', '短评打分': 1}
{'短评内容': '一直很喜欢这个酒店，简洁舒适，我出去在外首选锦江。很好。', '短评打分': 5}
{'短评内容': '酒店很干净，尤其是床，特别的舒服，应该是经过挑选比较的。酒店的地理位置也很好，紧邻沃尔玛超市，门口打车也很方便。早餐不错，品种很丰富，但是中餐和晚餐的套餐就很一般了，不建议吃。总之，值得入住。', '短评打分': 5}
{'短评内容': '还不错.', '短评打分': 5}
{'短评内容': '第二次来了，一如既往的锦江品质，没的说的，每次来锦江都是住的这里。', '短评打分': 5}
{'短评内容': '环境很不错，卫生也很好，服务也很贴心，打扫的很干净。附近购物也很方便，性价比超高的嘞。以后去淄博的首选酒店。', '短评打分': 5}
{'短评内容': '位置还不错，进出高速比较方便，周边饭馆很多，吃饭较方便，离酒店几十米就有一家大超市购物很方便，酒店旁还有一家小超市，设施服务都还可以，就是餐厅可供选择的种类稍少些，', '短评打分': 5}
{'短评内容': '交通、購物方便，旁邊就是沃爾瑪', '短评打分': 3}
{'短评内容': '酒店总体感觉良好', '短评打分': 5}
{'短评内容': '路段还可以下次还去', '短评打分': 5}
{'短评内容': '价格实惠，房间干净，空间大', '短评打分': 3}
{'短评内容': '房间空间大，干净，便宜', '短评打分': 3}
{'短评内容': '环境不错，房间比较大，卫生也好', '短评打分': 5}
{'短评内容': '位置不错，周边小海鲜很好，早上边上街里的早点也很不错，样多便宜分量足。后院的停车场也够大。不过房间电视放的位置太别扭，窗户的胶条坏了，关不紧，夜里偶尔会有大车经过。总体上还不错。', '短评打分': 5}
{'短评内容': '購物方便，旁邊就是沃爾瑪', '短评打分': 5}
{'短评内容': '簡單實惠的酒店', '短评打分': 5}
{'短评内容': '房间还好，就是餐厅菜式太少，没选择性。', '短评打分': 3}
{'短评内容': '房间干净舒适，较安静，住着比较舒服。前台服务员态度不积极，本来凭当天火车票酒店给报销10元打车费，退房时才注意到，服务员也不给提醒。', '短评打分': 5}
{'短评内容': '环境和卫生都比较不错，价钱一般，同等价位完全不用住经济型旅馆。。。', '短评打分': 5}
{'短评内容': '锦江之星住过多次，一如既往的干净舒适。有一点小问题，靠后院的房间睡眠质量不好的朋友别住，一个车库里的电机转动的声音响了一晚上。前台解释说是个抽水的机器~~', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '一如既往的好,早餐很不错,居然有&quot;酒鬼花生&quot;,最爱花生的我可怜喉咙疼咳嗽,不然的话...,还有水果沙律,真是不错,好味道,推荐大家去.就是锦江之星大抽奖只得个末奖，不爽', '短评打分': 5}
{'短评内容': '房间很暖很干净', '短评打分': 5}
{'短评内容': '酒店总体来说挺不错的,很干净,位置也很方便,价格的话也能接受.', '短评打分': 3}
{'短评内容': '非常好！安静、卫生，特别是服务，真是一流！！！没的说！！！', '短评打分': 5}
{'短评内容': '住了一晚，很不错。推荐。', '短评打分': 3}
{'短评内容': '11月16号在柳泉路店住了一晚，服务人员态度热情，房间送暖气了很暖和，早餐品种多让我很满意。', '短评打分': 5}
{'短评内容': '其他都好，服务员态度不错。只是水暖声音有点大。记得向前台所要耳塞。', '短评打分': 5}
{'短评内容': '九月三号在该酒店住一晚，各方面都很好，特推荐各位驴友。早餐十五元一位，还是不错的。', '短评打分': 5}
{'短评内容': 'GOOD，首选锦江之星，柳泉路店位于市中心，距高新开发区5分钟，出行、购物都很方便，值得推荐。', '短评打分': 3}
{'短评内容': '酒店位于市中心，位置不错（离沃尔玛很近），房间干净、舒适，上网速度快，前后院停车都很方便，值得推荐！', '短评打分': 3}
{'短评内容': '不愧为锦江上市公司，房间舒适、整洁，服务人员热情；连锁店靠近高新区，交通便利，下次出差还住锦江之星。', '短评打分': 5}
{'短评内容': '感觉酒店的整体服务还是比较一般化，卫生条件还不错，总的来说还是比较满意的。', '短评打分': 5}
{'短评内容': '客服人员非常热情，早餐也很好吃', '短评打分': 5}
{'短评内容': '酒店的地理位置便利，价格很优惠，服务也比较热情周到', '短评打分': 5}
{'短评内容': '酒店的环境以及卫生服务都可以,交通也很方便,价格也比较优惠性价比还是不错的,下次在去还会选择这家酒店', '短评打分': 5}
{'短评内容': '环境比较安静，位置靠近市中心很方便，卫生条件也很干净，还是推荐的酒店', '短评打分': 5}
{'短评内容': '此酒店地理位置环境价格都很不错', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
