{'短评内容': '便宜，位置好。餐厅不错', '短评打分': 5}
{'短评内容': '离皮革城较近，离市区火车站也不算太远。酒店硬件不错，周边商业街几乎没有，吃饭的地方也没看见。前2年来的时候只有这一家，现在周边的酒店也多起来了，相信以后这里会越来越繁华。推荐入住。', '短评打分': 5}
{'短评内容': '房间不错，离皮革城也近很方便。', '短评打分': 3}
{'短评内容': '卫生干净，饭菜味道也很好，性价比高，很喜欢。就是等候打车时间较长。', '短评打分': 5}
{'短评内容': '酒店干净、舒适、服务好，会跟朋友推荐这家酒店。离皮革城很近，很方便。下次去海宁还会住这里！', '短评打分': 5}
{'短评内容': '酒店不错，晚上睡觉很安静，空调制热效果很好，早餐也还丰盛。步行至皮革城只要10来分钟。', '短评打分': 3}
{'短评内容': '算是皮革城附近性价比比较高的酒店了~服务态度还可以~设施也比较全~特别是早餐不错~品种比较多~算是我见过三星酒店里做得很好的了~就是走路离皮革城还得20分钟个样子~要是满载而归的话~觉得这离皮革城还是有点距离的~呵呵', '短评打分': 5}
{'短评内容': '酒店真不错下次还去住', '短评打分': 3}
{'短评内容': '酒店非常干净，设施都很不错！周边晚上人不多！但公务出差不错，周边市政府等相关单位都走路可到！', '短评打分': 5}
{'短评内容': '酒店位置很好，离皮革城很近，走只需十来分钟，酒店很干净，早餐非常丰富。下次去还住。', '短评打分': 3}
{'短评内容': '酒店设施不错，服务很好，就是晚餐餐厅被包场了，就餐要等到七点半，还要出去就餐，不太方便', '短评打分': 5}
{'短评内容': '楼下的餐厅不错，房间还是蛮干净的。离皮革城很近。', '短评打分': 5}
{'短评内容': '确实不错，其实离皮革城挺近的，如果有车会更方便，开车三分钟可到！', '短评打分': 5}
{'短评内容': '不错的酒店 只是离皮革城略远 步行20分钟 打车起步价 就是酒店不好打车 确切说是很难打到车', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 3}
{'短评内容': '\u3000有电脑还可以哦', '短评打分': 3}
{'短评内容': '跟以前比差点了。豪标跟普通的没什么区别！！！', '短评打分': 5}
{'短评内容': ' 房内设施新清洁。就是墙隔音差', '短评打分': 3}
{'短评内容': '各方面条件都不错，回推荐给朋友的。', '短评打分': 3}
{'短评内容': '住宿环境不错，午餐后来也在那吃的，很不错，逛皮革城很方便的说……', '短评打分': 5}
{'短评内容': '环境不错，挺干净的。就是空调不好，很吵还有洗澡的水不是很大', '短评打分': 5}
{'短评内容': '去年入住，回日本后约半年后才从信用卡上扣款，希望加强管理，杜绝此类事情发生。', '短评打分': 1}
{'短评内容': '无法上网，速度太慢了，影响工作。希望尽快改进，不然不会向朋友介绍', '短评打分': 1}
{'短评内容': '以前上网的速度尚可，这次入住，网页根本无法打开。速度太慢了。若不改进，今后不打算入住了', '短评打分': 1}
{'短评内容': '现在不如以前了，卫生很一般，早餐就更一般了，希望能得到改进。下次还会入住，如果再不好可能就不会选择了。', '短评打分': 5}
{'短评内容': '挺不错的，每次都是住这儿，下次一样住这。', '短评打分': 5}
{'短评内容': '已经是第二次入住，连带的日本客户都说环境很好，价格合理，早餐丰富。以后去海宁就选香榭丽了。', '短评打分': 5}
{'短评内容': '坏境好，服务好，干净舒服，离海宁皮革城很近', '短评打分': 5}
{'短评内容': '坏境好，服务好，干净舒服，离海宁皮革城很近坏境好，服务好，干净舒服，离海宁皮革城很近坏境好，服务好，干净舒服，离海宁皮革城很近坏境好，服务好，干净舒服，离海宁皮革城很近', '短评打分': 5}
{'短评内容': '性价比蛮高的酒店，早餐不错。只是没想到那天没空调有点遗撼。', '短评打分': 5}
{'短评内容': '不错！房间比较干净，蛮舒适的，服务也可以', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 3}
{'短评内容': '海宁皮革城购物的话推荐这个酒店。性价比比较高。酒店宽敞设施好，卫生好，各方面都不错。对得起这个价位。', '短评打分': 5}
{'短评内容': '好像网上定的房间装修老一点全木，上次直接去酒店好像有玻璃的，现代一点', '短评打分': 5}
{'短评内容': '服务态度不好，明明是标间，两个人，早餐券只肯给一张！！', '短评打分': 1}
{'短评内容': '酒店很不错，房间内置挺好的。', '短评打分': 3}
{'短评内容': '房间比较整洁,早餐比较一般,品种比较少\n希改进', '短评打分': 5}
{'短评内容': '酒店比较干净整齐，早餐也过得去，只是淋浴头水好小，要修修。', '短评打分': 3}
{'短评内容': '距离稍偏，但海宁不是大城市，所以能够接受。餐厅早餐品种不少，比较满意', '短评打分': 5}
{'短评内容': '服务有改善，总台结账所花费的时间比以前少了。希望继续进步，吸引客人', '短评打分': 5}
{'短评内容': '去年12月入住时刷卡付了费，今年3月却通过银行要求付费，称当时POS机故障，扣费没有成功（当时是否已经扣款，本人现正在查）。即使当时没有扣款，这是酒店的责任，拖了数月之后，既无说明，也无道歉，只是通过银行讨钱，很不爽。', '短评打分': 5}
{'短评内容': '中规中矩的酒店，350贵了点，感觉地点有点偏，不过海宁就那么大一点，偏也偏不到哪里去。', '短评打分': 5}
{'短评内容': '不错，特别是餐厅的料理比较可口。员工的培训还需加强。', '短评打分': 5}
{'短评内容': '距离稍偏，早餐还是可以的。几次退房结账花时间太长，希望加强培训，提高工作效率', '短评打分': 5}
{'短评内容': ' 挺好的', '短评打分': 3}
{'短评内容': '服务周到，酒店设施很好，房间很整洁，隔音也不错！餐食物美价廉，1楼的枫丹白露餐厅很实惠，价格不贵，量也很足！', '短评打分': 5}
{'短评内容': '住过很多次，还是不错的，就是早餐不怎么地，望提高', '短评打分': 5}
{'短评内容': '酒店不错，性价比高！', '短评打分': 3}
{'短评内容': '环境不错，酒店比较新，房间也很干净，就是早饭稍微逊色了点。离皮革城也较近，价位适中，值得入住。', '短评打分': 5}
{'短评内容': '环境不错 交通还算便利 不远处就是皮革城', '短评打分': 5}
{'短评内容': '很舒服，也很干净，距离皮革城也蛮近的，但是周围没什么好玩的东西~~', '短评打分': 5}
{'短评内容': '酒店整体不错,房间大小可以,卫生间小了一点,淋浴水很好,地址位置很方便出行,下次还会住', '短评打分': 3}
{'短评内容': '非常好的酒店，各方面很满意。我去的时候还搞活动，送了一盘水果。很开心', '短评打分': 5}
{'短评内容': '新酒店，三星级酒店，不过硬件比一般三星的强很多。总的来说还可以吧。', '短评打分': 3}
{'短评内容': '酒店价格合理，房间条件不错 有净水器 比起直接烧的自来水要好喝的多', '短评打分': 5}
{'短评内容': '本次打电话订1个单人间，到了前台说是双人间，没办法到前台改成单人间，房价变成350，但是积分还是按原来的278计算，不知为何？', '短评打分': 5}
{'短评内容': '很好，房间很干净，早餐也不错，很是令人满意', '短评打分': 5}
{'短评内容': '房间面积虽然不大，但布置合理。关键是干净，总体来说对得起这价位。', '短评打分': 5}
{'短评内容': '香榭丽酒店的餐厅还是不错的，价格不贵，而且味道也不错。4个人吃的很舒服。餐厅推荐！\n但住的4楼靠东的房间不太好，空调比较吵，外面是马路也吵。房间虽然不大，但还是很干净的。住宿一般。', '短评打分': 5}
{'短评内容': '酒店看着不错，环境比较安静。这次来遇上这边下大雪。外面好厚的雪啊。房间还是比较温暖的。但是这个网速就慢的出奇了。才100多K，这真让我受不了。早餐还没吃不知道怎么样。房间没什么特色。一般而已。但他们卫生间装了人体探头。人不在会自动灭灯。这样比较省电。很会算的商家啊。', '短评打分': 1}
{'短评内容': '对于这个价位来说，无论是环境，卫生，条件都很值，挺不错的酒店', '短评打分': 5}
{'短评内容': '酒店距离皮革城很近，我们走路也就3分钟，酒店挂3，档次不错，房间很暖和也很干净。下次还会入住，如果来此买裘皮或者皮革住此酒店非常方便！', '短评打分': 5}
{'短评内容': '硬件设施不错，就是空调室外机太嘈杂了', '短评打分': 3}
{'短评内容': '环境尚可，毛巾较旧，早饭不错，对得起这个价格。', '短评打分': 5}
{'短评内容': '感觉很干净，离皮革城也不远，还有双早，对得起这个价。', '短评打分': 5}
{'短评内容': '酒店环境卫生不错，早餐有考究，大家可以去看看!', '短评打分': 5}
{'短评内容': '3星级的香榭丽酒店房间设施比较好，早餐也不错', '短评打分': 5}
{'短评内容': '酒店不错，性价比挺高的。去海宁买皮具，这里走路到皮革城大概十多分钟，不远', '短评打分': 5}
{'短评内容': '价格便宜，酒店各项设施都很好，餐厅也很棒！！！', '短评打分': 5}
{'短评内容': '每次去海宁都住这里！！环境好 也卫生 硬件设施也比较新  强力推荐 ！！', '短评打分': 5}
{'短评内容': '总的还不错,就是房间不太隔音.早餐不错还有就是打车不方便.', '短评打分': 5}
{'短评内容': '很好\r非常满意', '短评打分': 3}
{'短评内容': '之前同事就有住过。所以直接选了这家，各方面都不错，不过稍微有点偏。瑕不掩瑜', '短评打分': 5}
{'短评内容': '.我已入住贵酒店  服务很满意', '短评打分': 3}
{'短评内容': '非常满意。', '短评打分': 3}
{'短评内容': '酒店交通方便，到中国皮革城较近，环境不错，服务态度好。', '短评打分': 5}
{'短评内容': '整体情况还是可以，就是房间比较小，房间的毛巾特别旧，希望尽快改善！', '短评打分': 5}
{'短评内容': '-般', '短评打分': 3}
{'短评内容': '，满意', '短评打分': 3}
{'短评内容': '帮朋友定的 我一年前住过 各方面都不错 朋友回来也说不错 ', '短评打分': 5}
{'短评内容': '洗手间是透明的~~在客厅里可以完全看到里面~~我们住的是豪华商务间。总体来说不错。不过主的地方打车不是很方便~~', '短评打分': 5}
{'短评内容': '位置很好，闹中取静，毗陵行政中心，到中国皮革城只需步行几分钟。酒店比较雅致，服务人员说话和行动都显示了比较专业的水平', '短评打分': 5}
{'短评内容': '早餐厅服务生过于散漫，忙于轧堆聊天。煎鸡蛋的油烟充满了整个餐厅，希望下次再去住宿时已经改善。 ', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '海宁香榭丽酒店是新酒店 房间真的不错 早餐略微简单 但是对的起价格 总体评级优', '短评打分': 5}
{'短评内容': '酒店环境不错设施也可以物有所值', '短评打分': 5}
{'短评内容': '挂牌三星，房间接近四星。有淋浴房和浴袍。\r\n电视机是液晶的，还有免费的宽带。\r\n早餐还不错，以中式为主，还有煎蛋。\r\n离皮革城很近，性价比较高。', '短评打分': 5}
{'短评内容': '+这是我7天来最好的酒店。', '短评打分': 5}
{'短评内容': '酒店比较新，设施卫生不错，位置比较偏，早饭实在不咋滴。\r\n建议换个毛巾，现在用的毛巾脱了边，看上去脏脏的，影响心情。', '短评打分': 5}
{'短评内容': '晚了吃饭不方便，位置偏了点,叫车不方便。', '短评打分': 1}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '好我会再去住的', '短评打分': 5}
{'短评内容': '自己开车去还行,交通不是很方便,酒店比较幽静,不错', '短评打分': 5}
{'短评内容': '海宁香榭丽酒店很不错，我们几个人都认为下次如果去海宁，一定还是住香榭丽酒店。', '短评打分': 5}
{'短评内容': '房内淋浴门有缝隙，花洒喷出的水从缝隙中流出，水漫金山。建议及时查看、检修。总台办住店、结帐手续花费时间太多，需要改进', '短评打分': 5}
{'短评内容': '酒店各方面都还可以，但是有一点给我印象极差:\r\n就是早餐的时候，居然发现很多服务员用自己的餐具把部分早餐给藏起来，估计是当作自己的午餐什么的。实在无法理解，一个酒店的管理居然出现这种情况。第一次住，连住三晚，每天早上都看到这种情况，匪夷所思啊！', '短评打分': 5}
{'短评内容': '性价比不错，住的很惬意', '短评打分': 5}
{'短评内容': '整体来说酒店还是挺不错的，就是餐厅稍微贵一点', '短评打分': 5}
{'短评内容': '总体来说还不错，值得再次入住。', '短评打分': 5}
{'短评内容': '这个酒店确实不错，下次去应该还会住！', '短评打分': 5}
{'短评内容': '三星的价格，四星的享受。', '短评打分': 5}
{'短评内容': '蛮好，价格要是好点的话，那就物美价廉了。可惜酒店不会这么做。', '短评打分': 3}
{'短评内容': '如果价格更适中的话,相信客人会更满意.', '短评打分': 5}
{'短评内容': '性价比非常高的酒店 订的是豪华房 房间虽然不大 但是布局装修以及硬件设施都不错 尤其是卫生间是透明的 很有情调 服务也可以 \r\n 不过酒店一楼餐厅的菜口味很好', '短评打分': 5}
{'短评内容': '感觉还不错，尤其是性价比。', '短评打分': 5}
{'短评内容': 'very good.', '短评打分': 5}
{'短评内容': '酒店比较新 所以硬件感觉很好 下次如果去还是会住.靠近皮革城 购物也比较方便', '短评打分': 5}
{'短评内容': '海宁市区不大，住在这里离皮革城很近，离市区也不远，主要是性价比很高，环境很幽静，酒店应该是开了没几年的，设施还算新。\r\n如果出门要打车，还是叫前台定好比较省时间，自己出门打车需要费些力气', '短评打分': 5}
{'短评内容': '这家酒店还算不错，就是餐厅的用餐环境有待改善。此外还有服务素质也还需要进一步加强培训。', '短评打分': 5}
{'短评内容': '早餐也可以，就是房价高了。200元', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错的酒店,虽然第一天去的时候出了点故障,商务部没有给我们留,最后自动升级至园床房,推荐入住,', '短评打分': 5}
{'短评内容': '是一家比较好的酒店。', '短评打分': 5}
{'短评内容': '不错，服务很好，由于我们多了个小孩，还免费帮我们加了个铺。下次来还会住', '短评打分': 5}
{'短评内容': '酒店就是房间里的舒适度不是很理想,其他方面都还是蛮不错的,尤其服务热情,地理位置也比较方便.', '短评打分': 3}
{'短评内容': '不错，相信我的朋友，去海宁就去香榭丽吧   早餐没的说，绝对叫你满意', '短评打分': 5}
{'短评内容': '性价比很高，非常不错的，下城区我还住这里。', '短评打分': 5}
{'短评内容': '性价比很高，非常不错的', '短评打分': 3}
{'短评内容': '非常不错的酒店，性价比不错，唯一的就是隔音效果不好', '短评打分': 5}
{'短评内容': '很温馨,很安静,非常舒服.', '短评打分': 5}
{'短评内容': '十分干净温馨的酒店,下次还将入住.', '短评打分': 5}
{'短评内容': '去海宁就是买皮衣，宾馆离皮革城不远，很方便，房间很干净，服务也很到位，早餐丰富，值得推荐。', '短评打分': 5}
{'短评内容': '物有所值，只是离市中心远点', '短评打分': 5}
{'短评内容': '该酒店比我预想的好的多，比起别的城市同级别的三星级酒店档次高很多，房间内的设施很全，很人性化，干净舒适，早餐很丰富，晚餐的菜品很精美味道不错，是一家性价比很高的酒店，如果你要去海宁皮革城购物的话，我建议大家住该酒店，因为它距离皮革城做K1公交车两站路，很方便。海宁是个美丽安静的小城市，服务及环境以及乘车比起杭州要好很多。', '短评打分': 5}
{'短评内容': '台前的服务很好,卫生也不错,房间内也很舒适,每天还有新鲜水果免费供应,免费数字电视和宽带都有,房价很公道.隔音效果不好,隔壁-走廊说话都能听得到.早餐花色不多,不过很合我的口味.中餐-晚餐常常是点什么缺什么.位置稍微偏僻了一点,没有公交线路,打的要有耐心.房间内没有保险箱和称体重的秤,如能添加就更完善了.', '短评打分': 5}
{'短评内容': '酒店位置很方便,房间里面环境也很好,感到不太舒服的是,浴室是透明的,其他都不错.', '短评打分': 5}
{'短评内容': '酒店很不错,性价比还是比较高的,里边的设施也很新；交通也很方便；值得推荐的酒店；', '短评打分': 5}
{'短评内容': '4星的设施，3星的价格。非常不错的酒店，干净、舒适。\r\n唯一的缺点就是距离市中心有点偏，晚上的时候打车不太容易。', '短评打分': 5}
{'短评内容': '环境不错，服务也周到，位置也比较好', '短评打分': 5}
{'短评内容': '价格优惠，当时是我和朋友一起住的，都感觉很好，服务周到，设施整洁卫生', '短评打分': 5}
{'短评内容': '我觉得服务，设施，环境都还好', '短评打分': 5}
