{'短评内容': '服务态度棒棒的 大堂副理小蔡很热情', '短评打分': 5}
{'短评内容': '非常好的地方，一定会再来！', '短评打分': 3}
{'短评内容': '住 的 是 豪华 房  感 觉 不 错  房 间 大  视 野 好  床 很 舒服   就 是 靠 海 有 点 潮', '短评打分': 5}
{'短评内容': '酒店不错，干净环境也不错，早餐品种还可以，服务员的素质挺高', '短评打分': 5}
{'短评内容': '酒店软硬件都可以，服务很好，餐厅食物也比较价廉物美。', '短评打分': 5}
{'短评内容': '酒店还不错，就是有些偏，没有想象中的大，估计夏天要好玩些，不过大嶝岛的海鲜确实好吃还不贵', '短评打分': 5}
{'短评内容': '服务好，风景也好，离市区较远，适合自驾游客', '短评打分': 5}
{'短评内容': '很好，下次还来！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '风景很好，就是有点偏僻，这个季节，人也不多', '短评打分': 3}
{'短评内容': '感觉床褥厚软、温暖；但一家四星级酒店竟然没提供刮胡器似乎有点不适，另没有提供泡茶的茶具，这是闽南生活的特色，不应该！\n早餐的甜点太少了，可能是客人不多吧。', '短评打分': 5}
{'短评内容': '说好两点入住，可是两点三十分了房间还没准备好，希望下次能守时。', '短评打分': 5}
{'短评内容': '比较适合度假，蛮安静的，酒店靠海，服务很好，周到热情，房间装修的很温馨，住着很舒服', '短评打分': 5}
{'短评内容': '酒店很新，很干净，海景不是很漂亮，不值得多几十块住海景房，不如住可看游泳池的海湾房。不过早餐9：30就开始收东西，和这种适假酒店不大合适。', '短评打分': 5}
{'短评内容': '酒店属于热带风格的装修，我住的那个房间面海，感觉很不错，大堂很通透，房间很新，硬件设施齐全，床睡着蛮舒服的，服务很好，都会主动和客人打招呼的，不错的酒店', '短评打分': 5}
{'短评内容': '酒店里的设施很棒，靠近海湾，打开窗户一片海景非常漂亮，房间装修的比较豪华，卫生条件也很好，住着还是蛮舒服的', '短评打分': 5}
{'短评内容': '酒店给我印象还是比较不错的，里面的环境还是比较干净，而且早餐提供的也很丰富，酒店的位置倒不是很好找但酒店算是岛上最好的一家了问的话都知道在哪里，价格还是比较适中。', '短评打分': 5}
{'短评内容': '进去大堂的感觉真的不错，周围的环境也非常舒适，完全可以评为五星，就是离厦门市远了点，而且隧道在GPS也暂时没有，走了些弯路，但整体感觉还是物有所值', '短评打分': 5}
{'短评内容': '卫生设施还是比较好比较干净，位置的话还是挺方便出行，价格还是可以接受的。', '短评打分': 5}
{'短评内容': '酒店除了位置较偏，周边尚未怎么开发，自驾车过去住住还是很舒服的，安静，面向大海，还是比较舒适的。床也很舒服，能睡上个好觉，这里是个渡假的好地方，加上现在翔安隧道的开通，到厦门本岛只要十几分钟的时间。', '短评打分': 5}
{'短评内容': '房间里很舒适，设施比较齐全，有电视，有浴缸等等，感觉还不错。', '短评打分': 5}
{'短评内容': '酒店的环境很好，卫生设施都不错，位置也很好找。价格和服务还是比较不错。唯一欠缺的就是早餐种类太少，其他的都很好。', '短评打分': 5}
{'短评内容': '房间布局很好，感觉很舒适，服务也很好，办事效率很快。', '短评打分': 5}
{'短评内容': '位置很好，靠近海边，空气很清新，也很安静，睡眠质量很好。', '短评打分': 5}
{'短评内容': '房间里面很干净,设施也不错,住着还是比较舒适的,就是早餐品种有些少.', '短评打分': 3}
{'短评内容': '很现代、很时尚的酒店，环境优美，温馨、干净、明亮，是个不错的休闲之所！', '短评打分': 5}
