{'短评内容': '服务蛮不错的！', '短评打分': 5}
{'短评内容': '想体验一下主题酒店的话，可以尝试一下。价格不算便宜，房间也比较小，厕所和浴室分开，就显得特别拥挤。\n首先，入住以后发现房间没有完全清理干净，还有上一位房客留在桌上的垃圾。\n接着是不够干净，按理说比较新的酒店应该会给人整洁干净的感觉，但由于没有清理干净，很多地方已经开始显现出陈旧，地毯变色，白瓷砖上一道道黑色的痕迹，床单一摸还有一手的屑，真的很无语。\n最后是早饭，其实早饭种类也不是很丰富，订了800', '短评打分': 1}
{'短评内容': '非常好 帮我们免费升级了 早上帮我们叫车 服务很好', '短评打分': 5}
{'短评内容': '复式房很好，酒店很大很干净，位置很好，服务也很好，唯一不足的是早餐实在太单调，有待改进', '短评打分': 5}
{'短评内容': '   我和我老公是来厦门度蜜月的，酒店二话不说就给我升级了房间，房型很有特色，温馨、浪漫，非常适合我们，城景房老城区的风景也别有一番风味，更惊喜的是还收到了酒店送的玫瑰花，实在很感动。酒店的早餐也很丰盛，我和我老公都吃到撑，68块钱超值。\n酒店离中山路、台湾小吃街、鼓浪屿也很近，出去玩非常方便。这次旅行，酒店给我留下了深刻的印象。\n    ', '短评打分': 5}
{'短评内容': '不错的酒店，离鼓浪屿也很近，出行方便，旁边就是台湾小吃街，离中山路也很近。因为房间已经满了，酒店给免费升级的房间，赞一个，房间大又漂亮，装修风格也很独特，躺在床上有种温馨的感觉。下次来厦门还来这里。', '短评打分': 5}
{'短评内容': '酒店一般般吧，我个人不认为算五星级酒店，反正就是没有想再住的感觉', '短评打分': 1}
{'短评内容': '我住的是复式的，下面是洗手间，上面是一张床。卫生总的来说较干净，睡得也比较舒适。还算满意', '短评打分': 5}
{'短评内容': '性价比不高,环境一般,服务一般,唯一优势是离码头近', '短评打分': 1}
{'短评内容': '不错的酒店。就是硬件不够。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间设备还行，我入住这间房型有点奇怪。不过有个小茶几，坐着可看海，总体还算可以，只是感觉不值这个价。', '短评打分': 5}
{'短评内容': '还不错，免费升级，服务也好。下次还会入住', '短评打分': 3}
{'短评内容': '没图片那样个性，设施简单没档次', '短评打分': 3}
{'短评内容': '不错的酒店，挺有特色，交通也便利。', '短评打分': 3}
{'短评内容': '非常好的一家酒店，很特别，跟以前住的不大一样。房间装修有个性。早餐也特别好吃，种类很丰富，他家的甜品很不错，在那吃过晚餐，很正宗哦。大厨笑嘻嘻的，很和善，是个外国人。\n服务很好，推荐。', '短评打分': 5}
{'短评内容': '这个酒店很好。我住过的最好最有特点的一家。从房间的色调与风格到餐厅都很有感觉。\n在厦门的鼓浪屿附近，无论风景还是风格都很好，酒店三楼有个很大的露台，晚上有菲律宾籍的驻场乐队，晚上在那里坐着很享受。\n\n酒店服务挺好的，青一色的年轻人们。很有活力，很精神。\n\n推荐这家酒店。', '短评打分': 5}
{'短评内容': '很好的酒店。\n\n傍晚从中山路又沿着那个台湾小吃街逛回来，洗了个澡，正打算躺在床上拿望远镜闲看下周边的美景，听到外面叮叮咚咚的音乐声音，纳闷了下，就出门去看，我还以为是外面传来的，原来是酒店三楼酒吧的乐队。\n\n好多人。问了，才知道正好碰上酒店的免费披萨活动，估摸得有三百多人，热闹的很，都在排队等披萨，那些厨师估计要累趴了。\n\n我也去凑了个热闹，请服务员帮我找了个位子，点了几道甜品。听服务员说那个外国', '短评打分': 5}
{'短评内容': '酒店风格很不错，非常有特色，地理位置也很好，', '短评打分': 3}
{'短评内容': '酒店全海洋风格的，大堂、走廊和房间都很有特色，清爽干净舒适，房间的小摆件很随意，不像一般酒店的那种样子，反正让人挺舒服的，跟自己加一样。\n\n早餐不错，在酒店的三楼，早上有点小雨，一边吃东西一边赏景，感觉很小资哦。呵呵。\n服务不错，满分，推荐去厦门的朋友考虑这家酒店，交通方便，住的温馨。', '短评打分': 5}
{'短评内容': '首先，我现在十分后悔入住这家酒店。到店的时候我提前 订的房间没有了，说是给我升级一个套房，入住之后发现，所谓套房就是十几平米的一个楼中楼，空间狭小，睡觉时四周都是墙，像坐牢一样压抑。床前没有电视，落地窗之外是一片低矮的房屋，杂乱无章的建筑没有任何美感，住起来还没有七天、如家舒适。本来订的房间是有早餐的，后来升级了“套房”之后被告知没有早餐券，并且没有提前通知我，到要去吃早餐的时候才知道要吃早餐一个', '短评打分': 1}
{'短评内容': '五一节去的，住了两天，总得来说性价比不高，不是正规的星级酒店。。。酒店外面是公交站，窗户外面的环境一般...', '短评打分': 1}
{'短评内容': '酒店不错，离鼓浪屿轮渡也就50米，离台湾小吃街100米，总之非常的便利。房间很干净，也很有特色。', '短评打分': 5}
{'短评内容': '服务很好\n房间很甜蜜\n如果坐公交车楼下走一点就是大站\n离鼓浪屿近\n离步行街和台湾小吃街近', '短评打分': 5}
{'短评内容': '非常非常好的一家酒店，出乎意料的好，是一家新开的酒店，设置新，配置全，装修很个性，把房间布置得象蜜月房一样，服务也很好。地理位置也好，离中山路很近，楼下就是台湾小吃一条街，特色好吃，也不贵，以后去厦门还会住这儿。', '短评打分': 5}
{'短评内容': '\n这酒店不错，很有个性。我住的房间叫钻石之夜。很淡雅很温馨。\n三楼的餐厅味道很不错。环境也很好，面着海，可以看到鼓浪屿。\n\n酒店位置确实好。虽然是出差，但还是有点像度假，事情办完了抽空一个人去周边逛了逛。\n还坐了下厦门的公交车。蛮有意思的一段旅程。\n推荐这家酒店!\n', '短评打分': 5}
{'短评内容': '这次是帮我父母预订的酒店。\n因为之前我住过，离鼓浪屿特别近，和周边的景点也近，很方便，所以这次就又选了这家。\n\n我上次住的那个房间叫心语。一个人住房子有点大哦，不过看海超级棒。\n这次预订的房子特意也选了个海景房。叫“似水年华”\n我老爸说这还是他第一次住酒店，第一次用望远镜（酒店配的），第一次看到大海，第一次和老妈一起去旅游……呵呵，\n\n老爸老妈对这次酒店的环境都很满意，说服务也挺好，菜也好吃，中山', '短评打分': 5}
{'短评内容': '赶在五一前带儿子来厦门玩，在网上预订的海岸国际酒店。儿子选的是太空舱。\n\n这个房间很不错。双床，对着摆放，中间还有一个小桌子，很方便，可以放随身的小物件。\n最值得提的是这个房间设计成太空舱的形式，墙面都是太空的图案，这让我儿子很兴奋，嚷嚷着来太空了、来太空了、\n\n酒店的早餐口味不错，鸡排很有味道哦。也很方便，离鼓浪屿很近。\n第一次到鼓浪屿看海，酒店整体又恰好是海洋风格的，我和儿子都觉得超赞。\n推荐', '短评打分': 5}
{'短评内容': '这次旅游真的是很感动。\n\n和老公带着女儿去厦门玩，因为想去鼓浪屿看海，在网上预定了这家酒店。\n\n我们行程安排的很丰富，中山路、怪坡、南普陀寺庙都去了。\n\n本来玩的很开心，谁知道吃了晚饭回到酒店，女儿突然发起高烧，人生地不熟的，我和老公急得不知所措。老公抱起女儿就往酒店的一楼大堂跑，正要问前台的服务生，几个人围过来，其中一个三十多岁的男士问我们什么情况，说了缘由后，他说，赶紧跟我走，开车去医院。\n\n', '短评打分': 5}
{'短评内容': '早餐挺好吃的。环境也不错，在露台上可以看到鼓浪屿。捧个咖啡杯装下小资蛮合适呵呵呵。工作人员说再过几天西餐厅就对外营业了，挺期待。\n我住的房间还是很不错的。视野很好，摆设挺奇特，很有特点。\n下次来还会住这里。', '短评打分': 5}
{'短评内容': '酒店位置真的很方便，楼下就是中山路和鼓浪屿，晚上去鼓浪屿玩到很晚才回酒店。\n旁边有个台湾小吃街，还蛮地道。\n酒店早餐不错，新的西餐厅，坐在里面吃感觉挺舒服，全透明的玻璃墙可以顺便欣赏下外面的花花草草。服务生还蛮漂亮的哈哈哈。\n不过酒店的房间是很有个性，很适合追求品位感的人住。推荐去厦门旅游的人选这家。', '短评打分': 5}
{'短评内容': '\n很温馨，浪漫的酒店，交通便利，客房很新且干净。非常适合年轻情侣入住。', '短评打分': 5}
{'短评内容': '酒店很不错，是我这次旅行的亮点。住的房间里台灯啊杂物篮啊等的都很有特点。茶水杯上还有七星瓢虫的图案。挺好玩的。\n早餐很可口，服务也不错。\n重要的是交通真的很方便。建议去鼓浪屿玩的朋友们选这家住。性价比高。', '短评打分': 5}
{'短评内容': '住了太多酒店，还是第一次住过这样美感的，女朋友非常喜欢，酒店提供的免费望眼镜，害得我一晚没睡好，只顾看鼓浪屿美景了，下次带上父母来享受一下。\n', '短评打分': 5}
{'短评内容': '刚住完，真的很不错！整个酒店是海洋风格，地毯都是海浪样子的。跟其他酒店不一样，感觉像自己的卧室一样随性、温馨。下楼出门就是中山路和鼓浪屿，很方便啊。\n早餐不错，很可口。服务生尤其好，很热情，还送了我一副酒店风格系列的扑克牌，蛮有意思，看完了只是可惜这次没住上那个牡丹之恋，可惜了。下次和老公一起来厦门，还选这家。', '短评打分': 5}
{'短评内容': '酒店地理位置很好，去鼓浪屿、中山路、台湾小吃一条街都很近。原来订的是高级房因超预定，前台服务安排一间爱巢的主题房，尽管看不到海景，但是房间装修风格非常喜欢，且很安静，在酒店3楼的全海景的多功能厅用早餐心情特好，胃口也好。非常丰盛。值得推荐，很好的一家精品酒店。听说4月底图斯卡纳西餐厅即将开业，有墨西哥、地中海、西班牙、意大利四国菜系，有机会会再去。', '短评打分': 5}
{'短评内容': '房间陈设的设计实在农村，颜色搭配混乱，杯子还搞卡通的，台灯是米老鼠的，酒店老板的眼光很另类。除了距离轮渡近些，无优点可言。', '短评打分': 1}
{'短评内容': '\r\n消费者永远是弱势群体啊，被这个酒店耍得团团转。', '短评打分': 3}
{'短评内容': '酒店与实际不符，没有享受到五星级的待遇。', '短评打分': 3}
{'短评内容': '不错...房型很喜欢 早餐也很棒 就是不太好找', '短评打分': 5}
{'短评内容': '地方太小不像五星宾馆，地理位置不错', '短评打分': 3}
{'短评内容': '朋友评价太花里胡哨了，适合年轻情侣，不适合糟糠夫妻', '短评打分': 1}
{'短评内容': '客房很温馨浪漫，服务很好，早餐丰盛，环境很好，性价比高，下次还住', '短评打分': 3}
{'短评内容': '早餐比较丰富，其他的一般，海景房的话出门记得放窗帘，否则回来可以蒸桑拿了', '短评打分': 5}
{'短评内容': '定了598的房间,但这个酒店感觉就像如家之类的快捷酒店一样, 性价比很低.', '短评打分': 1}
{'短评内容': '酒店房间很小,感觉像快捷酒店.早餐也非常一般, 对于598的价格而言很不划算.除了位置很好外,几乎没有任何其他优点.', '短评打分': 1}
{'短评内容': '服务还行，价格太贵，性价比不高。价格打再打六折差不多！', '短评打分': 1}
{'短评内容': '酒店海洋风格，适合小青年入住。\n温馨浪漫，交通便捷，但想住更舒适一点建议不要选这一家', '短评打分': 5}
{'短评内容': '很好，按照4星的标准装修的，细节很好，台灯，杯子，马桶是电动的！赶紧整洁，相比鼓浪屿上的酒店，实在好很多，交通方便，就在渡轮对面，下次来厦门都住这里了，岛上的酒店太坑了，又贵又脏', '短评打分': 5}
{'短评内容': '地段好，价格合理，软硬件均不错，值得推介！', '短评打分': 5}
{'短评内容': '海景房房间巨小！！！无语的小！坑爹啊、还没有评星级，被国际两个字忽悠了。', '短评打分': 3}
{'短评内容': '海岸酒店非常好，环境/服务都好，下次还会住', '短评打分': 5}
{'短评内容': '房间整体不错的，打扫的阿姨很热情，水池下水不顺畅维修的师傅修理很及时。只是淋浴那里很容易从缝缝里把水流出来，需要改进哟！早餐比较合口，在餐厅吃过一次晚饭，个别菜肴可能是南方的做法，有些不大适应，性价比不高。', '短评打分': 5}
{'短评内容': '房间的设计有点像汽车旅馆。。。。我住的是豪华城景房，浴室的门也坏了。。说实话，房间很小。。春节期间的价格有点高。。接近1千了。。早餐的品质有待提高。。不敢恭维。。希望下次去的时候。。能看到明显改变。。', '短评打分': 5}
{'短评内容': '房间感觉挺好的，不过地毯不是不特别好· 海景房还不错 能看见轮渡\n但是不是特别好找', '短评打分': 5}
{'短评内容': '行政楼位于28，31楼，和低层房型完全一样，就是楼层高了点，却贵200元，不值得！', '短评打分': 3}
{'短评内容': '酒店位于写字楼的部分楼层，如果想享受良好的酒店客房服务，这里不是合适的地方，酒店房间也不大，但是比较新和干净！', '短评打分': 3}
{'短评内容': '酒店的位置是相当的好，不过相对服务以及酒店内设施春节期间的价格绝对的是超高的，如果除去位置优势，就算是平时的价格，也是性价比较低的。', '短评打分': 5}
{'短评内容': '地段超级好，房间也很漂亮！住三晚免一晚很划算的！', '短评打分': 5}
{'短评内容': '在25日-27日入住该店，总体感觉还可以，虽然门面在写字楼的背面，但终究是在轮渡和中山路的黄金地段，逛累了撤回休息也方便；周围环境是老城区，虽有他乱的一面，但也是怀旧的特色；我们住的是复式房，窗外是鹭江道，风景当然很好；酒店装修有特色，服务也不差，我们到前2次来电提醒确认；就是总台人员的着装似乎不统一，是否由于大堂太冷了？总之，这次给我们留下了较好的印象。此外，楼下新开了85°C面包房，也给我们提', '短评打分': 5}
{'短评内容': '酒店设计挺好！', '短评打分': 3}
{'短评内容': '离轮渡码头很近，去鼓浪屿很方便。房间感觉挺温馨的。就是门面不是很明显，不太好找', '短评打分': 5}
{'短评内容': ' 环境不错 九十海景房面积有点小', '短评打分': 3}
{'短评内容': '这酒店除了地点，无处能说好。。。。停车要拿到房间才能停车，花了不小时间。。。房间在功能上设计太差。。。', '短评打分': 1}
{'短评内容': '本人不是托！！！\n1、在酒店入住6天7夜，总体感觉是相当不错的。前台、房间、还有3楼酒店的服务员服务态度不错，做事情认真耐心。\n2、住的是精致海景房，房间很有特色，液晶电视、中央空调，毕竟酒店是新开的，设施都很新；安装有机顶盒，可以收看一些最新的电影、电视剧等。\n3、自助早餐，水果、凉菜、热菜、粥类、面类，还有一些煎炸的食品，种类还算丰富。在酒店也吃过两个晚餐，要了鱼香肉丝、大刀回锅肉，对于北方人', '短评打分': 5}
{'短评内容': '海岸国际不错，位置好就在轮渡对面，交通方便，到中山路，到厦门大学、胡里山炮台太方便了，隔壁有个台湾美食一条街，太棒了，住了三天，我们去了n次，味道好、人气旺。\n海岸国际刚开业不久，很新是海洋主题酒店，和别的五星不一样，工作人员打招呼很真诚，表扬一下13-15日清理卫生的小姑娘，很细心，工作认真。三楼的阳光平台，是晒友们的好去处，可以看美女美景，可以晒背聊天。自助餐也不错。\n不足之处是酒店房间偏小，', '短评打分': 5}
{'短评内容': '总体不错的酒店，大概是新开不久的原因，机场专线的工作人员也不是太清楚，问了几个司机才知道具体位置，酒店的工作人员都是男生不过服务不错，在住店期间女儿感冒生病，酒店的餐厅还特地为我们煮了姜汤，早餐的内容不是太丰富但味道还行，酒店旁边有条台湾美食街，几天的中晚饭都在那里解决，味道没得话说！要说酒店唯一不足的是卫生间是玻璃的重要部位是磨砂的，最好加个帘子什么的，带着女儿来旅游，老公尴尬：洗澡成问题了，得', '短评打分': 5}
{'短评内容': '设施不错，服务也很好，地理位置绝好，值得推荐', '短评打分': 5}
{'短评内容': '环境不错哦,房间挺漂亮的,服务态度也很好.下次来可以继续考虑这里.', '短评打分': 3}
{'短评内容': '地点好，房间里一般，床架凸出太厉害，碰到脚好痛。。。。', '短评打分': 1}
{'短评内容': '酒店位置非常好，就在鼓浪屿渡轮对面，出门就是公交车站。', '短评打分': 5}
{'短评内容': '服务态度非常好，酒店非常舒服，早餐很好才吃', '短评打分': 5}
{'短评内容': '酒店位置很好，就在轮渡对面，这也是唯一的优点了吧。就是没有什么名气，出租车司机都找不到。\n房间设施一般，我住的是普通房，所以照片上的漂亮图片在我看来是浮云，因为根本不是那么温馨的样子，早饭很差劲，我宁愿多付点钱，吃好一点的。没什么选择，我就是吃点白粥，吃点西瓜。牛奶是炼乳冲的，淡的不得了。\n卫生间不新，抽水马桶里面有个黑色吸盘，第一次看到，有点害怕。不过热水很好，水量也大的，这点不错。', '短评打分': 5}
{'短评内容': '这家酒店非常满意，给人的感觉干净温馨，本来打算住3晚，第四天打算去鼓浪屿住一晚，后来还是决定在海岸国际酒店多住一晚，因为酒店位置十分好，交通便利，去鼓浪屿十分方便。酒店早餐也不错，服务人员态度都很好，很热情。酒店的早餐厅有室外露台，可以看到鼓浪屿的景色和很美的海景，还有摇椅，建议管理层好好开发，其实景色一点不比鹭江宾馆的晚茶餐厅差。从鼓浪屿回厦门岛上的船上望去，厦门海岸国际酒店和温德姆酒店也不相上', '短评打分': 5}
{'短评内容': '还不错,就在轮渡对面，但我们一开始找不到。', '短评打分': 3}
{'短评内容': '酒店位置太好了，正对着鼓浪屿，房间非常温馨，尤其适合情侣度假，早餐精细可口，房价低。', '短评打分': 5}
{'短评内容': '好像是新开的酒店，出租车都不知道具体位置，其实就在轮渡码头对面', '短评打分': 5}
{'短评内容': '这个酒店太好了，装修风格非常喜欢，里面非常干净，设施比较人性化，交通也很方便，过了马路就是鼓浪屿码头。下次去厦门一定还住。太值了。', '短评打分': 5}
{'短评内容': '整体来说还可以，不过房间确实小了，隔音效果也不好，服务态度一般，18号早上起来要出去吃早餐，不知道餐厅具体位置在哪里想问下服务员，问了四次都不回应，还直接坐电梯下去，实在是气愤。', '短评打分': 5}
{'短评内容': '酒店硬件只能说是快捷酒店的水平，可是价格要的太高了，除了地点还算满意，其他的有种上当的感觉', '短评打分': 1}
{'短评内容': '环境很好，就是早餐种类少了点………………', '短评打分': 5}
{'短评内容': '位置好，但在主路的背面，指引标识不够明晰。高级间虽小但性价比高，值得入住。缺点一是窗帘设计不合理，透光；二是配备物品摆放杂乱。', '短评打分': 3}
{'短评内容': '酒店服务员态度都很好，订的豪华海景标准间，很小。不值这个价格。房间配有望远镜，可惜不会用。', '短评打分': 5}
{'短评内容': '新酒店，房间设计很美，每个房间设计不一样。空间虽小，但很干净。\n服务顶好。用餐的环境和饮食味道还不错。地点离鼓浪屿很近。\n本来只想住一个晚上，后来住了两个晚上。', '短评打分': 5}
{'短评内容': '房间很小，但是很温馨，餐饮条件较差，早餐太简单，中餐菜色少，应当加强。', '短评打分': 5}
{'短评内容': ' 服务相当不错，酒店环境一般，早餐三星酒店标准。', '短评打分': 3}
{'短评内容': '酒店格局比较奇怪、房间装潢不敢恭维、反正不喜欢的风格 虽然是新酒店，不会再入住', '短评打分': 1}
{'短评内容': ' 环境不错，就是房间地板有点滑，让我老婆狠狠摔了一跤', '短评打分': 3}
{'短评内容': '对于第一次去厦门的,我建议住这酒店,出行非常方便,在鹭江路上,酒店边上就是公交车站,走50米就是长途汽车站和航空巴士,走100米左右就是中山路步行街,酒店对面就是鼓浪屿,住酒店海景房可以看见.感觉性价比还是很高的.', '短评打分': 5}
{'短评内容': '本酒店绝对达不到五星豪华标准，是如家快捷的水平', '短评打分': 3}
{'短评内容': '酒店设计比较温馨让人很放松，尤其是卫生做的很好，酒店防盗设备也很好，除了服务比较慢，隔音稍微有的差，其他的都可以。', '短评打分': 5}
{'短评内容': '房间设施不错，服务也到位', '短评打分': 3}
{'短评内容': '酒店新开业不久，位置超好，房间、卫生间都很干净，去各景点都很方便，但房间面积太小，显的很拥挤，明显不符合5星级的标准，早餐一般。', '短评打分': 5}
{'短评内容': '所有离海边又是离中山路近的酒店中价格是最低的。屋内装修是海洋风的，订的双标但是房间不算大只有二十几坪。其它还好。是帮朋友定的。', '短评打分': 5}
{'短评内容': '非常差的酒店，房间比7天还小，在写字楼里，没有专用电梯!还要550元!郁闷啊!', '短评打分': 3}
