{'短评内容': '酒店还挺好的\n价格很好\n西安的第一站\n很棒', '短评打分': 5}
{'短评内容': '地理非常便利，火车站和汽车站都在附近，交通相当便利。\n卫生也非常干净。', '短评打分': 5}
{'短评内容': '房子很大，配套的东西很齐全，离火车站很近，出站一眼就能看见。物超所值，孩子也很喜欢。卫生间很大，有浴房还有浴盆，超喜欢！', '短评打分': 3}
{'短评内容': '酒店环境不错，交通方便，虽然房间大小紧张些。整体不错', '短评打分': 3}
{'短评内容': '坐火车很方便，卫生很好，服务也好。\n\n床很好，只是太软了，酒店准备了木板，随时供有需求的客人用，想得较为周到。\n若是有几张硬一些的床就更好了。', '短评打分': 5}
{'短评内容': ' 很满意，房间布置装饰很好', '短评打分': 3}
{'短评内容': '还行 就是周边人员比较杂 临近火车站 也是没有办法的', '短评打分': 5}
{'短评内容': '酒店离火车站很近，对坐火车的人来说很方便，酒店很干净，设施很好，服务很好，', '短评打分': 5}
{'短评内容': '位置非常非常好！服务也很好！早餐是在西安内酒店中最好的！下次一定会入住！！', '短评打分': 5}
{'短评内容': '服务态度好,环境好,下次还住在这里,性价比不错,', '短评打分': 5}
{'短评内容': '还不错，房间性价比很好，早餐也不错，去火车站很方便', '短评打分': 5}
{'短评内容': '虽然价格较高，周围环境比较复杂，但离火车站非常近，交通方便；周边商场较多，购物方便。', '短评打分': 1}
{'短评内容': '位置好，服务不好，房间暖气、水压不好，收费高。', '短评打分': 1}
{'短评内容': '＋环境、房间都很好；希望有早餐配。', '短评打分': 3}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': ' 阳光国际酒店达不到五星级的服务标准', '短评打分': 3}
{'短评内容': '交通方便时最重要的，但是价格有些贵，房间还比较小', '短评打分': 5}
{'短评内容': '还可以，价格比较便宜，设施房间的一般，服务也带的过。不过这个价格能在旅游城市住着准四星的宾馆值了。', '短评打分': 5}
{'短评内容': '交通很方便，酒店业很整洁，房间比较大。好。', '短评打分': 5}
{'短评内容': ' 该酒店外部看是不错，但是内部设施很不好，根本不够这四星标准。', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '服务还好，设施一般，一进门就有一股烟味，明显除烟处理不彻底，居然没有准备拖鞋，浴袍；跟服务员问有没有大床，说没有，然后也没有其他的推荐，如果能多建议些选择就更好。\n总体来看，尚可。', '短评打分': 5}
{'短评内容': '不错,环境卫生\\整洁,交通便利,服务周到.\n不错,环境卫生\\整洁,交通便利,服务周到.', '短评打分': 5}
{'短评内容': '房间干净，各项服务比较好，毕竟是西安这种旅游城市，总体感觉好', '短评打分': 5}
{'短评内容': '地处西安火车站附近，交通极为便利，房间管理不错，房价不高，值得推荐', '短评打分': 5}
{'短评内容': '十环境服务很好', '短评打分': 3}
{'短评内容': '酒店不错，性价比较高.？', '短评打分': 3}
{'短评内容': '酒店环境很好，工作人员的服务非常好！因为入住第一天隔壁的客人非常吵，晚上没休息好，和前台反映以后马上就给换了一个安静的房间。', '短评打分': 5}
{'短评内容': '还不错！！就是房间没安排好！！！屋子里的环境还好，住着不错！性价比一般吧！酒店周围就是火车站，很乱', '短评打分': 3}
{'短评内容': '我很少会不客观的评价一家酒店。酒店的人员也会看见客人的留言，住套房听隔壁的打呼噜声音。我以外是那家伙呼噜响，街上任何一个车响都能听到。我极力的鼓励自己说，我是来感受90年代五星的，冰箱一响我又怒了。迷你小酒吧真迷你，几乎是空的，29存非平板电视，澡堂都不用了洗浴设备。卧房这么大，只有椅子，还是不带靠背的。强烈要求国家旅游局摘了五星的牌子。', '短评打分': 1}
{'短评内容': '还不错  不过睡的这间房间晚上听得到火车的声音。', '短评打分': 5}
{'短评内容': '办手续十分麻烦，给我们折腾了1各半小时！！\r\n住着还凑合', '短评打分': 3}
{'短评内容': '离火车站很近，出行、旅游非常方便，不错的一家酒店', '短评打分': 5}
{'短评内容': '挺好的，距离火车站最近的酒店了，整体不错，', '短评打分': 5}
{'短评内容': '很好很干净的酒店！非常不错。', '短评打分': 5}
{'短评内容': '酒店整体感觉和服务在附近酒店比起来好多了！', '短评打分': 5}
{'短评内容': '火车晚点,临时入住!后发现地理位置不错,因为到西安郊区游玩,都要赶到火车站乘坐旅游专车,所以这点非常方便!服务和卫生都不错!\r\n有缺点就是卫生间洗澡不太好,还是80年代固定的淋浴龙头!', '短评打分': 5}
{'短评内容': 'no good', '短评打分': 1}
{'短评内容': '交通方便，离火车站不行5分钟就到了\r\n可以代买车票，硬件设施最多就准4星标准\r\n大堂不错，楼层走廊太普通了3星标准都不到', '短评打分': 5}
{'短评内容': '阳光国际酒店大堂装修后非常豪华，房间很大，床也很舒服，只是浴巾较旧，建议更新。', '短评打分': 5}
{'短评内容': '地理位置非常好，酒店大堂完全符合四星级标准，房间内部装修也很先进，没有前面的点评上说的那么差，淋浴房非常大，总之338元的价格非常实惠。在西安游玩基本上各景点都有从火车站出发的车，因此提醒来西安玩的朋友，住宾馆选择在火车站附近要比选择在鼓楼钟楼附近实在得多。', '短评打分': 5}
{'短评内容': '酒店位置很好，缺点是，餐厅做餐速度很慢，据说是在装修', '短评打分': 5}
{'短评内容': '除了大堂装修的像四星半的样子，其他房间设施完全达不到标准，竟然连浴缸都没有，338元在西安其他地方可以住得很好了，这次完全没想到！', '短评打分': 1}
{'短评内容': '以前住过多次，重新开业后感觉服务水平改进明显，服务员态度很好，工作效率高。', '短评打分': 5}
{'短评内容': '很好的酒店，又便宜', '短评打分': 5}
{'短评内容': '太吵 隱私權不夠  座落地點太亂', '短评打分': 1}
{'短评内容': '卫生条件不错，但地毯感觉不太新，地理位还行，离火车站，汽车站，机场大巴停靠站都很近，适合旅行者下榻。但如果是度假或情侣就不要去了，因为靠近火车站，过往的人非常多，出了酒店给人乱糟糟的感觉，而且火车站旁边的饭菜一般都不好。还有就是酒店的设施比较旧，感觉达不到四星级。', '短评打分': 5}
{'短评内容': '酒店各方面都还是挺不错的,但是装修比较陈旧了,感觉达不到四星,不过地理位置相当好,离火车站很近,而且离各大景点都很近.', '短评打分': 5}
{'短评内容': '这家就店的性价比还是蛮不错的，值得推荐', '短评打分': 5}
{'短评内容': '隔音效果不好', '短评打分': 5}
{'短评内容': '干净舒适,价格也很合理；交同也很方便；酒店总体感觉还是不错的；值得推荐一下', '短评打分': 5}
{'短评内容': '性价比非常好的酒店！', '短评打分': 5}
{'短评内容': '酒店的价格很合适，酒店在火车站附近，对乘座火车的人讲方便，不过火车站附近感觉有点乱，酒店的整体性价比还是挺高的', '短评打分': 5}
{'短评内容': '总的来说是一家物超所值的酒店,早餐非常丰盛,房间很大,屋顶很高.但是也有不少缺点,比如说我住的房间离电梯间很远,每次出门都要走好长一截路;健身中心在我住的一周里根本就没开过;晚上十点总有按摩服务的电话骚扰等.', '短评打分': 5}
{'短评内容': '酒店的服务好像有所提升，房间比较大，家具也比较别致，早餐的品种算不上丰富，但也适当。', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;真是不错的酒店。我住的是豪华客房设施很不错而且还有一个小型的休息空间象在家一样很人性化我非常的满意干净是最重要的洗手间也很舒适符合4星的标准。注意各位到西安的游客千万不要相信机场大巴的乘务员说的话他们除了骗人之外不会别的了非常的可恶而且还败坏这家酒店的名声非常给西安人丢脸。这是我对西安的人很失望而且还是机场的人员。还好我住在这里让我心理有点平衡了。&amp;lt;', '短评打分': 5}
{'短评内容': '不错啦，算是物有所值，下次回西安还住这家', '短评打分': 3}
{'短评内容': '紧靠西安火车站，地理位置优越，交通方便,火车站前面就有可搭乘往返各观光景点的车买来回只要8元 列如去兵马俑.华清池.再者去所谓的小吃ㄧ条街做计程车也只要7元上下 起步6元,酒店的客房很干净 就向现在我住在626里面房间有个小客厅似的可以在逛街后很悠闲的坐在沙发上喝咖啡 ,建议如果是自助旅行的可以住好一点4星级的酒店可以让你逛街之后有很好的休息空间.', '短评打分': 5}
{'短评内容': '很不错的酒店，由于新的所以装修的味道有些大，总体还不错368含双早餐还是很值得。', '短评打分': 3}
