{'短评内容': '印象好，服务好，卫生好，俗称三好服务！', '短评打分': 5}
{'短评内容': '楼下KTV有点小吵，服务态度不错，卫生干净', '短评打分': 5}
{'短评内容': '到富士康出差不错的选择，酒店背公路的房间还是蛮安静的', '短评打分': 5}
{'短评内容': '酒店软硬设施不错，不过靠公路一侧有点吵，服务员态度蛮好', '短评打分': 5}
{'短评内容': '真的很不错。在那么偏僻的地方有这么好的干净的不容易哦，呵呵。。真实感受勿拍砖', '短评打分': 5}
{'短评内容': '酒店硬件设施不错，性价比高，距离观澜富士康步行只要10分钟，到富士康出差是一个很不错的选择', '短评打分': 5}
{'短评内容': '酒店硬件设施很不错，性价比高，服务也不错。', '短评打分': 5}
{'短评内容': '位置太偏，内部设施装修还可以，周围修路全是尘土，早餐样式很少，去foxconn出差倒是不错的选择，周边环境很差，服务一般', '短评打分': 1}
{'短评内容': '酒店早餐一般般，酒店设施等其他的还好！值得推荐!', '短评打分': 3}
{'短评内容': '酒店不错，性价比高，值得推荐！很喜欢这里的电脑桌，很气派嘛！', '短评打分': 5}
{'短评内容': '：房间不错，干净宽广，只是周围没有啥', '短评打分': 5}
{'短评内容': '酒店环境还可以但是大堂挺小的，卫生设施都还不错酒店也是蛮新，服务态度很不错，价格也很可以。就是位置有点偏僻。', '短评打分': 5}
{'短评内容': '地理位置太偏了，出租車司機都不知道，問了好多人才找到。', '短评打分': 1}
{'短评内容': '酒店装修布置豪华，环境配置都比较不错。位置方便性价比很高。', '短评打分': 5}
{'短评内容': '酒店条件还可以.主主是就近选择酒店.不过住起也还算舒适.比较符合我的要求.', '短评打分': 5}
{'短评内容': '就近选择的位置，硬件设施和卫生条件一般.整体水平还可以，总得来说还是值得推荐的.', '短评打分': 5}
{'短评内容': '酒店的配套设施挺齐全的，还有车可以送客人去市区，环境豪华舒服，自己很满意。', '短评打分': 5}
{'短评内容': '客房里的设施齐全，看着也很新，使用的效果也很好，感觉很不错。', '短评打分': 5}
{'短评内容': '吃饭不是太好，主要就是因为也是南方和北方差别，北方的人去南方确实吃的不是太习惯所以有时侯我们自己就会带点东西过去，酒店里面其实是有餐厅但是确实是吃不管，周围也没有什么吃饭的地方不过位置还不错，服务态度也还行，价格还是比较容易接受和酒店本身比的话感觉还可以，总体感觉还不错的。', '短评打分': 1}
{'短评内容': '酒店的整体环境很新，很舒适，免费的早餐也很可口。', '短评打分': 5}
{'短评内容': '酒店装修的很气派，房间宽敞明亮，整洁安静，住着挺舒服的。', '短评打分': 5}
{'短评内容': '酒店离市区远，但是离富士康工业园很近，方便办事。', '短评打分': 5}
{'短评内容': 'http://www.51djd.com/937.html\r\nhttp://www.sz9d.com/937.html', '短评打分': 5}
