{'短评内容': '水温太低，晚了之后更低，要改善，网络慢的要死，经常断网', '短评打分': 1}
{'短评内容': '交通方便，环境对得起价格，就是吃饭的地方少。全是面', '短评打分': 5}
{'短评内容': '酒店设施陈旧,空调噪音很大，蚊子也多，前台服务差', '短评打分': 1}
{'短评内容': '还是不错的。价格便宜，环境对的起价格，交通还是挺方便的。看你到什么地方去。', '短评打分': 5}
{'短评内容': '硬件一般，性价比还可以吧。反正是应该在装修了\n。。。', '短评打分': 5}
{'短评内容': '总体还是可以的。2楼的房间不是很好。其它还可以。交通也不错。', '短评打分': 5}
{'短评内容': '特别破旧，卫生环境也差！卫生间连一个遮挡的也没有，一边上厕所一边现场直播！', '短评打分': 1}
{'短评内容': '酒店位置一般，设施一般，前台服务人员的态度很差', '短评打分': 1}
{'短评内容': '   最差的一次住宿，最大的问题是空调声音太大，嗡嗡的一直在响，找服务员，也解决不了，只好中途离开，根本无法入睡！', '短评打分': 1}
{'短评内容': '还可以吧，就是房间隔音效果实在是太差了。', '短评打分': 5}
{'短评内容': '主体还不错。交通方便，不过看你到什么地方。', '短评打分': 5}
{'短评内容': '总的来说还可以不足的是空调不够暖', '短评打分': 3}
{'短评内容': '还是不错的。交通方便。环境还是可以的。对得起价格', '短评打分': 5}
{'短评内容': '酒店有点旧了，空调也不好', '短评打分': 3}
{'短评内容': '这酒店就是垃圾，服务态度太差。\r\n发誓不会再入住。', '短评打分': 3}
{'短评内容': '环境还可以，不错', '短评打分': 3}
{'短评内容': '交通不方便，可能太原交通本来就不是很好，酒店条件不是很好，但对得起这个价格嘛。', '短评打分': 1}
{'短评内容': '服务挺好的，房间也很不错，离宾馆不远的地方就有一家大超市，交通也便利', '短评打分': 5}
{'短评内容': '酒店很一般', '短评打分': 3}
{'短评内容': '卫生还不错，服务也很好，就是有点吵。', '短评打分': 3}
{'短评内容': '如果住二楼的房间还可以，今天开了五楼就不太好，不好这个价钱还行吧！', '短评打分': 5}
{'短评内容': '不干净，有异味，前台服务不好~~~~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '环境不错，挺干净的，屋子里的茶具很漂亮，忘了照了。不过周末还得去，接着定这家，回头补上。呵呵。', '短评打分': 5}
{'短评内容': '，前台服务太差，特别是3005号，还有网络太差', '短评打分': 3}
{'短评内容': '设施相对陈旧，环境太吵，服务一般。但因为房间紧张，把我住的标准提高了，l这点比较不错。', '短评打分': 3}
{'短评内容': '其他都还好，就是房间内有一阵嗡嗡声，对此比较介意的人需要注意。周围吃东西比较方便，公交车略少，网速一般，周围没有网吧。', '短评打分': 5}
{'短评内容': '房间空间挺大，值得推荐！', '短评打分': 3}
{'短评内容': '夏天住还好。冬天太冷了，中央空调一点不给力，房间大的一点温度都没有，设施比较旧，水还可以', '短评打分': 5}
{'短评内容': '，垃圾酒店', '短评打分': 3}
{'短评内容': '酒店条件设施一般！服务质量也一般！没有什么突出的地方。', '短评打分': 1}
{'短评内容': '房间设施有点陈旧，不过卫生条件还可以，特别是卫生间热水很足，总的来说不错，以后还会来住的。', '短评打分': 3}
{'短评内容': '什么都好，设施齐全，卫生干净，位置在比较中心地带，就是一点很不爽，网晚上还好，白天就上不去，网速太慢，让我很多东西不能做，还要去网吧', '短评打分': 3}
{'短评内容': '性价比还行，就是隔音不好。', '短评打分': 3}
{'短评内容': '这几天忙所以现在才评论，这个酒店已近是入住好几次了。性价比还是可以的，推荐大家入住。', '短评打分': 5}
{'短评内容': '感觉还不错 虽然是特价的但是地方感觉很大 就是设施不是那么新了 服务态度还是不错的~', '短评打分': 5}
{'短评内容': '总体还可以，还算安静，设施略陈旧！我选的特价大床房，床很大，空调效果差点', '短评打分': 5}
{'短评内容': ' 房间有点久，中央空调不是很暖和，其他还好', '短评打分': 3}
{'短评内容': '环境不错，价位合理，以后有机会还会入住', '短评打分': 3}
{'短评内容': '离我去的地方比较近，还可以吧，就是楼阁拐来拐去的，容易弄不清方向', '短评打分': 5}
{'短评内容': '位址有点偏', '短评打分': 3}
{'短评内容': '挺一般的…环境还好就是电视是黑白的…有点脏灯罩都是沾上的…', '短评打分': 5}
{'短评内容': '整体上还不错 就是暖气不太好 但是有空调 弥补了很多 周边饭店不多 吃饭的地方比较远 其他都很KO啊！', '短评打分': 5}
{'短评内容': '           理想跟现实             果然有差距', '短评打分': 1}
{'短评内容': '性价比不是很高 比较不推荐  服务态度一般', '短评打分': 1}
{'短评内容': '还可以，就是卫生间看上去有些旧，服务态度也不错，房间没有配备吹风机，跟前台打电话立马送来的，服务不错', '短评打分': 3}
{'短评内容': '还不错，环境可以，挺干净的，物有所值！下次还会入住！', '短评打分': 5}
{'短评内容': '干净', '短评打分': 3}
{'短评内容': '总是来说还不错，我是来第二次了，但也有点小缺点，就是服务一般，就像北方的天气一样，有点冷！但也不是说他们一家，全山西的酒店都一样！不过还是值得推荐的！', '短评打分': 5}
{'短评内容': '酒店总体来说还不错，值得推荐！', '短评打分': 3}
{'短评内容': '相对附近酒店价格相对好点，宾馆空调比较冷。总体还可以吧', '短评打分': 5}
{'短评内容': '家里很暖和，不错，第二次来了', '短评打分': 3}
{'短评内容': '酒店干净舒适.', '短评打分': 3}
{'短评内容': '房间还行，就是没有一次性拖鞋，还有不给早餐，', '短评打分': 5}
{'短评内容': '倒是真如网上说的有房间，环境不错，就是好象消费券没什么用，还是按预定时价钱148.服务员说那跟他们酒店没关系…不知道怎么回事。', '短评打分': 3}
{'短评内容': '整体感觉还行,就是房屋有蚂蚁,很不舒服.', '短评打分': 3}
{'短评内容': '酒店位置还不错！屋里有沙发，有茶几还有一套茶具。能个上网，喝个茶。就是隔音稍差些，门的缝隙挺大，服务态度一般。还不错，住了两天！', '短评打分': 5}
{'短评内容': '服务中等 住房挺好', '短评打分': 3}
{'短评内容': '环境不错！服务也还可以！', '短评打分': 3}
{'短评内容': '己经不是第一次在这里订房间了.总体感觉还是不错的.给个好评吧', '短评打分': 3}
{'短评内容': '服务员态度很好，我住那天有点吓人，大半夜走廊不知道是猫叫还是小孩哭，·····', '短评打分': 5}
{'短评内容': '不错的 挺好 服务也行 地理环境也好 不错的 挺好 服务也行 地理环境也好', '短评打分': 5}
{'短评内容': '还不错，有早餐就更好了..........', '短评打分': 5}
{'短评内容': '除了前台稍有不尽人意。房间内特别棒。值得一提的是床很干净，都不想上去睡了。', '短评打分': 3}
{'短评内容': '还行吧 \n\n香皂很好 呵呵 还算干净吧啊啊啊啊 ', '短评打分': 5}
{'短评内容': '一般，有点旧，不推荐', '短评打分': 3}
{'短评内容': '房间很大，不错', '短评打分': 3}
{'短评内容': '上次来太原是住在另一家维客，那次那边在修路，这次住的，还是比较满意的，服务员服务周到。环境也不错。', '短评打分': 5}
{'短评内容': '酒店空间不错，卫生可以，用的是中央空调，有时不是很方便。', '短评打分': 3}
{'短评内容': '环境一般，设施较旧，价格还算公道！', '短评打分': 3}
{'短评内容': '设置陈旧服务态度一般,不会再住。', '短评打分': 3}
{'短评内容': '干净利落', '短评打分': 3}
{'短评内容': '感觉还可以，呵呵……以后还会来', '短评打分': 3}
{'短评内容': '挺满意,洗浴方便,干净', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '太偏了，不好找。房间和房内设施很旧，床上用具一般，中央空调不管用。\n典型的性价比低！！！', '短评打分': 1}
{'短评内容': '干净，价格实惠', '短评打分': 3}
{'短评内容': '还行吧，算是能住的酒店，酒店老板很给力，呵呵，谢谢啊', '短评打分': 5}
{'短评内容': '服务态度不好，就像国营宾馆那样，问一句答一句，服务意识不高。\n家具比较旧，灯光昏暗，马桶水都冲不下去。\n网速还行。\n', '短评打分': 1}
{'短评内容': '房间与如家类似,但整洁度稍差,亮点是网速很快', '短评打分': 3}
{'短评内容': '很号 很号 很号 很号很号 很号很号 很号很号 很号很号 很号很号 很号很号 很号很号 很号很号 很号很号 很号很号 很号很号 很号很号 很号', '短评打分': 5}
{'短评内容': '很一般一般一般啦！不如速888888888888888888888888888888酒店！差好多啊！', '短评打分': 1}
{'短评内容': '总体来说性价比很高，刚住进来登记的时候有个大爷的脾气不太好，打扰卫生的阿姨倒是很好，其他的条件和网上差不多。', '短评打分': 3}
{'短评内容': '有点脏啊！灯光有点暗！价格也有点贵啊！总之还是贵！', '短评打分': 1}
{'短评内容': '房间很一般，地点也有点偏僻，价格偏贵，有些不值！', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还好 环境各方面都还不错 地理位置也还可以', '短评打分': 5}
{'短评内容': '服务不错！', '短评打分': 3}
{'短评内容': '第一次住这个酒店，这个酒店的各种设施都该更新了，服务员的服务态度还可以。价格还是可以接受的，一分钱一分货，性价比还可以。', '短评打分': 5}
{'短评内容': '刚进去的时候屋里有异味，后来发现屋里有蟑螂，说是有无线网，可是没搜到。酒店里居然还有一只猫，不知道是服务员养的还是住户养的，半夜和白天都能听见在叫，很诡异啊。', '短评打分': 1}
{'短评内容': '条件以及环境不错，地理位置也靠近商圈，就是房间有点儿潮湿，春天所以有小猫叫，听得很清楚，房间的隔音效果不是很好，总体来说还不错。', '短评打分': 5}
{'短评内容': '房间够大，但是早餐不咋样\n另外，空调声音过大，如果窗口对着教堂的话，早上会被钟声吵醒\n房间够大，但是早餐不咋样\n另外，空调声音过大，如果窗口对着教堂的话，早上会被钟声吵醒\n房间够大，但是早餐不咋样\n另外，空调声音过大，如果窗口对着教堂的话，早上会被钟声吵醒', '短评打分': 1}
{'短评内容': '住了好几次了，一贯的好，就是服务员不是那么太热情的，不过也还说的过去吧。以后出差还是会来这个店的，交通便利，脑中取静。', '短评打分': 5}
{'短评内容': '\r\n本人', '短评打分': 3}
{'短评内容': '只能说马马虎虎，价格确实便宜，卫生状况也OK，该有的都有。。只是总觉得房间不太舒服 有点压抑。。有点压抑。。有点压抑。。', '短评打分': 5}
{'短评内容': '一般酒店退房时间为下午两点以前，而这里是中午十二点以前，我认为需要改近…居住环境良好！服务态度一般！', '短评打分': 3}
{'短评内容': '还不错，地理位置好，房间也干净，网线、电视都还可以。服务也不错。就是门头小了一点，打车差点走过了。可以再住，', '短评打分': 5}
{'短评内容': '一般般了，感觉不是很好，给个中评', '短评打分': 3}
{'短评内容': '不好，比起南内环店差远了。条件不如那里，太陈旧了，而且价格比那还高。178住汉庭也够了。地理位置一般。周围没什么好玩的。交通还算方便', '短评打分': 1}
{'短评内容': '酒店网上照片与实际照片不符合，住的是178的标间，但是却和那种特价房一样，问前台的时候还说明明就是这样的。还狡辩。很气愤。', '短评打分': 1}
{'短评内容': '有误导顾客嫌疑  不过还可以了 这价位可以.  希望网上以后说清楚是什么房  貌似杂家网上订的都是人家的特价房  ', '短评打分': 5}
{'短评内容': '太原真是没有啥便宜的酒店，原来还是138，现在是148还不含早，酒店房间一般。', '短评打分': 5}
{'短评内容': '地理位置可以,房间设备旧了点.服务还行.', '短评打分': 5}
{'短评内容': '酒店地点不错，距离太原市中心医院算近的了，服务员的服务态度一般，比其他的快捷酒店不好的多了，房间的设备老化程度很厉害，一进房子里面就有发霉的味道，设施也真的很不好，不建议入住，房价也很贵，只想让你办会员卡，反正不推荐入住', '短评打分': 1}
{'短评内容': '房间比较大，服务比较好，地理位子好。我下次还住这个酒店。', '短评打分': 5}
{'短评内容': '地理位置还算不错，出行较方便，但酒店环境一般。服务人员态度不错，电视不太方便。', '短评打分': 5}
{'短评内容': '环境真的很一般！房间里有味儿！不过这个价格倒也还算合适！', '短评打分': 1}
{'短评内容': '还行，这周有人敲大鼓，到晚上十点。关键是你没法控制', '短评打分': 5}
{'短评内容': '三年前我住过这家酒店，当时感觉还行，这次直接就定了。但是非常失望。卫生状况很差，有蟑螂、毛巾也黑乎乎的、一次性拖鞋上面的标都不是酒店的，不知道从哪里捡来的。非一次性的拖鞋竟然根本就不是一对的！以后不会来了。', '短评打分': 1}
{'短评内容': '附近交通方便，吃喝玩乐都不错，关键是性价比还可以！', '短评打分': 5}
{'短评内容': '实惠，卫生也行，就是周边经济不发达，吃饭不方便', '短评打分': 5}
{'短评内容': '除了空调很没用和隔音稍微差点之外，其他都挺好的！', '短评打分': 5}
{'短评内容': '环境还好，算是物美价廉，就是服务有点不敢恭维...', '短评打分': 5}
{'短评内容': '不错，环境卫生、价格合理、交通方便、下次有机会还是选择那\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '地理位置不错·价位合理·环境相对来说也就值这个价格了', '短评打分': 5}
{'短评内容': '房价不算太便宜，设施老化，还停水，热水热得慢，服务态度极其恶劣，懒的理他们，不会再去了', '短评打分': 1}
{'短评内容': '宾馆内设施比较陈旧   条件一般   地理位置有点偏了  不过还算合理', '短评打分': 5}
{'短评内容': '不好，屋子黑黑的，房子小到电脑只能放在电视旁边，而且居然是特价房，不推荐', '短评打分': 1}
{'短评内容': '位置相当不错，设施过于陈旧，报务水平根不上，根本不值这个价！', '短评打分': 1}
{'短评内容': '挺好的，挺干净的！！！吼吼吼吼吼！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '房间陈旧,态度不好.', '短评打分': 3}
{'短评内容': '还不错，离国贸很近。下次出差还会来！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': ' 总体不错，空调不是很给力。床很大。', '短评打分': 3}
{'短评内容': '，干净', '短评打分': 3}
{'短评内容': '很好很不错，值得推荐。太原最好的。。。。', '短评打分': 5}
{'短评内容': '很干净，态度很好！\n价格合适，以后还住这家酒店，就是忘了办会员了，记得班上优惠多啊！\n', '短评打分': 5}
{'短评内容': '差不是一般的差，空调不开，房间里的太旧了', '短评打分': 3}
{'短评内容': '说的免费上网再哪里呢？我进去连个电脑都没有看见，不过环境还可以，说一下 那个墙上脏啦 ，黑黑的一块一块的。放电视的桌子只是一个烂桌子，很不雅观，希望改进一下，下次去了选择别的房间看看', '短评打分': 5}
{'短评内容': '  I3642 很好海子', '短评打分': 3}
{'短评内容': '网慢，设备陈旧，十二点退房', '短评打分': 3}
{'短评内容': '房间有点小了。空调挺不错，周围也不太好，放电脑的桌子都没有', '短评打分': 1}
{'短评内容': '在市中心还可以，网速也不慢，还挺干净的，', '短评打分': 5}
{'短评内容': '这家酒店还不错！环境也很好！值得去住，交通方便。', '短评打分': 5}
{'短评内容': '住的6楼，房间还不错，但空调不行，第一晚是空调服务员就没开，第二晚是开了效果不行。希望酒店改造一下空调系统，这么热的天不行啊！', '短评打分': 1}
{'短评内容': '不错，环境还行，就是不怎么通风，网络不怎么样！！', '短评打分': 5}
{'短评内容': '还行吧。。。主要是离出差的地方稍微远了点~！！！！', '短评打分': 5}
{'短评内容': '一般，条件不好，很旧。。。设施也不好，枕头不干净，床单也不行。', '短评打分': 5}
{'短评内容': '一如既往的实惠。太原北边性价比还不错的酒店。来太原办事一直住这里。还算干净，就是隔音稍微有点差。呵呵。给个推荐吧。去北边办事的朋友可以考虑入住这里。', '短评打分': 5}
{'短评内容': '房屋设施可以房型偏小', '短评打分': 3}
{'短评内容': '有点小偏，房间到时挺大的，就是光线有些不足！床很大。总体来说还行 148的价格 还算值吧\n！', '短评打分': 5}
{'短评内容': '感觉比以前来住时环境好点了，性价比一般吧，早餐简单，网速还成。', '短评打分': 5}
{'短评内容': '服务态度一般，不专业，酒店外观及房间内设施都比较陈旧，洗澡热水得等半天才能出来，交通还算方便，觉得不值房价，不推荐。', '短评打分': 1}
{'短评内容': '交通很方便的，离火车站有公交直达，房屋装修有点旧了，总体还不错的，下次再出差出会选择这家酒店', '短评打分': 5}
{'短评内容': '设施太老！其他的还行！空调不行！希望马上改善改善！', '短评打分': 5}
{'短评内容': '网速太慢，受不了，不图特别享受，还不错', '短评打分': 3}
{'短评内容': '如果有和太钢进行接洽的首选,普通住宿条件', '短评打分': 5}
{'短评内容': '酒店很不错  装修很有特色  就是我在住的那间没有吹风机  以后还会预订\n', '短评打分': 5}
{'短评内容': '总的来说，设施挺齐全也较为干净，服务也还行，。', '短评打分': 5}
{'短评内容': '住房在二楼，正赶上修走廊，卫生差了些。', '短评打分': 3}
{'短评内容': '酒店挺干净的，服务态度也不错！', '短评打分': 3}
{'短评内容': '一般办事的住宿条件,建议酒店更换较为陈旧的设施,其他服务不错.', '短评打分': 5}
{'短评内容': '房间卫生稍差', '短评打分': 3}
{'短评内容': '酒店还可以，下次还来', '短评打分': 3}
{'短评内容': '挺好的，还不错，价钱适中，干净卫生，就是浴室有点雷人，居然是玻璃透明的', '短评打分': 5}
{'短评内容': '出行、消费比较方便，设施有些陈旧，酒店人员服务较好！', '短评打分': 5}
{'短评内容': '还行.。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '我经常出差来这住 这里就是适合我们住', '短评打分': 3}
{'短评内容': '还算可以吧', '短评打分': 3}
{'短评内容': '唉！比较失望，有点潮味，卫生环境不好！', '短评打分': 3}
{'短评内容': '第二次入住该酒店了。价位还可以，稍涨了点钱。不过现在啥不涨钱啊。来太原北边办事的朋友可以考虑这里。性价比还可以。', '短评打分': 5}
{'短评内容': '还行吧，就是他说的送早餐还让自己去拿，谁知道食堂在那。还算卫生。', '短评打分': 5}
{'短评内容': '不错，环境很好', '短评打分': 3}
{'短评内容': '环境挺好  位置也不错  只不过卫生间不够好 设施较陈旧  ', '短评打分': 5}
{'短评内容': '价位合理', '短评打分': 3}
{'短评内容': '酒店性价比很高，比想象中好很多~服务人员态度也不错~可惜窗帘好像有点小，遮光效果不好……', '短评打分': 5}
{'短评内容': '墙面，地面不整洁！窗户，窗帘太藏，望改进！', '短评打分': 3}
{'短评内容': '酒店还可以，就是显得小些，应该与家具和布局有关', '短评打分': 3}
{'短评内容': '价格优惠,不错', '短评打分': 3}
{'短评内容': '比服装城差些   总体一般\n还行  可以住              发', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '交通方便，房间卫生好，很舒适，店内还有旅行指南，很贴心。', '短评打分': 5}
{'短评内容': '房间感觉太旧，卫生间臭味很大，价格还这么高，要做好的连锁酒店可以提升一下档次了', '短评打分': 3}
{'短评内容': '环境可以。', '短评打分': 3}
{'短评内容': '房间设施太陈旧了，和南内环那个维客相比差多了', '短评打分': 1}
{'短评内容': '不好，没有停车位。害的我找停车场停车。环境也不好。', '短评打分': 1}
{'短评内容': '还算可以的，服务 不错，房间嘛也可以的。价格适中。希望大家能来\n', '短评打分': 5}
{'短评内容': '卫生间有异味 房间隔音不好 能听见楼下商场的促销声 睡不了觉！！！！ 早饭很一般 职员也在吃饭，而且用自己的筷子在自助餐上夹东西！！！恐怖！！！房间设施很一般简陋！！！不推荐！', '短评打分': 1}
{'短评内容': '宾馆交通挺方便的，就是停车位较少。周围吃饭的地方挺多的。宾馆内设施还不错，性价比不错，以后再来还会选择这里。', '短评打分': 3}
{'短评内容': '不错，挺好的\n价位比较实惠。服务比较好。', '短评打分': 5}
{'短评内容': '凑合吧凑合吧凑合吧凑合吧凑合吧凑合吧凑合吧', '短评打分': 5}
{'短评内容': '还可以。价位、服务、卫生、餐饮，综合一下，这个宾馆还算不错的。', '短评打分': 5}
{'短评内容': '这个太原维客商务酒店热水凉的像凉水一样，小的洗完左肩膀再洗右肩膀', '短评打分': 3}
{'短评内容': '位置还可以 ，房间条件尚可  下次还会去住', '短评打分': 5}
{'短评内容': '地理位置还好！落地窗也很好。服务员的服务态度和周到', '短评打分': 5}
{'短评内容': '房间还可以，适合出差在外的商旅人士！套餐一般！价钱还贵！', '短评打分': 5}
{'短评内容': '不错，还可以，但与网上宣传还是有点差距！', '短评打分': 3}
{'短评内容': '还是一如既往的推荐，。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错，物美价廉。值得推荐。卫生和服务都很好', '短评打分': 5}
{'短评内容': '正逢停水……连个矿泉水都没人给送……服务太差了', '短评打分': 1}
{'短评内容': '带同事定，因为办事就定在个酒店了，环境还可以。这样价格还算不错的了。', '短评打分': 5}
{'短评内容': '在太原的连锁酒店里，算价格较低的。如果来城北办事的朋友推荐来这里住。便宜才是硬道理。不过周边吃饭的地方比较少，需要步行五六分钟才能找到饭馆。', '短评打分': 5}
{'短评内容': '床还比较舒服，热水也是24小时有，就是没有一次性喝水杯', '短评打分': 5}
{'短评内容': '还不错，设备简单了些，还有就是交通略有不便，', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好！！！', '短评打分': 5}
{'短评内容': '地理位置不错，价格适中，服务态度挺好，，卫生一般', '短评打分': 5}
{'短评内容': '我已经在这里住了很多次了，交通便利，房间也很大，性价比高，顶一个！', '短评打分': 3}
{'短评内容': '很不错服务态度很好…需要另一双拖鞋立马就给送过来了！', '短评打分': 3}
{'短评内容': '空调很吵，晚上睡觉严重受影响，里面设施比较陈旧', '短评打分': 1}
{'短评内容': '因为是特价房，所以窗户都是被挡住的。不过，只是睡个觉，也无所谓了。\n房间还算干净，主要是可以免费上网，可以淋浴，洗漱用具都有，148元也算物有所值了。\n就是房间里太冷，貌似大堂里人家有自己的空调，我们的屋子里就...不过，晚上盖着被子还是暖和过来了。就是刚烧过的开水，倒在杯子里，10分钟就凉了，呵呵！', '短评打分': 5}
{'短评内容': '酒店一般,房间有蟑螂，服务员倒是及时更换了房间!', '短评打分': 3}
{'短评内容': '性价比不错，这次住的是家庭间，很不错，上次住的商务房暖气不太强，这次又好像强得太多了，暖气开最小我都睡不着……其他都不错……服务态度挺好，房间卫生很不错……挺安静的……非常值的一住！', '短评打分': 5}
{'短评内容': '电脑太旧，不能玩，但服务态度还是很好的。', '短评打分': 3}
{'短评内容': '交通便利 环境还算不错 可由原来的使用40的卷改成10元的 有点不理解', '短评打分': 5}
{'短评内容': '总体还好吧，就是电脑太差太陈旧了，用多一会就死机。', '短评打分': 5}
{'短评内容': '房间比较卫生，服务一般般，地理位置还算方便。', '短评打分': 5}
{'短评内容': '除了暖气不足，还有热水来得较慢外，其他都不错！性价比较高！\n卫生度很高，室内环境不错，感觉很好！服务态度很不错！我漏了东西，还特地告诉我，很不错！！', '短评打分': 5}
{'短评内容': '位置感觉有点偏 在修车行旁边  住的时候赶上修路到处是灰  里面的设施有点旧', '短评打分': 1}
{'短评内容': '方便实惠，员工服务也很好，特别是房间内泡茶的设备很实用，蛮不错的！', '短评打分': 5}
{'短评内容': '第二次入住了，这次的房间空调不错', '短评打分': 3}
{'短评内容': '很舒适，有网线也很方便，私密性很好，以后还会光顾', '短评打分': 5}
{'短评内容': '环境设施不错，就是房间太冷，空调不给力且噪音大。', '短评打分': 3}
{'短评内容': '服务态度很好，卫生也很干净，已经住过好几回了，很不错！', '短评打分': 5}
{'短评内容': '挺不错，性价比高~~~~~~~~~~~~~~~~~~~~~~~~~！', '短评打分': 5}
{'短评内容': '先说酒店交通~~ \n从火车站直接坐104路 在城坊街口站下车 继续向北步行三分钟就到 门头明显 很好找~\n因为是在解放路（太原的主干道之一吧）上 所以门口的公交车站、出租车 都很多 去哪儿都很方便 挺好~~\n再说酒店环境~~\n挺干净整洁的 电器设备神马滴也很齐全\n就是热水不是太热 洗澡的话 得多放放水 把卫生间温度先升一升~~\n酒店旁边是个天主教堂 呵呵 不知道是不是这个缘故 晚上挺安静的 休息得', '短评打分': 5}
{'短评内容': '挺好的，交通很方便，位置也很好，住着也很舒服', '短评打分': 5}
{'短评内容': '房间有点小…但是这个价钱也够可以了…性价比可以！', '短评打分': 3}
{'短评内容': '还好就是房间有点冷 ', '短评打分': 3}
{'短评内容': '地段价格都不错，特别推荐他家的晋面套餐，非常好吃！', '短评打分': 5}
{'短评内容': '不错1111111111111111111', '短评打分': 5}
{'短评内容': '标间比大床房空间大,房间挺暖和', '短评打分': 3}
{'短评内容': '干净整洁，交通便利，早餐也很好，值得推荐', '短评打分': 5}
{'短评内容': '房间有点小，电视和床的距离太近了，还只有一个沙发。不过算是舒适干净，很温暖。', '短评打分': 5}
{'短评内容': '不错的地方 只是去的时候有在装修 显得稍有些乱', '短评打分': 5}
{'短评内容': ' 非常好', '短评打分': 3}
{'短评内容': '价格合适，地段优秀，适合商旅出差人。我非常满意。', '短评打分': 5}
{'短评内容': '赶上酒店那条街停电，要晚上十二点来电，所以换了一家酒店！', '短评打分': 1}
{'短评内容': '赶上天气降温！屋里那叫一个冷啊！中央空调和室内的空调都开开还是冷，关键是俩空调都不热，让前台把中央空调调热点，她说是外面冷不是他们空调不热！晕', '短评打分': 1}
{'短评内容': '  小旅店，条件一般，设施普通，内装饰欠温馨！！', '短评打分': 3}
{'短评内容': '还行，就是空调噪音太大', '短评打分': 3}
{'短评内容': '比较满意', '短评打分': 3}
{'短评内容': '还不错吧！', '短评打分': 3}
