{'descr': '感觉不是很好', 'star': 4}
{'descr': '第二次来了，房间一如继往的舒适，有家的感觉！', 'star': 5}
{'descr': '房间很干净，就是隔音不是太好的', 'star': 3}
{'descr': '酒店位置还可以离地铁站和公交站都不算太远，酒店设施齐全，服务态度很好，住的很舒服。', 'star': 5}
{'descr': '周五晚上入住的3楼,可能是因为入住了一个旅行团的原因,加上本身隔音效果不佳,那天晚上直到深夜2点外面还有人声嘈杂.\n11点左右想吃泡面,饮水机又不长眼的坏了,无法烧热水.\n前台经理态度还不错,表示满房并且太晚,无法修复或更换,给了两张早餐券,虽然一天没去,一天去晚了没的吃,但是态度值得肯定.\n周六晚上就比较清静了.\n总体而言,比较中肯,特惠房而言还是OK的.个人比较喜清静.', 'star': 5}
{'descr': '环境蛮不错，房间布置的也很温馨，不错啊，这次又来了。', 'star': 5}
{'descr': '環境不錯,服务也挺好.', 'star': 3}
{'descr': '还算干净，就小点，有机会的话可以下次再来住', 'star': 5}
{'descr': '干净。大台服务态度好。也安静', 'star': 3}
{'descr': '总的来说还可以，被子，空调，热水都很给力，但是隔音不太好，周围吃饭交通都挺方便的，还有农工商超市就在附近，购物也方便！', 'star': 5}
{'descr': '设施不错，被子很舒服，热水，空调也不错，就是隔音不太好，周围吃饭的地方也挺多的，离地铁站也不远……', 'star': 5}
{'descr': '宾馆总体还行，就是房间稍微小一点，自由活动的空间不大，浴巾用的时间有点长了，希望及时更换！！', 'star': 5}
{'descr': '总体来说还是很不错的 我比较喜欢。就是最近那边有地方在装修，白天有点闹', 'star': 5}
{'descr': '酒店不错，周遍环境也还行，会再次入住哦，呵呵', 'star': 5}
{'descr': '酒店卫生比较干净，就是旁边有个工地有点吵。', 'star': 5}
{'descr': '房间不大，没有衣橱，热水很好，价格较便宜，保洁员服务热情。', 'star': 5}
{'descr': '酒店环境还可以，就是旁边有个工地声音晚上比较响。', 'star': 5}
{'descr': '第二次入住,风景照样,感觉服务不错,赞一个', 'star': 3}
{'descr': '很干净、很舒心、挺好的，比较推荐，谢谢。', 'star': 5}
{'descr': '相当不错，房间布置非常好，非常有感觉，蛮适合情侣的', 'star': 5}
{'descr': '都很好，就是没有吹风机，隔音效果有待改进。', 'star': 5}
{'descr': '卫浴设备不错的,热水哗哗的,配置颜色挺独特,前台接待蛮好,推荐表扬斯密达', 'star': 3}
{'descr': ' 第二次住了 服务很好。', 'star': 3}
{'descr': '前台服务很热情，不错！！\n房间打扫的很及时，也不错！！\n唯一就是隔音差一点，看能否搞好一点！！\n', 'star': 5}
{'descr': '比较干净，就是离开地铁站比较远，还随凑合,', 'star': 5}
{'descr': '空调不制热，饮水机不烧热水坏了，网线头是坏的，最要命的是房间外晚上工地还要施工好烦人啊！', 'star': 1}
{'descr': '酒店位置还可以，周边餐饮超市都挺多的。价位适中，下次还会这里的。', 'star': 5}
{'descr': '隔音不好，水龙头也有问题\n总体酒店环境也不算太干净', 'star': 1}
{'descr': '不错，挺实惠的~服务态度也很好，不过房间的隔音有点不好，隔壁声音稍微大一点都能听到。。。', 'star': 5}
{'descr': '房间很小，不过楼下日本料理不错。整体来说价钱还算适中\n', 'star': 5}
{'descr': '不错，', 'star': 3}
{'descr': '还算不错 呵呵 很温馨  就是空调好像有点问题 只是不影响制冷 特惠房全都是电梯旁边的 有点吵喔', 'star': 5}
{'descr': '周围挺热闹，地方也好找，第二次来住了，房间很好很干净', 'star': 5}
{'descr': '帮朋友定的，据说还不错，价钱才142算是很便宜了~~~', 'star': 5}
{'descr': '酒店有点偏，不过服务态度真的不错，我们预定的特惠大床间，去的晚了点，结果预定取消了，免费给升级到了标准大床间', 'star': 5}
{'descr': ' 酒店给人的感觉很温馨 各方面设施都还好.去宝杨码头也很方便 值得推荐.', 'star': 3}
{'descr': '入住的是如家宝山吴淞店，前台客服比较热情，房间不大但比较整洁，毛巾浴巾无异味，用品齐全，没吹风机，有桶装饮水机，有台灯便于学习，电视机是老式的，大床，枕头尚舒适，总体感觉不错。', 'star': 5}
{'descr': '干净，卫生。干净，卫生。干净，卫生。干净，卫生干净，卫生。。', 'star': 5}
{'descr': '挺干净的', 'star': 3}
{'descr': '帮朋友定的，据说不错。', 'star': 3}
{'descr': '周围可选择的宾馆挺多。\n面向马路的房间很吵，因为对会有会馆、台球厅什么的。\n但服务态度都挺好的', 'star': 1}
{'descr': '如家洒店干净卫生,晚上睡觉周围环境安静,内部装饰包括寝具舒适。', 'star': 3}
{'descr': '帮别人定的，卫生什么的都还好，和其他如家差不多都', 'star': 5}
{'descr': '离市区太远，比较偏僻，坐地铁到市区得将近1个小时。\n卫生环境很好，房间偏小。服务很好很到位。', 'star': 5}
{'descr': '酒店服务不错，下次还会住！', 'star': 3}
{'descr': '价格便宜，周围也很热闹很便利。下次还会来住', 'star': 5}
{'descr': '环境不错很干净', 'star': 3}
{'descr': '餐厅的商务套餐非常划算，味道也不错，交通也好，性价比很高', 'star': 5}
{'descr': '酒店环境还不错', 'star': 3}
{'descr': '比较干净，还不错。其他的还真说不上来。给个好评吧！~！希望下次能多打点折扣', 'star': 5}
{'descr': '周围非常方便，在生活区中，离地铁站起步价', 'star': 5}
{'descr': '很好，很干净，标准还不错！就是地点偏远些！', 'star': 5}
{'descr': '酒店不错，很干净，环境也不错，就是交通不够方便', 'star': 5}
{'descr': '我一般只给朋友和客户订酒店，自己很少住酒店的', 'star': 5}
{'descr': '性价比高，闹中取静，很不错！是自助游的好住地。离地铁也近。', 'star': 5}
{'descr': '酒店不错，很干净，环境也不错，就是交通不够方便。', 'star': 5}
{'descr': '房间卫生，交通不便，晚上有人争吵，不够安静', 'star': 5}
{'descr': '酒店不错，很干净，下次来上海还住这里。环境也不错。', 'star': 5}
{'descr': '很干净，很安静，很满意…', 'star': 3}
{'descr': '常去宝钢出差，自从第一次住这里，后来就习惯了。', 'star': 5}
{'descr': ' 安静，毛巾有异味。', 'star': 3}
{'descr': ' 不错，安静，离地铁七百米。不过浴巾、毛巾有异味，不知道怎么处理。也没有配额外的被子。', 'star': 5}
{'descr': '+地址较偏', 'star': 5}
{'descr': '价格优惠舒适餐饮方便对面有东方网点就是隔音差。入住值得推荐。', 'star': 5}
{'descr': '卫生尚可，地理位置较偏，交通不便，性价比较好', 'star': 5}
{'descr': '位置太远了，离地铁也远，不是很方便。要是在附近办事还可以，', 'star': 5}
{'descr': '屋子有点小，不过我在上海住了两个地方的如家房间大小都差不多。挺安静的一个地方。离地铁远点，要走十分多钟', 'star': 5}
{'descr': '还不错，如家招待客户最合适！', 'star': 5}
{'descr': '酒店还是不错的，就是位置有点偏，卫生情况还凑活，服务态度一般', 'star': 5}
{'descr': '卫生较好，服务令人满意，设施一般，位置较偏，交通不便，舒适度尚可。 ', 'star': 3}
{'descr': '地理位置还算不错，房间有些小，设施还可以，但是房间隔音效果有待提高，隔壁房间的电视声音都能听见！', 'star': 5}
{'descr': '卫生较好，服务令人满意，设施一般，位置较偏，交通不便，舒适度尚可。', 'star': 5}
{'descr': '环境挺好的，就是不能用会员卡', 'star': 5}
{'descr': '酒店是偏了点,但是附近有很多便利店,接待人员也热情,,总体来说还是可以推荐的,,,非常不错,,有地铁直接到虹口足球场,到市中心也挺方便,', 'star': 5}
{'descr': '酒店很不错。性价比很高，前台服务很不错。', 'star': 5}
{'descr': '卫生间存在积水问题，感觉不太舒服，还有就是浴巾太旧了，都不想用的。', 'star': 1}
{'descr': '还不错，交通离市中心远了点，不过就那个价钱，算经济的了', 'star': 5}
{'descr': '宝山吴淞店位置较偏远,房间狭小,当然这是和价格成正比的,主要到市区不方便,建议去世博的要慎重考虑,', 'star': 1}
{'descr': '房间小点，其他基本都可以。没有挂衣服的地方，最大的缺点。但是楼层满高的，房间虽小，但是不压抑。', 'star': 3}
{'descr': '房间隔音较差，隔壁电视机、门口有人说话、楼下垃圾车工作都能听到。\r\n有装监控的停车车场，比较放心。', 'star': 5}
{'descr': ' 还不错，就是房间有点小！', 'star': 5}
{'descr': '地点位置比较偏,服务只能说还算可以,性价比一般', 'star': 3}
{'descr': '地点有点偏,靠吴淞码头,不过服务还好,随叫随到,有要求也能尽量满足', 'star': 5}
{'descr': '房间有点小，电视不是液晶的，隔音不太好，位置稍微有点远', 'star': 5}
{'descr': '总体情况一般', 'star': 1}
{'descr': '房间比较小，价格便宜，服务态度不好', 'star': 3}
{'descr': '干净卫生比较满意，但是房间有点狭小，距离市区比较远，逛街不是很方便。', 'star': 3}
{'descr': '询问前台服务员的时候态度很冷淡，比较不耐烦，不屑的感觉，是个男的，诶，酒店灯光貌似比较暗，其他的还好', 'star': 3}
{'descr': '比较安静，但是稍微偏僻了点，房间不大，不过这个价格还值得，毕竟在世博会', 'star': 1}
{'descr': '结帐麻烦.价格也贵.', 'star': 1}
{'descr': '距离市区太远，还是不是很方便，虽然距离轻轨比较近。', 'star': 1}
{'descr': '总体来说性价比还算很高，交通也算方便，毕竟有地铁3#线，也有很多黑车可以坐', 'star': 5}
{'descr': '世博期间涨价了，原来好像才169一晚的。现在237一晚，里面的毛巾很旧，卫生纸也特别劣质，都不敢用。服务员态度不热情，爱理不理的。大堂很小，名字叫如家，我觉得家里条件要比这个好。至少毛巾比这里的新，屋子也宽敞些。周边有好多别的旅馆，如果早知道，当时就不在网上订这间了。', 'star': 1}
{'descr': '总的来说还可以，就是位置有点偏，住的天数少又要看世博，没有花时间去品味，所以也什么好点评，谢谢', 'star': 5}
{'descr': '不错~~很安静 ', 'star': 5}
{'descr': '还可以 办事近', 'star': 5}
{'descr': '总体来说还是不错的，不过可能是世博会期间吧。感觉性价比不是很高', 'star': 5}
{'descr': '房间隔音差.粉色床单显得真脏啊~', 'star': 1}
{'descr': '服务还可以。', 'star': 5}
{'descr': '在吴淞码头附近，地方偏了点，房间隔音不怎么好，浴室的设计也有问题，洗澡后满地是水，其他的还好吧。', 'star': 1}
{'descr': '在吴淞码头附近，晚上睡觉时噪音有点大，房间不太隔音，其他不错', 'star': 5}
{'descr': '总的来说各个方面都挺好的，就是地方偏了点。希望越办越好！', 'star': 5}
{'descr': '不错 空调很好 就是交通又点补方便', 'star': 5}
{'descr': '还行吧  就是位置差了点 第一次去差点找不到 找了好久 隔音不怎么好哦 空调还是不错的 很热', 'star': 5}
{'descr': '隔音太差了  房间小的转不过身，装潢旧', 'star': 1}
{'descr': '一直很喜欢如家。。这家如家位置安静。而且价格感觉比较便宜', 'star': 5}
{'descr': '酒店的位置还可以，设施和他们人员的服务我觉得是挺不错的，价格也比较合适。', 'star': 3}
{'descr': '如家 家一样的感觉 挺温馨', 'star': 5}
{'descr': '我住的大床房房间很温馨，卫生条件也不错，不过地点确实难找了点，呵呵~', 'star': 5}
{'descr': '隔音不太好，别的还不错', 'star': 5}
{'descr': '住了3个晚上,好象床单没有换,这点不好,其他地理位置还算好，安静', 'star': 1}
{'descr': '前台小姐服务还可以，因为朋友入住的时候有点感冒，所以拨打前台电话要药，结果前台答复，没有备用药。要求他们外出帮忙买，我来付钱，结果服务员也说不负责。感觉这点很不人性化。最后朋友顶着热度出去自己买药。很辛苦。在外地住酒店的时候遇到过类似情况，一般服务员会乐意去帮忙购买药品。希望如家能够改进，真正给我们住客家的感觉。', 'star': 5}
{'descr': '前台服务质量很不好，给人感觉不好。', 'star': 1}
{'descr': '都很不错，很满意，就是屋子有点小', 'star': 5}
{'descr': '酒店各方面条件都挺好的,环境也比较舒适,性价比很好,感觉还是比较值得推荐的.', 'star': 5}
{'descr': '感觉酒店还可以，挺干净的，价格也比较合适，就是位置有点偏', 'star': 5}
{'descr': '还好', 'star': 5}
{'descr': '酒店设施还不错，，交通便利，离3号线和吴淞码头非常近。整体来说还是很实惠，不错的，，可以推荐一下，，就是宽带太慢，，，打开个网页都要很长时间，，希望能改进一下。。', 'star': 5}
{'descr': '房间隔音效果实在是太差了，大早起四五点就有服务员开始打扫，比较吵。在宝山这个地方觉得价格还是价格有点高，不过还是比较干净的，服务也不错', 'star': 5}
{'descr': '酒店服务不错，环境也很好，性价比高，地理位置也很好，交通很方便', 'star': 5}
{'descr': '隔音效果太差！！隔壁碰到个吵的，简直就无法睡觉了！', 'star': 5}
{'descr': '酒店位置不好，出租车少，但要是走10分钟左右就到地铁了', 'star': 5}
{'descr': '酒店的位置有些偏价格比较优惠,环境卫生很好,出行交通也很方便.', 'star': 5}
{'descr': '我刚进房间的时候看到床单上有一些毛发，后来叫服务人员为我更换了床单，他们的服务很不错，硬件设施比较一般，价格贵了一点点，而且交通不是特别的方便，但是位置还不错。', 'star': 5}
{'descr': '酒店整体各方面感觉都还可以,价格也不贵,只是供暖不是很好,有点冷', 'star': 5}
{'descr': '一贯如家的特色，不错，整洁干净\r\n唯一的缺点，我住的大床房为什么淋浴房没有门？', 'star': 5}
{'descr': '很不错 同等服务价钱很经济', 'star': 5}
