{'短评内容': '酒店环境非常好！下次在来', '短评打分': 5}
{'短评内容': '很好的酒店哈。。。呵呵，每次去都会住那里的哈。很喜欢', '短评打分': 5}
{'短评内容': '差', '短评打分': 3}
{'短评内容': '到火车站的交通还是挺便利的。 住宿条件一般。 ', '短评打分': 5}
{'短评内容': '还行，离萧绍路近了点，有点吵，其他都还好，推荐', '短评打分': 5}
{'短评内容': '酒店位置很好，价格也适中，在法定假日也没有上涨，下次还要住，就是毛巾的感觉有点黄黄的，', '短评打分': 5}
{'短评内容': '貌似除了上面几层是酒店客房，其他的是出租出去的商业用途的楼层，感觉比较混乱。房间里有比较囧的东西，也比较吵杂，床比较小，设施比较旧。。。', '短评打分': 1}
{'短评内容': '很干净 服务态度不错', '短评打分': 3}
{'短评内容': '还可以，价格也不算贵。卫生做得比较好。就是位置不好找。', '短评打分': 5}
{'短评内容': '服务态度满意，房间干净舒适，各项配备齐全！总的来说蛮满意的。', '短评打分': 1}
{'短评内容': '比较干净整洁。\r\n床蛮大，房间也不错。电视也不错。服务业不错。\r\n总之，各方面都不错。\r\n\r\n不过好像网上订的价格没有多少优惠。', '短评打分': 5}
{'短评内容': '挺好的，虽然外表看起来有点久。服务还好，性价比不错', '短评打分': 3}
{'短评内容': '这酒店一般 还不能刷卡 隔音差 很不好 真的不好', '短评打分': 3}
{'短评内容': '如果是坐车到杭州南下又想过一夜第二天去杭州市区的，这个酒店是不错的选择，床铺很大被子也非常干净，酒店出来往右走200米左右有直接到延安路的的士，拼车四人一个人是10块，很合算的', '短评打分': 5}
{'短评内容': '这店的位置还不错，就是卫生一般。', '短评打分': 5}
{'短评内容': '条件还算不错，在市中心', '短评打分': 5}
{'短评内容': '位置还是蛮好的找的，房间的卫生设施还行因为也是新开的酒店环境倒是挺不错的，只是价格还是偏高了，服务态度还好只是楼层客房服务员没有看到。其他的都还行吧。', '短评打分': 5}
{'短评内容': '地理位置非常好，乘公交和的士都很方便，离车站也近，不到10块钱的的士~房间的地板有点显脏~', '短评打分': 3}
{'短评内容': '位置不错，吃东西方便，买东西也方便~\r\n地板显脏~在市心广场来说性价比还行~', '短评打分': 1}
{'短评内容': '豪华标准间还可以.就是不好坐车.', '短评打分': 5}
{'短评内容': '总体不错，符合这种价格。', '短评打分': 5}
{'短评内容': '里面还可以，卫生设施还不错就是进去之后大堂感觉不是太好但是房间确实不错设施比较新，停车是有些不方便，价格还可以服务的话也没有接触到。', '短评打分': 5}
{'短评内容': '满好的', '短评打分': 5}
{'短评内容': '位置不是太好找出新的话不是太方便，酒店内部还行，不过里面的设施已经很旧了，很一般的酒店。', '短评打分': 1}
{'短评内容': '我是和姐妹一块住的，酒店周边还蛮热闹的，购物很方便。', '短评打分': 5}
{'短评内容': '卫生真的不好，房间异味太大，枕套不干净，比如家等快捷酒店差的很多，住了一晚，就换如家去了', '短评打分': 1}
{'短评内容': '性价比还是可以的 服务很好 卫生间设备一般 水温控制系统有待加强 水流比较小 不过离要去的杭州乐园很近 总体来说良好', '短评打分': 5}
{'短评内容': '与其它商务酒店不同的是他的设施还算得上上等，有独立的衣帽间让人感觉的确与一般的商务酒店不同，房间里的陈设还是比较讲究的。', '短评打分': 5}
{'短评内容': '感觉不错，卫生服务都可以，性比价也可以，值得推荐', '短评打分': 5}
{'短评内容': '性价比高！', '短评打分': 5}
{'短评内容': '感觉非常一般，此酒店布局不合理！服务态度还可以！', '短评打分': 1}
{'短评内容': '我感觉床不太舒适，设施差了些，位置有点偏，性价比不高', '短评打分': 3}
