{'短评内容': '还可以吧房间比较大还算可以吧', '短评打分': 5}
{'短评内容': '我再也不会去这家酒店了。按照房费的标准，房间一般，不算太差，但是有些地方我还是要说说。\n1、房间里不配备免费的水，我看到那个桶装水是收费项目就没有打开，但是结账时还是给我算进去了。\n2、早餐及其差，是我住过这么多酒店里最差的一个\n3、房间内都是收费项目，特别是洗漱用品都算钱，出差在外的人基本都不会带洗漱用品，这个不加入房费报价，入住后才发现还要付费，没办还得用，这样让酒店就又转了一笔\n4、现在还是', '短评打分': 1}
{'短评内容': '酒店地理位置不错，内部设施也很好，我还回去住的', '短评打分': 5}
{'短评内容': '可以，酒店交通便利，房间较新，住起来较舒适。', '短评打分': 5}
{'短评内容': '酒店不错 可以经常去  \n就是交通有点堵  只不过靠近长途汽车站 ', '短评打分': 5}
{'短评内容': '非常满意值得推荐', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店餐厅消费太贵，要是再经济实惠一些就好了。已经住过好多次了，还是挺满意的，卫生，环境，周边配套设施等', '短评打分': 5}
{'短评内容': '酒店很好，很干净，离火车站和汽车站都很近。推荐入住。', '短评打分': 3}
{'短评内容': '我住的家庭房，酒店很新，周围也很繁华，装修很好，服务也很好，性价比很高。只是订房要订靠里面的，外面太吵。', '短评打分': 5}
{'短评内容': '每次来济南出差都选择住这，离火车站和客运站都很近，服务很好，硬件条件也很不错，值得住。\n每次来济南出差都选择住这，离火车站和客运站都很近，服务很好，硬件条件也很不错，值得住。', '短评打分': 5}
{'短评内容': '周围环境有点乱。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': ' 第一次入住这个酒店,感觉很新,服务员服务很热情!支持一下哦!', '短评打分': 3}
{'短评内容': '服务很好,房间挺大的,最满意的是卫生间和床,不比洲际差!', '短评打分': 3}
{'短评内容': '环境很好，服务周到。家庭房很实用。而且周边购物，餐饮都比较方便。建议大家避开交通高峰时开车到宾馆。离泺口服装鞋帽市场很近，交通要道', '短评打分': 5}
{'短评内容': '我的常住酒店，就是7月27号入住的时候服务员把餐券放房间了，我没有找到，打电话问，不知道是谁接的电话，态度很不好', '短评打分': 5}
{'短评内容': '环境卫生都挺好的，周围配套设施也挺齐全，服务也挺好', '短评打分': 5}
{'短评内容': '不错,极力推荐', '短评打分': 3}
{'短评内容': '不错,离长途车站很近,周围是个大商场,吃的买的玩的都有', '短评打分': 5}
{'短评内容': '不错，环境、位置较好，离手机批发城近，服务也尚可！', '短评打分': 5}
{'短评内容': '和预想得一样好，周边环境也很不错。酒店卫生和服务也很不错。值得推荐', '短评打分': 5}
{'短评内容': '交通便利，门前小吃店很多，性价比很好的酒店，唯一缺点楼下有KTV太吵.', '短评打分': 5}
{'短评内容': '住的比较不错。经常来这里。感觉到车站很方便。。。。。。。\n', '短评打分': 5}
{'短评内容': '五楼太吵啦，餐厅就餐的人非常吵闹，并且卡拉OK从9点一直吵到近2点，根本无法入睡。', '短评打分': 1}
{'短评内容': 'OK了，房间宽敞干净，早餐也不错，毕竟四星级的，就是服务员们的动作都有点慢，退房查房等了好久，希望能改进一些', '短评打分': 5}
{'短评内容': '住的套房，总共才4间，因为住的当天有会议，所以没法住8888（有电脑供使用），有点小遗憾。。。整体来说，性价比还可以。。。早餐还待改善，房间要是有冰箱和零食就好了。。。', '短评打分': 5}
{'短评内容': '很好，服务好，设施还行，关键是服务态度和水平非常好，值得再次入住。', '短评打分': 5}
{'短评内容': '房间很大，设施也非常的新，四星级该有的服务都有，如果能像天发舜和那样的更加人性化的服务就完美了。', '短评打分': 5}
{'短评内容': '性价比不错，地段很好，出行很方便。只是5楼有些吵，其他楼层可能会好些的。下次还会住这里。', '短评打分': 5}
{'短评内容': '酒店硬件设施还可以，但装修味道还有。但软件服务就差很多，早上退房等了20多分钟，快崩溃了。', '短评打分': 1}
{'短评内容': '酒店规模不算很大 但房间很不错 宽敞设施很新', '短评打分': 5}
{'短评内容': '房间干净整洁，房间面积较大。在入住的时候，晚上会有装修的电钻声音，很让人费解。', '短评打分': 5}
{'短评内容': '感觉不错，房间挺大的，旁边还有购物的地方', '短评打分': 5}
{'短评内容': '不错，房间比较大，设施也蛮好，早餐略差。', '短评打分': 5}
{'短评内容': '比较新的酒店，无论是房间还是设施，服务态度也很好，就是酒店的早餐价格略贵了些，免费早餐也就不说什么了。', '短评打分': 5}
{'短评内容': '-服务周到', '短评打分': 3}
{'短评内容': '缤纷五洲大酒店，赞！房间在多个浴缸，早餐再丰富点，绝对的五星酒店！再次赞！', '短评打分': 3}
{'短评内容': '酒店服务等方面都不错，前台的服务还需要提高.', '短评打分': 5}
{'短评内容': '房间很大，装修不错。就是离火车站有点距离，总体不错。', '短评打分': 3}
{'短评内容': '性价比相当之高，硬件设施很新，服务也很好，超值！', '短评打分': 5}
{'短评内容': '酒店很不错，性价比突出，房间大且明亮，早餐很丰富。', '短评打分': 5}
{'短评内容': '地理位置不错，交通便利，距离火车站、汽车站都很近。房内设施也很好。早餐种类还算丰富吧。下次还会考虑住这里。', '短评打分': 5}
{'短评内容': '性价比不错，房间内没有提供免费的瓶装水，我后来打电话要到了\n早餐其实还可以更精致一点', '短评打分': 5}
{'短评内容': '第一次住，整体感觉不错，上档次，早餐还可以，到机场大巴站步行6-7分钟，返劵多。', '短评打分': 5}
{'短评内容': '较新，干净，返券多，值得推荐！酒店对面市场里有一家胖子烧烤，5毛一串，味道好，超便宜。', '短评打分': 5}
{'短评内容': '酒店硬件很不错，东西都很新。服务也很好。唯一的缺陷就是早餐品种太少，而且中餐好像似乎比较贵，不能点菜，是按标准的！', '短评打分': 5}
{'短评内容': '一直入住，房间不错。消费卷很给力，希望能把餐饮调整一下，', '短评打分': 5}
{'短评内容': '酒店设施完备，服务到位，房间洁净，整齐。价位合理，非常不错的酒店。', '短评打分': 5}
{'短评内容': '第二次入住了，条件不错，价格还可以，返券很优惠', '短评打分': 5}
{'短评内容': '酒店设施较新，服务及早餐很好，电梯有些慢。下次还会入住。', '短评打分': 5}
{'短评内容': '性价比颇高，交通便利，还赠送水果和报纸。唯一的遗憾是我的杯子遗忘在该酒店，服务员没有通知我。', '短评打分': 5}
{'短评内容': '不错的酒店,值得推荐.', '短评打分': 3}
{'短评内容': '前台说只有6层是标间，4层是夜总会，所以比较吵，空调还不错，我的房间在对着楼上卫生间的墙边天花板（床的一侧）漏水，滴答了两个多小时，住前请观察好，网络不好，一会儿断一会儿正常的，不知怎么回事，晚上就非常慢。送的水果和水还是不错的，挨着银座，好多商户，还有超市。', '短评打分': 1}
{'短评内容': ' 到酒店才知道停水，还要重新找酒店!没有提前通知', '短评打分': 3}
{'短评内容': '很好，早饭差一点儿，但是其他都好，位置也好，服务也好', '短评打分': 5}
{'短评内容': '迄今为止，我在济南见过性价比最好的酒店。前面的朋友说到4楼KTV吵的问题。如果你是在6层以上的房间就不会有此烦恼了。比省城部分老的五星级酒店要好得多。', '短评打分': 5}
{'短评内容': '酒店设施等硬件不错，周边比较繁华，距离火车站打车10.5元，前台接待服务不错，早餐的品类、服务、环境相比不好，该改进。下次还会入住！', '短评打分': 3}
{'短评内容': '酒店位置和服务不错，房间比较宽阔，来山东较多，下次还会来入住。不过，网络有问题，希望能够改进！', '短评打分': 3}
{'短评内容': '不错的酒店，我以后还会入住的！！！！赞一个', '短评打分': 5}
{'短评内容': '交通便利，出行方便，以后我还会住这里的。', '短评打分': 5}
{'短评内容': '这次饭菜改善好多了，以后还会去住的，空调也比以前好了', '短评打分': 5}
{'短评内容': '饭店的设施很好，住的也很温馨，下次还会去住。', '短评打分': 5}
{'短评内容': '酒店环境舒适，床上用品也较好。酒店早餐种类一般，还比较丰盛。酒店总体感觉物有所值。', '短评打分': 5}
{'短评内容': '我经常住，最近就是发现早餐越来越不好了，建议改善', '短评打分': 5}
{'短评内容': '缤纷五洲大酒店房间装修很新，设施完善，唯一缺点就是冷空调风力小房间较热，开了一夜空调房间温度就是33度降到了30度。', '短评打分': 3}
{'短评内容': '十分推荐这家酒店，地理位置很好，离火车站很近，而且酒店就在一个商圈中心，吃穿住行玩都在一起，很不错。', '短评打分': 5}
{'短评内容': '服务好，房间也非常好！特别是洗澡非常好，可边看电视边泡澡，早餐也很丰富，下次还会来。\n\n', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '第二次入住，网络有问题，前台忽悠了四个小时，总算解决问题。希望以后还是要认真对待客户的问题，提高服务质量。其他都还可以。', '短评打分': 5}
{'短评内容': '酒店的房间很好,送的礼物也比较有特色.就是早餐一般.', '短评打分': 5}
{'短评内容': '总体来说物有所值，要是大床房就更赞了，而且返券确实很有力度。', '短评打分': 3}
{'短评内容': '晚上到宾馆上不了网，明明提示让自动匹配IP，就是不行，网管还下班了，就是发不了邮件啊，知道第二天上午网管上班了给自定义填写了IP地址才能上，郁闷死了！', '短评打分': 5}
{'短评内容': '还是很是干净的而且服务也还好，早餐一般了，位置稍微偏了点', '短评打分': 5}
{'短评内容': '楼下的KTV晚上太吵，至少到半夜两点才能安静下来', '短评打分': 1}
{'短评内容': '酒店是新开的，硬件软件都物超所值，没的说；美中不足是离KTV太近，吵到很晚，本人睡觉很轻，有一点声音就睡不着，影响较大……', '短评打分': 5}
{'短评内容': '酒店总体来说不错，房间很好，但是早餐差点，晚上有点吵，楼下使KTV.', '短评打分': 5}
{'短评内容': '房间不错，交通也比较便利，服务一般，早餐也比较一般', '短评打分': 5}
{'短评内容': '酒店真的很不错，性价比比较高，早餐也可以，就是五楼的房间有些吵，据说要改成餐厅，那样或许会好些，下次还会入住。', '短评打分': 5}
{'短评内容': '我以前经常住这里，就是天热了，冷风还没有开开。', '短评打分': 5}
{'短评内容': '服务还行不过地点不是太过于市中心，希望在安全性上可以提高。 \n\n谢谢', '短评打分': 1}
{'短评内容': '酒店设施还是可以的，4楼ktv很吵，好在我睡得晚，装修还不错。我下次还会住这里的', '短评打分': 5}
{'短评内容': '设施和装修很好，干净，床也舒服，只是…四楼那个娱乐城后半夜还歌声嘹亮，整个五楼都沉浸在重低音的包围之中.\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '酒店附近交通便利，购物方便，出行便利，我经常住这里', '短评打分': 5}
{'短评内容': '地处比较偏远地区,但是设施还可以,交通也还方便', '短评打分': 1}
{'短评内容': '酒店设施还是可以的，我下次还会住这里的，哈哈。', '短评打分': 5}
{'短评内容': '因为要坐车，选择汽车总站附近的酒店，这个酒店新开业，房间很不错，服务也ok，早餐稍显简单。大堂的木头沙发灰常霸气！！灰常霸气！！', '短评打分': 5}
{'短评内容': '0000000000000000    4楼ktv很吵，装修还不错。', '短评打分': 5}
{'短评内容': '位置方便出行，购物也方便，房间较大舒适，下次还会住', '短评打分': 5}
{'短评内容': '酒店房间宽敞，舒适，就是早饭菜品不丰富，没有想象那么好', '短评打分': 5}
{'短评内容': '前台服务以及房间设施不错，消费券回馈很给力，是济南长途客运站旁住宿的最佳选择。下次有机会还会再住！', '短评打分': 5}
{'短评内容': '设施和装修很好，干净，床也舒服，只是…四楼那个娱乐城后半夜还歌声嘹亮，整个五楼都沉浸在重低音的包围之中，夜不能寐…？', '短评打分': 3}
{'短评内容': '酒店房间比较宽敞，设设施比较新，总体感觉还是不错了', '短评打分': 5}
{'短评内容': '缤纷五州大酒店客房干净正洁宽敞服务好价格合理交通购物都比较方便还有免费早餐 美中不足是四楼唱k的噪音影响休息', '短评打分': 5}
{'短评内容': '房间设施很新，酒店位置离机场也比较方便，周围餐饮也不错，这个价格性价比很高。', '短评打分': 5}
{'短评内容': '甚麼設施也沒有，住5樓，半夜還聽到唱歌聲音，非常擾人', '短评打分': 1}
{'短评内容': '房间设施不错，还赠送小布偶及矿泉水。消费券回馈很给力，下次还会选择入住！', '短评打分': 5}
{'短评内容': '早餐難吃早餐難吃早餐難吃早餐難吃早餐難吃', '短评打分': 1}
{'短评内容': '给朋友订的酒店,入住后反应说还不错,在那个位置有这么一家酒店,还可以', '短评打分': 5}
{'短评内容': '除了早餐一般外，其他各方面都挺好的，希望早餐改进一下。', '短评打分': 5}
{'短评内容': '酒店设施非常好，如果能够解决早餐品种的问题，那就更好了。', '短评打分': 5}
{'短评内容': '离汽车站很近，房间设施也较新\n早餐和38元的价格差距太大。', '短评打分': 5}
{'短评内容': '地理位置挺好的，周边也非常发达。\n赞一个的。', '短评打分': 5}
{'短评内容': '早上停电两个小时，晚上没有吃的，空调没有', '短评打分': 1}
{'短评内容': '地理位置好，价格给力，返券给力，总之值得推荐', '短评打分': 5}
{'短评内容': '综合条件还不错，服务很热情，离客运中心和远洋诺尔酒店都比较靠近，方便机场大巴', '短评打分': 5}
{'短评内容': '换了间房，开始定的有点噪音，服务很好，定了餐送到房间', '短评打分': 5}
{'短评内容': '酒店的设施不错，宽敞明亮，比较新，值得去住，服务不错，向大家推荐一下。早餐再好一点，增加主食品种那就更值得去住了。', '短评打分': 5}
{'短评内容': '装修比较新，性价比高，交通也比较方便，周围吃饭方便。', '短评打分': 5}
{'短评内容': '晚上房间会送一个果盘，还不错，如果早晨丰盛些就好了', '短评打分': 5}
{'短评内容': '不错的酒店，服务和设施都不错，就是不送免费的瓶装水。', '短评打分': 5}
{'短评内容': '早晨还可以，就是酒店介绍里写的到机场15km好像误差大了点', '短评打分': 5}
{'短评内容': '早餐种类不够丰富，品种太少，房内没有小酒吧，极不方便，这点比较扣分。而且到晚上12点左右，楼下KTV就开始热闹，隔音效果相当差，相当影响休息，为此问题，反映了酒店也解决不了', '短评打分': 1}
{'短评内容': '很不错的酒店，周围很方便，到长途汽车站也非常近，第二天又来了', '短评打分': 5}
{'短评内容': '很不错的酒店，周围很方便，到长途汽车站也非常近', '短评打分': 5}
{'短评内容': '新开的酒店，比较一般，不过打车很方便，就在车站边上', '短评打分': 5}
{'短评内容': '设施较新，服务也不错，周边还算热闹，不过汽车站周边总是比较乱的。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '入住济南缤纷五洲.感觉差点.早餐三十八很差.服务一般.下次不会再选这家', '短评打分': 3}
{'短评内容': '帮朋友定的，朋友说很好，就是位置有点偏北，好在交通还很方便~', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
