{'短评内容': '好的很', '短评打分': 5}
{'短评内容': '酒店在一个公园边上，环境还是很好的，酒店里面可以泡温泉，感觉很不错，服务和卫生都不错，性价比不错', '短评打分': 5}
{'短评内容': '五星级的宾馆当然是不一样的了。豪华、干净、态度好........\n五星级的宾馆当然是不一样的了。豪华...关键是可以泡温泉', '短评打分': 5}
{'短评内容': '当然不错的酒店，各方面感觉挺好，最喜欢的当然是温泉了！！', '短评打分': 5}
{'短评内容': '环境很好，物有所值！房间比较大，住着比较舒服！', '短评打分': 3}
{'短评内容': '其他的都还可以，就是硬件设施还达不到五星级，感觉价格性价比不高。', '短评打分': 5}
{'短评内容': ' 房间挺大气，环境很幽静，设施很齐全，价格也合理。', '短评打分': 5}
{'短评内容': '酒店的装潢设施都比较体面，配置硬件都还不错。', '短评打分': 5}
{'短评内容': '地理位置很好，依山傍水，环境优美。', '短评打分': 5}
{'短评内容': '这家店设施配置都很新，环境很好，空气很清新。', '短评打分': 5}
{'短评内容': '酒店的设施配置还不错，就是距离市区远了些。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间很干净，服务到位，酒店的相关配套设施完善，下次出行还会住的。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间很干净，服务到位，酒店的相关配套设施完善，下次出行还会住的。', '短评打分': 5}
