{'descr': '前台服务好每一好', 'star': 5}
{'descr': '服务态度差，离KTV近，隔音不好！~服务态度差，离KTV近，隔音不好！~', 'star': 1}
{'descr': '距离市区较远，不过环境很好，靠近西面的告诉路口，如果去铁西办事，强烈推荐', 'star': 5}
{'descr': '+宜家不错，干静整齐，就是位置可能偏僻了一点，但是要来铁西或者于洪区办事，选择这里不错。', 'star': 5}
{'descr': '离高速出入口近，推荐跑高速经过沈阳需要休息一夜的朋友，附近饭店很多。', 'star': 5}
{'descr': '交通还算方便，如果去开发区办事就很好了，服务态度不错，就是房间隔音效果较差', 'star': 5}
{'descr': '好，服务态度也很好，标准间很大，装修也很人性化，早晨也不错，总之性价比超高', 'star': 5}
{'descr': '还算可以，性价比都不错，服务员态度很好，交通也算方便\r\n', 'star': 3}
{'descr': '感觉不错，感觉不错，感觉不错，感觉不错，感觉不错，感觉不错，感觉不错，感觉不错，感觉不错，感觉不错，感觉不错，感觉不错，', 'star': 5}
{'descr': '+环境舒适，干净。', 'star': 5}
{'descr': '还不错，性价比还算可以，价位不高，还赠送早餐', 'star': 5}
{'descr': '床不是很舒适，毛巾感觉不干净.', 'star': 5}
{'descr': '酒店有点偏，但总体还可以，价格也挺便宜', 'star': 3}
{'descr': '就是太偏僻了，其他条件都挺好，价格也挺便宜', 'star': 5}
