{'descr': '房间空调不行，很吵闹，而且屋顶很低很压抑', 'star': 4}
{'descr': '酒店的牌子非常小，位置还凑合，需要找一下，酒店设置非常温馨，住的豪华大床房，很舒适，尤其中意床头上面的大壁画，漂亮典雅，还带一个大的阳台，如果来度假偶尔晒个太阳浴相当8错，女老板很热情，，一进门的鱼坛子，，相当喜欢，总之很满意。下次有机会还会选择。', 'star': 5}
{'descr': '很安静', 'star': 3}
{'descr': '都不错，就是电视不太清楚！（冲字数，冲字数，冲字数）', 'star': 5}
{'descr': '位置很好就是入口有點難找，在橋的下方...沒有停車位不是很方便，不過房間很乾淨，不太好的是酒店內養了隻貓讓人不太舒服...', 'star': 5}
{'descr': '有特点的酒店 服务热情 房间还有露天小阳台  躺着看星星', 'star': 5}
{'descr': '整体感觉一般,住的套房,有一个厅,房间太小,不隔音,还有地铁声.', 'star': 1}
{'descr': '定的是豪华套房,很喜欢,有沙发,在二楼,大床超舒服,老外很多,安静,下次还会选择.', 'star': 5}
{'descr': '位置好，套房格局不错，但有点难闻的味道。', 'star': 3}
{'descr': '舒服', 'star': 3}
{'descr': ' 订的是套房，房间在一楼，有点吵。早上被旁边街道吵架的人吵醒了。 其他的还好，\n房间挺大的，位置很好，去步行街5分钟，很近！前台很好人，帮我们指路。 ', 'star': 5}
{'descr': '其实感觉不坏啦。\n订的套房，房间一般设施一般服务一般。\n这个价位，没啥好挑剔的。', 'star': 1}
{'descr': '这个价位，这个地段还是物有所值的哥', 'star': 3}
{'descr': '酒店有很多老外，服务员外语不错。服务态度也挺好。\n环境比较新，是去年新建的。设备有些旧。', 'star': 5}
{'descr': '很有特色的一个酒店，环境也还行，主要是离南京路近，离', 'star': 3}
{'descr': '环境还可以，地理位置也比较方便，价格上也比其他的便宜', 'star': 5}
{'descr': '店面，房间都很小，就是个旅馆，还算干净，交通便利，但不值这价！', 'star': 3}
{'descr': '带着孩子去上海玩定了标间和大床房，总的来说，性价比不错，距离地铁站大概三四个小路口，对于上海来说，这个距离算近的了，适合去上海购物时居住。附近餐饮也还算很多很方便。房间设施还不错，对一次性物品要求高的还是自带比较好。就是厕所果然有传说中的一点异味，开门进去时味道较重。前台服务也热情。', 'star': 5}
{'descr': '带着孩子去上海玩定了标间和大床房，总的来说，性价比不错，距离地铁站大概三四个小路口，对于上海来说，这个距离算近的了，适合去上海购物时居住。附近餐饮也还算很多很方便。房间设施还不错，就是厕所果然有传说中的一点异味，开门进去时味道较重。', 'star': 5}
{'descr': '酒店是帮家人订的，是豪华套间。她说很不错，挺干净的，住着也舒适，酒店位置不错，很方便，服务也很好。', 'star': 3}
{'descr': '酒店很干净,我住的豪华套房,服务很周到,也不是很难找,唯一一点美中不足,厕所新装修有味道,总体很满意,下次还住这里', 'star': 3}
{'descr': '本来想住住看看的，后来就一直住了五天。三天的复式房，二天的大床房。每个房间都不太一样，比如说我们住的复式312就比隔壁的305小很多。靠中间的大床房就比靠楼梯口的味道要轻些。天花板顶上听见了老鼠咯吱在打架。整体洁净，装修较新，价位实惠，前台人员也较友好。走5分钟到南京东路步行街，走8分钟到外滩，走20分钟到城隍庙，旁边有2号地铁线直接可到浦东机场。', 'star': 5}
{'descr': '地理位置挺好的。离南京东路地铁站就几分钟路。房间装修还好，杯子呀，洗发水啥的用的都是宜家的，东西挺新。就是个别房间卫生间味道还是有的。不过从性价比来说，推荐。', 'star': 5}
{'descr': '该酒店位子不错，服务态度好，对于要求高的人略显简陋。', 'star': 5}
{'descr': '重新装修了，感觉蛮干净的。就是我的那个房间空调坏了……这个天有点冷啊！其他都不错，地理位置相当好方便！', 'star': 5}
{'descr': '房间还不错，是新装修的，刚住进去建议还是要把窗户打开多通下空气，其他还是挺好的，位置不错。', 'star': 5}
{'descr': '豪华套房太棒了，房间大，床软。就是不知道装修完以后价格会不会涨，如果还是这样或者稍微只涨一点，以后去上海就住这家宾馆。酒店大门很小，而且标识不明显。建议酒店做个牌子在拐角，不然第一次去的很难找，我自己用导航找到的。而且谷歌地图上还是以前的店名。服务员态度也很柔和。一共住了3晚，2天豪华大床，1天豪华套房。', 'star': 5}
{'descr': '不知道装修过后价格会不会提升，反正感觉很超值。豪华大床房的电视最好也换成液晶的，当然数字电视是必备的。阳台的锁最好弄2个，毕竟那么个小锁有点让人不放心，卫生间的排风扇声音有点大，厕所应该清理下管道，有异味。总体超值，推荐。', 'star': 5}
{'descr': '本来订的是标间，后来到店给换了小家庭房，家庭房里面的一个房间没有窗户，气味有点重，其他还可以，刚刚装修的房间。', 'star': 5}
{'descr': '虽然入住时酒店正在装修，但是房间很舒适，整体卫生不错！前台服务生很亲切，一定还会来的！', 'star': 5}
{'descr': '的确还在装修，有些淡淡地装修味道，2楼以上就好多了，水很舒服，洗澡很爽，屋子也很宽敞，这个价位确实对得起了。就是卫生间的味道比较难闻，下水的味道很重，都不敢开门。', 'star': 5}
{'descr': '在这个位置，这个性价比都不错啊，但这是装修期间的价格，不知道装修之后还能否这样便宜。另外我住的房间下水道有点味道啊，希望商家能改正吧！下次去上海仍然会选它！', 'star': 5}
{'descr': '酒店房间没有网上说的那么大,有点小,不过豪华套房很不错!还在安装电梯,所以一进门的感觉很不好!', 'star': 3}
{'descr': '服务跟不上，房间无人打扫，入住时恰逢增设电梯施工，感觉很乱，位置隐蔽较难发现', 'star': 1}
{'descr': '该酒店位置黄金，离外滩商业区方便，但软环境不满意，假如不是因为一定要用信用卡先授信，我一定换地方！', 'star': 3}
{'descr': '位置相当好 交通便利 晚上还很安静 里面的设施也很标准 房间不算小 也不算打 这个价位是相当划得来的 下次一定还会去得', 'star': 5}
{'descr': '虽正在装修，室内略有新内饰的味道，但性价比不错，推荐一下。', 'star': 5}
{'descr': '酒店位置很好，交通方便，也容易找。因为酒店刚开业不久就入住了，有些配套设施还不完善。套房很棒，性价比高。', 'star': 5}
{'descr': '新开的，环境不错，地理位置优越，交通便利，离商业区近', 'star': 5}
{'descr': '还没有装修好，房间很小，没有介绍的五十平，但还是比较干净，地理位置不错，价格也还好。', 'star': 5}
{'descr': ' 新装修的酒店还有点油漆味，但是环境还算整洁，第一次住的时候免费升级的套房很不错！', 'star': 3}
{'descr': '子鱼居不错，地势好，交通方便。', 'star': 3}
{'descr': '优点：地理位置优越，与七浦路、南京路毗邻。闹中取静。价格优势。\n缺点：老房翻新，室内空气污染指数较高。安全措施欠缺，窗户一推即开，宾馆后的矮房一爬即入。隔音较差。综合起来导致当晚失眠。另外，电视信号很差。', 'star': 1}
{'descr': '刚刚成立的，正好在装修，外面有点乱的，总体还行的。', 'star': 5}
{'descr': '卫生条件还行，因为是新装修的，不过也有些气味。看中那里关键是地点好，过个桥就是七浦商业街了。', 'star': 5}
{'descr': 'new hotel\n新建的一家店，室内设施很好，但在路边，比较吵在早上的时候，晚间还可以~', 'star': 5}
{'descr': '还是不错的。。小而精致。。但是门口完全没有装潢好。。我去的时候正好在装电梯。。那个吵啊。。下午完全别想在酒店睡觉。。等全部装好了应该会好一点。。', 'star': 5}
{'descr': '位置很好,距南京路很近,外滩可以散步过去,旁边就是苏州河。小吃店也很多.酒店很诚信,床很舒适，很干净，因为房间紧还免费给我们升级了一间套房。只是外部环境差一些，大厅还在装电梯，这个价钱在这个地段，很值了！！', 'star': 5}
{'descr': '酒店新开张，总体还不错', 'star': 3}
{'descr': '价格还可以，逛街和游外滩非常的近，离地铁也就3分钟路，房间够大', 'star': 5}
{'descr': '蛮好的环境不错!', 'star': 3}
{'descr': '酒店新开的吧？ 有点油漆味。设施挺齐全，环境也不错，旁边还有许多小吃店。从上海火车站打的到这里26块钱。整体不错', 'star': 5}
{'descr': '很干净', 'star': 3}
{'descr': '整体还行吧，刚装修的，就是有点偏，但是出行还算方便', 'star': 5}
{'descr': '酒店的地理位置挺好，工作人员也很友善，很推荐他们家的套房，现在这个价位入住他家的套房很合算。', 'star': 3}
{'descr': '    房间干净，感觉挺好', 'star': 3}
{'descr': '价钱非常满意，卫生非常满意，非常推荐，下次一定还来', 'star': 5}
{'descr': '地段蛮好 环境也不错 隔音差  服务也蛮好 新开的 有油漆味\n', 'star': 5}
{'descr': '我们三号入住子鱼居宾馆，这离南京步行街走路不过三四分钟紧挨着苏州河，难得的闹中取静，店是新装的，挺干净，不是很大，挺满意。', 'star': 3}
{'descr': '宾馆是新装修的，挺不错', 'star': 3}
