{'短评内容': '酒店位置好', '短评打分': 5}
{'短评内容': '性价比勉强算可以吧，这种地段也就这样了。', '短评打分': 3}
{'短评内容': '房间有点小也有点旧，隔音也不好，可能是位置不错，老外挺多，不过总台的接待生非常好', '短评打分': 3}
{'短评内容': '位置不错，办事休闲都不错，就是硬件有点差，到这个年头，大块头电视台不给力了，追究品质的就不要选了，临时休息还是不错的。', '短评打分': 5}
{'短评内容': '环境不错，离外滩很近，安静优雅，除了设施比较老，其他还可以', '短评打分': 3}
{'短评内容': '房间很大，床很舒服，空调声音较大，电视机老化；\n早餐不错，日本人超多！', '短评打分': 5}
{'短评内容': '相比周围酒店来说，中福的性价比比较高!不错！不错！', '短评打分': 5}
{'短评内容': '  不错，就是价钱比上一次贵', '短评打分': 3}
{'短评内容': '相比周围酒店来说，中福的性价比比较高。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '蛮不错的 离我们要去的地方交通也很方便 以后还会再来', '短评打分': 5}
{'短评内容': '每次去上海基本上都住在这里的。', '短评打分': 3}
{'短评内容': '蛮温馨的！外面小吃多！生活方便！', '短评打分': 3}
{'短评内容': '总体来说这个酒店的性价比比较高！', '短评打分': 3}
{'短评内容': '酒店环境非常的好，房间也非常的宽敞，交通便利，值得入住！', '短评打分': 5}
{'短评内容': '离南京东路很近，很方便，酒店环境也很好', '短评打分': 3}
{'短评内容': '第一次在酒店遇见早上排队20分钟CHECK OUT的情况，也是第一次在酒店退房后五天才能收到预授权取消的事情', '短评打分': 1}
{'短评内容': '酒店位置很好，只是房间里面的设施有点陈旧，早餐还算不错', '短评打分': 5}
{'短评内容': '好老土的房间，电视还是玻璃屏幕，仿佛置身上世纪八十年代。', '短评打分': 3}
{'短评内容': '1、临时入住，老外很多，酒店规定12点以前退房，时间稍显紧张。\n2、普通标准间比我住过的其他酒店大一个床位，摆放了一整套沙发和茶几，就是稍显 \n   老旧了一点。\n3、酒店3楼中餐早餐一般，有单独吸烟区，品种选择不是很多，31层西餐厅没去不知\n   道早餐情况如何。\n4、前台女服务员态度不够热情，男的还不错，礼宾还可以。\n5、在广东路上，离外滩几百米的距离，总体来说还可以。\n6、酒店特色不很明显，', '短评打分': 1}
{'短评内容': '我们鼓励真实入住客人的点评，如果您最终未入住该酒店，您所发表的点评会被视为无效点评。\n', '短评打分': 5}
{'短评内容': '在上海，在这个繁华路段，基本酒店的水平对得起这个价格了。', '短评打分': 5}
{'短评内容': '不错!我是要去浦东送机的，因为约了人市区见面，所以在中福世福汇住下了。总体来说住这里去南京路和淮海路都很方便，几分钟就走到了!', '短评打分': 3}
{'短评内容': '非常不错的酒店，挺满意的，干净整洁，服务态度好', '短评打分': 5}
{'短评内容': '出行便捷,居住舒适,菜肴可口,服务温馨', '短评打分': 3}
{'短评内容': '前台服务极差，不知道是怎么培训的。装修风格比较西化，不过设施都老旧了。', '短评打分': 1}
{'短评内容': '呵呵！冬天空调很给力！!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '外滩性价比最好的酒店。值得推荐不后悔！', '短评打分': 3}
{'短评内容': '离外滩不远，挺方便的，视野很好。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '居住舒适,出行便捷,服务周到,菜肴可口', '短评打分': 3}
{'短评内容': '酒店位置极佳，但酒店房间设施很陈旧，卫生也不好。', '短评打分': 1}
{'短评内容': '酒店地理位置很好！很方便！适合差旅游客步行参观外滩和南京西路步行街，而且酒店服务也热情周到，挺舒适的感觉！', '短评打分': 5}
{'短评内容': '3月5日31楼的前台服务员服务态度是没有星级的比老板娘的还要拽。这样的酒店有这样的服务员真够倒霉的。', '短评打分': 1}
{'短评内容': '一般，房间小、设施很一般，早餐很一般，性价比很低', '短评打分': 1}
{'短评内容': '酒店很一般，服务也一般，有待提高，价格偏高', '短评打分': 5}
{'短评内容': '酒店一般般前台有一位态度很特别。价格比较贵，性价比不高。', '短评打分': 1}
{'短评内容': '房间乾净  地点很好  适合去上海玩的时候住..  餐厅的早餐就真的得要努力改善了.. ', '短评打分': 5}
{'短评内容': '一般般。价格和质量及服务态度不相符，还需很多努力', '短评打分': 1}
{'短评内容': '酒店还好拉 离南京路 外滩 豫园 都很近', '短评打分': 5}
{'短评内容': '环境不错哟~去周边地方很方便，以后来上海旅游可以继续考虑住那~', '短评打分': 5}
{'短评内容': '性价比不错，地理位置也很好，我会推荐朋友及同事尝试', '短评打分': 5}
{'短评内容': '酒店还行！大厅挺气派的！不过没早餐设施陈旧！房间大', '短评打分': 1}
{'短评内容': '好，房间很大，还有电脑。下次再考虑住那。', '短评打分': 5}
{'短评内容': '地理位置比较优越，市中心。酒店配套比较齐全，不过房间普遍偏小，不是很宽敞。周边吃的地方选择有限。', '短评打分': 3}
{'短评内容': '房间不大，但家具很有古典风格，床非常舒服，冬天入住的，空调非常好。不是紧邻江边，走过去也不远，周边小街很丰富，吃的用的都有，价格合适，值得推荐。', '短评打分': 5}
{'短评内容': '闹中取静，出行便捷', '短评打分': 3}
{'短评内容': '价格便宜，房间、卫生间都比较小，地段比较好，周边环境一般。', '短评打分': 5}
{'短评内容': '房间太小， 根本不是五星级的标准， 顶多是个三星。 ', '短评打分': 1}
{'短评内容': '地理位置不错，出行方便，离2号线地铁站很近', '短评打分': 5}
{'短评内容': '酒店地點，服務品質，值得推薦。但梳洗用品仍有改進空間。如能免費提供房客護髮素、護膚乳、刮鬍刀，更加符合實際。', '短评打分': 5}
{'短评内容': '电视太老了，至少也要换个大点的液晶的，房间有点小。', '短评打分': 1}
{'短评内容': '酒店房间很大，价格不贵，但装修稍显老旧。', '短评打分': 3}
{'短评内容': '经济，舒适，可以看到东方明珠，交通便利，去外滩和南京路比较方便。', '短评打分': 5}
{'短评内容': '地段不错，服务蛮好，就是房间有点旧有点小，总体性价比还行', '短评打分': 1}
{'短评内容': '房间宽敞舒服服务也很好，离南京路很近，推荐给大家！', '短评打分': 5}
{'短评内容': '性价比很高的五星级酒店，春节期尤其如此!!!!!!', '短评打分': 5}
{'短评内容': '酒店条件不错，标准间房间很大', '短评打分': 3}
{'短评内容': '强烈推荐，距离南京路步行街和外滩都还挺近的', '短评打分': 5}
{'短评内容': '不错，楼上还可以看到东方明珠广播电视塔，在房间还可以听到钟声，感觉很好', '短评打分': 5}
{'短评内容': '    春节过来入住，房间有优惠，性价比还可以，不过相对酒店星级来说房间和卫生间实在有些小，服务一般。另外入住酒店还要收40元的停车费还是第一次碰到。', '短评打分': 5}
{'短评内容': '26号入住的，为了看风景专门要的高楼层的房间，房间整体很上档次，春节期间会有特别优惠的房间，我们入住的288元特惠房，宽敞明亮的落地窗，推开19层窗户能看见东方明珠塔和南京路步行街，房间设施完备，热水空调都很满意，这个价位真是物超所值！\n另外，酒店地理位置非常理想，北边是南京路步行街，西边是人民广场，南边是豫园，东边是外滩，步行都不远！\n再去上海会优先考虑这里！', '短评打分': 5}
{'短评内容': '春节特惠的价格非常超值，在这个地段同等酒店估计找不到第二家。住在25楼，视野非常开阔，值得再住！', '短评打分': 5}
{'短评内容': '停车场不给力，车位太少还收停车费，上海特色！', '短评打分': 5}
{'短评内容': '我为了国外朋友订的房间，但是由于对方官员身份，由对方大使馆安排了地方，但是这里却需要提前3天退房，被迫收取了我的费用，以后不会安排这个饭店了，你们的名声也在人家国家中臭名远扬。糟糕的服务和不合理的收费。', '短评打分': 1}
{'短评内容': '前不久安排国外的朋友住在这里，主要是因为前几年我来过这里，觉得去南京路方便，但是这次住在这里闹得非常不愉快，我以后不会安排他们住这里了，这里的服务比以前差太多了。', '短评打分': 1}
{'短评内容': '价格还可以就是空调比较吵。位置也可以距南京路和外滩都很近。', '短评打分': 5}
{'短评内容': '特价房性价比超值，房间条件不错。位置很好，楼下小吃很多', '短评打分': 3}
{'短评内容': '酒店很不错，就是房间有点小，性价比很高。', '短评打分': 3}
{'短评内容': '酒店位置极好，交通便利，距离南京路、豫园、外滩都很近，公交车也比较方便。我住的时商务大床房，房间面积比较大，一家三口足够用，卫生更不用说的。周边时上海的小街巷，在繁华现代的上海领略着恬静安逸，很不错！！！', '短评打分': 5}
{'短评内容': ' 非常值得推荐，地段好，价格亲民。下次去上海绝对是不二选择！', '短评打分': 3}
{'短评内容': '位置好！硬件条件不错！价格实惠！春节体验后的感受！', '短评打分': 5}
{'短评内容': '这家酒店位置非常好，价格也不错，周边配套齐全，对面就是超市和一家港市餐厅，巷子里小吃到处都有，离外滩就几步路。', '短评打分': 5}
{'短评内容': '    环境挺好可以达到四星了', '短评打分': 3}
{'短评内容': '环境优雅，有免费升级豪华套房。', '短评打分': 3}
{'短评内容': '不错的选择', '短评打分': 3}
{'短评内容': '这家酒店我已住过好几趟了，酒店的卫生和配套好，里面的装修也挺豪华，价格也比较适中，位置也好，只是没早餐。', '短评打分': 5}
{'短评内容': '位置不错，内部条件虽比不上洲际等， 但还不错，比较古典的装饰，有点复古气息。性价比不错，人民广场周边非常合适的酒店。推荐！', '短评打分': 5}
{'短评内容': '位置优越，服务好', '短评打分': 3}
{'短评内容': '挺不错的一个酒店', '短评打分': 3}
{'短评内容': '位置好，价格不错，周边配套设施也方便，已经给很多朋友推荐。', '短评打分': 5}
{'短评内容': 'good location,price and service', '短评打分': 5}
{'短评内容': '房间比较好，空调很好用，缺点是早餐性价比太低，房间没有小冰箱', '短评打分': 5}
{'短评内容': '地理位置很好，酒店环境和服务都不错，特别是电梯很给力。住了三天，上下楼电梯基本上按了就有电梯开门，不知道是怎么设置的，这么快的响应。。。', '短评打分': 5}
{'短评内容': '性价比不高        性价比不高     性价比不高     性价比不高     性价比不高                                       ', '短评打分': 1}
{'短评内容': '酒店价格确实实惠，地理位置优越。缺陷是房间太小及洗漱用品太陈旧。', '短评打分': 3}
{'短评内容': '商业区，出行方便，信价比一般，早餐太贵，希望改进。1111111', '短评打分': 1}
{'短评内容': '交通便利，可以走路去公司，价格合理。下次还会住', '短评打分': 5}
{'短评内容': '房间小的不像是4星级酒店。早餐是自费的，一般般吧。房间里有味道。', '短评打分': 1}
{'短评内容': '地理位置非常好，到南京路步行街和外滩都很方便，性价比极高', '短评打分': 5}
{'短评内容': '酒店挺干净的，就是卫生间小了点，服务还不错。', '短评打分': 3}
{'短评内容': '地理位置很好，酒店的房间也不错。推荐！下次来上海还要住这！', '短评打分': 5}
{'短评内容': '房间较旧，设施一般，但地理位置极佳，出入方便，下次还住。', '短评打分': 5}
{'短评内容': '地理置好，离外滩很近，距离第一百货也很近，离南京路走路五分钟，性价比高。', '短评打分': 5}
{'短评内容': ' 房间偏小 但里面的红木家具比较喜欢', '短评打分': 3}
{'短评内容': '性价比很高的酒店·去外滩和南京路都很近 \n步行都可以到的。', '短评打分': 5}
{'短评内容': '环境很好~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店房间装修比较旧了，地理位置不错，靠马路有点吵', '短评打分': 5}
{'短评内容': '酒店位置和房间都很不错，每次老外来都带他住这里。', '短评打分': 3}
{'短评内容': '地处市中心人民广场附近 交通方便 适合观光客', '短评打分': 5}
{'短评内容': '靠近人民广场和南京东路，交通位置比较便利。\n', '短评打分': 5}
{'短评内容': '挺好的，就是装修一般', '短评打分': 3}
{'短评内容': '位置不错，还含有早餐，性价比不错，还会考虑入住 \n', '短评打分': 5}
{'短评内容': '优点：服务和位置都不错\n缺点：大床房间面积偏小，空调声音太吵', '短评打分': 5}
{'短评内容': '区域佳 性价比高 服务到位。 大堂有一个安装了电子设备的钢琴：自己弹', '短评打分': 5}
{'短评内容': '酒店干净、舒适、很不错、可以在房间里观看上海的夜景。如果服务员再热情一些就更好了。', '短评打分': 5}
{'短评内容': '在这个地段的高档酒店里面，中福世福汇的性价比较高，价格相对实惠。', '短评打分': 5}
{'短评内容': '有点隐蔽，但是这个地段酒店价格还行。周边有很多小吃饭店，大大马路也就几步路，到豫园、南京路步行街、外滩都挺近，愿意的话走着去都不远。', '短评打分': 5}
{'短评内容': '比较一般的酒店下次不会选择', '短评打分': 3}
{'短评内容': '前台不咋滴！服务不咋滴！房间不咋滴！卫生不咋滴！啥都不咋滴！', '短评打分': 1}
{'短评内容': '还行，就是隔音有点不大好，隔壁打电话都能听到==神奇的一沓啊。整体挺干净的，内部装饰也不错，很温馨，遗憾的是，没能住到窗户能看到外滩的那边房间。', '短评打分': 5}
{'短评内容': '该酒店位于市中心，交通非常便捷。酒店设施齐全，服务温馨，美食可口，是商务旅行的首选', '短评打分': 5}
{'短评内容': '这是个非常好的酒店，方便便宜，每次都住这个的', '短评打分': 5}
{'短评内容': '  该酒店位于市中心，交通非常便捷。酒店设施齐全，服务温馨，美食可口，是商务旅行的首选', '短评打分': 5}
{'短评内容': '酒店的服务都很到位，非常满意。客房很大，设施比较完善，对得起这个价格。', '短评打分': 5}
{'短评内容': '酒店的行政楼层房间不错，比楼下商务的设施好，所以建议大家住行政的房间', '短评打分': 5}
{'短评内容': '位置好，离南京路、外滩、城皇庙都不远,散步可达。条件也不错，只是价格稍贵。', '短评打分': 5}
{'短评内容': '房间很好 干净 床也很大 卫生间很好 设施设备也很新 住的很舒服 总之性价比很高 下次还会光顾的', '短评打分': 5}
{'短评内容': '第二次入住了，老外多，是不是外国人的定点？酒店老了些，停车额外四十一天，住店不免，忒贵了', '短评打分': 3}
{'短评内容': 'old but good location', '短评打分': 5}
{'短评内容': 'Good location, nearby walking street and convenient to go there.', '短评打分': 5}
{'短评内容': '位置不错，还含有早餐，性价比不错，还会考虑入住', '短评打分': 5}
{'短评内容': '地段绝对好，周边就是南京路和外滩。酒店环境也很好，就是房间比较小，可能是老牌的酒店，房间内还是老式的电视机，比较失望', '短评打分': 5}
{'短评内容': '性价比不是很高，但是地理位置很好，去哪里都方便，房间到中午12点后才有房间可以入住，可能因为住得人很多吧', '短评打分': 5}
{'短评内容': '经常来这里住， 每次来都住这，但这次感觉没有以前的服务好。', '短评打分': 5}
{'短评内容': '房间比较旧，设施还可以。', '短评打分': 3}
{'短评内容': 'It is the 2nd time we stayed in this hotel. The house keeping staffs are all very friendly and service minded. The rooms at a higher level seem to be in better shape than those on the lower level floo', '短评打分': 5}
{'短评内容': '酒店不错,地理位置和交通都非常方便,酒店满房,自动帮我们升级到套房,南京路附近算综合性价比较高的酒店,下次有机会还会入住.', '短评打分': 5}
{'短评内容': '酒店总体不错，接待及工作人员蛮热情的。酒店位置很不错，购物观光休闲都很方便。\n价格还算可接受', '短评打分': 5}
{'短评内容': '很旧，位置还不错，服务一般，总体性价比很不高', '短评打分': 1}
{'短评内容': ' 上海中福世福汇大酒店服务差，提点意见，前台服务员比客人还激动。', '短评打分': 3}
{'短评内容': '帮朋友订，还分内宾和外宾，价格差好多，不过总体不错，地段没得说，服务还行，房间有点旧', '短评打分': 5}
{'短评内容': '实在一般。', '短评打分': 3}
{'短评内容': '大床标准间与双床标准间相比面积小很多，平时价格还要贵一些。双床标准间比较实惠。', '短评打分': 5}
{'短评内容': '房间较宽敞，有宽带。本人周四入住价格较低，但周五入住价格涨幅较大。', '短评打分': 5}
{'短评内容': '位置很好，离南京东路和外滩都很近，房间很舒服。', '短评打分': 5}
{'短评内容': '该酒店总体不错，酒店位址离步行街和外滩很近，购物观光都非常方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '\n很好的位置，我觉得还是值得推荐的。服务也不错，总之可以。 \n', '短评打分': 5}
