{'短评内容': '交通方便，装修很好，早餐也很好，停车也很方便。', '短评打分': 5}
{'短评内容': '酒店虽小，很温馨，前台人员服务很好，性价比很好了，周边很热闹，有很多好吃的，推荐对面的汕头牛肉火锅，超喜欢，连去2天，需要提前排队的。', '短评打分': 5}
{'短评内容': '多次入住的一家酒店,各方面条件都还不错, 所处的位置也算闹中取静.周边吃饭打车都比较方便,离情侣路也不远.', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还行吧，地理位置不错', '短评打分': 4}
{'短评内容': '还行吧，地理位置不错', '短评打分': 4}
{'短评内容': '前台美美洪彤彤，刘丽芬很不错', '短评打分': 5}
{'短评内容': '离市政府近，房间比较大。', '短评打分': 5}
{'短评内容': '房间干净舒适清静，整体不错', '短评打分': 3}
{'短评内容': '地理优越，交通方便，房间舒适，美食宜人。', '短评打分': 5}
{'短评内容': '大床房布局还不错，酒店工作人员很热心帮我找来硬一点的枕头，晚上11点还有热咖啡喝牛奶可以点，感觉不错', '短评打分': 5}
{'短评内容': '酒店蛮新的，装修风格比较简约大方，距离吉之岛非常近，逛街购物都很方便，就是临马路比较近', '短评打分': 5}
{'短评内容': '酒店是新開業，因此算是干淨，設計也現代化，可國內的用料都有毛病-----持續力不夠，就是說有些地方已經出現老化，先天不足，就得靠後天好好保養。\n\n浴室水溫飄忽，有兩次會突然變成很熱的水，差點給燙著，另外積水也沒有好好疏導，我住的是豪華間，積水有溢出浴室的情況。\n\n此外床偏軟，住客宜留意。\n\n最後是地點偏遠，從拱北口岸打的去約25元(約20分鐘)，朋友們訂房時最好把房價加上來回車費作為成本。', '短评打分': 5}
{'短评内容': '位置十分好，服務亦佳，不過只送一份早餐.可以更加好的。', '短评打分': 5}
{'短评内容': '珠海丽舍酒店', '短评打分': 3}
{'短评内容': '特地来评价 服务一级棒  ，我住的是豪华双人间环境挺好，也挺干净，服务很好很好，唯一的不足就是房间稍小了一点   天热衣服洗的多房间挂满衣服，和客服说了下情况，晚上回来的时候房间多了一个立体衣架还帮我把衣服全挂上面去了。。。。所以原本定了一晚的我，又续订了两晚，下次去珠海还住那', '短评打分': 5}
{'短评内容': '一个新装修后新开业不久的酒店，地理位置非常好，就在香洲旺区，对面就是吉之岛商场。酒店内的设施都很新，布局也不错。感觉很好。特别喜欢大堂电梯口插的姜花，常常会不经意间飘来阵阵清香。 感觉不错的酒店，下次还来。\n不足之处，客房的洗手间的用玻璃隔断的，全透明的卫生间。如果是大床房可能采用这样的装修无所谓，但是我入住的是双床房，感觉就非常的尴尬，连上个卫生间都不方便。如果能改进这点就比较好了。', '短评打分': 5}
{'短评内容': '不错，性价比高，推荐。酒店比较新，床很软，服务态度热情。', '短评打分': 5}
{'短评内容': ' 不错，就是贵了点', '短评打分': 3}
{'短评内容': '因为要去对面的电脑城办事就住到了这个酒店，房间还是不错的，比较干净，整洁。早上早餐也比较丰富，总之对的起这个价钱！', '短评打分': 5}
{'短评内容': '因为要去对面的电脑城办事就住到了这个酒店，房间还是不错的，比较干净，整洁。早上早餐也比较丰富，总之对的起这个价钱！', '短评打分': 5}
{'短评内容': '位置交通都好！算是比较精致的，就是早餐不够丰富！', '短评打分': 5}
{'短评内容': 'good。连续住了很多次了。床很舒服，是我见过算好的床了。晚上很静', '短评打分': 5}
{'短评内容': '房间设施比较新，性价比高，位置也不错，下次去珠海还会选这。', '短评打分': 5}
{'短评内容': 'Very good，靠近吉之岛很好的一家酒店，可惜的是没吃过他的早饭', '短评打分': 5}
{'短评内容': '房间干净，很新', '短评打分': 3}
{'短评内容': '服务不具有专业水平，相当\n差劲，退房时行李消失了大半个小时，从来未遇到这种情况。', '短评打分': 1}
{'短评内容': '装饰可以,但服务与管理不行!', '短评打分': 3}
{'短评内容': '位置很中心,房间有点小。', '短评打分': 3}
{'短评内容': '＋地点可以，新装修，早餐价有点高', '短评打分': 3}
