{'短评内容': '不错，公司协议，又有了早餐', '短评打分': 5}
{'短评内容': '客房清理不到位，服务还是比较热情，位置离星海公园还不是很远，不要弄脏床单就好。。。', '短评打分': 5}
{'短评内容': '酒店新装修，环境不错，价格在同一区域还算不错，自助早餐基本属于没有啥可吃。因为大连比较小公交很便利。开发区办事入住比较理想。', '短评打分': 5}
{'短评内容': '非常好，很干净，周围有肯得基，吃东西也很方便，下次来还会去。', '短评打分': 5}
{'短评内容': '非常好，下次去了还会住，环境好，交通便利', '短评打分': 5}
{'短评内容': '我订的是大床房，卧室和卫生间很干净，被子也很干净，周围环境很安静，屋里有网线，电视也很好，总之这个价位物超所值啦！', '短评打分': 3}
{'短评内容': '很干净，很舒适，早餐比较简单，其他都很好', '短评打分': 5}
{'短评内容': '＋挺好的，很新，房间很干净，服务员态度不错。下次有机会还选这里。', '短评打分': 3}
{'短评内容': '挺好找的，就在路边，很干净，硬件设备很好，服务态度很好，如果以后来还会继续住这里的，一路出差，性价比最高的酒店了', '短评打分': 5}
{'短评内容': '酒店刚开的，挺新挺干净，服务态度也很好，效率很高。地点不是在市中心，不过坐202出去挺方便的。唯一的不足是酒店隔音不太好，早上7点就听到外面吵闹声。建议服务员打扫的时候，说话声音可以小一点，不要影响了客人的休息。还有一点就是，厕所有异味，换了间房间还是有，希望酒店可以改善一下哦·', '短评打分': 5}
{'短评内容': '性价比非常高，可能是因为是试营业期间价格优惠，不知正式营业后是否会涨价。我住的是大床特价房，188元，无窗，但是室内装修的非常好，有空调，一点都不闷，走廊里还的装修的味道，但室内没有，服务上有点小瑕疵，但提出后立刻就改了，新开业，可以原谅。床住的也非常舒服，下次去考试，还住这！只是发票还没开，快点邮寄过来哟！', '短评打分': 5}
{'短评内容': '新开的酒店，暂时不能刷卡，暂时没有发票，但是设施都很新，就是有一股装修的味道。\n服务的态度很好', '短评打分': 5}
{'短评内容': '环境不错，很干净', '短评打分': 3}
{'短评内容': '不能刷卡比较郁闷，其他都很棒，虽然位置偏了点，但是去部分景点交通很便利，性价比高！', '短评打分': 5}
{'短评内容': '酒店总体来说还可以，就是位置不好，周围买东西，吃放不很方便。', '短评打分': 5}
{'短评内容': '酒店式新装修的，整体还可以，周边的商店，餐馆有点少。', '短评打分': 5}
{'短评内容': '酒店是新装修的 ， 前台服务很周到 ， 只是浴室的下水道排水不是特别好，应该清理一下头发，这样会更好，总体来说很好，还会光顾的\n\n', '短评打分': 5}
{'短评内容': '卫生挺好， 就是没有窗户！早饭还算可以。', '短评打分': 5}
{'短评内容': '新装修的酒店，非常棒，地角稍微偏僻。可惜电视识别不了移动硬盘。', '短评打分': 5}
{'短评内容': '环境不错，服务态度不错，卫生细节做得不够到位，空调不冷。', '短评打分': 3}
{'短评内容': '感觉非常好·！非常好~！非常好~！以后还会选择这家酒店~！', '短评打分': 5}
{'短评内容': '总体感觉还行，设施也挺齐全，新开的酒店，就是靠近马路一侧的房间晚上有点吵，隔音不是太好。', '短评打分': 5}
{'短评内容': '入住办手续太慢', '短评打分': 3}
{'短评内容': '还不错，因为是新开的缘故，比较划算，自助餐或许可以改进一下。', '短评打分': 5}
{'短评内容': '交通方便，新开的酒店，装修设施比较新。比旁边的如家便宜。', '短评打分': 5}
{'短评内容': '新开的酒店，环境可以，服务也行。交通比较方便。说的过去。', '短评打分': 5}
{'短评内容': '挺好    暂时没有让我失望的地方   再住住看', '短评打分': 3}
{'短评内容': '还不错~离我们公司很近，便于今后公司来客人的住宿安排。', '短评打分': 5}
{'短评内容': '酒店很新，很干净，住的很舒服，不知刚装修完会不会对身体不太好，别的都很不错。', '短评打分': 5}
{'短评内容': '很新，性价比还不错~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '极其之差，首先环境可能是新盖好的满楼道臭橡胶味道，洗澡的下水还堵了。更恶心没地停车和老婆把车停出去好远。', '短评打分': 3}
{'短评内容': '新开的酒店，设施很好，价格还可以，现在还有装修的味道。', '短评打分': 5}
{'短评内容': '＋新开的，很干净。性价比很高。但希望在没有窗的房型上标上（无窗），方便选择。', '短评打分': 3}
{'短评内容': '新开的酒店，很干净，还有早餐，就是有点远。', '短评打分': 5}
