{'短评内容': '人为杂乱，房旧', '短评打分': 3}
{'短评内容': '退房时前台问迷你吧有无消费？实情是迷你吧空无一物，无从消费！同样，一般应有的洗衣单也要打给房务才有。另外，房间的电视跟床的距离太远，建议选双号房，景观也较好。中餐厅午茶不错，晚宴很好。', '短评打分': 5}
{'短评内容': '- Excellence.', '短评打分': 3}
{'短评内容': '为同行订的房间。大家感觉早餐还是很一般，不够丰富。但是大堂很有特色，有水有桥有鱼有光。热爱摄影的同行，的确发烧了一番。', '短评打分': 5}
{'短评内容': '还可以吧，没有其他的选择，可以接受！如果有其他的五星级酒店，特别是国际品牌，那就.....?\n', '短评打分': 5}
{'短评内容': '这家酒店房间很大，设施也齐全够档次，但是服务水平一般。尤其是行政楼层，价格比其他房间类型要贵，但是却没有其他国际品牌的五星级酒店行政楼层通常都备有的专用酒廊和免费会议室。加上另外付费的酒水和会议室，房间费用大大超过了口碑很好的例如深圳香格里拉酒店。感觉到物无所值。建议不入住行政楼层。', '短评打分': 5}
{'短评内容': '这是第一次入住湛江皇冠，因房间卫生未能及时清理，前台主动帮偶升级，心里感觉很舒服。房间承袭一贯的皇冠风格，特别舒适，尤其是枕头被子！美中不足的是吃饭不是很方便,西餐厅的自助餐提不起食欲…', '短评打分': 5}
{'短评内容': '很好非常舒适、服务周到、房间设施等都配置得很好，就是会有点吵.楼层高比较好', '短评打分': 5}
{'短评内容': '非常舒适、服务周到、房间设施等都配置得很好；是度假或商务旅游的理想之地。', '短评打分': 5}
{'短评内容': '国际连锁管理 服务热情 处理事情比较灵活 为客人着想 不错', '短评打分': 5}
{'短评内容': '可以向其他人推荐，主要因为湛江别无他选。与其他当地酒店相比，尚好！然而，要是与大都市的同类酒店比较的话，就会有相当的差别。同为一家品牌为何已经标准下滑，难道不是同一理念吗？希望能够统一经营理念、同一工作目标，真正成为名副其实的品牌酒店。', '短评打分': 5}
{'短评内容': '真正湛江最好的酒店，硬件没话说，只有提一下餐厅的服务。有天早餐时段，安排坐下来後去取食物，回来竟然有陌生人搭座，应该是知客没留意。相对来说，奉茶时没同时给茶匙和奶是小问题了。', '短评打分': 5}
{'短评内容': '酒店环境不错，很漂亮，房间内装修很一般，电视机还是很大的老式的。', '短评打分': 3}
{'短评内容': '没有别的选择时，也只能推荐这家。不过，床垫过硬而枕头过软，有些过时。服务没有特色。如果有其他的选择，也许会不断改进。', '短评打分': 5}
{'短评内容': '替外国朋友订的，算是湛江最好的酒店了吧，他很满意', '短评打分': 5}
{'短评内容': ' 2119 2129 2105', '短评打分': 3}
{'短评内容': '国际连锁管理 服务热情 处理事情比较灵活 为客人着想 不错', '短评打分': 5}
{'短评内容': '不错 但希望增加多房型 以便更多的选择 同时应争取尽可能多的优惠价格！', '短评打分': 5}
{'短评内容': '离机场非常近 整体感觉还不错 服务人员很热情', '短评打分': 5}
{'短评内容': '大厅  不错  环境 还好              内部装修也可以', '短评打分': 5}
{'短评内容': '虽然性价比不高，但至少干净卫生。自己也曾经是洲际集团的员工，还是有种莫名的亲切感', '短评打分': 5}
{'短评内容': '怎么没有 消费券 返还现金呢? 麻烦查询 谢谢!', '短评打分': 5}
{'短评内容': '湛江最好的酒店，真正的五星级，软硬件俱可，有协议的话价格会很实惠', '短评打分': 5}
{'短评内容': '是我住过皇冠酒店里面大堂最有特色之一的酒店，我还拍了照片，有个很大很大的金鱼池，让住客感觉不像是酒店，很轻松的环境，饭菜也很可口，价格超便宜，但是服务很五星，下次去湛江一定还是选择皇冠！！！', '短评打分': 5}
{'短评内容': '替外国朋友订的，他很喜欢，可是价格小贵，到底是五星级', '短评打分': 5}
{'短评内容': '还可以！但对于经常出入5星级酒店的人来说，可能就不尽人意了！尤其是早餐！', '短评打分': 5}
{'短评内容': '没有别的品牌五星可选，可以接受。但就同类酒店水平而言，一般！！', '短评打分': 5}
{'短评内容': '总体而言，物有所值，就是喝早茶的地方过于嘈杂无序，服务人员的业务水平有待提高，特别是普通话。', '短评打分': 5}
{'短评内容': '很普通过时的酒店', '短评打分': 5}
{'短评内容': '一个正常的5星酒店,没有什么特别的,去湛江机场很近,适合赶飞机的人', '短评打分': 5}
{'短评内容': '这家酒店虽然是五星级，个人认为服务不够五星级水平，房间设施也不够，充其量就够的上四星的标准，三楼到七楼全都是娱乐场所，让人感到“乌烟瘴气”，如果楼层住低了，晚上KTV的音响非常吵人，都2点钟还在吵，服务人员素质应该是达不到五星的水平的。整个酒店的大环境不是太高雅。', '短评打分': 1}
{'短评内容': '在湛江能住上这样的酒店已是很好。只是枕头太软不成形，睡得不舒服，能像其他有些五星级的酒店那样，采用人体工学式的枕头就更好了，希望改进！', '短评打分': 5}
{'短评内容': '设施尚好，只是早餐一般，不过，下次去湛江还会住这个酒店。', '短评打分': 5}
{'短评内容': '房间的卫生和设施方面都很不错,住着很舒适,服务人员也比较热情,但就是酒店的位置离市中心有点远,不是太方便.', '短评打分': 3}
{'短评内容': '不错，推荐', '短评打分': 5}
{'短评内容': '酒店设施比较新，环境，服务都不错，早餐也很好。性价比值得推荐。', '短评打分': 5}
{'短评内容': '与大城市的五星级比还是在服务上有差距。早餐品种少，收费时错收等。尤其是下水系统不好，马桶不下水。没有其他五星级酒家竞争，服务就是打折扣。', '短评打分': 5}
{'短评内容': '位置很方便，我们在附近办公，价格也不高挺合适的', '短评打分': 5}
{'短评内容': '酒店的服务不好，当时住房结帐时酒店告诉我说房间的毛巾能脏了，让我陪200元，我让酒店拿出那条脏毛巾，他们有说已经收起来去洗，非要陪钱，最后没办法陪了50元，很恼火', '短评打分': 1}
{'短评内容': '大堂很漂亮,价格合理.', '短评打分': 5}
