{'短评内容': '设施老熬旧，为什么还要80个字。', '短评打分': 4}
{'短评内容': '因为有KTV，所以有点吵，空调有点旧声音大些，服务还可以，早餐还行。', '短评打分': 1}
{'短评内容': '干净、整洁，客房很安静和较舒适，性价比高，交通方便。', '短评打分': 5}
{'短评内容': '酒店很脏', '短评打分': 3}
{'短评内容': '性价比高', '短评打分': 3}
{'短评内容': '酒店总体讲还可以。但性价比不高。早餐的可食性强。', '短评打分': 5}
{'短评内容': '替朋友定的酒店。他住过之后反映很差。具体情况不清楚。反正他说这家酒店完全够不上四星的标准。', '短评打分': 1}
{'短评内容': '毛巾太旧', '短评打分': 3}
{'短评内容': '交通便利，服务尚可，可惜质次价高，凌晨1.2点钟饭店依然不安静，楼后施工，走廊吵闹，一夜不得安宁，招待所水平而已，让人郁闷至极！', '短评打分': 1}
{'短评内容': '还会继续来住这家酒店，不错。还会继续来住这家酒店，不错。', '短评打分': 5}
{'短评内容': '房间不错，早餐可口，值得推荐，我去汉口基本上都住这家酒店', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '酒店很好，很干净，房间也比较大，就是在装修大门，吃早餐很冷', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '服务远远达不到四星标准，住进去就后悔了，不推荐', '短评打分': 1}
{'短评内容': '房间没有可以打开的窗户，只有一个30*30的小气窗。问前台，称所有房间都一样。\n酒店前面有一个工地，很吵\n除了价格，其他的远远达不到四星标准，特别是服务\n', '短评打分': 1}
{'短评内容': '经常住，有时订不到。', '短评打分': 3}
{'短评内容': '太旧，服务也不太好。客房中心说有擦鞋服务，服务员说没有给客人擦过。', '短评打分': 1}
{'短评内容': '离机场告诉比较近,赶早上的飞机住这里比较方便.前台的妹妹感觉很迷糊, 服务质量一般.', '短评打分': 5}
{'短评内容': '地理位置比较好，打车方便，离机场比较近。早餐品种还行，只行餐厅有点拥挤。', '短评打分': 5}
{'短评内容': '酒店的地理位置很好，到机场和火车站都很近。而且比较好打出租车。楼下就有吃饭的地方，不远就是武汉的金融街了。挺不错的。推荐。', '短评打分': 5}
{'短评内容': '还是不错的酒店，准四星装修，去机场比较方便', '短评打分': 5}
{'短评内容': '总体不错的酒店，准四星吧，现在又涨价了，早餐还可以', '短评打分': 5}
{'短评内容': '这次来武汉还是住的这个酒店，总之就是交通比较方便。因为离机场比较近。现在武汉在建地铁，路上堵得厉害，所以交通第一。另外酒店周边吃的玩的都还比较方便。', '短评打分': 5}
{'短评内容': '地理位置比较好，打车方便，离机场比较近。早餐还行！推荐！', '短评打分': 5}
{'短评内容': '如果从汉口站出发的话，住在金盾还是不错的，', '短评打分': 5}
{'短评内容': '地处繁华地带，交通方便，商业中心，酒店环境不错', '短评打分': 5}
{'短评内容': '处于闹市区，地理环境优越，交通方便，服务比较好', '短评打分': 5}
{'短评内容': '西餐厅的伙食真是不一般的差！', '短评打分': 3}
{'短评内容': '比较方便，早餐好,担任减少，不易订到单人间，需要加强！', '短评打分': 5}
{'短评内容': '该酒店地处汉口，交通方便，酒店较老，标4星可能有些高，但是考虑其价格与实际入住的房间条件，觉得还是值得推荐', '短评打分': 5}
{'短评内容': '酒店环境不错，交通比较发达，购物之类的都比较方便', '短评打分': 5}
{'短评内容': '挺好. 只是门的隔音不太好. 外面关门, 有人走过大声一点也会听到. 有时候听吵的.', '短评打分': 5}
{'短评内容': '没有四星级的标准， 很旧， 床很硬。性价比不高', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '位置可以，房间够大，设施一般，床不舒服，窗外噪音太大，服务一般（武汉市的服务水平都不高。', '短评打分': 1}
{'短评内容': '离机场很近，房间也很干净，下次还会来住。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '离店时，酒店部分地方在装修，希望装修后酒店设施会好点。酒店早餐中的热干面很地道，不错。', '短评打分': 1}
{'短评内容': '酒店设施较老，性价比不高。我用的中国联通，信号太差了。', '短评打分': 1}
{'短评内容': '不错的酒店，性价比尚可，早餐中等，不过沿街的房间噪音有点大。', '短评打分': 5}
{'短评内容': '到汉口火车站交通很方便。只是房间设施旧了一些。', '短评打分': 5}
{'短评内容': '武汉金盾大酒店', '短评打分': 3}
{'短评内容': '餐厅吃的还不错，交通方便，位于市中心地段挺好', '短评打分': 5}
{'短评内容': '＋餐饮不错，硬件一般，服务响应较快。', '短评打分': 3}
{'短评内容': '环境、服务、都可以，餐饮质量尤其不错，性价比很好。建议推荐，建议选择。', '短评打分': 5}
{'短评内容': '酒店太陈旧了，收费不低，但是距离某夜场较近', '短评打分': 1}
{'短评内容': '很好。前台房间早餐都很好。标准四星。', '短评打分': 3}
{'短评内容': '硬件较陈旧 服务生硬 老国营感觉 不够三星  最多老的低的三星 有按摩小姐热情 不知道怎样 没有召唤  总的感觉不好', '短评打分': 1}
{'短评内容': '性价比不高.....设施比较老旧.附近也没什么可以逛的地方.', '短评打分': 1}
{'短评内容': '住过一次套房，感觉还可以，后来住了一次小房间感觉有点旧', '短评打分': 5}
{'短评内容': '不错,干净、方便、服务不错，建议大家入住该酒店。', '短评打分': 5}
{'短评内容': '我是出差去东西湖办事,此酒店交通很方便,酒店服务也不错.', '短评打分': 5}
{'短评内容': '交通位置比较方便，总体来说还可以。。。。。。', '短评打分': 5}
{'短评内容': '很OK的一个酒店，就是前台服务人员没有微笑。硬件设施和早餐都不错', '短评打分': 5}
{'短评内容': '早餐不错，附近吃东西的地方也挺多的。下次还回来', '短评打分': 5}
{'短评内容': '早餐感觉挺好，就是晚上的网速比较慢，如果能够配备无线的就最好了。', '短评打分': 5}
{'短评内容': '总体来说不错，早餐的口感挺好。房间挺大的，比较舒适', '短评打分': 5}
{'短评内容': '订的房间不要与隔壁房间还有一个门，隔音不好', '短评打分': 5}
{'短评内容': ' 房间还可以，就是有点旧。', '短评打分': 3}
{'短评内容': '不要订住房间里面跟隔壁房还有一个门的房间', '短评打分': 5}
{'短评内容': '地理交通位置\\酒店内部环境都不错,尤其是比较安全.', '短评打分': 5}
{'短评内容': '酒店整理感觉不错，交通方便，去机场方便，早餐不错，房间也比较大，好像是近一两年装修了。不过价格稍微偏贵了一点。', '短评打分': 3}
{'短评内容': '该酒店装修得比较新，房间挺大的，早餐还不错，但是价格稍微偏贵了些。', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '还不错，总体感觉还行。早餐很丰富，地理位置很方便，离机场和商区都很方便。', '短评打分': 5}
{'短评内容': '我来武汉制定的酒店，早餐很OK，这次推出的永和小站黑豆乳很不错，呵呵。唯一的劣势就是感觉网速有点慢，如果能够把网速提高那就更完美了。酒店对面的口味堂餐厅很OK，晚上几个朋友去吃饭挺尽兴的', '短评打分': 5}
{'短评内容': '酒店有点老，但是设施也还好用，没什么不好的地方，早餐品种也还丰富，就是培根有点发酸', '短评打分': 5}
{'短评内容': '还可以就是电视换一下就好了，卫生方面很好，早餐也很合丰富', '短评打分': 5}
{'短评内容': '位置很方便，床很舒服，性价比很高，下次还会去住！', '短评打分': 5}
{'短评内容': '环境不错，安全舒适，早餐很好，建议把电视机换成液晶的，一切还好。', '短评打分': 5}
{'短评内容': '中规中矩的一个酒店，一般商务的话随便住住而已，中等偏上一点，这个价格没有太大优势。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '武汉金盾大酒店酒店的环境还好，卫生服务都不错，住得舒服。因为靠近汉口火车站，去汉口火车站很方便。早餐还可以，个人感觉价格可以低一点。', '短评打分': 5}
{'短评内容': '去汉口火车站很方便, 酒店中规中举.但千瓦不要住靠街的房. 武汉的交通非常乱, 所有车都喜欢按喇叭. ', '短评打分': 5}
{'短评内容': '总体还可以，位子好，价格高了点，房子还可以，下次还是会入住', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施比较一般了，建成时间比较早的酒店，卫生服务都还好，位置稍微有些偏，但是很安静。如果喜欢比较热闹的地方就不太适合，价格很优惠，性价比还是可以不错的值得推荐入住！ ', '短评打分': 3}
{'短评内容': '房间很大，卫生条件也不错，位置离市中心很近，早餐很好，住得很舒适，下次还住，价格能在低一些就更好。', '短评打分': 3}
{'短评内容': '房间很好，卫生条件也不错，位置离市中心很近，早餐很好，下次还住。', '短评打分': 5}
{'短评内容': '下去武汉还住这家宾馆,建议安上宽带,更换一下电视机', '短评打分': 5}
{'短评内容': '不错，如果以后月机会还会入住，并推荐给朋友。就是12点就要退房，有些不合时宜。', '短评打分': 5}
{'短评内容': '櫃台讓人有種很冷漠的感覺,不過門口的服務人員倒是十分熱情,不厭其煩的說明飯店附近&amp;武漢的景點.總的來說,飯店櫃台&amp;大堂副理服務態度不是那麼親切', '短评打分': 1}
{'短评内容': '酒店还行', '短评打分': 5}
{'短评内容': '还不错,卫生做的好，服务态度更好。最大优点是距离机场近。', '短评打分': 5}
{'短评内容': '酒店卫生各方面还是可以的，交通很方便，周边吃饭的地方也很多，环境还不错', '短评打分': 5}
{'短评内容': '赶不上以前了。特别是要说明的一点的是，这么热的天，居然房间内小冰箱内什么可以喝的都没有，不知道是怎么在管理的。', '短评打分': 5}
{'短评内容': '地理位置很方便  要是网上价格比协议价要便宜就更好', '短评打分': 5}
{'短评内容': '该酒店交通方便，价格适中，舒适度一般，房间湿度比较大', '短评打分': 5}
{'短评内容': '酒店还不错，早餐也还行，但是前台服务有待改进。。。', '短评打分': 5}
{'短评内容': '每次都入住这家酒店，各方面都很满意，性价比高。', '短评打分': 5}
{'短评内容': '酒店位置很好，离机场和市区都很近，很方便。\r\n硬件条件很好，空间大，房间面积大，沙发也很舒服。很安静。\r\n唯一感觉不好的是卫生间设施比较老旧，浴缸和马桶下水都不顺畅，洗澡的时候水排得很慢。可能是酒店历史太久了，如果能把卫浴设施更换，排水做得好点，就完美了。', '短评打分': 5}
{'短评内容': 'li wu han han kou station hen jin. 5 fen by taxi. zao can shi pu tong level. suo you de dong xi pu tong. dan shi somehow wo bu xiang zai lai. ', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店不错，性价比还好', '短评打分': 5}
{'短评内容': '房间还是比较大，不过没有矿泉水提供，其他各方面还可以。', '短评打分': 3}
{'短评内容': '总体来说还可以，不过一楼西餐厅的套餐品种有点少', '短评打分': 3}
{'短评内容': '房间挺大的，服务也还可以，不过早餐比较一般，而且房间不提供矿泉水', '短评打分': 5}
{'短评内容': 'High standard hotel with reasonable prices.\r\nWould stay here again.', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '其他都不错，就是客人太多了', '短评打分': 5}
{'短评内容': '值的推荐！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '都比较一般，价格还是偏贵', '短评打分': 1}
{'短评内容': '位置还好，但房间设施较差，房间也较小，性价比不高，下次不会考虑住了。 ', '短评打分': 3}
{'短评内容': '设施旧了些，马桶下水慢，花洒也坏了。', '短评打分': 3}
{'短评内容': '位置很好,酒店服务也不错,干净.需要改进的是:我住的房间冲凉的是立式的,但挂帘太短,一洗澡整个卫生间地面全是水.另外,早餐除了面类不错,其余的感觉不新鲜.', '短评打分': 5}
{'短评内容': '服务较差，前台爱搭理不搭理的样子，像谁欠她的一样。位置较好，去机场也方便。', '短评打分': 5}
{'短评内容': '酒店还不错.', '短评打分': 5}
{'短评内容': '很不错的酒店，卫生条件不错，服务也很到位，下次还会住的。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '四星级中还算不错', '短评打分': 5}
{'短评内容': '2005第一次入住至2010已五年,硬體部份應該更新,服務方面要大力加強,下次到漢口還是首選金盾.', '短评打分': 3}
{'短评内容': '服務人員態度要大力加強,向早餐部(女)服務態度看齊,讓客人有回家的感覺!', '短评打分': 5}
{'短评内容': '这个酒店在江汉区，离汉口火车站大概3公里左右。还算方便。', '短评打分': 5}
{'短评内容': '离机场较近,早餐还行!', '短评打分': 5}
{'短评内容': 'nice', '短评打分': 5}
{'短评内容': '位置真的很好，从汉口火车站出来坐双层公交汽车，大概4、5站就到了（汉口火车站附近不容易打到正规出租车，还是坐公交吧）。大清早的在酒店门口打车去机场很方便。大床房的床不错，睡起来很舒服。因为只住了一晚上，服务设施什么的还来不及体验，就不发表意见了。', '短评打分': 5}
{'短评内容': '早上去机场，这个酒店位置比较好。其它方面总体也不错。 ', '短评打分': 5}
{'短评内容': '位置在离机场较近，第二天一早赶飞机可以选择该酒店', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以吧，不算太差。', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '感觉档次不错 推荐', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '这个酒店的床用太久了，席梦思垫子都塌下去了，睡上去一点都不舒服，住店就想好好睡觉，这个是最基本的东西，希望好好改进。', '短评打分': 1}
{'短评内容': '挺干净，不过现在在装修，也挺便宜，但是经常没有房，但运气好的话可以免费升级', '短评打分': 5}
{'短评内容': '每次来武汉都住这里，交通方便，早餐还可以吧，服务很好。', '短评打分': 3}
{'短评内容': '地理位置好，服务也不错', '短评打分': 3}
{'短评内容': '要早上去机场的住这里很方便', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '综合还不错。', '短评打分': 5}
{'短评内容': '这里对我来说是上班方便，早餐不是很丰富，服务和卫生方面都不错的，出门打车也方便，对比后下次出差还会住这里吧。', '短评打分': 5}
{'短评内容': '酒店服务很好，早餐吃到了武汉的小吃热干面。', '短评打分': 5}
{'短评内容': '这次入住是日本人，他们评价酒店服务很好，早餐有很简单，房间的卫生可以的，因为上班方便，下次还会住这里。', '短评打分': 3}
{'短评内容': '这次是给我公司的日本人订的房间，总体来说是可以，武汉到处堵车，从这里走金山大道去我公司方便，服务很好，总之，他们还是会住这里的。', '短评打分': 5}
{'短评内容': '还不错的酒店，个人觉得性价比还可以。', '短评打分': 3}
{'短评内容': '早点太差！\r\n', '短评打分': 1}
{'短评内容': '酒店设施老化，早餐不行了', '短评打分': 5}
{'短评内容': '沿街的房间有点吵,真个房间的感觉不错', '短评打分': 5}
{'短评内容': '我觉得这家酒店各个方面还可以，离我办事的地方也不远，要是价格在低点就更合适了 ', '短评打分': 3}
{'短评内容': '环境还可以，价格偏高，前台结帐太慢', '短评打分': 5}
{'短评内容': '在汉口火车站下车，又在汉口火车站附近办事，所以就订了这家离汉口火车站不远的酒店。总体感觉还是可以的，前台的态度很好，早餐也不错。', '短评打分': 3}
{'短评内容': '中规中矩的酒店。从汉口火车站乘公交车到机场河站下就到了，两、三站路的样子。早餐还不错，有热干面吃。马路对面是武汉性文化博物馆，下次有时间一定去看看，呵呵。', '短评打分': 5}
{'短评内容': '房间还可以设施和卫生都挺不错,内部环境也是挺不错的,服务态度还行,位置也还是挺好找的,性价比也不错.', '短评打分': 3}
{'短评内容': '在汉口，去机场和火车站均很方便．', '短评打分': 5}
{'短评内容': '酒店离机场很近，卫生条件很好，值得出差居住', '短评打分': 3}
{'短评内容': '酒店很一般了,设施方面很陈旧了,服务和卫生方面也一般.我觉得这样的酒店不值得推荐.', '短评打分': 3}
{'短评内容': '位置很好，去机场方便，卫生也不错，结帐有点慢，但态度还可以吧。旁边吃的方便。下次还住这里。', '短评打分': 5}
{'短评内容': '价格高了点', '短评打分': 5}
{'短评内容': '酒店装修比较旧，而且窗户不能打开，通风不好，但酒店位置很好，去机场很方便', '短评打分': 5}
{'短评内容': '位置和价格不错，其他较一般 临街有些吵啊 3星半比较贴切', '短评打分': 5}
{'短评内容': '房间略微小了点，服务还可以，离火车站和汽车站都不算太远。', '短评打分': 3}
{'短评内容': '位置不错，离机场很近，适合差旅', '短评打分': 5}
{'短评内容': '比较经济实惠', '短评打分': 3}
{'短评内容': '还可以吧.', '短评打分': 5}
{'短评内容': '价格便贵', '短评打分': 1}
{'短评内容': '房间隔音效果不太好，地理位置不错，早餐也不错挺丰富的。', '短评打分': 5}
{'短评内容': '谢谢大堂副理送的生日蛋糕!每天忙到很晚,有时没有带房卡,服务员很热心!另外早餐很不错!谢谢了!', '短评打分': 3}
{'短评内容': '非常好,离火车也不远,设施很干净,朋友过生日,还送了礼物,谢谢了!', '短评打分': 5}
{'短评内容': '适合商务住宿，位置合适。', '短评打分': 5}
{'短评内容': '帮朋友定的，说是很大的烟味，环境一般；只有给他换酒店了。', '短评打分': 1}
{'短评内容': '酒店的服务很不错，位置还可以，算是挺方便的，但是设施比较陈旧，可能是酒店开业时间比较长了。', '短评打分': 3}
{'短评内容': '酒店的地理位置很好,离机场近,环境不错，卫生也比较好，服务人员态度也比较好， 就是早餐不是很好.\r\n', '短评打分': 5}
{'短评内容': '我感觉酒店挺不错的,都能达到五分标准.', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '位置很好 旁边吃喝的很多 尤其是夜宵隔壁的一家 在武汉也算知名粤式晚茶 至于玩的嘛 对面 旁边有好几家汉口这边大型的KTV 商旅嘛 也算很方便了  早餐比较有汉派特色 热干面 面窝等等传统小食都有 ', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好，适合差旅', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧，距离四星标准很远，不过早餐还行。', '短评打分': 1}
{'短评内容': '该酒店不是现在装修的酒店,时间比较长了!', '短评打分': 5}
{'短评内容': '环境不错，卫生也比较好，服务人员态度也好，还赠送了水果！\r\n酒店只是送单早有点小气！\r\n\r\n', '短评打分': 5}
{'短评内容': '环境不错，卫生也比较好，服务人员态度也好，还赠送了水果！早餐很丰富！就是单早比较头痛的！其他都好！', '短评打分': 5}
{'短评内容': '大堂敞亮,客房整洁,但陈设很单调,没个性,没情调,大楼外侧LOGO黯淡,晚上不好找.\r\n位置不错,距离周边餐厅夜市等设施很近,对过是湖北教育出版社.\r\n是武警总队的三产.', '短评打分': 5}
{'短评内容': '服务极差，在中餐厅吃饭，竟然不让我们进大堂，只能坐在走廊里。桌布上还有大窟窿，丁点不像四星酒店的餐厅。点的东西都是极普通的，结果单是米粥就用了一个多小时，汤还没点上，也没告诉一声。我抱着5个月大的孩子，陪着老母亲，坐在那里苦等。服务员也不在，茶水也没有，老母亲空嘴吃菜，齁的不行。后来孩子饿的直哭，我抱着孩子上楼，让服务员给打包让我母亲带上来。结果服务员还让我母亲交押金，并且不让挂房帐。我们交了10', '短评打分': 1}
{'短评内容': '酒店很不错，我就是去那边办事，住了一下，感觉他们的硬件设施，服务环境很好，价格要是再便宜点就更好了。', '短评打分': 5}
{'短评内容': '总的来说还是不错的！！！！服务热情，房间比较干净！！！', '短评打分': 5}
{'短评内容': '酒店的环境设施都还不错.我到武汉都入住这家酒店,酒店的位置出行很方便很干净很舒适的酒店.价格也很合适.', '短评打分': 5}
{'短评内容': '酒店位置方便，价格适中，感觉还不错，尤其是早餐很不错，很好。', '短评打分': 5}
{'短评内容': '服务比较生硬', '短评打分': 5}
