{'短评内容': '洗澡洗着没热水～我去', '短评打分': 1}
{'短评内容': '价格是便宜没错，但条件实在简陋！', '短评打分': 3}
{'短评内容': '还可以吧！一般啦，价格欲与服务差不多。不过设施不是很好，隔音也不是很好啦，对于住一夜的学生族会不错哦！', '短评打分': 5}
{'短评内容': '经济实惠！', '短评打分': 3}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '特价房 没窗户 还可以 就是 的确隔音效果不怎么样', '短评打分': 5}
{'短评内容': '隔音效果太差了。晚上还有人在走廊讲话非常大声。', '短评打分': 1}
{'短评内容': '不好住，一点都不舒适，还不如住类似7天，锦江这种的经济连锁酒店！', '短评打分': 1}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '不错，实惠', '短评打分': 3}
{'短评内容': '交通便利，周边环境不错，酒店内部设备一般，装饰老了点，住的无窗的房间，有点压抑。', '短评打分': 5}
{'短评内容': '设施不怎么样', '短评打分': 3}
{'短评内容': '卫生条件一般 交通还算方便 这个价卫来说还算挺合适的', '短评打分': 3}
{'短评内容': '价位合适 不过卫生条件差一些 拖鞋也没有一次性的', '短评打分': 3}
{'短评内容': '价格便宜，地点也不错，还有免费报纸，就是太吵了。', '短评打分': 5}
{'短评内容': '价格便宜，交通方便，卫生一般，前台服务一般。', '短评打分': 5}
{'短评内容': '？宾馆设施一般，尚属干净，物有所值。', '短评打分': 3}
{'短评内容': '价格实惠，网络电话都挺方便。建议学生或上班族出差入住。', '短评打分': 5}
{'短评内容': '本酒店太陈旧，设施太烂适合普通旅游人住宿。周边吃饭的点太少。不过在市区交通方便', '短评打分': 1}
{'短评内容': '相当经济的一家酒店，适合对酒店要求不是很高的人', '短评打分': 5}
{'短评内容': '特价房房内味道比较大，主要是卫生间的味道，还有窗户没有防护网，不安全', '短评打分': 1}
{'短评内容': '不能算是个酒店吧，就是个招待所而已！\n地理位置差！', '短评打分': 5}
{'短评内容': '是厦门市不错的平价酒店，若与我出差地点有接近的分店，企鹅都是我的首选，各分店多位处交通便利之地', '短评打分': 5}
{'短评内容': '住的特价房，这种价位差不多就是这种房间吧，谈不上好也谈不上差', '短评打分': 1}
{'短评内容': '说实话在厦门这样的房价和宾馆还挺多的，不过服务不错！', '短评打分': 5}
{'短评内容': '地点方便，电视有个节目，全天都在放电影，不错。但房内的设置偏旧。\n', '短评打分': 5}
{'短评内容': '还可以啊还还可以真的还可以啊，就是太吵了', '短评打分': 3}
{'短评内容': '我已不是第一次住这家店了，感觉还是物有所值的。只是提醒各位两点：一是向住客收取地方建设税（不一定是这个名，反正类似的），二是不要在“厦洽会”期间（每年9月8日开始）入住——因为即使预定的是一个低价位，届时也强制性地“浮动”上去了（我第一次就吃了这样的亏）。', '短评打分': 3}
{'短评内容': '我已不是第一次到“这”家店了——足以说明我是认可的。但要提醒今后的朋友：不要赶在厦门“98投洽会”时去，那时，即使你预定的是“低价房”也要“强行”提价的——我第一次时就遭逢到“痛击”。在此告诉后来者事先有个“准备”。除此之外，这个店市话和长途免费---如果这不算新鲜，那么住店者能免费乘坐环岛旅游车，这可不是常见的了。上一次有，这一次还有（这次是“平时”状态）。', '短评打分': 5}
{'短评内容': '酒店设施陈旧，服务员从头到尾就见过一个前台，打服务电话也没人接。隔音效果非常差，感觉很不安全。除了便宜基本上没其他要说的，囧。', '短评打分': 1}
{'短评内容': '老板人不错，但是环境太差', '短评打分': 5}
{'短评内容': '酒店位置还可以，就是卫生条件较差，服务一般。这个价钱，哎。。。勉强吧', '短评打分': 1}
{'短评内容': '还好，就是能为普通客房加份早餐就好了，前台提供免费报纸和环岛游巴士票很不错', '短评打分': 5}
{'短评内容': '交通方便，价格合理，主要是卫生还需加强。', '短评打分': 3}
{'短评内容': '交通方便，价格实惠，但卫生方面还需加强。', '短评打分': 3}
{'短评内容': '比较便宜，但是走廊上的灯光一晚上都亮着，窗户上的帘子又透光，所以一晚上看着窗外的灯光都没睡好~~~~烦躁啊，值得推荐的原因就是便宜而且好找，所以建议22点以后飞机或者火车到达厦门的朋友去住一晚就好~~反正就睡6个小时左右，躺躺就天亮了然后出来逛下换个旅馆也就好了，房里可以洗澡可以上网，也没什么特别的坏处。', '短评打分': 5}
{'短评内容': '地理位置很好，能在这个价位住到还是不错的。', '短评打分': 5}
{'短评内容': '酒店位置可以。。环境就很一般。。。服务也是非常一般。总的来说就是不太好', '短评打分': 1}
{'短评内容': '房间有股异味...房间有股异味...房间有股异味...', '短评打分': 1}
{'短评内容': '哎，其实这个价位的酒店真的已经不敢多说什么了，可是他们的卫生真的。。。很差。那些水壶和喝水的水杯，一层污垢的，我拿他们的一次性牙刷去刷都刷不掉~主要就是这个~', '短评打分': 1}
{'短评内容': '前台服务态度较差，性价比一般,服务态度一般，厕所不好', '短评打分': 1}
{'短评内容': '性价比高，位置好。', '短评打分': 5}
{'短评内容': '隔音效果不好，性价比一般', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '环境一般,交通方便,性价比高', '短评打分': 5}
{'短评内容': '该宾馆的位置还是不错的，乘公交车很方便。但往火车站方向乘车时在宝龙中心站上车最方便，但从火车站方向过来时就不能在该站下车，而应该在莲花路口东站下，然后过过街天桥往前走。', '短评打分': 5}
{'短评内容': '卫生和环境一般，房间气味有点怪', '短评打分': 5}
{'短评内容': '价格实惠地点好，就是房间有点吵，屋子较大没有窗，有个窗户对过道；过道经常有人跑，跑的声音还不小，要是不吃安眠药，真有可能睡不着！', '短评打分': 3}
{'短评内容': '    总体性价比不错，就是隔音差，早上都是被一群小孩子吵醒的，也不知道怎么会住那么多小孩，我住了6天，天天如此……无语了……但是就厦门来说100住这种位置已经知足了', '短评打分': 5}
{'短评内容': '先说不满意的地方吧：\r\n\r\n1，床单有破洞，还有补丁。不过也算干净，我订特价房，这样的价位应该也算了。可是后来我们发现被褥里，有棉絮发霉啦，打电话到总台去要求换被褥，总台说，服务员已经下班了，哎，我们也就将就地睡下了……\r\n\r\n2，一直在装修，好吵，大清早的，就在隔壁钻，非常难以忍受。打电话给总台，总台好质疑地说“很吵吗？”我们要求退房之后再这样。电钻声音没有了，但是又是另外一种装修的声音。额……', '短评打分': 5}
{'短评内容': '有点吵', '短评打分': 1}
{'短评内容': '性价比还不错的，对的起价格的，一分钱一分货啊 ', '短评打分': 5}
