{'短评内容': '酒店前台服务态度不咋地，冷冰冰的', '短评打分': 4}
{'短评内容': '不错  豪华商务套间~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店干净安静  ', '短评打分': 3}
{'短评内容': '位置不错，设施一般，连浴袍都没有，最不好的是楼下停车还收费', '短评打分': 5}
{'短评内容': '酒店简洁干净，楼下的唐宫早茶很好，价格也公道，紧挨四环，交通便利', '短评打分': 5}
{'短评内容': '床很小，上网不方便，服务不错。～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '房间装修不错，就是贵了点，上网还收费，小设施坏了也没及时维修', '短评打分': 3}
{'短评内容': '两年前住过一次，B座房间感觉不错。这次在附近商务，就再次选择，差距较大，感觉房大而空，设备有点陈旧。尤其结账时居然有莫名奇妙的咖啡吧账单绑架，房号与登记姓名修改的完全一致，为此结账转来转去40分钟，责任到底在谁？谁能知道哪间房住哪位客人？值得管理者三思！！！！！', '短评打分': 1}
{'短评内容': '酒店整体环境还可以，交通很方便，就是价格偏高，如果能再优惠点就非常OK了。', '短评打分': 5}
{'短评内容': '房间设施不错，舒适。房间隔音还好，虽在四环边，但也不吵。 离地铁站很近，出脚方便。 ', '短评打分': 5}
{'短评内容': '房间大小合适，也比较干净。二楼的早餐不错，其他餐饮也尚可。就是交通不太方便，早上出租车困难，建议酒店增加叫车服务。', '短评打分': 5}
{'短评内容': '地理位置很好，房间让人感觉很高级，很舒服，非常干净，下次还会选择这里', '短评打分': 5}
{'短评内容': ' 前台服务态度太差，就好像欠他们钱一样。房间环境不错，日常用品齐全。宽带收费，这点太垃圾了。总体评价60分', '短评打分': 3}
{'短评内容': '＋感觉一般般，停车收费，价格不菲！若要过夜停车，估计得付一间房价格！', '短评打分': 3}
{'短评内容': '不像四星级。', '短评打分': 3}
{'短评内容': '酒店很不错', '短评打分': 3}
{'短评内容': '床太小', '短评打分': 3}
{'短评内容': '服务不错，干净，性价比高。', '短评打分': 3}
{'短评内容': '＋环境不错，服务不错', '短评打分': 3}
{'短评内容': '酒店不错，就是价格如果再优惠一点就更好了', '短评打分': 5}
{'短评内容': '离机场相对近，如果在附近工作或参加会议中心的活动，就是理想的酒店。不好的就是下午二点所有餐厅就不营业了。应该起码有一家开吧。', '短评打分': 5}
{'短评内容': '当天下午4点多入住，前台告知房间都没有打扫出来需要等30分钟，这点让我非常不能接受，挂牌4星的酒店就算入住旺季，下午4点入住还没有打扫出来的房间？还需要等30分钟？  争论几句后 大堂经理过来及时解决问题，说实话态度非常好，马上安排尽快打扫房间，不到15分钟房间打扫完毕，整个入住的两天感觉不错，房间设施较新，服务态度不错，虽然有这样以一个小插曲，但还是值得推荐入住\n\n最后补充一句，有时候酒店自己定', '短评打分': 5}
{'短评内容': '酒店性价比比较合适下次可以再来', '短评打分': 3}
{'短评内容': '很不错，卫生好，隔音好，淋浴好，是4星级的样子，就是有点小贵，总的来说很不错了～', '短评打分': 5}
{'短评内容': '房间性价比非常合适，安静方便，可以经常去', '短评打分': 5}
{'短评内容': '酒店总体不错,推荐!环境挺好.早餐太贵.', '短评打分': 5}
{'短评内容': '因工作一直关注,交通\\购物\\设施都很好.', '短评打分': 5}
{'短评内容': '离工作的地方交通方便。总体来说很好，推荐！', '短评打分': 5}
{'短评内容': '地理位置非常好，在三环边上,出行方便，周边交通\\购物\\银行方便.', '短评打分': 5}
{'短评内容': '服务好，环境好，配套设置齐全，交通便利，购物方便。', '短评打分': 5}
{'短评内容': '設施良好, 位置佳, 服務尚佳. 藝龍價錢合理. 推薦.', '短评打分': 5}
{'短评内容': '位置不错，房间很大，卫生一般，上网收费较高。', '短评打分': 5}
{'短评内容': '非常好的餐饮服务，非常好的房间服务，非常周到的前台接待服务', '短评打分': 5}
{'短评内容': '地理位置非常好，在三环边上,出行方便，对面餐饮店比较多。', '短评打分': 5}
{'短评内容': '交通便捷，位置好找，办事方便，下次还住。推荐。', '短评打分': 5}
{'短评内容': '总的来说还行，就是早餐不好吃，还很贵，单价要60.服务态度一般，比较冷淡。就是位置挺好的，在四环边上，离地铁也近，打车也比较方便。', '短评打分': 5}
{'短评内容': '帮老板定的，主要是离工作的地方交通方便。总体来说还不错啦，推荐！', '短评打分': 5}
{'短评内容': '很有特色的一家宾馆。条件不错，价格有点偏高。建议给予网订更多优惠。', '短评打分': 5}
{'短评内容': '真的不咋样的酒店，实在徒有虚名，性价比不高，服务欠佳，真的需要改进！！\n价格要适度降低，服务要提升！！！', '短评打分': 1}
{'短评内容': '环境挺好，交通比较便利，就是早餐贵还不好吃，服务态度一般。', '短评打分': 3}
{'短评内容': '环境好，高档', '短评打分': 3}
{'短评内容': '不错的酒店，值得再次住。\n不错的酒店，值得再次住。\n', '短评打分': 5}
{'短评内容': '一楼酒店居然不能挂帐.不知道怎么回事\n觉得酒店至少要尽到告知义务还得自己掏钱\n郁闷', '短评打分': 1}
{'短评内容': '位置好，服务好，价格公道。吃饭方便，出行方便。旁边的安徽大厦就有民航大巴的站点（售票点在安徽大厦里面）', '短评打分': 5}
{'短评内容': '新装修，时间不长，位置好，物有所值，希望能保持下去.遗憾的是早餐自费价格太贵！总体上值得推荐！', '短评打分': 5}
{'短评内容': '\n满意', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '新装修，时间不长，位置好，物有所值，希望能保持下去', '短评打分': 5}
{'短评内容': '   酒店内部环境不错,周边的交通也方便,已第二次入住。推荐。', '短评打分': 3}
{'短评内容': '西藏大厦软硬件都有四星级的表现，就是少数服务人员服务态度需改善，另外宽带最好是免费。', '短评打分': 5}
{'短评内容': '不错的酒店。房间较大，设施新，很舒适。办理入住手续有些慢。 值得推荐！', '短评打分': 5}
{'短评内容': '酒店不错，刚装修完，价格和条件比很值，希望保持', '短评打分': 5}
{'短评内容': '酒店环境不错，房间也比较舒适，干净卫生~~比较推荐~~就是有点贵了~~', '短评打分': 5}
{'短评内容': '酒店环境不错，房间也比较舒适，干净卫生~~比较推荐', '短评打分': 5}
{'短评内容': '临时入住的,感觉还可以,就是稍微有点小贵', '短评打分': 5}
{'短评内容': '不错，设施权，价格也还公道，服务也周到，比旁边的国玉什么的好得太多太多了，TM的烂国玉连快捷酒店都不如', '短评打分': 5}
{'短评内容': '酒店很好，在四环边上能有这样性价比的酒店很好，房间的床很舒服，遗憾的是没有早餐！', '短评打分': 5}
{'短评内容': '  已入住西藏大厦709房。   戴亦虹', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '协议价比以前贵了二十多,有点超预算了，其他的还是不错', '短评打分': 3}
{'短评内容': '酒店设施及服务相当好！地理位置优越！以后还住这家酒店！', '短评打分': 5}
{'短评内容': '性价比尚可', '短评打分': 3}
{'短评内容': '交通便利，环境很好，美中不足洗澡间地漏不通', '短评打分': 5}
{'短评内容': '房间大，很舒适。北京气候干燥，建议配加湿器，至少豪间要配。', '短评打分': 3}
{'短评内容': '酒店服务还行', '短评打分': 3}
{'短评内容': '不错!下次还来。', '短评打分': 3}
{'短评内容': '西藏大厦地理非常不错，四环边上，公交系统发达，还可以选择地铁出行，很方便。房间也很大，有浴缸，装修也很有西藏特色，特别是A座二层的香帕拉餐厅，很西藏。服务业不错，唯一美中不足之处就是餐厅的菜价有点偏高。', '短评打分': 5}
{'短评内容': '这次入住的是A楼，整体感觉比B楼好很多，B楼底下有个迪厅，吵死了', '短评打分': 5}
{'短评内容': '北京西藏大厦很喜欢，很有特色，很喜欢，下次还会住。', '短评打分': 5}
{'短评内容': '酒店房间干净、够大，感觉不错。但没有早餐，上网还要交费不爽。', '短评打分': 3}
{'短评内容': '酒店位置不错，离地铁站很近，周边有我爱吃的餐饮，呵呵。', '短评打分': 5}
{'短评内容': '西藏大厦所在交通方便，设施好，房间大，早餐不错，对面有雅玛铁板烧，哈哈', '短评打分': 5}
{'短评内容': '这家酒店蛮干净的，服务人员的服务态度蛮不错的，餐饮的水平也不错，但是前台的英语能力需要加强，二楼咖啡厅的服务有时不太到位，可能因人而异吧！', '短评打分': 5}
{'短评内容': '地理位置方便，上网收费非常不方便，希望改进。', '短评打分': 5}
{'短评内容': '经常入住此酒店，酒店位置好，外出办事非常方便，服务一般。', '短评打分': 5}
{'短评内容': '酒店环境不错', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '好的酒店有几个质素 西藏大厦起码占了交通便利的条件 ', '短评打分': 5}
{'短评内容': '不提供免费上网，非常不方便，而且上网收费太贵了。\n', '短评打分': 5}
{'短评内容': '酒店地理位置好，商务出差非常方便，离地铁近，就是房间有点吵。', '短评打分': 5}
{'短评内容': '交通方便，价格还能接受，但房费不包上网费用是最大不便，2幢是新建的比较好。', '短评打分': 5}
{'短评内容': '西藏大厦新装修后很不错。冬季能提供加湿器就更人性化了。', '短评打分': 3}
{'短评内容': '前台服务比较冰冷，没有四星级酒店应该有的态度，希望能改进。', '短评打分': 5}
{'短评内容': '前台服务有些生硬，其它还都不错。地理位置很方便。', '短评打分': 5}
{'短评内容': '订的是含早的，但酒店没有主动的提供餐券，必须是顾客听出来后才提供。', '短评打分': 1}
{'短评内容': '这次是住在A楼的，感觉还行，晚上房间不开空调都可以。', '短评打分': 5}
{'短评内容': '在亚运村附近办事很方便，旁边就是地铁5号线。', '短评打分': 5}
{'短评内容': '房间设施已经更新，到机场交通便利、周围商业店铺也已发展起来。', '短评打分': 5}
{'短评内容': '房间设施简易，服务一般。', '短评打分': 3}
{'短评内容': '每次到北京住这家酒店，卫生，交通等方面很不错，前台的服务也可以，下次还会选择这里的。', '短评打分': 5}
{'短评内容': '北京西藏大厦房间挺大的，设备也挺新，灯光和温度都很好，管理也挺规范的。第N次定了。', '短评打分': 5}
{'短评内容': '房间挺大的，设备也挺新，灯光和温度都很好，管理也挺规范的。', '短评打分': 5}
{'短评内容': '总体还行，就是这次住的房间浴缸下水不畅，洗澡不爽，其他的，还行', '短评打分': 5}
{'短评内容': '很不错，第三次住了，打算以后来北京就选这家酒店', '短评打分': 5}
{'短评内容': '四环路边，交通非常方便，每次公司来客人都会安排在这里。', '短评打分': 5}
{'短评内容': '前台人员态度有点差，导致以后不想再次入住', '短评打分': 5}
{'短评内容': '挺好的，就是这次登记的时候前台人员态度有点差，导致我对这件酒店好感度有所降低', '短评打分': 5}
{'短评内容': '性价比挺好,如果住宿停车能不收费就更好了', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '住过几次了，酒店不论是装修还是放假设施总体感觉都很不错，就是这次登记的时候前台人员态度有点差，导致我对这件酒店好感度有所降低', '短评打分': 5}
{'短评内容': '住的是B楼，二楼有个迪厅，吵了一个晚上，没睡好，建议住A厅', '短评打分': 5}
{'短评内容': '各方面都还行，只是房间有些小。洗衣还是非常好，楼下早餐还不错。', '短评打分': 5}
{'短评内容': '设施很好', '短评打分': 3}
{'短评内容': '房间很大，舒适，电视可以看国外节目，价格比较实在，很不错', '短评打分': 5}
{'短评内容': '酒店客房被子薄，不舒服，其它设施都可以。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '贵酒店服务非常周到，安静并且舒适,本人非常满意。', '短评打分': 5}
{'短评内容': '这里地理、交通方便，周边吃饭的地方也多，卫生干净，房间也比较大，很好！', '短评打分': 5}
{'短评内容': '酒店地理位置不错,大堂环境也可以,性价比不错.', '短评打分': 5}
{'短评内容': '很不错,网站地址有误,应该是安慧桥北口西一百三十米', '短评打分': 3}
{'短评内容': '总体性价比高，房间飘亮，交通便利，就是价格高一点。', '短评打分': 5}
{'短评内容': '很好,位置也不错,性价比很高,就是前台办理入住时间稍微慢一些.', '短评打分': 5}
{'短评内容': '酒店位置不错，出入方便，介绍朋友入住，他也比较喜欢。', '短评打分': 5}
{'短评内容': '住了三天酒店的早餐水平不均衡，有两天挺好的，中间一天早餐很差。不知道是不是因为会议水平高低不同，但对我们这些散客需要自己交钱吃早饭的人来说又些不公平', '短评打分': 3}
{'短评内容': 'B座晚上没有保安人员，安全有隐患。上网费用每小时10元过高。', '短评打分': 5}
{'短评内容': '十分干净与温馨！', '短评打分': 5}
{'短评内容': '亚运村边很好的一个选择。', '短评打分': 3}
{'短评内容': '酒店位置就在亚运村边上，离我办事的地方很近，酒店底层就是唐宫海鲜舫，非常适合商务宴请。酒店房间设施不错，睡眠质量也很高，比较推荐。', '短评打分': 5}
{'短评内容': 'B座基本没有保安，只在白天看过有人站岗，晚上根本没有，作为酒店出入自由，住客安全无保障。', '短评打分': 5}
{'短评内容': '西藏大厦酒店设施和服务较好，谢鑫泉', '短评打分': 5}
{'短评内容': '位置非常好，楼下还有唐宫海鲜，很方便，离亚运村非常近', '短评打分': 5}
{'短评内容': '一个四星酒店居然说没有办法提供预定出租车的服务！\r\n第一天入住酒店的被子上居然有新鲜的血迹！', '短评打分': 5}
{'短评内容': '服务不错，出行也方便。只是早餐好象量不够，我出来得晚了些，就没什么吃的了。不过好在周边吃的还比较多。', '短评打分': 5}
{'短评内容': '入住。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '对这家酒店整体都还比较满意每次去那边都入住西藏大厦还挺方便的，只有这次多收了20元的早餐费，核实后也给退还了希望以后工作能认真仔细。', '短评打分': 5}
{'短评内容': '+好', '短评打分': 5}
{'短评内容': '酒店清洁卫生，服务好，周边有超市，离机场也很近，是性价比较高的一家酒店。', '短评打分': 3}
{'短评内容': '以多次入住此酒店， 主要是交通非常方便。', '短评打分': 5}
{'短评内容': '交通方便，服务态度好，卫生方面也可以。很不错，有机会还会入住。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，离机场也比较近，很方便。房间很干净，是家不错的酒店。', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '+不错', '短评打分': 5}
{'短评内容': '十年前住过此店，前几日八人同行我提议住在这里，便宜，干净都很满意，就是前台订房服务太慢了，没人排队至少需半个小时，效率太低了。西部发展都比此快。', '短评打分': 5}
{'短评内容': '+唯一不足就是宽带收费', '短评打分': 5}
{'短评内容': '整体感觉还不错，停车场收费不合理。建议酒店不收费用。', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '服务很好，整体房间给人的感觉也很干净舒适，主要觉得地理环境不错！', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都行，出行交通也方便。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都行，出行交通也方便。服务卫生舒适度也都还不错，遗憾的是无抽纸。 \r\n', '短评打分': 5}
{'短评内容': '干净、整洁、设施设置比较方便也比较细致，价格再低一些就更好了', '短评打分': 5}
{'短评内容': '好，但价格高', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '地理位置很方便，离地铁3分钟。酒店装修很新，环境舒适度很不错。不过早餐很贵。', '短评打分': 5}
{'短评内容': '干净整洁，设备很新，采光很好，色彩很不错……很舒服……', '短评打分': 3}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '停车费要钱不合理，其他还行。B楼感觉空空的，慎得慌。', '短评打分': 3}
{'短评内容': '房间很干净整齐，设施全面，卫生间用品特别干净，卫生间也是特别干净。 酒店地理位置很方便。   400左右能住到感觉很值', '短评打分': 5}
{'短评内容': '已入住，西藏大厦酒店不错，是我来京的常住地', '短评打分': 5}
{'短评内容': '房间设施很新，颜色舒服…', '短评打分': 5}
{'短评内容': '收停车费不是很人性化，停车场是不小，连这点小钱还挣，质疑。', '短评打分': 1}
{'短评内容': '总体来说很不错的，卫生间没有抽纸，窗户外面玻璃太脏', '短评打分': 5}
{'短评内容': '酒店位置很适合我的需要，住豪华间52平米的，也很舒适。    \r\n但！\r\n1.早餐极其一般，幸好一楼有家唐宫；\r\n2.7月24日晚十二点，值班总机话务员，虽使用标准礼貌用语，但仍让人感觉不爽，可能怪我太晚打扰她休息了。\r\n3.7月26日早十点，B楼8层服务员，在我已点亮“请勿打扰”的情况下，仍推开了房门.....', '短评打分': 1}
{'短评内容': '总体来说很不错的，唯一的不足是卫生间的卷纸质量太差，没有抽纸', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '晚上11点订的，还有房，很幸运。\n住在b座，房间很满意，安静，凉快。\n大浴缸~~~~~~~\n比我想的好很多，下次还去！\n\n价格小贵，呵呵，还不带早餐~还有就是我住店，居然要我停车费！！！！', '短评打分': 5}
{'短评内容': '位置不错，服务有待于改进，下次还去住', '短评打分': 5}
{'短评内容': '优点:位置方便,价格适中,下午两点退房。装修后比以前舒适且没有什么装修味道。\r\n不足：住店客人停车收费无优惠，问之回答含含糊糊。', '短评打分': 5}
{'短评内容': '新装修的酒店，还是很舒适的，就是前台的服务亟待改善', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '房间很舒适，设施也比较新，感觉不错，帮朋友预定的，朋友非常满意', '短评打分': 5}
{'短评内容': '非常好， 与五洲皇冠对面，离会议中心很近，服务也不错，离地铁也近', '短评打分': 3}
{'短评内容': '浓郁民族特色，服务也很好，会议中心不远， 离地铁也近，华堂， 在在四环办事很方便', '短评打分': 5}
{'短评内容': '酒店离鸟巢很近，非常适合参观鸟巢和水立方的朋友住。酒店的规定是下午2点结账，很人性化。', '短评打分': 5}
{'短评内容': '太暖和了。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '交通便捷，酒店的新楼房间大，非常舒适。酒店内有唐宫海鲜舫，夜总会，设施齐全。', '短评打分': 5}
{'短评内容': '这酒店我住过很多次了感觉一次比一次差，距离公司近，没办法。办理入住登记，我始终觉得欠服务员200块钱，房间弥漫着尘土的味道，桌子上尘土很厚，用手拍床单都冒烟了，后来要求换了一间，还凑合。', '短评打分': 1}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '我去的时候酒店正在装修比较乱,服务还可以,位置不错交通便利.', '短评打分': 3}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都很不错，出行交通方便。服务卫生舒适度也都还不错，价格合理适中。之前到北京一直入住这家酒店整体来讲还是非常满意的值得推荐入住。性价比很好的酒店。', '短评打分': 5}
{'短评内容': '酒店的条件非常不错，舒适整洁，如果去附近办事这家酒店是值得住的', '短评打分': 5}
{'短评内容': '酒店的服务，设施都不好，价格还这么贵，上网让他们给弄个网线还要收费，除了位置稍微好点。', '短评打分': 1}
{'短评内容': 'good service, good location.', '短评打分': 5}
{'短评内容': '总体上是不错的酒店', '短评打分': 5}
{'短评内容': '酒店位置很好离我办事的地点很近,酒店很干净,很舒适就是价格有些贵.', '短评打分': 5}
{'短评内容': '房间里的被子盖在身上舒服极了,是我住过的饭店里最舒服的被子啊.', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;一共住了两天，结帐的时候居然发现房间的薯条被动过了。我真是不清楚是我进房间前，薯条就被打开了，还是我中间吃饭和办事的时候有人进去动过了。但每次吃饭和出去办事的时候我都挂的免打扰的牌子，服务员应该没有进去过。鬼才知道谁吃了？？前台结帐的时候没有跟他们计较这些小钱。但我感觉很不舒服，他们应该也能看出我的不高兴。幸好没在房间放置任何贵重物品。奉劝各位住的一定保管好自己的', '短评打分': 5}
{'短评内容': '房间很豪华，价格偏高', '短评打分': 3}
