{'短评内容': '预订后去了却说单人间没有了安排我到别的房间', '短评打分': 2}
{'短评内容': '酒店位置在巷子里面，很安静，酒店房间宽敞明亮，卫生条件、舒适度都还不错。紧靠迎泽公园，茶余饭后走一走很方便。推荐！', '短评打分': 5}
{'短评内容': '还可以，挺干净的，就是感觉有点小了。', '短评打分': 3}
{'短评内容': '性价比不高，房内连个抽屉都没有，别说柜子了，全敞开的。自助餐很一般，牛奶淡得像水一样。', '短评打分': 1}
{'短评内容': '很温馨的一个酒店，晚上还会给你送杯热牛奶，唯一有点不好的就是因为刚装修不久吧，所以感觉有点装修的味道。希望过段时间这个问题能改善。', '短评打分': 5}
{'短评内容': '第一次住，感觉很好，环境舒适，地理位置也好，推荐了', '短评打分': 5}
{'短评内容': '出差办事方便，下次开会的时候可能会在这个酒店弄', '短评打分': 5}
{'短评内容': '＋ 房间还可以，就是窗帘不给力 ', '短评打分': 3}
{'短评内容': '非常不错的酒店，以前住过。感觉好。', '短评打分': 3}
{'短评内容': '酒店的隔音不好，外边的声音听得很清楚\n酒店的网速真的很快\n早餐另收费，没有吃', '短评打分': 5}
{'短评内容': '酒店倒是还凑合吧。就是不算很好找，再一个押金要的高，刷了信用卡预授权第二天还有问题不能及时退  耽误了我们行程，很不爽！！！幸好财务大姐态度还算好，不然砸了丫台子的！', '短评打分': 5}
{'短评内容': '服务挺好的，早餐厅有点小，种类较少。单人间比较小，但是挺温馨的，住着很舒服。', '短评打分': 5}
{'短评内容': '酒店很新，很干净，就是房间很窄很长，看起来不习惯，房间还是比较小的，浴室设计有点不合理，不过这个价位也很好了！', '短评打分': 3}
{'短评内容': '酒店性价比较高，管理好，设施也好，单人间太小', '短评打分': 5}
{'短评内容': '酒店挺新的，服务也挺好，安静。下次还住。', '短评打分': 5}
{'短评内容': '房间间太小，外部环境一般', '短评打分': 3}
{'短评内容': '酒店不错，干净，性价比挺好，早餐还行吧，种类不多，但吃着不难受。', '短评打分': 5}
{'短评内容': '房间较新，但是房间内还可以闻到装修的气味。早餐很不好，不符合对精品酒店的要求，（个人理解）。一共2小时供餐时间，结果1小时候就什么都没有了，也不再新做了，对早餐非常失望。', '短评打分': 5}
{'短评内容': '新的酒店 好新的酒店 好新的酒店 好新的酒店 好', '短评打分': 5}
{'短评内容': '硬件水平价格比不错，早餐质量以及服务水平有待提高！', '短评打分': 5}
{'短评内容': '酒店是老楼新装修的，感觉一般，位置在小巷子里', '短评打分': 3}
{'短评内容': '服务不错，早餐还蛮丰富，地段在一个巷子里，很安静。', '短评打分': 5}
{'短评内容': '酒店不错，干净卫生，早餐也不错。我在住期间就已邀友人入住，反映挺好。唯一不足是缺少停车位。开车的朋友要注意。', '短评打分': 5}
{'短评内容': '是我在太原住过网速最快的酒店，就是地方偏了点', '短评打分': 5}
{'短评内容': '酒店不错，宽敞，整洁，舒适。毕竟新开没多久。位置也不难找。', '短评打分': 5}
{'短评内容': '挺好的，就是没吃早餐。 也方便好找，环境也比较好。', '短评打分': 5}
{'短评内容': '很不错，性价比很高！硬件很好，就是服务态度有待提升', '短评打分': 5}
{'短评内容': '性价比高，硬件不够四星，但是比一般快捷强很多，位置不错周围饭店多', '短评打分': 5}
{'短评内容': '有点偏，但是酒店还算干净整洁，总体比较方便，前台女性服务人员地理方位感差，需要改进，客人咨询路线时非常费劲。酒店推进节能型计划还是很好的，但是灯光过于惨淡，房间暖气不足，空调又不开，冬天节约过头，让客人受罪还是极其愚蠢而吝啬的。叩待改进', '短评打分': 5}
{'短评内容': '预订时所显示的房间照片与房间实际情况不一致，而且，介绍中每个房间均有品牌电脑也不准确', '短评打分': 5}
{'短评内容': '酒店新开的，不错！房间硬件设施可以评4星。', '短评打分': 5}
{'短评内容': '酒店是新开业的，很干净，设施也好，性价比高，睡觉舒服，很好。\n太原的宾馆网速都超慢，这个酒店还不错，很快，这是我喜欢的地方。\n地板隔音不太好，楼上的走路声太响，可能我住的房间位置不好。早餐还可以，餐厅还可以送餐，缺点是饭菜的味道很一般。希望能改进。', '短评打分': 5}
