{'短评内容': '还有没牙刷这些，跟图片差别大', '短评打分': 3}
{'短评内容': '总体感觉还不错，房间设施以及在那个位置的价格都算不错的', '短评打分': 5}
{'短评内容': '服务很好，下次还回来的！如果下次有朋友要住店，我一定会推荐他来你们酒家居住的！', '短评打分': 5}
{'短评内容': '酒店还不错，服务挺好，还有丰盛的早餐，位置也很适中，逛街方便', '短评打分': 5}
{'短评内容': '还不错，房间很大，很安静，干净方便。就是灯光不好，电视频道太少。', '短评打分': 5}
{'短评内容': '位置很方便，在繁华商业区，但是在六楼，对于外地人很难找到电梯上去，提醒标志不明显；房间设施齐全，墙是木板的，隔音效果不好', '短评打分': 5}
{'短评内容': '酒店挺好的，还有吃饭和喝茶的地方，位于五星广场附近，很方便', '短评打分': 3}
{'短评内容': '房间隔音不是很好，床单、浴巾之类的有些干硬，电视小了点，盥洗台矮了点，排气扇噪音大了点，早餐单调了点~~望改进', '短评打分': 1}
{'短评内容': '非常不错，性价比很高，位置很不错，出行方便。', '短评打分': 3}
{'短评内容': '在繁华地段，商圈中心，可以免费停车（结账时需向酒店索取停车票），停车引导员很热情。酒店内部装修还不错。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '所定房间与实际不符，单间变成双床，设施一般，停车位不好找。所处地理位置还不错，向朋友推荐。房间内电气比较老旧，希望酒店更换会更好些', '短评打分': 5}
{'短评内容': '好哈，环境一般，但电话可以随便打，长途短途哈，可以的推荐给朋友些', '短评打分': 5}
{'短评内容': '地理条件挺好 服务态度不错 但是没有使用过的浴巾居然是湿的', '短评打分': 1}
{'短评内容': '已入住，还行，有两点不过不像点评上说的：\n1、网速太慢。\n2、房间老旧了\n当然，优点是交通极便利，服务态度好（比如，可下午2点退房就很人性化）', '短评打分': 5}
{'短评内容': '交通方便，房间较大，较干净，下次来还住，应该再优惠一点', '短评打分': 5}
{'短评内容': '在五星花园六楼，差点没找到，不过已经入住，还不错，干净明亮，有电脑有空调，双人豪华住着可以…网速也很不错，服务态度也很好。', '短评打分': 3}
{'短评内容': '房间住得还可以，就是早餐有点简单，管理要加强，服务还需要改善', '短评打分': 5}
{'短评内容': '酒店还不错 干净 交通也方便 以后到南充来会也会住这里', '短评打分': 3}
{'短评内容': '床太硬，电脑不能用，百度都打不开！一点都都不值房价！下次不再来了！', '短评打分': 3}
{'短评内容': '酒店所处地区较好，房间设施尚可。物有所值吧。', '短评打分': 3}
{'短评内容': '还好！值了！各方面的配置都好，还在是中心哦，交通位置好！', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '豪华单间一般，卫生还可以，但水里太多漂白粉，上网速度超慢', '短评打分': 3}
{'短评内容': '很不错，值得推荐！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
