{'短评内容': '很人性化的服务，主动帮顾客着想。市繁华地段，办事方便。', '短评打分': 5}
{'短评内容': '非常好，价格便宜，舒适！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '价格适中，房间比较大，电视有点小，其他都还不错。', '短评打分': 5}
{'短评内容': '房间很大，服务不错，就是打印发票太慢了.', '短评打分': 5}
{'短评内容': '石家庄燕春花园酒店位置很好，价格不高，房间较大，但大堂及房间内较陈旧，落后。', '短评打分': 3}
{'短评内容': '空调不给力啊，房间冷。原来很好，不知这次怎么？', '短评打分': 5}
{'短评内容': '整体不错，房间面积很大，就是空调的温度太低啦，还有电视不怎么清晰', '短评打分': 5}
{'短评内容': '宾馆位置很不错，市中心的核心区，餐饮购物都很便利，客房空间大，设施稍显陈旧！', '短评打分': 3}
{'短评内容': '地段不错,服务还是到位的,服务态度很好，酒店的设施及装修偏陈旧,浴巾都有毛边了，总体还过得去。 \n', '短评打分': 5}
{'短评内容': '酒店房间很大，购物出行也方便，但是电视机特不清楚，床特硬，睡觉不舒服', '短评打分': 5}
{'短评内容': '設備已經老舊了,空調聲音很大聲,周邊環境方便,位居市中心,2F西餐館服務不錯', '短评打分': 1}
{'短评内容': '非常喜欢，房间很舒服，服务周到 下次还来, ', '短评打分': 5}
{'短评内容': '酒店设施比较老化，性价比不高，位置很好，在市中心，早餐还不错。', '短评打分': 1}
{'短评内容': '房间很大，不错。', '短评打分': 3}
{'短评内容': '感觉很好，服务人员态度非常好', '短评打分': 3}
{'短评内容': '我入住1502房间，酒店很像政府接侍的高级招侍所。', '短评打分': 3}
{'短评内容': '地段不错,服务还是到位的,酒店的设施及装修偏陈旧,总体性价比还过得去。', '短评打分': 3}
{'短评内容': ' 这酒店挂4星，房间够大，但设施太旧，床很硬，下次不住了', '短评打分': 3}
{'短评内容': '服务很好，很干净，住的舒服！下次再次入住', '短评打分': 5}
{'短评内容': '停车费临时收4元，一昼夜收14元，没有地下车场，车位极紧张。房间设施很齐全，装修确实已经老旧了。', '短评打分': 5}
{'短评内容': '赠送的果盘就是两只或三只洗好的新鲜小苹果，味道还行。', '短评打分': 5}
{'短评内容': '房间面积大，和附近的国宾和世贸相比，性价比要好许多。', '短评打分': 5}
{'短评内容': '房间面积很大，已经多次入住了。服务、早餐等等都还可以。设施稍显陈旧。', '短评打分': 5}
{'短评内容': '推荐', '短评打分': 3}
{'短评内容': '房间特大，床也特大，晚上休息好舒服。好像硬件有些老化，若稍加改造就更好了。以后还住这家酒店。', '短评打分': 5}
{'短评内容': '服务还可以，就是设备台老化，感觉不是很舒服，还有些味道。。。', '短评打分': 1}
{'短评内容': '酒店挺干净,只是装簧有些旧,但这个价格性价比还算可以,停车收费有些不满意', '短评打分': 3}
{'短评内容': '周围环境相当不错 ，购物方便， 交通便利 ，内部环境和服务很到位， 无论硬件软件还是价格---------- 推荐！！！！！', '短评打分': 5}
{'短评内容': '酒店的菜不错哦个人最爱咖喱牛腩锅，房间也很大很宽敞。\n评论说家具很旧是没错不过哥们你说出个差又没让你住那一辈子你嫌东嫌西的干啥？\n不错的酒店', '短评打分': 5}
{'短评内容': '服务态度不错，房间也足够大；缺陷就是使用的方巾已经发黄，仍未更换。', '短评打分': 5}
{'短评内容': '这次住的套间，宽敞明亮，有阳台可以远望，美中不足就是卫生间小', '短评打分': 5}
{'短评内容': '性价比不强，不推荐，推荐浙江新新酒店，和这个差不多，但价格差1/3', '短评打分': 1}
{'短评内容': '位置比较好，房间较大，其他和别的酒店差不多\n送的早餐没吃，不知道怎么样\n房间设施有点旧了，尤其毛巾感觉用过很久了。。。总之可住可不住的酒店', '短评打分': 5}
{'短评内容': '房间很大，很干净，市中心繁华区，感觉不错，推荐，美中不足，电视小了点儿', '短评打分': 5}
{'短评内容': '房间非常大，很不错！早餐也不错，下次还住这里！', '短评打分': 5}
{'短评内容': '酒店很不错房间大干净.', '短评打分': 3}
{'短评内容': '酒店客房有些陈旧，服务还不错。', '短评打分': 3}
{'短评内容': '市中心，位置好，附近有北国商城，有超市，旁边有KFC，二楼的西餐厅有特色，有个飞机，早餐丰盛，有樱桃。房间配置齐全，就是地毯有些脏，上网要先手动设置IP，停车要15元一晚。', '短评打分': 5}
{'短评内容': '没什么不好，挺好', '短评打分': 3}
{'短评内容': '早餐非常好，水果里竟然还有樱桃。其实除了酒店设施老了一点，其他都不错，交通也方便。综合性价比而言，还可以吧。', '短评打分': 5}
{'短评内容': '没有大床套房干吗说有', '短评打分': 3}
{'短评内容': '普通标间房间很大，设施略显陈旧；住宿停车收费太高。', '短评打分': 5}
{'短评内容': '住宿环境很不错！！距离商场也比较近！！购物很方便！！', '短评打分': 5}
{'短评内容': '很好.位置好，交通便利，就是有点吵！后边是长安公园，环境很好。对面是北国商城，购物环境不错。离火车站很近，打车的话几分钟车程就到！', '短评打分': 5}
{'短评内容': '套房还是不错，性价比可以。前台服务也可以，早餐厅布置有点特殊。', '短评打分': 5}
{'短评内容': '交通比较方便，服务也可以，房间比较大，不足就是房间有甲醛类刺激味道，可能家具质量太差。', '短评打分': 5}
{'短评内容': '价格适中，但设施太陈旧，屋内物品太简单。', '短评打分': 5}
{'短评内容': ' 房间很大，设施也不错', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '不错的 ；；；；；；真不错：）：）：）：）：）：）：）：）：）：）：）：）：）：）：）：）：）：）', '短评打分': 5}
{'短评内容': '房间很大  床也很大   不过有点旧  餐厅里有架飞机～挺有特点', '短评打分': 5}
{'短评内容': '服务很好，交通也很方便，房间特别大，床很舒服,景观挺好的。地理位置也很好，就是酒店设施有点陈旧，并且没有WIFY\n', '短评打分': 5}
{'短评内容': '服务太度很好，环境美。就是房间内有烟味', '短评打分': 3}
{'短评内容': '房间不错，空间很大，景观挺好的。地理位置也很好，就是酒店设施有点陈旧，并且没有WIFY', '短评打分': 5}
{'短评内容': '每次去石家庄都会住这里，总的感觉还可以吧，房间比较大。', '短评打分': 5}
{'短评内容': '服务很好，交通也很方便，房间特别大，而且水床很舒服', '短评打分': 5}
{'短评内容': '地理位置不错，房间也挺大，招待客户后，客户都说房间设施有点旧', '短评打分': 5}
{'短评内容': '酒店好的环境', '短评打分': 3}
{'短评内容': '前台还不够热情，客房部做的很好。卫生间需要改造。', '短评打分': 5}
{'短评内容': '还行吧。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '早餐不好，电视机太旧了。性价比合适，地理位置好，房间大。', '短评打分': 5}
{'短评内容': '还不错吧................................', '短评打分': 5}
{'短评内容': '挺好的...................................', '短评打分': 5}
{'短评内容': '早餐真的不错。。其他的也还行。。就是门的隔音不好呵呵；', '短评打分': 5}
{'短评内容': '还可以，位置好，要是价钱再便宜些就更好了。', '短评打分': 5}
{'短评内容': '石家庄燕春花园酒店 我们住的房间空调不好！别的可以!', '短评打分': 1}
{'短评内容': '早餐品种多，房间较旧，服务一般，离大商场较近。但停车要14元太贵。', '短评打分': 5}
{'短评内容': '很方便，不错。服务很周到，餐饮也很方便。就是电视有点老了， 房间太大而电视太小。', '短评打分': 5}
{'短评内容': '城市的黄金位置。面北的房间可以俯瞰市政广场，风景不错，房间宽敞，楼下繁华热闹，房间内的风格也很大气，值得推荐。', '短评打分': 5}
{'短评内容': '交通便利，房屋装修太旧了点，停车不方便，服务不错', '短评打分': 5}
{'短评内容': '位置好，市中心，但停车不方便，房间设施太陈旧，该更新了', '短评打分': 5}
{'短评内容': '地理位置好，服务周到，房间超大，特别是水床很舒服！', '短评打分': 3}
{'短评内容': ' 地段很好，设施太老，服务还好。', '短评打分': 3}
{'短评内容': '房间很大，地处市中心，位置优越，就是停车太不方便了，地毯有些旧了', '短评打分': 5}
{'短评内容': '地理位置不错, 周围很热闹, 以后来石家庄还住这里, 比美丽华的位置好的多. ', '短评打分': 5}
{'短评内容': '住了很多次了每次感觉都挺好的。。早餐很好吃呵呵。。就是门的隔音不太好', '短评打分': 5}
{'短评内容': '不错....................', '短评打分': 5}
{'短评内容': '总体还不错吧..........................\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '总体还不错吧..........................', '短评打分': 5}
{'短评内容': '四星级 酒店  停车乱收费   我晚上1点半到店  按理说 夜间停车时间应该是5元\n\n结果看车的酒店人员非要10元      最后我问他是哪里规定 他告诉我是收费处\n \n我真不知道这个所谓的收费处是什么部门  但是石家庄市里规定夜间停车5元 \n\n我想说的是并不是因为5元钱而怎么怎么样  实在是这帮人 欺客依然成为了一种习惯\n\n别的不多说  您懂得。。', '短评打分': 1}
{'短评内容': '房间超大，里面人服务态度很好，下次还会来入住', '短评打分': 5}
{'短评内容': '酒店位置不错，早餐还可以，只是酒店比较老，服务还可以', '短评打分': 5}
{'短评内容': '这个酒店个人决定一般！早餐东西少，酒店隔音不好！', '短评打分': 1}
{'短评内容': '房间很大~~但是设施陈旧~~最让我受不了的事  我早上出去办事 回来的时候房门大敞~~一帮人在我屋子修东西~~一气一下 我退房了~~~', '短评打分': 1}
{'短评内容': '，我们已入住', '短评打分': 3}
{'短评内容': '不错 很喜欢燕春的大床间 舒服 以后有机会还会去', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 3}
{'短评内容': '酒店设施有些陈旧，总的来说还可以。', '短评打分': 3}
{'短评内容': '  房间显得较陈旧，早餐够不上四星标准', '短评打分': 3}
{'短评内容': '贵，', '短评打分': 3}
{'短评内容': '好啊 好啊 这个酒店不错 物美价廉 就是床不太舒服~ 其他非常好 服务也很好 早餐很丰富！', '短评打分': 5}
{'短评内容': '酒店不错，物美价廉。', '短评打分': 3}
{'短评内容': '酒店位置不错，服务非常好，值得推荐！！！下次还回来住的。', '短评打分': 5}
{'短评内容': '一切都还不错 值得向朋友推荐 尤其是服务态度很不错 下次来还住在这里', '短评打分': 5}
{'短评内容': '+房间大，设施略旧，服务人员态度非常好，总体满意。', '短评打分': 5}
{'短评内容': '浴袍非常旧，换了一个还带洞。\r\n服务员打扫卫生竟然垃圾没有带走\r\n不过最后减免了房费。\r\n经理服务不错 其他的就。。。。。', '短评打分': 1}
{'短评内容': '豪华单人房间非常宽大，电视离床太远了，看不清字幕，如果能换成大液晶屏感觉会很舒适。灯光略显昏暗。', '短评打分': 5}
{'短评内容': '好多年前刚开业的时候住过好几次，那时候觉得不错；现在设施有些老了；现在的价格和位置而言还算可以，希望尽快重新装修', '短评打分': 5}
{'短评内容': '干净，卫生， 服务态度好，  比较满意。', '短评打分': 5}
{'短评内容': '房间很大，前台服务也很好！', '短评打分': 5}
{'短评内容': 'haikeyi,xiacilaihaizhuzheli,jiushisheshijiuleyidian', '短评打分': 3}
{'短评内容': '很好，我来石家庄几乎都住这里，就是有些设施老化了点儿', '短评打分': 3}
{'短评内容': '很繁华，我经常住这里，有些设施显得老了点儿，比如：电视等等', '短评打分': 5}
{'短评内容': '酒店环境很好，房间舒适', '短评打分': 5}
{'短评内容': '酒店位置非常好，大堂宽敞明亮，房间面积大，但房间设施陈旧，地毯很脏，毛巾非常旧，且已经破损，席梦思床垫不平，勉强睡了一夜，搁的腰痛，拿出备用棉被准备铺在床上，却发现是脏的，表面有一些脏物并有异味，本来定了二天，住了一天就退房了，距****星标准差距太大。酒店不提供免费停车，门外保安随意收取停车费，态度蛮横不讲理，石家庄过夜停车费的标准是5元/夜（该标准贴在酒店大堂外），但保安一定要收取15元，经讨', '短评打分': 1}
{'短评内容': '点评燕春.房间很大.价格很好.服务尚可.电视稍旧.总之物有所值.', '短评打分': 5}
{'短评内容': '豪华大床间330元，窗外是市政广场和公园，很漂亮。房间设施很齐全，下楼就是繁华的商业区和书店去石家庄，应该住在这样具有代表性的酒店。', '短评打分': 5}
{'短评内容': '房价有点高，交通不是很方便，感觉很一般啦\r\n', '短评打分': 3}
{'短评内容': '前台的态度差点，说话趾高气扬的，住宿又不是不给钱！不会再住！', '短评打分': 1}
{'短评内容': '稍微旧了一些，价格显得略贵，在300元以内，我想更会有吸引力！', '短评打分': 3}
{'短评内容': '电视只能收几个节日', '短评打分': 5}
{'短评内容': '大床间很舒服很大 总体来说不错 以后有机会还会去', '短评打分': 5}
{'短评内容': '地段不错，安静，出入方便。服务好，热情。如果毛巾吸水性好些的话就好了。', '短评打分': 5}
{'短评内容': '设备有些陈旧', '短评打分': 5}
{'短评内容': '客房有点旧，设施老化', '短评打分': 3}
{'短评内容': '酒店有点成旧，服务很好', '短评打分': 5}
{'短评内容': '地理位置很好！市中心地段。房间很大。电视居然还是CRT的。奇怪！', '短评打分': 3}
{'短评内容': '一直住这个，不错', '短评打分': 5}
{'短评内容': '地理位置不错。客房楼层有公司在办公，比较奇怪。', '短评打分': 5}
{'短评内容': '  jiaguoheli ', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 5}
{'短评内容': '还好，性价比不错', '短评打分': 3}
{'短评内容': '基本满意！', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '位置十分好，但是酒店里面无论从服务到房间里面的设施实在不敢恭维！\n给我开的房卡，房间里面竟然有人还在里面住着。问前台服务员，他们12万分肯定不可能，还说我是否听错隔壁房间了。后来他们让楼层服务员去证实，才确认房间有人。这样的管理，我都不知道这家酒店的四星是怎样得来的！\n浴室里面的毛巾感觉很脏，我以后绝对不会再入住这家酒店了！', '短评打分': 1}
{'短评内容': '性价比还行', '短评打分': 3}
{'短评内容': '浴巾等洗浴毛巾实在太旧了', '短评打分': 5}
{'短评内容': '房间挺大，但感觉不温馨，电视离床距离远，有点小看不清，浴室淋浴出水量小，饮用水有时无水。总体感觉一般。', '短评打分': 5}
{'短评内容': '出租车司机推荐，但是进去一看完全不是那么回事，房间太旧，反正印象很差，不知道是不是司机收回扣的。。。', '短评打分': 1}
{'短评内容': '不错，很好的酒店，下次去还会住！~', '短评打分': 5}
{'短评内容': '位置好而已', '短评打分': 5}
{'短评内容': '第一次住，位置不错，就是装修旧了，但总体感觉不错，下次再来石家庄还会住这里，性价比还可以。期待更好的环境改造。', '短评打分': 5}
{'短评内容': '位置较好，市中心，价格一般，石家庄酒店价格也就这样，无优势。', '短评打分': 5}
{'短评内容': '设备有些陈旧，房间很大，服务不错', '短评打分': 3}
{'短评内容': '房间还可以，但是有些旧了，服务还不错。', '短评打分': 5}
{'短评内容': '位子不错，服务很好', '短评打分': 5}
{'短评内容': '地理位置优越，早餐一般。', '短评打分': 5}
{'短评内容': '还可以，房间挺大', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '房间很大,但是感觉太旧了.而且早餐也没有什么可以吃的..感觉一般,不推荐', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还行吧，性价比。', '短评打分': 5}
{'短评内容': '设备陈旧，服务很好', '短评打分': 5}
{'短评内容': '房间大且舒适，位置佳。', '短评打分': 5}
{'短评内容': '虽说是四星级酒店，但设施陈旧，房间倒是很大，但一股异味，不值得推荐。', '短评打分': 1}
{'短评内容': '设施老了，但房间宽大，住着也挺舒服。交通方便。就是吃早餐的环境比原来差多了。不知道什么时候搬回去。', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '值的推荐', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '就是房间电视太小了。离床太远。', '短评打分': 5}
{'短评内容': '不错，价格也不贵，就是结账慢', '短评打分': 3}
{'短评内容': '总住这里，位置很好！', '短评打分': 5}
{'短评内容': '房间很大很干净', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '这家酒店除了名气大点之外，没什么可以值得住的，定的豪华套件一进去以为走错了，里面的设施实在是太陈旧了，那里像四星级宾馆的设施。马桶漏水哗哗的响，电视机的遥控换了三个都不灵，卫生间小的很，靠马路早上六点被吵醒~~~~~~~真的无语~~~再也不会去住了。', '短评打分': 1}
{'短评内容': '设施老了，但房间宽大，住着也挺舒服。停车费一晚收我14元，不知道是什么标准。', '短评打分': 3}
{'短评内容': '房间宽大，设施太老了，电视该换了。', '短评打分': 5}
{'短评内容': '设施陈旧，但地理位置绝佳！', '短评打分': 3}
{'短评内容': '值得推荐性价比很好', '短评打分': 5}
{'短评内容': '地理位置不错，但是酒店陈设较为陈旧。整体情况一般！', '短评打分': 1}
{'短评内容': '早餐一般，实在没啥特色，除了地理位置好外，其他的都很一般', '短评打分': 1}
{'短评内容': '不错，推荐入住', '短评打分': 5}
{'短评内容': '感觉酒店的床很舒服,是水床,温度很合适,房间的条件也比较理想,就是餐饮方面的价格太贵了.', '短评打分': 3}
{'短评内容': '位置不错，但设施比较陈旧，屋内的布局一般，没有创意', '短评打分': 1}
{'短评内容': '环境还可以，就是电视有点不敢恭维。。不过总的还是不错的。', '短评打分': 5}
{'短评内容': '这家酒店我以前住过，位置还不错，出行很方便，房间的卫生和设施还不错，服务也还行，我觉得性价比还是比较高的 值得推荐', '短评打分': 3}
{'短评内容': '位置还是不错的,位于市中心,出行都很方便,服务人员也都很热情,但就是地毯有点旧,感觉不太舒适.', '短评打分': 3}
{'短评内容': '酒店比较老了，设施相对属于老旧的那种，服务还可以，唯一不错的就是他的位置比较繁华，但是我们到了那看到他附近有比较不错的那种新酒店，我想下次可以尝试一下。', '短评打分': 3}
{'短评内容': '位置还可以，床垫太硬，褥子薄，睡了一夜都是凉的。酒店门口停车刚到就要钱，态度还不咋样。', '短评打分': 1}
{'短评内容': '房间的卫生和设施都还是比较不错的,位置也是比较挺好找的,而且附近出行挺方便地段还是比较好,总体感觉还是比较不错的酒店也挺不错的.', '短评打分': 3}
{'短评内容': '比较差的酒店，设施很陈旧，门口停车还要收费。', '短评打分': 1}
{'短评内容': '隔音好像不是很好吧。。不过总体来说挺不错的。以后还去住。', '短评打分': 5}
{'短评内容': '性价比不错，就是前台在客人多处理退宿时有些急躁。', '短评打分': 5}
{'短评内容': '非常好，服务都很到位，酒店的位置非常方便，就是洗手间的化妆台太小了，虽然有个柜子是可以放东西，可是太窄了，容易掉下了', '短评打分': 3}
{'短评内容': '房间很大但是设施有些老旧了,位置很好但是在路边上旁边有个广场早上有人很早锻炼很吵.', '短评打分': 3}
{'短评内容': '酒店位置优越，周围购物方便，设施陈旧，早餐可。', '短评打分': 3}
{'短评内容': '地理位置很好，早餐还行。就是房间设施有些陈旧。', '短评打分': 3}
{'短评内容': '豪华大床间，很宽敞，设施齐全，视角也很好临近公园；\r\n\r\n特别要提出的是，退房时忘记了上衣在衣橱里，下午过去取，很贴心的给折叠好，赞一个。', '短评打分': 5}
{'短评内容': '酒店位置优越，周围购物方便，房间大，设施偏旧，早餐尚可。', '短评打分': 5}
{'短评内容': '整体来讲都还是比较可以，就是有网线插头的地方没有桌子，考虑的不是很周到，希望能够改善！', '短评打分': 5}
{'短评内容': '温馨如家的感觉', '短评打分': 5}
{'短评内容': '酒店位置很好，房间很大，定的房间是朝花园的看起来很舒服。性价比很好。因为要赶早飞机，餐厅还给准备了牛奶面包。酒店给叫的到机场的出租车也正规，都打表的，不乱来。酒店里的餐厅吃饭有些贵。', '短评打分': 5}
{'短评内容': '设施有些旧，服务环境也很不错，地理位置也挺好的，交通也很便利', '短评打分': 3}
{'短评内容': '房间很大，喷洒标识不对，网线不通。', '短评打分': 5}
{'短评内容': '感觉酒店的档次还是比较高档的,当时是为了招待客人,所以酒店的各方面条件都还是挺好的,性价比挺高的.', '短评打分': 5}
{'短评内容': '位置不错,背靠公园,但是装修比较土气,早餐一般不算太糟', '短评打分': 5}
{'短评内容': '房间很大，很干净，已经几次入住了，推荐', '短评打分': 5}
{'短评内容': '房间的优点是比较宽敞。缺点是设备比较旧。服务 人员的态度不错，很亲切。总的来说，是个不错的酒店。', '短评打分': 5}
{'短评内容': '感觉不错，在石家庄算比较好的酒店了，房间干净整洁', '短评打分': 5}
{'短评内容': '房间宽敞,交通方便,很好.', '短评打分': 5}
{'短评内容': '房间很大气,是我住过同等价位(省会级别城市)中房间最开阔的.地理位置很好,服务的态度也非常好,推荐!', '短评打分': 5}
{'短评内容': '这里购物出游都很方便，卫生也不错，还有夜床服务，很贴心。', '短评打分': 5}
{'短评内容': '都很一般', '短评打分': 1}
{'短评内容': '酒店的设施服务都还不错位置也在市中心价格也很便宜,性价比还不错.', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '被褥有很大的烟味设施跟不上', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '房间较大。设施较好。下次还住！推荐！', '短评打分': 5}
{'短评内容': '阴面的房间很大，设施不错，还有电脑，早餐有点简单，逛街方便。', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;我住的是豪华大床房，房间傻大傻大的，地毯很脏，设施也很旧，居然连擦鞋布都没有，还要向服务员要才给，早上的早餐冰冷冷的，很难吃！&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;不知道这家酒店是怎么被ELONG评为推荐酒店的？&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;', '短评打分': 1}
{'短评内容': '总体来说这家酒店真的很不错，价格实惠，服务较好，设施和环境都不错，真的很好！', '短评打分': 5}
{'短评内容': '很舒服的酒店，房间很大，舒适，无骚扰，服务热情，对面有吃，有喝，有玩的，购物特方便。现在每次到石市我都住这里，值', '短评打分': 3}
{'短评内容': '相当好，价格很便宜。我去年住过大床间。这样的性价比真难得。西餐厅情调不错，价格也不贵。唱歌的人唱得挺好，转过头竟发现是个男的。今年去石家庄还住这里。', '短评打分': 3}
{'短评内容': '俺又来了。&lt;br /&gt;\n中午饿肚子专门来吃饭。&lt;br /&gt;\n对面北国就有地方修指甲，真是方便。&lt;br /&gt;\n&lt;br /&gt;\n刚坐出租时发现附近有个马家驴肉火烧，呵呵，夜宵可以腿儿着去尝尝。', '短评打分': 3}
{'短评内容': '相当不错，比石家庄所有的四星酒店都强，位置好，房间大，最重要的是服务好，服务员又热情又耐心，特有礼貌，宽带有20M，房间还有纯净水，床单和毛巾都是新的，用着特舒服，卫生搞的很干净。周围商场、小吃、影院、歌厅~~~什么都有，价格也不贵，大家来石家庄一定要住这里！', '短评打分': 3}
{'短评内容': '&lt;br /&gt;\n住的很一般，淋浴房。还算干净。&lt;br /&gt;\n&lt;br /&gt;\n值得一提的是优惠的价格和很牛比的餐厅——绿荫阁和沈记靓汤。&lt;br /&gt;\n绿荫阁的西餐在广州也吃过，没觉得如何，但这里的绿荫阁连日式辣翅中拉面都那么正！！！！&lt;br /&gt;\n沙拉虽然比不上国贸饭店的内容，但也算是用心了，性价比好得很。', '短评打分': 3}
{'短评内容': '相当不错的酒店~~~无论吃住都还不错~~~大床间相当好~~还有宽带可以上~~足够的停车场~~~购物也很方便啦~~紧挨着北国商城~~很满意~~我已经在这住过6回了~~', '短评打分': 3}
