{'短评内容': '还有烟头卫生也不是很仔细，洗脸台不能洗脸水漏不下去，服务态度也差，打电话半天也没有人来修理，不会再来这个酒店了', '短评打分': 1}
{'短评内容': '位置不是很便利，房间还是小了些设施都是比较齐全卫生感觉做的比较一般，价格虽然便宜但是酒店里面的环境还是有待改善一下。', '短评打分': 1}
{'短评内容': '离上海火车站很近，就是世博会期间价格比较高，其它还好属于一般的经济型酒店。', '短评打分': 3}
{'短评内容': '80 85 85 85 90 85 92 86 ', '短评打分': 5}
{'短评内容': '世博会期间就是太贵了，其它还行。属于简单的酒店。', '短评打分': 5}
{'短评内容': '不满意啊不满意,发霉味道太大了,没法住啊没法住啊没法住啊', '短评打分': 3}
{'短评内容': '外面看着还挺体面的,高层20多层的,酒店在4F,房间不小， 但是太老了,一开门就一股发霉的味道,墙皮都掉了,地毯超级脏,重新装修一下的话就好了， 地理位置很方便,走到火车站北广场也就5分钟', '短评打分': 1}
{'短评内容': '本来打算住三天的，但是因为卫生的原因，2天的时间就够够的了，莫泰一有房间就立马转了，设施差就算了，可是居然连床单和被褥都是黏黏的，太夸张了，2个晚上都是和衣睡的，实在是太差了，除了地段没有别的好处，前台的接待也是除了打游戏啥都不管', '短评打分': 1}
{'短评内容': '到火车站很近,但酒店里面的设施在陈旧了,性价比不高,但遇到世博期间所有的酒店价格都比较高.', '短评打分': 1}
{'短评内容': '离火车站很近、地铁较近。\r\n房间还算干净，', '短评打分': 3}
{'短评内容': '一般吧，挺方便的', '短评打分': 5}
{'短评内容': '离火车站很近，出行比较方便。', '短评打分': 5}
{'短评内容': '位置不错，离高架路很近，离新客站（上海火车站）也很近。', '短评打分': 5}
{'短评内容': '离地铁８号线近，直接可到世博园，酒店一般．', '短评打分': 3}
{'短评内容': '除了离火车站近一点，没有其他的优点了，条件很一般，价格太高，我下次再来不会再回来住了，也不会推荐给朋友。', '短评打分': 1}
{'短评内容': '离火车站近，很方便。', '短评打分': 5}
{'短评内容': '简陋，价格高，优点是离上海火车站近．', '短评打分': 1}
{'短评内容': '性价比差 都是世博闹的', '短评打分': 1}
{'短评内容': '世博会期间 这个价钱在火车站附近 其实还好了', '短评打分': 5}
{'短评内容': '房间挺干净的，就是没有窗户！总体还不错', '短评打分': 5}
{'短评内容': '位置不错，其它各方面条件都不好.我个人感觉不太满意.', '短评打分': 1}
{'短评内容': '不推荐，性价比差', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '可能是因为世博会的缘故，性价比很差', '短评打分': 3}
{'短评内容': 'shen me dou yi ban ', '短评打分': 1}
{'短评内容': '房间挺小的里面也没有窗户是全封闭式的不过里面没有味道还是挺干净也还比较舒适，服务态度挺好的，位置的话也很好找出行挺方便的，价格方面都还很不错，性价比还是挺高的。', '短评打分': 5}
{'短评内容': '服务员很负责，经常做打扫，而且定时更换卫生用品，感觉服务非常到位。', '短评打分': 5}
{'短评内容': '好在电脑网速还不错，其他设施就像老式招待所，没有一次性拖鞋，房间道是蛮大，但舒适感较差，隔音也不好', '短评打分': 1}
{'短评内容': '在外,环境,服务都很重要...基本无法满足要求', '短评打分': 1}
{'短评内容': '离上海站挺近', '短评打分': 1}
{'短评内容': '卫生很差，还有虫子', '短评打分': 1}
