{'短评内容': '不错哦！一个大姐姐专门来接我们，服务周到而热情。', '短评打分': 3}
{'短评内容': '老板很热心，服务也很到位。如果能在浴室里增加浴巾就更好了。', '短评打分': 5}
{'短评内容': '老板挺热情，说实话房间没有想象中的好，但是酒店的位置还是非常好的，就在景区正门口，很方便。', '短评打分': 5}
{'短评内容': '老板很热情，卫生间很大，就是拖鞋最好自带，我们的房间虽然是有拖鞋，不过是家用的，不是宾馆里的那种一次性的~', '短评打分': 5}
{'短评内容': '乌镇这边全是私人的，将就了，就在西栅入口，说是只有一个单人间，窗子是对着楼梯的，没有窗帘，晚一点会关灯，可以上网', '短评打分': 3}
{'短评内容': '价格太贵，房间很小。床垫居然有铁丝状尖锐物才露尖尖角，瞠目。', '短评打分': 3}
{'短评内容': '位置离东栅很近，床也很有特色，所以推荐，而且老板家里的猫咪很可爱', '短评打分': 5}
{'短评内容': '老板人很好，房间也很宽敞，可惜就是隔音效果差了一点', '短评打分': 5}
{'短评内容': '房间特别简单很一般，老板娘是挺热心的，位置是挺好的。价格和环境来看还是有些高。', '短评打分': 1}
{'短评内容': '卫生做的挺好但是房间挺小的有不少房间还没有窗户，服务挺好，位置是好找离景区很近，价格节假日还可以平常日是挺贵的。', '短评打分': 5}
{'短评内容': '位置比较好，家庭式的                                                 ', '短评打分': 5}
{'短评内容': '回来之后很忙，一直没时间发评论。\r\n\r\n这家的老板夫妇很热心，其中一件小事更是让我很感动：\r\n\r\n  这次是带着老人家旅游的，我家老人已经70多了，带着他们去游了一下西栅，到了晚上老人家走不动了，我们就想把老人家先送回客栈，再去游西栅夜景。\r\n\r\n  在景点出口处刚好碰到在门口等候的客栈老板娘，她说来接送我家老人回去，真的是很感动！！！大爱啊！！！\r\n\r\n  出门在外不容易，老板娘的热心细心更是让', '短评打分': 5}
{'短评内容': '还行. 120元,不能多比较了.起码,干净.', '短评打分': 5}
