{'短评内容': '酒店还可以 挺干净的 小单间确实很迷你 wifi有一点点慢吧 主要有早餐 味道还可以', '短评打分': 5}
{'短评内容': '不错的酒店,位置稍有点偏,似乎没有地铁,吃饭方便', '短评打分': 5}
{'短评内容': '位置比较好,周围有个繁华的商业区和菜市场,旁边还有唱歌的', '短评打分': 5}
{'短评内容': '酒店不错，服务态度好，装修比较好，只是空间有点小。', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧, 上网要收费, 我定的是小单, 房间很小, 地毯看上去旧', '短评打分': 1}
{'短评内容': '不错，可以考虑。附近尚无地铁站。公交还算方便，出门就是。', '短评打分': 5}
{'短评内容': '酒店房间还可以~正好合适~周边设施齐全~~住的人挺多~', '短评打分': 5}
{'短评内容': '酒店早餐蛮丰富~性价比也不错~就是选的不好~房间比较闷~', '短评打分': 5}
{'短评内容': '感觉明明该是一流的服务结果逛退房就话费了半个小时！\n房间里面的空气也不太好，总觉得很潮！', '短评打分': 1}
{'短评内容': '我跟我老婆一人一间，离我的婚礼场地一墙之隔，省了我很多事情，房间虽小但比较实用，\u3000早餐好好吃，这一天就指着这一餐了，要不没机会吃了呀～～', '短评打分': 5}
{'短评内容': '离我的婚礼场地一墙之隔，省了我很多事情，房间虽小但比较实用，屋内的灯源光线较弱～让人昏昏欲睡呀～～', '短评打分': 5}
{'短评内容': '前台服务员态度冷淡，设施陈旧，卫生间小且条件差，淋浴喷头出水压力小，感觉洗澡没洗干净，只是为了有个落脚点睡觉这个酒店可以考虑，但从舒适度角度很差', '短评打分': 1}
{'短评内容': '整理感觉还不错啦，只是空调确实有点差，不敢天，因为声音太大。', '短评打分': 5}
{'短评内容': '酒店服务态度比较好，就是房间太小。交通方便', '短评打分': 5}
{'短评内容': '位置不错，旁边有商业中心 ，距离地铁有点远，要走一段距离', '短评打分': 5}
{'短评内容': '订了大单间，灯很暗，说有落地灯，实际没有，换了一间，小了，也不是很满意。总之设施不很好。', '短评打分': 1}
{'短评内容': '已入住，服务一般。', '短评打分': 3}
{'短评内容': '酒店服务态度很好，就餐在北京还是比较实惠的。', '短评打分': 5}
{'短评内容': '交通方便，吃饭地方多，位置比较好，走廊及房间有异味，幸亏能开窗户', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '各方面都挺好的，就是房间不太隔音。', '短评打分': 3}
{'短评内容': '酒店地理位置还好,服务员不热情 态度差 房间设施陈旧', '短评打分': 3}
{'短评内容': '酒店早餐种类多~味道不错~呵呵~环境还行~就是小单间太小~', '短评打分': 5}
{'短评内容': ':还可以早餐太早取消了。', '短评打分': 3}
{'短评内容': '一个房间只送一张早餐券，而且上网要付费', '短评打分': 3}
{'短评内容': '很好，特别是早餐，种类多，口味全，性价比高', '短评打分': 3}
{'短评内容': '挺好的，就是离地铁远。', '短评打分': 3}
{'短评内容': '酒店环境不错~挺大气~周边超市商场很多~方便~~', '短评打分': 5}
{'短评内容': '大堂大，气派，但房间内设施比较旧。如果要求不高的朋友可以考虑。', '短评打分': 5}
{'短评内容': '酒店地理位置很好 出行方便 很干净 大单间住的很舒服', '短评打分': 5}
{'短评内容': '不错啊，地点和客户的位置近啊,dan ran zao fan hai yao nuli de ', '短评打分': 5}
{'短评内容': '非常不满意', '短评打分': 3}
{'短评内容': '旁边有个枫蓝国际购物中心~住在那可以到那去看看~吃购物都有~挺方便~', '短评打分': 5}
{'短评内容': '很不错的酒店。很不错的酒店。很不错的酒店。很不错的酒店。很不错的酒店。很不错的酒店。', '短评打分': 5}
{'短评内容': '不错，没啥可说。普通酒店...............', '短评打分': 5}
{'短评内容': ' 满意', '短评打分': 3}
{'短评内容': '上网收费对商务人事明显不适，对旅游的非常适合。', '短评打分': 3}
{'短评内容': '不错的酒店，就是上网收费。不错的酒店，就是上网收费。不错的酒店，就是上网收费。不错的酒店，就是上网收费。', '短评打分': 5}
{'短评内容': '房间太小，窗户太小，网络还要收费，下次不会住了', '短评打分': 1}
{'短评内容': '房间不是很理想 尤其标准单间房间 洗手间不是很理想 位置不错', '短评打分': 5}
{'短评内容': '大堂不错，很大；但经常接待会议，有点杂。', '短评打分': 5}
{'短评内容': '不错的酒店，非常不足的是上网收费。', '短评打分': 3}
{'短评内容': '此饭店房间有点小，但服务态度还可以，宽带要收费，双人间只给一份早餐', '短评打分': 5}
{'短评内容': '酒店地理位置不错~早餐比较丰富~就是离地铁还是有点距离~', '短评打分': 5}
{'短评内容': '酒店环境还是很不错的~早餐也还可以~~交通比较方便~临近地铁~就是靠床的房间有点漏风~需要改进~', '短评打分': 5}
{'短评内容': '地理位置还算不错，离地铁得两公里左右，不熟悉路的还是不选好。', '短评打分': 5}
{'短评内容': '地理位置比较优越~环境好~房间舒适~冬天很暖和~~外面吃的多', '短评打分': 5}
{'短评内容': '地段不错，交通较便利，且附早餐。但整体房间偏小，卫生间也没有淋浴房。比较失望。', '短评打分': 5}
{'短评内容': '真的很一般，还不能下午2点退房！早点品种单一，九点结束供应，八点半基本上就没啥吃的了', '短评打分': 1}
{'短评内容': '房间比较暖和~很舒服的~~也很安静~~~早餐在多样化点就更好了~~', '短评打分': 5}
{'短评内容': '感觉生意不是很好，大堂空荡荡、前台服务是一个20多岁的男士。房间隔断竟然是一扇木门，隔壁聊天声清晰可闻。\n\n价格尚可。问题是价廉还需物美哦\n\n餐厅包间多，散客服务差。价格与实际水准相差较大！', '短评打分': 1}
{'短评内容': '地里位置不错，房间一般，卫生间很差。', '短评打分': 3}
{'短评内容': '大堂不错，服务有点慢，开会的居多，但总体来说很不错', '短评打分': 5}
{'短评内容': '北京二环以内比较拿得出来招待朋友的酒店。', '短评打分': 5}
{'短评内容': '地段在市中心，环境比较不错，装修得也挺好。是一个不错的酒店。', '短评打分': 5}
{'短评内容': '好，大堂气派，就是停车位稍显少，边上是KTV，有好多来唱歌的车占着位置。', '短评打分': 5}
{'短评内容': '会推荐这家酒店中，但不推荐住9楼，服务极其一般：9楼的服务员早上10点半居然打电话问：你们退不退房，给我气得！11点多的时候居然又来敲门，想打扫卫生也太执着了！！！', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 3}
{'短评内容': '总体还是可以，房间稍微有点小，网络不行。', '短评打分': 5}
{'短评内容': '离枫蓝国际比较近~~购物方便~周边的龙腾金湘~忆湘缘菜都挺好吃~~酒店的早餐还需要改进~', '短评打分': 5}
{'短评内容': '天方的早餐很不错,环境也不错,里面的服务也很好,我喜欢', '短评打分': 5}
{'短评内容': '距离枫蓝国际购物中心 比较近~周边吃饭地方较多~交通比较方便~赞一个', '短评打分': 5}
{'短评内容': '地段好，大堂不错，设施稍有点旧，总体还不错，性价比高。', '短评打分': 5}
{'短评内容': '很不错的酒店。', '短评打分': 3}
{'短评内容': '酒店位置还行，价格也适中，服务也过得去。总体是性价比不错。', '短评打分': 5}
{'短评内容': '基本设施还都不错，就是装修的稍微显陈旧了，鉴于交通便利来说，还是很棒的一个酒店。。。', '短评打分': 5}
{'短评内容': '环境优雅，环境很不错。很舒服~旁边还有枫蓝国际购物中心，很方便', '短评打分': 5}
{'短评内容': '设施一般,房间洗澡水温度太低', '短评打分': 3}
{'短评内容': '大单人间还不错 ', '短评打分': 3}
{'短评内容': '房间小了些 上网还需另交费', '短评打分': 3}
{'短评内容': '设备较老', '短评打分': 3}
{'短评内容': '还好，大堂比较好，在这种价位里的还算不错了。', '短评打分': 5}
{'短评内容': '+房间灰暗，一般', '短评打分': 5}
{'短评内容': '酒店设施一般，服务态度不好，被褥有些脏。', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 5}
{'短评内容': '我住在一个单人间，浴室很小，只有淋浴，且只是一个小角落，与洗脸池和马桶只用一个布帘子隔开，转身都不是很方便。地毯很脏，床垫也是比较简单的那种。\n\n优点是有早饭，位置也不错。', '短评打分': 5}
{'短评内容': '\ue67e设施有些陈旧 前台服务一般  办理入住等待时间太长', '短评打分': 3}
{'短评内容': '\ue67e设施有些陈旧 尤其卫生间镜框破损都不修  前台服务一般  办理入住等待时间太长  而且不按排队顺序办理', '短评打分': 5}
{'短评内容': '酒店顶顶好，酒店顶顶好，酒店顶顶好，酒店顶顶好，酒店顶顶好，酒店顶顶好，', '短评打分': 5}
{'短评内容': '环境很好!服务一般', '短评打分': 5}
{'短评内容': '+房间不错，两人会更实在点。', '短评打分': 5}
{'短评内容': '北京天方饭店我推荐', '短评打分': 5}
{'短评内容': '酒店顶顶好，酒店顶顶好，酒店顶顶好，酒店顶顶好，酒店顶顶好，酒店顶顶好，', '短评打分': 3}
{'短评内容': '不错的酒店。', '短评打分': 5}
{'短评内容': '饭店不错，值得推荐。饭店不错，值得推荐。饭店不错，值得推荐。饭店不错，值得推荐。', '短评打分': 5}
{'短评内容': '饭店的床挺舒服&#183;~卫生间相对有点小哈~~~但是价格还是稍微偏高一点~~周边交通比较方便~~~~~', '短评打分': 3}
{'短评内容': '酒店的地理位置不错~~附近靠近大超市~~大商场~~~还有很多银行~~吃饭的地方旁边就有~不过有点贵~酒店自带的淮扬菜味道不错&#183;总之还是可以~~价格相对高一点点~', '短评打分': 5}
{'短评内容': '房间好小，浴室更是让我汗颜', '短评打分': 5}
{'短评内容': '房间干净整洁,地理位置便捷,是个不错的选择', '短评打分': 3}
{'短评内容': '房间很不错，干净卫生，地理位置也不错，就是餐厅的饭有些差，可能因为光顾的人比较少的原因，我们在那里吃饭的时候很多菜都不能做，郁闷', '短评打分': 5}
{'短评内容': '环境不错，位置好，饭菜也不错，就是人多些。', '短评打分': 5}
{'短评内容': '我要点评', '短评打分': 5}
{'短评内容': '应该是后期改造的住宿，大厅装修很好，房子2~5层都不错', '短评打分': 5}
{'短评内容': '除了酒店大堂和所在位置外，似乎没什么特别可推荐的地方。设施比较老，服务也不太专业，住了2天中午1点退房的时候还要多收半天的房费，太死性了！', '短评打分': 1}
{'短评内容': '饭店位置可以，交通方便，旁边有大商场和超市。前台服务员态度可以，但业务水平有待提高，特别是前台客人一多，就显得忙乱，服务质量就受影响。总的来说行，我经常出差基本都入住这家酒店。我推荐这家酒店。', '短评打分': 5}
{'短评内容': '非常好 比较满意', '短评打分': 3}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '总的来说还不错', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '不错的地方', '短评打分': 5}
{'短评内容': '还不错的酒店', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 3}
{'短评内容': '早餐较为丰富，尤其是小米粥，熬的味道不错。\r\n\r\n住满五天后，续约时清洁员没有及时清理房间，前台也忘记给早餐券，房卡要重新刷才延长时间。', '短评打分': 5}
{'短评内容': 'hao', '短评打分': 3}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '还会住的', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '酒店位置不错，离地铁和车站都很近，外出很方便，不过服务和卫生一般，需要改进。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '在西直门附件办事的可以考虑。', '短评打分': 5}
{'短评内容': '下次还住', '短评打分': 5}
{'短评内容': '优选', '短评打分': 5}
{'短评内容': '客人还没走，服务员就把东西堆了一堆，而且定好了的房子，去了就给换了', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '位置很好，要是价格活动多点更好', '短评打分': 5}
{'短评内容': '不错的酒店，住了好多次了，服务好、饭菜好、早餐好。', '短评打分': 3}
{'短评内容': '推荐', '短评打分': 3}
{'短评内容': '性价比比较高的酒店。', '短评打分': 5}
{'短评内容': '最值得推荐的酒店', '短评打分': 5}
{'短评内容': '商务房间很一般，最不能理解的是宽带还要收费。唯一可取的就是地理位置还好，离地铁站比较方便。', '短评打分': 1}
{'短评内容': '酒店正在装修，所有房间油漆味很浓（整个晚上都没有睡觉），原定3天的房间只住一天，实在坚持不了啦，', '短评打分': 1}
{'短评内容': '地理位置较好,靠近北邮,但房间内淋浴设施非常简陋', '短评打分': 5}
{'短评内容': '交通还算便利，房间也不错，就是有的房间采光不太好！，还有，前台的服务人员素质有待提高。', '短评打分': 5}
{'短评内容': '住了几天感觉很好，卫生服务都很好，地理位置交通方便，性价比还是比较高的。', '短评打分': 3}
{'短评内容': '是家性价比很好的酒店,交通很方便', '短评打分': 5}
{'短评内容': '还不错，大堂挺好的', '短评打分': 5}
{'短评内容': '再便宜一点就好了', '短评打分': 5}
{'短评内容': '这个饭店服务非常差  卫生也不是很好 我多住了 12  30  退房 他竟然多收了我160块钱  完全就是个坑人得饭店  房间也非常小  连插座都没有', '短评打分': 1}
{'短评内容': '位置不错，大堂不错，房间较小', '短评打分': 5}
{'短评内容': '酒店整体感觉很一般，没什么特色，价格和的它的设施还算是匹配，因为朋友那，所以才住，以后可能不会在选择', '短评打分': 1}
{'短评内容': '价格合适，位置也非常的方便，酒店的停车厂也挺大的，停车很方便', '短评打分': 5}
{'短评内容': '前台人员对国际visa卡操作不熟悉，住宿结帐慢浪费时间', '短评打分': 5}
