{'descr': '酒店位置很方便，附近全是小吃街，适合居住。', 'star': 5}
{'descr': '房间隔音还可以，基本没被打扰。卫生间地面有几根长发没清扫干净。浴巾有一条有毛发。其它挺满意。', 'star': 5}
{'descr': '  新店 来几个月\r位置什么的还好', 'star': 3}
{'descr': '不错，很好的，下次还回来，前台很好，很喜欢', 'star': 5}
{'descr': '酒店性价比较高，地理位置很好，便捷，干净', 'star': 5}
{'descr': '成功入住', 'star': 3}
{'descr': '房间舒适干净，前台服务规范热情。推荐！', 'star': 3}
{'descr': '服务态度很好，我经常会去哪里的， 。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店位子不错，周围吃的也比较多，比较干净，整体来说不错', 'star': 5}
{'descr': '房间真心小啊，地理位置倒是真好，出门就是南禅寺步行街，旁边晚上还有酒吧一条街，晚上可以逛逛，中间有个小插曲，定的一间房大床打电话跟前台打电话说换成电脑房，前台说可以直接给我换，后来又给我打电话说没电脑房，而且不知道是谁答应给我换的，晕啊~不过没有就没有吧我也不是那么难说话，希望你们改进在专业点吧，还是很推荐的，到哪都很方便，到无锡旅游什么的住这真的很方便价格也不贵', 'star': 5}
{'descr': ',干净.温馨，工作人员很热情。', 'star': 3}
{'descr': '还有，打扫不仔细，墙上还有蜘蛛网。没有WIFI.', 'star': 5}
{'descr': '硬件不错，软件不行，那天因为出差时间长，没洗衣服，问多要几个衣架，可一个都不给。打扫的人都说了，只要前台说，都可能给。第两天我看到别人问都给，可能那个是帅哥就给，美女就不给吧。', 'star': 5}
{'descr': '很好的酒店 环境也不错 靠近南禅寺 逛街 吃东西多方便 挺好的', 'star': 5}
{'descr': '服务非常好', 'star': 3}
{'descr': '相比较于酒店所在的地理位置而言，该酒店的价格和环境还是可以接受的，但是酒店前台的服务人员相关的服务热情和素质还是有待进一步的提高，总体情况而言，有机会我还是会选择这家酒店的！', 'star': 5}
{'descr': '这家店地理位置超好的，就在南禅寺步行街上，什么都很方面。干净，有吹风机。就是床单要收拾干净，不要有头发，虽然这是酒店通病。', 'star': 5}
{'descr': '挺好的。就在南禅寺对面。虽然特价房没窗，但有空调就行了。', 'star': 5}
{'descr': '还不错，周围比较热闹，吃东西的地方也很多', 'star': 5}
{'descr': '室内干净，很温馨的，住过两次感觉都蛮好，在南禅寺旁边很方便', 'star': 5}
{'descr': '很不错啊 。。值得推荐。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '环境还不错，晚上出来吃饭也很方便，就是房间小了点', 'star': 3}
{'descr': '房间的电视就几个台，叫人来修，一会好一会不好。还有就是楼下在施工，下午比较吵。', 'star': 1}
{'descr': '环境不错。只是楼下是装修还是什么- -好吵。。。', 'star': 5}
{'descr': '还行的啊。服务卫生交通啥的都很好啊。因为我是本地人。所以订的时候老早就看中了。', 'star': 5}
{'descr': '还不错的一个地方，就是旁边是闹区。有点小抄', 'star': 5}
{'descr': '酒店还不错，环境也不错，地段也不错，下次还去这里。', 'star': 5}
{'descr': '离火车站打车三十不到，还比较近，环境不错，闹中取静，离南禅寺南长街很近。周围吃的喝的逛的很多，不远就是一条商业街，晚上都是酒吧、饭馆、甜品店什么的，很不错。酒店房间小，不过很干净舒服，比较实惠', 'star': 5}
{'descr': '房间是小了点儿，不过还是挺舒服的，地理位置很好，早上起来离老字号王兴记很近，吃个馄饨什么的很是惬意，就是晚上周围的关门有点儿早了...', 'star': 3}
{'descr': '环境很好', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '真不知道这家宾馆经理怎么想的，每到周六就涨价，而且从7月1日期所有的房间都涨价了，如家其他宾馆没有涨价的！', 'star': 1}
{'descr': '总体环境还可以，蛮温馨的，就是房间小了点！真的有装修电钻声音，午休不爽！', 'star': 3}
{'descr': '蛮舒适的，虽在步行街那，但晚上休息不影响休息。。。顺便还可以出去逛街，一举两得哦。。。', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '地理位置不错。其他的就一般，典型的经济酒店。', 'star': 5}
{'descr': '酒店位置不错，只是房间偏小', 'star': 3}
{'descr': '感觉很好，非常温馨，服务也不错！总之，还是不错的！', 'star': 3}
{'descr': '哈，一直在这住，就是觉得儒家的服务很规范，交通方便，旁边小吃很多。', 'star': 5}
{'descr': '酒店交通便利,被子很可爱。', 'star': 3}
{'descr': '不错，环境还行，不错的性价比，推荐一下，服务态度挺不错的。', 'star': 5}
{'descr': '还不错.地址很市中心。进出都很方便。蛮好的', 'star': 5}
{'descr': '离南禅寺非常近，走路也就十分钟，周围就是一条酒吧街和南禅寺步行街，坐车吃饭都很方便，离火车站就两站路，来无锡的最佳选择。客房也很干净，以后还会入住', 'star': 5}
{'descr': '还是住在这里，环境不错，服务也好，地点优越，交通方便，附近小吃很多\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '还是住在这里，环境不错，服务也好，地点优越，交通方便，附近小吃很多\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '一直在这住，环境不错，位置也好，服务当然也是儒家的标准了。', 'star': 5}
{'descr': '位置逛街很方便，很好找，就是大床房房间小了些，其他都还好。', 'star': 3}
{'descr': '因为是才装修没多久，酒店内部很新很干净，虽然住的是特惠大床房间，没有窗户但是有个空调透气口，特别好，一点不闷，出门就是南禅寺，好吃的小吃很多，很不错，下次去也他们家！！！！！！', 'star': 5}
{'descr': '每次住都会认真评论，这次也不例外。\n先说说优点：\n1、每一个如家快捷真的都跟它名字一样：“如家”。真有到了家的感觉一样。亲切的前台客服，一声声问候，让我们在外的旅行者倍感亲切。\n2、这家如家在南禅寺附近，紧紧靠近南禅寺商业街。吃的东西肯定就多得去了。旁边还有电玩城，很大的一家，叫英雄年代。喜欢玩电玩的朋友住在这家如家就方便多了。\n3、清洁阿姨很热情。帮我打扫房间什么的，虽说是她的工作，但是她没有表', 'star': 5}
{'descr': '环境还行，就房间不是很大', 'star': 3}
{'descr': '还是住在这里，环境不错，服务也好，地点优越，交通方便，附近小吃很多', 'star': 5}
{'descr': '一直在这里住，如家的服务的确不错，价格也很便宜。', 'star': 5}
{'descr': '地理位置好，出行坐车很方便，门前就是南禅寺商业区，吃饭小吃很多，晚上附近的南长街运河边有很多酒吧，房间小了点，卫生间很大，隔音不是很好，墙壁有一大片潮湿掉皮，总体感觉还不错价格服务还能接受，出行很方便。', 'star': 3}
{'descr': '地理位置好，价格便宜，旁边有一个停车场，如家给一个卡，一夜8快钱停车费。', 'star': 5}
{'descr': '  很好找 环境也不错 很满意  推荐朋友也去那住', 'star': 3}
{'descr': '  环境不错，价格也很适中，离南长街很近，闹中取静。', 'star': 3}
{'descr': '还不错，就是酒店楼下在装修早上电钻很吵，酒店位置方便，离南禅寺很近，吃的也挺多', 'star': 5}
{'descr': '环境不错，服务也好，地点优越，附近小吃很多，下次还来！', 'star': 5}
{'descr': '标准的如家服务，价格便宜，还含早餐，不错不错！', 'star': 5}
{'descr': '非常方便，就在穆桂英饮食城旁边，下楼就可以吃到各种小吃，住在这里交通也方便', 'star': 5}
{'descr': '房间很干净，晚上也安静，很不错，就是早餐15元觉得不值，不过无锡如家都这价', 'star': 5}
{'descr': '连住了几天，今天从楼下电梯经过，难闻的气味依旧在，希望尽快改善哦', 'star': 5}
{'descr': '连住了几天，换洗的衣服都没干，要是能想莫泰一样提供自助洗衣机就更好了', 'star': 5}
{'descr': '不错，交通便利，安静卫生，下次去无锡首选', 'star': 3}
{'descr': '地理位置不错，室内环境还行，交通方便快捷。', 'star': 5}
{'descr': '酒店环境非常好，我住的很舒适', 'star': 3}
{'descr': '其实我已经是金卡会员了，的确不错，只是这次可能因为是夏季，一楼电梯处有异味，希望尽快改善', 'star': 5}
{'descr': '挺好的，位置，和环境，推荐入驻，刚走进酒店的时候 前台和值班经理没有一个人打招呼的，这点挺失望，住汉庭的时候，无论谁见了，都会说你好，这点有差距，晚上值班的阿姨倒是挺好的，出去进来，都打了招呼，这点希望酒店方面能表扬一下，6.6号晚上值夜班的前台阿姨的。其他的没什么可说的', 'star': 5}
{'descr': '如果可以价格能够再优惠一些就更好了。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '性价比不错 就在南禅寺景区旁边 吃喝玩乐睡一条龙了', 'star': 5}
{'descr': '很不错，酒店方面还是挺给力的！下次还会光顾的！！！', 'star': 5}
{'descr': '干净，肃静，就是房间很小，离公车站有点远。', 'star': 5}
{'descr': '很不错的酒店  靠近景区  交通方便  很便利  超市也有  但是夜里有点冷  不过还是值得入住的', 'star': 5}
{'descr': '还不错，就是房间小了一点点，距离南禅寺步行街非常近哦，挺方便的~', 'star': 5}
{'descr': '环境不错，很干净，周边很热闹，就是南禅寺商业步行街，小吃什么非常多。下次住还来！！！', 'star': 5}
{'descr': '地理位置不错，靠近南禅寺，旁边吃喝玩方便，唯一遗憾就是酒店白天施工比较吵，其他都可以', 'star': 5}
{'descr': '在南禅寺这边~酒店很新~性价比极高~以后还会来住~', 'star': 5}
{'descr': '这里环境不错，挺干净的，晚上也比较安静。离市区也挺近的。', 'star': 5}
{'descr': '这里环境不错，挺干净的，晚上也比较安静。离市区也挺近的。', 'star': 5}
{'descr': '这里环境不错，离南长街比较近，喜欢酒吧的朋友可以去逛逛。', 'star': 5}
{'descr': '比较安静就是了。也比较干净。阿姨打扫的时候比较小声。', 'star': 5}
{'descr': '比较安静就是了。也比较干净。阿姨打扫的时候比较小声。', 'star': 5}
{'descr': '还行，挺干净的，就是南禅寺不是很好玩。东西不好吃。', 'star': 5}
{'descr': '在南禅寺步行街上，晚上到南禅寺或者南长街很方便，周边还有一些小吃店和超市，相对来说价位合理，值得入住！', 'star': 5}
{'descr': '就在步行街紫金广场边上，逛街够方便，唯一欠缺就是房间隔格防噪音差些。以其性价比而言是物有所值了。值得推荐。', 'star': 3}
{'descr': '干净舒适，离南禅寺很近，出行很方便，性价比很高。', 'star': 5}
{'descr': '出来一个星期了，出差有些疲惫。今天和朋友一起住进如家，想在无锡玩玩。确实不错，特别喜欢屋里的设计，要是有沙发椅子就更完美了！！！', 'star': 3}
{'descr': '酒店很不错，逛街方便，以后住无锡都会来这里', 'star': 5}
{'descr': '来无锡一直是住这家里  干净卫生 就是如家一直房间都有点小  要是大点就好了、\n', 'star': 5}
{'descr': '环境很好！住得很舒适！有机会还会去的！', 'star': 3}
{'descr': '环境不错，价格合理！睡得很舒心。下次一定还来。希望生意兴隆', 'star': 5}
{'descr': ' 特价房怪怪的', 'star': 3}
{'descr': '还行 主要是隔音不好 还有就是地方不好找  有点偏 地理环境好', 'star': 5}
{'descr': '住了好几次  环境不错  价格实惠  交通很方便', 'star': 5}
{'descr': '距离市区，很方便，酒店的房间干净整洁！每次来无锡都会选择住在这里！', 'star': 5}
{'descr': '服务态度很不错 内部感觉还算安静 挺温馨的 价格算合理 不错不错！！', 'star': 5}
{'descr': '地点不错，离市中心很近，很适合散步，室内也比较干净，挺安静的，休息的时候不会受到打扰。', 'star': 5}
{'descr': '管理不好。4月末入住，被子是冬季用的。问酒店前台，理直气壮答曰：在库房，没运来。试问20多度的温度，如此厚的被子，旅客怎么盖。后果是，感冒了。', 'star': 1}
{'descr': '距离南禅寺跟近，就是早晨在搞装修，很吵!酒店应该提前告知在搞装修', 'star': 1}
{'descr': '服务态度很好，房间也比较干净。稍有隔音不太好，不是大问题，如果能改进，就更好了。', 'star': 5}
{'descr': '地理位置很好，算是闹中取静，房间稍小，不过功能也算齐全。', 'star': 3}
{'descr': '房间挺干净，靠近小区一侧的房间也挺安静。空间稍显拥挤。旁边就是南禅寺，吃行方便。', 'star': 3}
{'descr': '地段好。还很便宜。', 'star': 3}
{'descr': ' 性价比不错。。', 'star': 3}
{'descr': '价格便宜 交通方便 周围吃饭的地方挺多 但宾馆通风不太好', 'star': 5}
{'descr': '环境不错，蛮安静的。只是早晨有点吵，房间小了，下次准备换个大房间试试。', 'star': 5}
{'descr': '还可以，没有什么不满意的地方，就是靠近水管可能，晚上有声音。', 'star': 3}
{'descr': '已经住几次了!还是如家好。卫生安静服务好。就是地方小了点!其他都不错', 'star': 5}
{'descr': '就在南禅寺 挺干净 也很方便 唯一确定就是总借不到吹风机 建议酒店多备点。', 'star': 5}
{'descr': '房间不错，很干净卫生，就是窗户小了点', 'star': 3}
{'descr': '装修中，白天噪音巨大，其他都和所有如家一样！', 'star': 5}
{'descr': '舒适度还不错，就在南禅寺旁边，唯一就是枕头有点不舒服~', 'star': 5}
{'descr': '这家店的地理位置不错，近步行街，不过没有免费的停车位实在是不方便', 'star': 3}
{'descr': '首先，地址比较好，出门就是南禅寺步行街，吃饭逛街很方便的，此外，房间也很干净，虽然比较小，但是感觉还不错，服务也很OK。值得入住。', 'star': 5}
{'descr': '酒店环境不错，服务好。这家酒店地理位置也好，房间干净舒服。', 'star': 5}
{'descr': '酒店就靠着南禅寺，位置不是很好找，那天晚上找回去的酒店找了半天，房间竟然没有提供洗漱用品，后来打电话喊前台送来的，总体感觉一般，没有特别让我印象深刻的地方。最奇怪的是我一直用了很久的工行借记卡竟然在前台不能刷预付，这是我住了那么多次如家头一回碰到。', 'star': 5}
{'descr': '环境还不错,服务也还行,性价比也就一般般', 'star': 3}
{'descr': '可以的,下次还住这里.比较不错的,推荐一下!', 'star': 5}
{'descr': '还可以,已经住两次了,过几天去还住这里,就是阴面没有阳面好!', 'star': 5}
{'descr': '如家的一贯风格，遇上下雨天回来晚了，去前台借个电吹风被告之没有了，就只有10个，无奈洗好头发只能等干，凌晨来睡觉。', 'star': 5}
{'descr': '房间干净舒服，特别喜欢那床单，温馨且非常温暖。', 'star': 5}
{'descr': '还行吧，服务还可以，地段不错，就是价格偏高了点', 'star': 5}
{'descr': '我一直出差住的如家，每间如家的酒店都像家一样的温馨，工作人员态度也是很友善看的舒服赞一个，房间也是两幅画，虽然我不懂欣赏但是这画还不错。总体来说，这家酒店地理位置也好，此次我是过来考公务员入住的，希望带来好运气！！', 'star': 5}
{'descr': '位置很好，可以逛南长街，泡酒吧。房间比较小。总体还不错。', 'star': 5}
{'descr': '环境挺温馨的，就是空间有点小', 'star': 3}
{'descr': '酒店还可以,环境也不错,推荐下,我过几天去,还住那里.就是挺车远点,费点劲.', 'star': 5}
{'descr': '很好 逛街很方便 但是第一次去的时候没找到 结果去了永乐路店 ', 'star': 5}
{'descr': '位置挺好的啊 不错不错不错的 还成啊 不错的不错的', 'star': 5}
{'descr': '很好，环境不错，服务态度也很好。。。而且很方便', 'star': 5}
{'descr': '环境很好，下次还会继续！！！！！！！！！！！！！', 'star': 5}
{'descr': '很好  是我住过最干净的如家 很不错哦。而且交通很便捷 出门就是南禅寺。', 'star': 5}
{'descr': '蛮好的。满温馨的。离南禅寺很近。出门方便', 'star': 5}
{'descr': '前台服务人员态度很好，进门走人的时候都会打招呼。周边环境比较便利，还有晚间睡觉不吵。', 'star': 5}
{'descr': '周边交通很方便，有超市、步行街，环境也不错，就是不能拉卡，还是很满意的，下次去无锡还会考虑这边。', 'star': 5}
{'descr': '很好，很干净，也很实惠，会向别人介绍的，，，，，，，', 'star': 5}
{'descr': '还好！酒店位置和环境都还不错，服务也不错，服务员很热情！！！！', 'star': 3}
{'descr': '服务、环境都很好，逛街也很方便，性价比高', 'star': 5}
{'descr': '365博物馆店位置好，但临街房隔音不好，太吵了。别的还可以。能加上双层玻璃最好了。', 'star': 5}
{'descr': '周边环境要改善，因为是出差，所以应酬了很晚睡觉，早上8点就被很大的声音吵醒。', 'star': 5}
{'descr': '就是网速太慢，现在吃套餐加米饭还再收两元，不合适。本身菜品就少，价格也贵。', 'star': 5}
{'descr': '酒店还不错。', 'star': 5}
{'descr': '紧邻石家庄博物馆，门前是一条新的商业街。不过两边店铺还没全部入驻。出行很方便，总体感觉不错', 'star': 5}
{'descr': '酒店已多次入住 每次感觉都很好 下次有机会过来还会选择的', 'star': 5}
{'descr': '服务很不错！！！！！！！！！！！！！！！！！！！！！1', 'star': 3}
{'descr': '酒店隔音太差', 'star': 5}
{'descr': '酒店位置不错  出行方便  设施感觉一般啦  整体来说还不错', 'star': 5}
{'descr': '位置很好，就在省博物馆对面。以前是住的西大街店，觉得很舒适。只是临街的房间有点吵，其他都很好', 'star': 5}
{'descr': '住的还好，主要是空间没有想象的那么大，服务很好，赞一个！', 'star': 5}
{'descr': '挺不错的 住了好多次 每次都感觉很好 下次过来还会考虑入住的', 'star': 3}
{'descr': '挺不错的 住了好多次 每次都感觉很好 下次过来还会考虑入住的', 'star': 5}
{'descr': '此酒店的普通大床房临街，有点吵....外面是石家庄所谓CBD，浴液质量一般，房间设计一般...相比这个价格算凑合了', 'star': 5}
{'descr': '卫生很好，服务不错，价格优惠，交通便利。', 'star': 3}
{'descr': '挺不错的酒店 住了很多次了 感觉都挺不错的', 'star': 5}
{'descr': '还行吧。交通和食宿很方便，就是酒店比较的浴液和洗发液是小袋的，长头发的女同志就会比较郁闷', 'star': 5}
