{'短评内容': '早餐不错，干净。', '短评打分': 5}
{'短评内容': '酒店地处烟台的郊区，交通不是非常方便，如果自己有车还可以，房间没有什么说的，和别的如家一样，比较干净。需要改进的就是吃早餐的地方，太小了，基本上是供不应求，完全像打仗一样。周边有些小饭馆，也都非常便宜。整体来说不错了。', '短评打分': 5}
{'短评内容': '环境非常好，离海边比较近，空调热水什么的都很好！前台服务也很好！灰常好的旅行！！！！！', '短评打分': 5}
{'短评内容': '满意!', '短评打分': 3}
{'短评内容': '出差，离办事点，很近的，感觉价格有点小贵。凑满50个凑满50个凑满50个凑满50个凑满50个凑满50个', '短评打分': 5}
{'短评内容': '酒店干净，安静，价位还可以。房间不怎么隔音。院子里车位不少。\n如果去海滩，地理位置适中，步行大约20分钟。\n步行约10分钟就能找到很多大排档，口味不错。周围还有烤肉店，火锅，海鲜，快餐都有。加油站，超市、医院，商场一个都不少。\n美中不足：没有电梯。', '短评打分': 5}
{'短评内容': '服务周到  干净 安静 房间有点小 楼梯很漂亮 离海边很近', '短评打分': 5}
{'短评内容': '相信如家，离海边也很近。服务态度也是很好的。', '短评打分': 5}
{'短评内容': '价格不是很贵，不过有点难找，新酒店，房间很大，，', '短评打分': 5}
{'短评内容': '早餐不错。房间虽小但是干净，设施齐全。有免费停车场，可刷卡，服务员彬彬有礼。离威海国际浴场近。附近还有好几家韩国餐馆。不过离东面威海港口那边比较远，适合自驾车。', '短评打分': 5}
{'短评内容': '新酒店，很干净，洗澡水也很热。服务员态度也很好。房间大小正合适。下次还会住。价格便宜。', '短评打分': 5}
{'短评内容': '非常不错！就是隔音效果有点差，早餐很贴心', '短评打分': 3}
{'短评内容': '服务一般，没电梯11111111111111111111111', '短评打分': 1}
