{'短评内容': '服务态度很好，卫生也不错，就是周围环境差点', '短评打分': 4}
{'短评内容': '在博物馆对面院子里，很安静，房间挺大，寝具洗漱用品都用得很舒服，房间配有很新的Dell液晶电脑和飞利浦液晶电视；卫浴全是科勒的；餐厅比较小早饭不太和我胃口；这个地方应该经常作会议招待吧，所以条件确实不错', '短评打分': 5}
{'短评内容': '交通还可以.房间卫生状况一般，套间的卫生条件和其它设施不够套间标准。总体水平一般。', '短评打分': 1}
{'短评内容': '\n很好，满意', '短评打分': 3}
{'短评内容': '很好的酒店，值得推荐，在这个城市中算是最好的酒店了', '短评打分': 5}
{'短评内容': '晚上有电话骚扰,房间里面有一股很奇怪和不好闻的味道,价格不便宜,不建议以后再住.', '短评打分': 1}
{'短评内容': '中秋节的服务特别好，我还参加了酒店的灯谜活动。', '短评打分': 5}
{'短评内容': '1)这个酒店其实和邯郸宾馆就在一个院里，和邯郸宾馆好像是一家的，就是近几年新装修的，应该算是邯郸不错的酒店了；\r\n2)房间还算比较舒适,可以选住；\r\n3)早餐也有各种选择，还可以，就是吃早餐的房间太小；\r\n4)酒店位置据说算是市中心了，离火车站打车10来块钱吧。', '短评打分': 5}
{'短评内容': '+感觉挺好的', '短评打分': 5}
{'短评内容': '房间挺大的就是设施有点旧，服务还可以但是早餐提供的品种太少了，位置还是挺中心的。', '短评打分': 5}
{'短评内容': 'good breakfast, nice hotel', '短评打分': 5}
{'短评内容': '位置很好很方便出行，打车做车都很方便.就是卫生和硬件略显一般.不过整体来讲还可以.', '短评打分': 5}
{'短评内容': '性价比还可以，不过有些小细节还是有欠缺，比如房间里的拖鞋都是泡沫的那种，质量不好，洗漱用品都只备了一份，有些地方还是欠缺些，大的方面还是很不错的', '短评打分': 5}
