{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '朋友到的玩，预定的房型没有了，给做了升级，很满意...', '短评打分': 5}
{'短评内容': '不错的酒店 房间很大 服务很好~~ 推荐啊', '短评打分': 5}
{'短评内容': '地理位置优越 房间大 适合家庭聚会', '短评打分': 3}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '价格还可以', '短评打分': 3}
{'短评内容': '酒店很好', '短评打分': 3}
{'短评内容': '环境比预想的好很多，感觉超级值，非常便利，公寓式环境，私密性也很强，还会再住的~', '短评打分': 5}
{'短评内容': '很好的酒店，应配备荞麦皮的枕头，其他设施很好！！！！！！！', '短评打分': 5}
{'短评内容': '酒店环境非常好！', '短评打分': 3}
{'短评内容': '第二次入住了，但感觉不如第一次好，服务没地说满意，但房间空调动静忒大了！！！再有就是可能是这次住的房间好久没住客人了，有霉味！！！', '短评打分': 5}
{'短评内容': '环境超好 很温馨 家电一应俱全', '短评打分': 3}
{'短评内容': '房间很大。也很整洁。服务员态度也很好。', '短评打分': 3}
{'短评内容': '酒店干净、房间明亮、宽敞，设施齐全\n真的很不错，下次还会入住', '短评打分': 5}
{'短评内容': '公寓的感觉很好,大堂简洁务实，房间宽敞,功能齐全,(不象别的酒店大堂大房间小,又不睡大堂是不?)。电梯插卡安全性好。不错~\n有个问题望回复:早9至晚10振动声音从哪发出的？是不是背街面几层楼高的什么~上面旋转的大涡轮~~~能解决吗？', '短评打分': 5}
{'短评内容': '干净整洁的酒店公寓,感觉比住酒店舒服,下次还会入住.', '短评打分': 5}
{'短评内容': '非常好！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '安静......................', '短评打分': 5}
{'短评内容': '不错......................', '短评打分': 5}
{'短评内容': '很好的酒店式公寓，还被升级到一室一厅，人品大爆发呀！哈哈哈！', '短评打分': 5}
{'短评内容': '酒店真的很不错，设施十分齐全，卫生状况也很好，很干净。感觉要比一般的星级宾馆性价比高出很多，如果有机会，还会选择这里', '短评打分': 5}
{'短评内容': '酒店较新，离国展很近，还有新装修味道，房间宽敞明亮。', '短评打分': 3}
{'短评内容': '比较新的酒店， 服务很好， 住酒店，还可享受很多商户的折扣。性价比高', '短评打分': 5}
{'短评内容': '房间整洁设施齐全，价位合理交通方便，比较理想的休息地！', '短评打分': 5}
{'短评内容': '住的行政套房，公寓式酒店，有洗衣机，冰箱。环境优雅，档次很高。很喜欢。', '短评打分': 5}
{'短评内容': '不错的公寓，就是早餐很少很差，房间大，设施好。值得推荐。', '短评打分': 3}
{'短评内容': '就是太远了，总体还是不错，浴室很舒服', '短评打分': 5}
{'短评内容': '很好的酒店式公寓，厨房设施很齐备，安全性和私密性都很好，特别适合较长时间客居的客人，在这里度过了愉快而难忘的两天，以后还会再次入住的，值得推荐。', '短评打分': 5}
{'短评内容': '很好的酒店，下次还会入住。', '短评打分': 3}
{'短评内容': '很舒适温馨，就是太难找了，出租司机都不知道！', '短评打分': 3}
{'短评内容': '第一次入住这种公寓性质的酒店，是带着老人和孩子一起住的。酒店似乎是新装修好的，非常干净卫生，设施很新很新，厨具和很多用品都是全新的，非常适合家庭亲友一起居住，我们还开伙自己做饭了，很舒适随意。而且电梯等公共设施要持卡使用，非酒店内客人是无法使用的，安全性和私密度都非常高，苛刻的老爸都非常满意。如果非要指出不足，第一就是五层的餐厅无论是从餐品种类数量还是从服务态度上都亟待改进，实在是与公寓的整体配置', '短评打分': 5}
{'短评内容': 'GOOD', '短评打分': 5}
{'短评内容': '房间很大很舒服，适合多人常驻，早餐实在一般，没有酒店的感觉', '短评打分': 3}
{'短评内容': ' 硬件设施很好，也有健身中心和游泳池，房间很大，不过现在价格比刚开业涨了很多，是不错的服务公寓。', '短评打分': 5}
{'短评内容': '房间很大，比一般酒店的标准间大很多，设施也还好，只是早餐东西太少了，根本不能和5星级相比，适合和家人常住，不适合短期居留。。。', '短评打分': 5}
{'短评内容': '房间很大，服务还好，适合长期居住，只是公寓的感觉太强，酒店的功能弱了。', '短评打分': 3}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '感觉一般。没啥特殊的感觉', '短评打分': 3}
{'短评内容': '原来2房入住价格在600多/天，今年开始突然加到900多，而且对长期入住的顾客没有任何优惠，无语中，感觉和喜来登比优势越来越少了', '短评打分': 5}
{'短评内容': '房间面积很大，服务式公寓，就是位置不太好，离市中心远，服务一般，服务人员较少。', '短评打分': 5}
{'短评内容': '房间设施好 很新 ', '短评打分': 3}
{'短评内容': '房间还算舒适,地理位置也不错,就是很难找到,餐厅不供应午、晚餐,很不方便，我1月2-3住,正好赶上下大雪,酒店没有固定的出租车,门童叫了一个小时车也没到,只好叫朋友来接了,否则连飞机都赶不上了!早餐质量太差了!总体感觉性价比不强!', '短评打分': 5}
{'短评内容': '不错的酒店公寓 早餐要是再丰富些就更好了', '短评打分': 3}
{'短评内容': '总体不错服务尚有提高的地方', '短评打分': 5}
{'短评内容': '位置还是不错的,离市中心很近,出行都很方便,房间的卫生和设施方面也都不错,住着很舒适,我很满意.', '短评打分': 3}
{'短评内容': '空間超大,酒店很新,性價比非常高', '短评打分': 5}
{'短评内容': '很不错，下次还会住那里', '短评打分': 5}
{'短评内容': '太难找了。。。早饭一般，暖气不够有力，别的都可以', '短评打分': 5}
{'短评内容': 'GOOD', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '首先，非常感谢前台的JESSICA小姐，另外一位不知道姓名的女孩及门口的接待员！！！我10/30 入住时，晚上10点家人突然感到极度不适呕吐并差点昏倒在浴室，通知前台帮忙叫计程车赶去医院挂急诊治疗，回来时已经凌晨2.3点多了，并贴心主动提出帮我们换了一间房间。从这紧急事件发生到后续的处理让我感到非常温馨的专业服务。非常的好！推荐。', '短评打分': 5}
{'短评内容': '我是帮客户订的该酒店，客人非常满意，各个方面，用了“ the best one&quot;形容,呵呵。我也看了看，真的很好，希望价格保持。还会再订的。', '短评打分': 5}
{'短评内容': '面积大 便宜', '短评打分': 5}
{'短评内容': '因为是跟家里一样的，一居，二居，三居，所以住着很舒服，很宽敞。', '短评打分': 5}
{'短评内容': '很新的公寓式酒店,适合俩个人以上度假,已经推荐给朋友了', '短评打分': 5}
{'短评内容': '酒店的环境还可以，服务也不错，就是地点有点偏，交通不是那么便利', '短评打分': 3}
{'短评内容': '没有想象当中的好，卫生还不错，挺干净的，硬件也挺好，就是服务是比较弱的，白天的服务人员还不错，夜班值班的不行，效率有点慢', '短评打分': 1}
{'短评内容': '酒店环境很好，房间面积很大，用品也都很新，从卧室的窗户可以看到楼下广场和博物馆的景色，晚上的时候真的挺漂亮！另外，房间里还有厨房和洗衣机，我试着用了一下洗衣机，还可以烘干，比我家里的都方便。总体感觉这里还是很超值的，只可惜这次只住了一天，下次来还会来的。\r\n', '短评打分': 5}
