{'短评内容': '环境不错，服务态度好，价格合理。', '短评打分': 5}
{'短评内容': '从经济实惠来说还不错，房间比较清洁，价格便宜，但要避开牡丹节时段。', '短评打分': 3}
{'短评内容': '酒店离洛阳火车站很近，步行十分钟能到。房间干净整洁，总台服务很好。', '短评打分': 3}
{'短评内容': '房间干净整洁，服务员热情，周到。锦江之星是我出行入住的首选。', '短评打分': 5}
{'短评内容': '酒店环境较好，离火车站、汽车站较近，交通方便；推荐入住。', '短评打分': 5}
{'短评内容': '室内很干净 服务态度也不错 还有楼下的自助早餐18元也很划算 总体感觉不错', '短评打分': 3}
{'短评内容': '房间还是比较干净的，还可以', '短评打分': 3}
{'短评内容': '一直挺干净.不过返的三十元没看见.呵呵.', '短评打分': 3}
{'短评内容': '房间大，设施新，安静，房间有点味道', '短评打分': 3}
{'短评内容': '嗯，不错。 挺干净的。 就是房间里没有小桌子。 然后买的吃的不知道在什么地方吃。呵呵。 还有卫生间真小哈///总之不错的。', '短评打分': 5}
{'短评内容': '总体水平还不错，卫生设备也还适用，就是宽带有点慢', '短评打分': 5}
{'短评内容': '挺不错的，很安静舒适，喜欢房间简约的装修风格', '短评打分': 5}
{'短评内容': '我是11月1日和2日在这里住了两天. 离火车站很近, 我从火车站走路过去的, 而且很容易找到. 服务员的态度也很好, 详细告诉我第二天去白马寺和龙门石窟的路线, 让我在第二天去景点时全是公交来回,省了不少打车费用呢. 早餐也还不错, 营养卫生. 房间也很宽敞, 被子特别舒服. 强烈推荐.', '短评打分': 5}
{'短评内容': '物超所值', '短评打分': 3}
{'短评内容': '服务很热情', '短评打分': 3}
{'短评内容': '超级近火车站,容易抵达\n房间清洁,服务良好,价钱合宜', '短评打分': 5}
{'短评内容': '很好，很干净，离火车站、汽车站较近，唯一的缺点就是临街的房间较吵', '短评打分': 5}
{'短评内容': '房间不错，稍微贵点', '短评打分': 3}
{'短评内容': '环境很舒适，距离火车站很近很方便，由于车晚点打电话把预约时间延后服务态度都很好，值得推荐', '短评打分': 3}
{'短评内容': '该酒店门口即有公交车站（不过近期门前修路，已不通公交车），交通方便，酒店设施较新，干净卫生。房费不含早餐，但有早餐供应，15元/人，早餐较好。不足之处：1、卫生间以浴帘干湿分离，洗澡时会有水溅出；2、早晨酒店外不知什么机器开动声音较吵。酒店服务很好，有三个细节印象很深：1、晾衣架正对空调出风口，衣物很容易晾干；2、离店结账后要求寄存行李，前台人员会有专门的牌子，并有专门的行李间寄存；3、在酒店用早', '短评打分': 5}
{'短评内容': '位置还可以，设施卫生服务均好，门前修路，貌似河南没有不修路的', '短评打分': 5}
{'短评内容': '酒店地理位置很好，方便，环境卫生不错，服务周到细致', '短评打分': 5}
{'短评内容': '新装修的，很不错，在洛阳有这样的水平和价格，性价比超值。离火车站和锦远汽车站有点距离，但走路也就十几分钟吧。只是最近门前的路在修，出行不太方便。', '短评打分': 5}
{'短评内容': '不错的，价格低，环境也好，会再去。旁边吃饭的也不错', '短评打分': 5}
{'短评内容': '不错，交通十分很方便的。下次来，我还会选择这里的', '短评打分': 5}
{'短评内容': '是我住过的最好的锦江之星 服务很好 房间很干净 设备齐全 很棒！', '短评打分': 5}
{'短评内容': '新建成的酒店，各方面都很好，服务态度很棒，值得推荐！性价比也不错！！！', '短评打分': 5}
{'短评内容': '酒店给人的总体印象不错，如果电视能大一点，卫生间再有个干肤器就更完美了。', '短评打分': 5}
{'短评内容': '火车站旁边。。。   出现非常的方便！！！', '短评打分': 5}
{'短评内容': '服务不错，服务人员热情，就是距离火车站有点远，缺少必要的咨询', '短评打分': 5}
{'短评内容': '舒适满意', '短评打分': 3}
{'短评内容': '酒店环境还不错，但是离火车站和长途汽车站还是有点不方便', '短评打分': 5}
{'短评内容': '帮父母预定,没有说不好 应该还不错  帮父母预定,没有说不好 应该还不错', '短评打分': 5}
{'短评内容': '很干净，早餐也不错。现在是牡丹节，房价暴涨，别去那些所谓三星的酒店，非常差（如富地商务酒店）。还是锦江之星不会让你失望。', '短评打分': 3}
{'短评内容': '房间比较干净，就是洗手间太小，再就是前台的服务人员的业务实在是不敢恭维：把我的预授权1000直接给我搞成了消费1000元，为了推广自己的会员卡有点蒙蔽消费者的情况。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '很干净不错', '短评打分': 3}
{'短评内容': '酒店搞得节能低碳的优惠活动挺好的，酒店的整体环境听好的，就是觉得价格有点高', '短评打分': 5}
{'短评内容': '对于15元的价位，早餐品种还算丰富。有个超大的停车场。旅店所处的位置很安静', '短评打分': 5}
{'短评内容': '旅店干净，服务态度好。在住过的锦江之星中房间超大', '短评打分': 5}
{'短评内容': '酒店很好，就是热水供应太慢，打电话到总台称人太多热水来不及供应要等半小时，', '短评打分': 3}
{'短评内容': '从火车站出来不太好找，需要走很远，打个车过去5块钱就好了，师傅很热心。', '短评打分': 5}
{'短评内容': '交通方便,比较干净,就是有的房间窗户有点小', '短评打分': 5}
{'短评内容': '说实话是我住过的锦江之星里面最差的一家，卫生条件很一般很一般，饭菜质量太差了，早餐基本上没什么可吃的，晚餐点了2个菜，其中一个菜基本上没法吃，炒的太难吃了。', '短评打分': 1}
{'短评内容': '出了火车站向右拐,走到头左拐即到,位置还很方便.第一次住锦江之星,房间不太大,干净,就是浴室小,但水量大.早餐不是特别丰富,但能吃饱,味道还可以.', '短评打分': 5}
{'短评内容': '住得很舒心,前台服务很好很耐心,再次感谢!', '短评打分': 5}
{'短评内容': '酒店太潮了。', '短评打分': 5}
{'短评内容': ' 非常干净舒服，装修简介现代，服务不错，位置也很好，以后去别的城市也会考虑这家连锁店', '短评打分': 5}
{'短评内容': '不错不错我很满意 房间很大环境挺不错的', '短评打分': 5}
{'短评内容': '房间非常干净，离火车站有一段距离', '短评打分': 5}
{'短评内容': '干净，卫生，安静，舒服\r\n住的挺舒服的，但有些细节还要改善', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错 离火车站很近 坐车比较方便  房间也比较清爽  服务态度也不错 ', '短评打分': 3}
{'短评内容': '不错 离火车站很近 坐车比较方便  房间也比较清爽 ', '短评打分': 3}
{'短评内容': '环境不错，价格合理，交通也便利', '短评打分': 5}
{'短评内容': '房间的布局感觉有些空，不知道是不是因为大的原因。还有就是早餐有些失望。原来听别人说锦江之星的早餐很棒。抱着憧憬的心情去的，可是有些失望。', '短评打分': 5}
{'短评内容': '位置一般。 早点质量一般品种单一，每人15元有点贵，并周边没有吃饭的地方。', '短评打分': 1}
{'短评内容': '很不错的一家店，比如家等其它快捷酒店好多了，很值得推荐。', '短评打分': 5}
{'短评内容': '挺干净的酒店，位置也很好。性价比较高。就住的那天酒店没电了，很不方便。', '短评打分': 5}
{'短评内容': '位置很便利，特别是乘车出行很方便。就是临街的房间太吵，还有，就是如果有自行车租赁业务就好了，这样逛街会很方便。', '短评打分': 5}
{'短评内容': '不错，家人都非常满意，下次还会入住锦江之星', '短评打分': 5}
{'短评内容': '服务很好，设施不错，位置离火车站和汽车站近。还送2瓶矿泉水。此店在全国锦江之星连锁店里可以说是最好的', '短评打分': 5}
{'短评内容': '性价比还可以，房间很干净，硬件设施齐全，服务蛮好，下次还会住的。', '短评打分': 5}
{'短评内容': '不错的酒店，酒店很新，房间也挺大。交通也方便。性价比好。', '短评打分': 5}
{'短评内容': '第一次入住锦江之星，以前一直住的如家。因为订不到如家的房，只能入住锦江，不过不后悔，锦江还是不错的，卫生很好，房里的窗帘不太好，维修人员未能及时修好，我和前台联系，前台立即告知可以调房或者赠送两份早餐。总的来说，这次的入住，让我以后的旅行过程中选房多了选择。', '短评打分': 5}
{'短评内容': '还不错！早餐没有西安店好，但是卫生间比较大。', '短评打分': 5}
{'短评内容': '酒店环境是挺好的卫生设施都很不错好像也是刚开业的酒店房间还是挺新的，位置也是挺好找的，价格服务都很不错性价比还是挺高的。', '短评打分': 5}
{'短评内容': '虽然说是火车站店，其实离火车站还是有点距离的，步行15到20分钟吧。\r\n门口就是公车站，有多辆车到火车站。还有公车直达龙门高铁站的。交通其实蛮方便的。', '短评打分': 5}
{'短评内容': '很干净，装修的也还不错', '短评打分': 5}
{'短评内容': '挨着火车站和汽车站，看装修像是新装的。很干净，很舒服！下次还住着。', '短评打分': 5}
{'短评内容': '卫生设施都还不错，服务态度还可以，位置还行挺好找，但是价格我是感觉没有什么优势还是很一般。', '短评打分': 5}
{'短评内容': '卫生设施都还不错，服务态度还可以，位置还行挺好找，但是价格我是感觉没有什么优势还是很一般。', '短评打分': 5}
{'短评内容': '设施方面都很新很干净不是太陈旧，房间确实是很舒适其实酒店应该也是刚开业没有多久所以硬件设施上面确实是很好，不过可能是五一期间价格还是有些贵，位置不过还是蛮好找的，感觉确实是比较不错的酒店，性价比还是蛮高的，要是在五一期间价格再便宜一些那就更好了。', '短评打分': 5}
{'短评内容': '不错还可以', '短评打分': 5}
