{'descr': '环境还可以', 'star': 5}
{'descr': '不错，还行的。方便就是门口不能放车。其他还行的。', 'star': 5}
{'descr': '位置比较偏，吃饭要到好远啊……不是很方便，不过环境还可以，就是刚装修不久，我住的那间房油漆味道较重。', 'star': 1}
{'descr': '价位不错，房子虽然是无窗的，但是有个靠走廊的窗户，还行', 'star': 5}
{'descr': '酒店挺干净，然后服务也很不错！\n但是，地理位置实在不怎么样，周围连个吃饭的地方都没有，前台还介绍说步行十分钟，结果和我同事走了，来回1个小时才吃到饭！！', 'star': 5}
{'descr': '环境挺好的，服务也不错。唯一可惜的是网络时断时续的，影响办公', 'star': 5}
{'descr': '性价比很不错，就是交通有点不方便。周围吃饭的地方很少。', 'star': 5}
{'descr': '环境不错。。。。服务也挺好的。。。。就是房间太紧凑。。有点小', 'star': 5}
{'descr': '环境挺好', 'star': 3}
{'descr': '很好,干净卫生。', 'star': 3}
{'descr': '如家不管哪个店都 是一样的让人感到温馨，早餐很不错，餐厅的装修很有特色，有西方的味道。', 'star': 5}
{'descr': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评\n还算不错，床很大很软，可以推荐，除了小瑕疵是，这家店有蟑螂', 'star': 5}
{'descr': '不错呀，服务态度很好', 'star': 3}
{'descr': '服务态度很好  环境很舒适  很优雅，很喜欢  真的很喜欢  以后出去旅游一定都选择如家', 'star': 5}
{'descr': '交通方便，卫生好，早餐可口，缺憾的是房间小。', 'star': 3}
{'descr': '热  \n还不错拉  位置挺好找的\n就是有些热 暖气弄的太好了', 'star': 5}
{'descr': '同时订的两天房，只不过中间隔了一天，第二次入住服务员就一口咬定我们没有预订~~左看右看半天也是没有，拿出确认短信他还是坚持没订~~~~最后总算来了个明白的，似乎在一堆废纸中找到了确认的那个单子，不得不说，我真是服了这服务质量~~~~~~酒店的干净整洁不必再说，，，就是服务人员啊，表情和其它家相比，真是淡漠了点~~~', 'star': 5}
{'descr': '似乎是新开不久的店，所以卫生状况很是满意，小而温馨，暖气很热，不用开空调也不觉得冷。。。隔音是这类酒店永远的软肋，没有办法。。。唯一的不满是我们订的商务大床房，结果给的是无窗的特惠房~~~不知道酒店方面接待人员是怎么看的？？？？？？', 'star': 5}
{'descr': '很不错的酒店！就是不提供早餐。望细节方面做的更细', 'star': 5}
{'descr': '条件不错，就是门口修路，打车不方便，吃饭也不方便', 'star': 5}
{'descr': '很好，很不错，就是宾馆门口在修路，早上打车不方便', 'star': 5}
{'descr': '房间特别干净，被子较为舒服，但就是修路导致打不到出租车。', 'star': 5}
{'descr': '房间挺干净的，就是宾馆周围交通不是很方便，没有吃饭的地方，不过可以点外卖，外卖还不错，还有就是网速太慢', 'star': 5}
{'descr': '就是快捷酒店的标准，卫生干净，周边吃饭很方便，可以', 'star': 5}
{'descr': '店如其名。服务态度好，设施齐全，客房整洁、干净', 'star': 5}
{'descr': '感觉非常好,像其名字一样，真有家的感觉，', 'star': 3}
{'descr': '酒店真的不错，昆山去了五六次，就住这家，别的酒店性价比不高。', 'star': 5}
{'descr': '昆山最价格实惠的经济酒店，好 好好好好好好好。', 'star': 5}
{'descr': '优点：价廉物美，缺点，住个三四天，感觉早餐花样较少。', 'star': 5}
{'descr': '优点：价廉物美。缺点，交通不便，小广告较多。', 'star': 5}
{'descr': '酒店挺干净，但隔音效果不是很好，服务不错，因为不是市中心，周边配套较一般', 'star': 5}
{'descr': '从广州到太原，冷得要命！地方比较难找，貌似有点偏僻。服务员有点小冷漠啊，问问题爱理不理的！安排了一个没有窗户的房间，感觉很温馨，也很干净，就是好小好小的！凑合住吧...', 'star': 5}
{'descr': '酒店很干净,服务员客气周到,很有家的感觉。', 'star': 3}
{'descr': '整体蛮好的 就是隔音差点', 'star': 3}
{'descr': '非常干净，服务也好，推荐！离它不远的地方有个“君子饭庄”，非常好吃！', 'star': 5}
{'descr': '比较舒适，但服务一般吧，客气客气客气客气', 'star': 5}
{'descr': '已入住', 'star': 3}
{'descr': '地理位置比较方便，环境还可以。交通也比较便利', 'star': 5}
{'descr': '很方便。而且屋子也很大。屋子隔音效果很好。值得推荐给大家。', 'star': 5}
{'descr': '可以', 'star': 3}
{'descr': '一般般 .第一晚因房间隔音很差   几乎没睡 ,第二天换了一间房.前台办理退房速度很慢.被子枕头挺舒服.', 'star': 3}
{'descr': '不错不错，已经不止一次到如家了，这次还因为换了房型赠送了早餐，很丰盛啊！好好好好好好好好好好好好好好好好好好好好好好好！', 'star': 5}
{'descr': '室内温馨，环境不错，卫生条件也很好。', 'star': 3}
{'descr': '环境不错就是洗澡的热水不太热.', 'star': 3}
{'descr': '不错，房间虽小但是干净卫生，环境好，交通也方便，推荐入住', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '条件还可以。只是近期交通比较麻烦，在修路。出租车不进到酒店附近，打车很难。', 'star': 5}
{'descr': '环境还可以，就是路途有点远有点偏，周围都没有什么饭店，以后估计没什么机会去 ，有点失望 。 \n', 'star': 1}
{'descr': '出差 价格还比较实惠 不送早 总体性价比还可以', 'star': 5}
{'descr': '该酒店干净，卫生，服务好，设施人性化，值得推荐。', 'star': 5}
{'descr': '房屋干净、设施实用、价格实惠。早餐很不错！', 'star': 5}
{'descr': '服务都不错，就是那边还在弄路，挺不好找的', 'star': 5}
{'descr': '有早餐 不错 ！不过要15块 有点贵！！！！', 'star': 5}
{'descr': '酒店设施比较新，一切都还不错，楼道的卫生很好，浴室及毛巾都干净整洁', 'star': 5}
{'descr': '非常干净，高级，东西设施看的出来很新，去的时候南方梅雨，房间里却没有嘲味和霉味，感觉非常好，唯一的缺点就是酒店位置有些偏僻，看的网上的评价才定的，很多年前有人说在修路，以为早就修好了，去了居然还在修，太晕了，不过我们有车，所以无所谓，如果只是路过没有车，就不推荐了，位置偏僻门口又是工地，比较不方便，房间还是极力推荐的 ', 'star': 5}
{'descr': '酒店环境不错，有家的感觉！', 'star': 3}
{'descr': '不错的酒店.比较安静，设施齐全，干净整洁', 'star': 5}
{'descr': '满意谢啦', 'star': 3}
{'descr': '还行不错，服务呀，房间呀都挺好的。没啥不满意的地方', 'star': 5}
{'descr': '环境很好就是偏远，服务很好，希望继续努力！', 'star': 5}
{'descr': '挺干净的，环境还可以，就是路途有点远，以后以后估计没什么机会去了', 'star': 1}
{'descr': '还不错，就是现在在修路有点不方便，总体还是很好的', 'star': 5}
{'descr': '不错有家的感觉，很温馨，干净不错有家的感觉，很温馨，干净', 'star': 5}
{'descr': '非常不错，有家的感觉，干净，整洁，价格合理', 'star': 5}
{'descr': '环境很好，服务元态度也非常满意，只是此路段在修路，不方便打的', 'star': 5}
{'descr': '不错啊，干净  舒服 ， 设备都是新的， 服务也到位。', 'star': 5}
{'descr': '感觉很温馨，很满意', 'star': 3}
{'descr': '不错的酒店  以后有机会还会住\n不过好像4月的价格涨了啊 。。。别的酒店没涨。。', 'star': 5}
{'descr': '不错，干净舒适。', 'star': 3}
{'descr': '不错，房间也挺新的。就是隔音效果不是很好。能听到隔壁对面的声音。', 'star': 5}
{'descr': '酒店服务非常好，给予我们很温馨的感觉，下次还会再来入住！\n', 'star': 5}
{'descr': '地理位置比较优越，方便。同时服务态度较好，房间比较干净。\n', 'star': 5}
{'descr': '我以前住过，这次还住在这里，感觉比较舒服，房间也比较干净。', 'star': 5}
{'descr': '酒店的内部环境不错，房间面积挺大，设施也很好。服务也很周到，而且可以帮忙预订出租车。', 'star': 5}
{'descr': '酒店还是不错,可是好象隔音不大好.希望能改进一下\n酒店的饭菜貌似不怎么变化，如果稍微有点变化更好', 'star': 5}
{'descr': '酒店还是不错,可是好象隔音不大好.希望能改进一下!\n客人印象舒适出行方便优质服务超值\n\n', 'star': 5}
{'descr': '房间干净 空间也大 虽然不是市中心  但是安静也是很重要的利处 值得推荐', 'star': 5}
{'descr': '网速很快\n房间也干净温馨\n就是早晨打车的时候有点麻烦', 'star': 5}
{'descr': '已入住不错', 'star': 3}
{'descr': '不错，交通挺方便，挺安静的！不错，交通挺方便，挺安静的！', 'star': 5}
{'descr': '不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '商务人士大众化的选择，整体还算可以，比较经济~\n早餐质量不算理想', 'star': 5}
{'descr': '商务人士大众化的选择，整体还算可以，比较经济~', 'star': 5}
{'descr': '多次住过各地的如家,都没失望个过,干净,经济.', 'star': 5}
{'descr': '服务不错', 'star': 3}
{'descr': '不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '非常温馨和舒适,适合旅行居住,不错值得推荐', 'star': 5}
{'descr': '就和酒店的名字一样，的确如家！感觉很温馨，就是保洁员有点欺生！', 'star': 5}
{'descr': '非常好，价格比较适中，内部环境不错，交通便利，服务态度不错', 'star': 5}
{'descr': '取消预订', 'star': 3}
{'descr': '适合商务人士出差，里开发区较近\n整体还不错', 'star': 5}
{'descr': '酒店环境和其他如家一样一贯的风格，早点12元自助，按价格说还算物有所值。\n餐厅的服务员服务态度一般，问他有没有醋和辣椒，只生硬的说了句没有，\n也没说不好意思，也没给客人想办法。', 'star': 5}
{'descr': '房间隔音太差，电视只有十几个台，甚至连中央新闻频道都没有，对我来说这是最大的缺点。另外地点较偏，自己开车就没问题。其它一切还行，房间不大，但对得起这个价格。', 'star': 5}
{'descr': '位置比较偏，离出差工厂很近，性价比一般。', 'star': 5}
{'descr': '位置靠近出差的工厂，还比较方便，整体不错。', 'star': 5}
{'descr': '挺舒适的', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '地点偏了点，早餐不错，服务挺热情的,其他都还好啦 ', 'star': 3}
{'descr': '感觉还不错的，还行感觉还不错的，还行感觉还不错的，还行感觉还不错的，还行', 'star': 3}
{'descr': '一般般，比较新，就是门口的公交车比较少，出去不方便', 'star': 3}
{'descr': '感觉还不错的，还行感觉还不错的，还行感觉还不错的，还行', 'star': 5}
{'descr': '一般般，比较新，就是门口的公交车比较少，出去不方便。', 'star': 3}
{'descr': '主要干净，价格合理', 'star': 5}
{'descr': '还不错啦', 'star': 5}
{'descr': '酒店位置较偏，外出不方便，其他还不错。', 'star': 5}
{'descr': '出门打车不方便，其他还不错，值得推荐！', 'star': 5}
{'descr': '卫生设施还行，设施还是蛮新的，位置还是挺好找的但是要出行就比较麻烦因为附近公交车的是挺少的，服务价格都还不错。', 'star': 5}
{'descr': '卫生干净，设施完善，性价比较高，下次还会住。', 'star': 5}
{'descr': '位置远点其他都不错', 'star': 5}
{'descr': '适合商务', 'star': 5}
{'descr': '辦事很方便', 'star': 5}
