{'短评内容': '不错啊，住的挺舒服', '短评打分': 5}
{'短评内容': '酒店设施不错，离钟楼很近，唯一不足就是离公交车站太近，每天造成都能被公交车吵醒，但瑕不掩瑜，我推荐入住', '短评打分': 5}
{'短评内容': '位置在西门外，门口就有公交站，还算便利。大床房不错，独立卫生间，空调。周围吃早饭的地方不多，也许是没找着。有一家人人乐超市就在附近，我们去买了一些便宜的水果。', '短评打分': 5}
{'短评内容': '酒店环境非常好，已经第三次入住了，很不错的', '短评打分': 3}
{'短评内容': '还不错挺干静', '短评打分': 3}
{'短评内容': '非常惊喜啊，喜欢', '短评打分': 3}
{'短评内容': ' 还不错，新装修。', '短评打分': 3}
{'短评内容': '总体感觉环境还行，服务也不错。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务好干净', '短评打分': 3}
{'短评内容': '整体还行，就是房间里没有电话，叫服务员很不方便', '短评打分': 5}
{'短评内容': '酒店的名称：西水快捷酒店。如说加利利，很多人不知道。酒店的房顶上就是明显的“西水快捷酒店”。\n\n房间开窗少，霉味太重，不开空调就很难闻。看起来倒是比较干净。', '短评打分': 5}
{'短评内容': '挺不错的。离市中心很近，走路15分钟左右就到了。环境也挺好的。性价比挺好的。下次有机会去西安，还会住这里', '短评打分': 5}
{'短评内容': '酒店实惠干净卫生', '短评打分': 3}
{'短评内容': '坏境还可以。外面有见超市，超市还可以。还有个绝味鸭脖。还可以', '短评打分': 5}
{'短评内容': '去得那天酒店停电，过了好久才来电的，办理入住等了很久！房间床铺很干净，但是酒店的热水不是很热，洗澡要等很久才能到合适的水温！', '短评打分': 5}
{'短评内容': '酒店很卫生很实惠,进城很方便,就是我房间在边上没无线网', '短评打分': 3}
{'短评内容': '前台服务员态度非常热情！', '短评打分': 3}
{'短评内容': '已入住。。。', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '新装修的 很干净 还不错 就是单人大床房间有点小 不知道其他房间怎么样', '短评打分': 5}
{'短评内容': '设施简单干净，工作人员服务态度良好 缺点使用消毒拖鞋', '短评打分': 5}
{'短评内容': '环境简单温馨，给人一种温暖的感觉。服务到位，态度很好~', '短评打分': 5}
{'短评内容': '很好哦，酒店的设备较好，环境也挺好！推荐哦！', '短评打分': 5}
{'短评内容': '总体来说挺不错的，服务态度好，值得一住，价格再便宜些就更好。', '短评打分': 5}
{'短评内容': '太差，服务不好，什么都没有。我建议以后取消和他们的合作', '短评打分': 1}
{'短评内容': '房间还干净 楼道里味道有点大', '短评打分': 3}
{'短评内容': '酒店倒是还可以，就是稍有点偏', '短评打分': 3}
{'短评内容': '新开的店，屋里的油漆味还没散，如果明年去的话这家店还是挺好的', '短评打分': 1}
