{'短评内容': '差！！服务差！！环境差！', '短评打分': 1}
{'短评内容': '酒店的设备还可以。环境不错。服务也行。隔音也不错。还会回来住', '短评打分': 3}
{'短评内容': '酒店房间有点吵~~~停车位不够，但性价比不错', '短评打分': 5}
{'短评内容': '酒店房间很大 住的很舒服 以后还来', '短评打分': 3}
{'短评内容': '酒店档次很高，住的很舒服，价格适中，客人很满意，以后还要来。', '短评打分': 5}
{'短评内容': '总体来说还可以，住的蛮舒服的...晚上睡觉的时候有点吵', '短评打分': 5}
{'短评内容': '嗯，还不错，周边环境不错，离地铁很近，出行方便', '短评打分': 5}
{'短评内容': '酒店不错，房间较大！\n就是浴缸有点脏，建议以后改进！', '短评打分': 5}
{'短评内容': '还不错的酒店，早餐一般！\n如果更便宜点更好！', '短评打分': 5}
{'短评内容': '周边环境不错，配套设施齐全，交通方便快捷！', '短评打分': 5}
{'短评内容': '很好很好！房间大，卫生干净，像个四星的样子', '短评打分': 5}
{'短评内容': '1209', '短评打分': 3}
{'短评内容': '，环境不错，网络也没有评论说的那么不给力，十分满意，以后还来住', '短评打分': 3}
{'短评内容': '酒店的房间很宽敞，早餐丰富，很舒适。美中不足的是；网路实在太差，经常性断网。', '短评打分': 5}
{'短评内容': '还蛮好的，毕竟是四星嘛，以后还会推荐给朋友和家人\n\n', '短评打分': 5}
{'短评内容': '真的感觉不错，挺舒适的，也蛮温馨的，服务态度也很好，唯一的缺点就是早餐种类少的可怜。。。。', '短评打分': 5}
{'短评内容': '基本设施是OK的。对面有商场和食肆。不好的是床有点短。网速超级不给力。', '短评打分': 3}
{'短评内容': '还不错..只是，酒店连个吹风筒都没有。房间还是蛮大的，服务态度也不错。我一个人住。觉得床短了点...', '短评打分': 5}
{'短评内容': '打开窗户发现窗口有裂痕,好像是用胶纸包住了。总体来说还是不错的，服务态度也可以。', '短评打分': 5}
{'短评内容': '整体感觉不错。。性价比也较高，交通方便。。', '短评打分': 5}
{'短评内容': '酒店不贵,房间也不错.性价比很高.只是早餐差点,希望能改进', '短评打分': 5}
{'短评内容': '这家酒店雨花西餐店的饭非常可口。推荐菠萝饭~', '短评打分': 5}
{'短评内容': '价格算比较合理', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': ' 每次住都觉得房间真是大啊', '短评打分': 3}
{'短评内容': '第二次入住这间酒店，第一次给我的感觉很好.因为是女服务员接待的,很有礼貌还面带微笑，让人心里很舒服。上了楼还看到了女员工，她还会说您好，当时给我的感觉是物有所值。很不错。这一次让我很不满意，元旦住这间酒店、是个男接待员，我说了您好，他打完电话才和我说，在讲电话，我耐心等待了几分钟，才问我是不是入住的，态度极其恶劣，最后写完单虽然说了句慢走，听了怎么都觉得假，好心情都毁于一旦，搞得我出游的时候心情都', '短评打分': 1}
{'短评内容': '一切都是不错的，这个酒店性价比很高。', '短评打分': 3}
{'短评内容': '酒店环境，卫生，服务比较不错！值得信赖！', '短评打分': 5}
{'短评内容': '嗯，不错的酒店，房间够大，服务态度也不错。', '短评打分': 5}
{'短评内容': '酒店很好，价格还不错。不过只有一份早餐劵。如果能提供2份早餐劵就更加的完美。', '短评打分': 5}
{'短评内容': '房间很大，很干净\n真的不错\n一次还来\n价格也很公道', '短评打分': 5}
{'短评内容': '还不错，物有所值.下次还会来，酒店服务员态度很好。就是隔音效果差了点', '短评打分': 5}
{'短评内容': '酒店豪華單人房間很寬闊，家具設備齊全的，佈置裝潢也有四星標準，唯獨牙刷就差點', '短评打分': 3}
{'短评内容': '除了一点点马路上的车声外，其他方面都是很不错的，有性价比，早餐不算丰富。', '短评打分': 3}
{'短评内容': ' 住了几次了，高层房还不错', '短评打分': 3}
{'短评内容': '很新也很不錯的一家飯店~下次出差可能會再訂~', '短评打分': 5}
{'短评内容': ' 住了几次了，不过都是睡一晚上，感觉还好。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错的酒店，值得推荐。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，房间很宽敞，室内环境感觉还不错，对于一个四星酒店来说，价格也还算公道。不过由于睡过头了，不知道早餐怎样。', '短评打分': 5}
{'短评内容': '.房间很大，床也不错！电视机还不是液晶.', '短评打分': 3}
{'短评内容': '总体不错，硬件也可以。早餐一般，能吃饱。\n为什么需要50字？。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间傻大，硬件还不错，洗漱用品一般，住8层临街，太敏感的人睡觉还是可能会受点儿影响，我基本还好。', '短评打分': 5}
{'短评内容': '房间大，床舒服，西餐厅也不错，有机会再来住住。', '短评打分': 5}
{'短评内容': '点评换消费券，哈哈。点评换消费券，哈哈。点评换消费券，哈哈。点评换消费券，哈哈。', '短评打分': 5}
{'短评内容': '环境还不错 只是空调制冷效果不是很明显 前台工作人员服务蛮好的', '短评打分': 5}
{'短评内容': '很舒服，干净。就是大堂接电话的态度好冷漠。对面就是天虹，吃饭购物方便', '短评打分': 5}
{'短评内容': '比较宽敞，但是有一点3，可能是装潢的缘故', '短评打分': 5}
{'短评内容': '服务很好，接待态度也很好，下次去还会住。房间和设施很符合标准。', '短评打分': 5}
{'短评内容': '3楼有个KTV，尽量不要住6楼以下的房间，酒店的房间性价比还是非常好的。房间超大，在房间里有五星级的感觉。', '短评打分': 5}
{'短评内容': '房间很大很干净，价钱也不错，在布吉办事的话比较方便，推荐！', '短评打分': 5}
{'短评内容': '酒店还不错，设施还可以，以后还会向朋友推荐的。', '短评打分': 5}
{'短评内容': '虽然在关外，但是位置还是不错的，对面就是天红商城；\n住在5楼有点小噪音，可能下面是娱乐场所吧，住的高点会好点；\n房间还是蛮大的，设施也不错。', '短评打分': 5}
{'短评内容': '床比较舒服，房间很大，但是大床房都是临街的房间，晚上有车路过时比较吵。', '短评打分': 5}
{'短评内容': '房间很大很干净，不到300块的价钱可以住上这样的房间算是不错了，不过早餐没什么吃的。7楼以下的房间不要住，会很吵。', '短评打分': 5}
{'短评内容': '房间很大很干净，适合出差。下次还到布吉的话，还住这里。', '短评打分': 5}
{'短评内容': '我是这家的忠实客户，每次来深圳都住这里的十三层，各方面都很好，如果硬要挑毛病的话，早餐简陋了点，而且三十块不便宜。', '短评打分': 3}
{'短评内容': 'bucuo .....................................', '短评打分': 5}
{'短评内容': '星雅軒的貴賓房不錯哦,新裝修, 很干淨, 有機會還會去住,也謝謝藝龍吸時給我換房哦', '短评打分': 5}
{'短评内容': '性价比很高，条件绝对有四星。就是地段不好，在龙岗，打车入关不变。', '短评打分': 5}
{'短评内容': '1,服务一般。2，酒店设施还算新。3，早餐比较差。4，位置一般。5，房间很大。', '短评打分': 5}
{'短评内容': '房间很大，很舒服，就是有点吵，对得起这个价格。', '短评打分': 5}
{'短评内容': '房间内硬件条件一般，空调一晚没有热风，热水还不错，房间够大，上网网速比较快。', '短评打分': 3}
{'短评内容': '房间很大，很舒适豪华，服务人员态度也好，但是好像人手不够，比较忙，check in check out时间比较长，但是总的来说很值得推荐', '短评打分': 5}
{'短评内容': '一切还好了，可以介绍朋友住，唯一就是楼下的KTV太吵了', '短评打分': 5}
{'短评内容': '房间特大,感觉舒服,这点值得赞赏.\n早餐不丰盛,水果也无,希望能改进. \n', '短评打分': 5}
{'短评内容': '除了有点吵以外，一切都还不错。位置好，服务好。', '短评打分': 5}
{'短评内容': '酒店房間很大,很有空間感,衛生也不錯,\n不過晚上有點吵,可能因為下面是酒吧', '短评打分': 5}
{'短评内容': '房间挺大', '短评打分': 3}
{'短评内容': '房间比较大,住在14楼所以隔音还好,点餐有点慢。冲凉的蓬头不是很好,个人喜好。总体说还不错。', '短评打分': 3}
{'短评内容': '房间宽敞舒适，对面就是天虹大商场，性价比很高！', '短评打分': 5}
{'短评内容': '很好！就是低层的房间有点吵', '短评打分': 5}
{'短评内容': ' 一般，', '短评打分': 5}
{'短评内容': '住久了，习惯了，感觉还是蛮舒服的。早餐还不错，距离关内也蛮近的。', '短评打分': 3}
{'短评内容': '   出差入住，比较满意，唯一缺憾是服务意识稍差。', '短评打分': 5}
{'短评内容': '房间足够宽敞,也比较整洁舒适.卫生也很好配置也很不错一家酒店.', '短评打分': 5}
{'短评内容': '本来服务的评价,我会给非常好的,可惜...九时多到达酒店,仍未收拾房间,需要等候二十分钟才能进入房间。\r\n\r\n我住在5楼,很吵,外边无聊的司机,随随便便响号,酒店下层的夜场,歌声实在太利害,穿石过壁,影响睡眠。\r\n', '短评打分': 1}
{'短评内容': '房间空间还好，也干净。值得推荐。', '短评打分': 3}
{'短评内容': '这个价格的星级酒店，很不错了。值得推荐。', '短评打分': 5}
{'短评内容': '房间上面是KTV很吵，没怎么休息好，卫生条件还蛮干净的，设施也不错，交通不是很便利。', '短评打分': 5}
{'短评内容': '说实话，硬件还可以，位置也不差, 就是楼下是娱乐场所，比较吵闹，电梯里看起来人很杂, 而且，楼里小姐比较多，穿着暴露，一看就能看出来，还和客人共同出入，这个酒店住起来，有点担心房间细菌病毒会不会太多，呵呵', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;真的很不错，应该用惊喜来形容，房间很大，很舒服，很干净，服务也不错，很超值．值得一住&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;酒店应该是写字楼改造的，但显然业主不愿意投入，房间很大但觉得很空，硬件也很难达到准四星的标准，早餐品种很少，相对其他酒店，性价比不高&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;新酒店，总体很不错，除了交通不太方便。&amp;lt;/P&amp;gt;', '短评打分': 5}
