{'短评内容': '体验感不错', '短评打分': 5}
{'短评内容': '我己入住南京东南大学文园宾馆，服务员服务热情，房间干净卫生，交通比较便利。', '短评打分': 3}
{'短评内容': '价格便宜，房间很卫生，推荐。', '短评打分': 3}
{'短评内容': '房间真的很大，卫生干净，很安静，就是卫生间设施有点陈旧。下次还来', '短评打分': 3}
{'短评内容': '我是去东大考雅思的，住了2天，宾馆的环境不错，房间也挺干净，离东大很近的，交通也很方便，出门就有公交车，周围的环境也不错，就是附近没有什么吃饭的地方', '短评打分': 5}
{'短评内容': '总体感觉还好，离东南挺近的，酒店设施也还可以，稍微有些陈旧。价钱也很实惠，在东南旁边这个价位确实挺划算的。就是在退房的时候，不太人性化。', '短评打分': 5}
{'短评内容': '很好，很干净，也很安静，价格适中，东西很全，离东南相当近，周围吃早饭的地方也很多，周围公交站头也很多，到哪儿都方便', '短评打分': 5}
{'短评内容': '我已入住', '短评打分': 3}
{'短评内容': '很不错，推荐,条件很好，价格也适中。离南京东南大学很近。', '短评打分': 5}
{'短评内容': '在这个地段，性价比算是很不错的了。室内设施也都蛮不错的，晚上11点了临街并不吵闹，很不错的地方', '短评打分': 5}
{'短评内容': '交通方便、房间干净、环境较安静，服务态度也蛮好。唯一不足的是住的标间没有纱窗，不能开窗透气。', '短评打分': 5}
{'短评内容': '交通很便利，离鸡鸣寺很近，门口就是公交站，可去玄武湖、湖南路、新街口、总统府、夫子庙、雨花台还有中山陵，还有就是东南大学也可以就近逛逛。不过酒店的设施有点旧，服务还好，总的来说值得推荐。', '短评打分': 5}
{'短评内容': '装修简单，但还是挺干净的，而且门口就有公交站台', '短评打分': 5}
{'短评内容': '位置不错，交通方便，价格便宜，也挺干净。可以停车，属于经济型的不错酒店。', '短评打分': 5}
{'短评内容': '7777777777777777777777777777777777777777777', '短评打分': 1}
{'短评内容': '这个价格……环境很好~但是路边的房间有点吵~就在东南大学旁边……', '短评打分': 3}
{'短评内容': '房间很大，房间地板都很新，很干净。下次有机会还会入主', '短评打分': 5}
{'短评内容': '挺好的，环境不错，房间也挺干净的，就是晚上车的声音有点大', '短评打分': 5}
{'短评内容': '非常好，在古城区，离玄武湖和夫子庙都很近，房间很大，房间地板都很新，很干净。唯一不足的是住了几次卫生间都多少有些问题。不过总体很好，价格也适中。 \n', '短评打分': 5}
{'短评内容': '极其普通的校内招待所，没有餐饮服务，吃饭要四处寻觅，附近也没有像样的饭店', '短评打分': 1}
{'短评内容': '离目的地很近，方便，条件也不错的，很温馨，下次有机会会再去！', '短评打分': 5}
{'短评内容': '这次住进了不临街的标间，感觉相当不错。出门就是公交，还算方便。但是打车不太方便。以后还会住这间。', '短评打分': 5}
{'短评内容': '非常好，在古城区，离玄武湖和夫子庙都很近，房间很大，房间地板都很新，很干净。唯一不足的就是卫生间看起来有点旧。还有免费停车，停车场较难寻找。不过总体很好，价格也适中。', '短评打分': 5}
{'短评内容': '离鸡鸣寺很近。干净。32寸液晶电视。就是房价没有衣架。', '短评打分': 5}
{'短评内容': '环境各方面都很好，交通也很便利，宾馆很干净，也很舒服', '短评打分': 5}
{'短评内容': '交通方便，设施有点旧。房间比较干净，到东大附近办事的话住这里是不错的。', '短评打分': 3}
{'短评内容': '房间卫生，分体式空调。周围吃饭网点少一些。', '短评打分': 5}
{'短评内容': '预定了一天,想续一天都不行,太死了', '短评打分': 3}
{'短评内容': '优点：\n1、最大的优点是位置好，就在市政府边上，距离鸡鸣寺、玄武湖、1912街区、总统府景区很近，基本步行就可到。去其他景区游玩的话，门口有游1路公交车直达。\n2、环境好，宾馆前面的太平北路很宽敞，绿树成荫，周边比较清净。我和同学就是前一天到鸡鸣寺、玄武湖游玩，感觉周边环境不错才搬了过来。\n3、因为是大学宾馆，管理较严，客服务也还热情，退房时把另一张房卡忘在了房间，服务员及时给送了下来。\n缺点：\n', '短评打分': 5}
{'短评内容': '房间还是很干净的，大小光线都不错，可前台不是很热情诶。', '短评打分': 5}
{'短评内容': '靠近太平北路的房间太吵弄得双层波璃也不行隔声没做好没法睡觉', '短评打分': 1}
{'短评内容': '不错，很干净，水也很热，也很方便，离东南大学也', '短评打分': 5}
{'短评内容': '交通还算便利，环境清幽，不喧闹，喜欢安静的可以考虑居住这里。', '短评打分': 5}
{'短评内容': '还不错，交通路线很多，出门办事最是方便。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '便宜是挺便宜的，虽然有双层窗户，住二楼晚上还是能听到汽车往来的声音，如果睡觉特别轻的同学就不要住了，或者调换楼层。制热空调声音比较大，我个人还能接受。宾馆服务态度挺好的。', '短评打分': 5}
{'短评内容': '我和家人2月5日入住，也是在网上找的。宾馆特价房168元，定了两天。宾馆热水很烫，水也很大，电视是液晶电视。房间有宽带，可以上网。第一天入住，就觉察到空调暖气不是很好，结果到第二天下午空调就停止制热坏了。打电话到总台跟他们说了，马上来了一位师傅看了说空调坏了，和总台联系可以换房。就换到隔壁一间，刚开始空调制热还不错，到晚上11点多的时候，空调又不制热，送出的是风，关机拔插头又试过，依然如故。索性关', '短评打分': 1}
{'短评内容': '很好的一家酒店，以后来考试还住在这儿，方便并卫生。', '短评打分': 5}
{'短评内容': '服务很好  离学校很近   条件也很好  值得推荐', '短评打分': 5}
{'短评内容': '房间很干净。', '短评打分': 3}
{'短评内容': '环境不错，床相当舒服，热水很热，也很给力，去东大考试就选这家～', '短评打分': 5}
{'短评内容': '交通很方便，很多公交车到市里的任何地方。\n酒店装修有蒋介石年代的感觉', '短评打分': 5}
{'短评内容': '周到温馨，还是比较满意和舒心，我会继续入住的！', '短评打分': 5}
{'短评内容': '非常不错，值得入住！房间很大。。。很干净。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '感觉一般。', '短评打分': 5}
{'短评内容': '离东南大学很近，设施不错，住着很舒服，就是价格有一点高。', '短评打分': 5}
{'短评内容': '卫生条件入尚可，但设施有些陈旧', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '大学的招待所，入住登记很认真，访客过了晚上10点也要登记。不过房间很干净。', '短评打分': 5}
{'短评内容': '很好的宾馆，就是没有早餐，希望能够改进，但是周围生活还是很方便的', '短评打分': 5}
{'短评内容': '空调能不对着床吹才是重要的，水有点黄色，不知怎么回事', '短评打分': 5}
{'短评内容': '新装修的，多了电梯，房间设施也比过去好多了。', '短评打分': 3}
{'短评内容': '新装修的，多了电梯，房间设施也比过去好多了。', '短评打分': 3}
{'短评内容': '新装修的，多了电梯，房间设施也比过去好多了。', '短评打分': 5}
{'短评内容': '性价比不错，就是停车比较麻烦！', '短评打分': 5}
{'短评内容': '设施较新', '短评打分': 5}
