{'短评内容': '不错啊，，', '短评打分': 5}
{'短评内容': '酒店房间设计灰常好 交通也OK 门口公交打车都不远 房间挺大干净 被子舒服厚厚的 暖气空调都有 环形大窗 空调正对晾衣架 两个钟头就干 还有行李架 各种强烈推荐 仅仅是附近没什么小吃什么的 但有条都是吃饭的饭店的街 出差旅游都可以！给力！赞一个！', '短评打分': 5}
{'短评内容': '挺干净 很温馨 有回家的感觉 住的是特惠大床房 房间不大但是给人的感觉很舒服', '短评打分': 5}
{'短评内容': '卫生干净位置也好离商业区近', '短评打分': 3}
{'短评内容': '不错,住了一晚,美中不足的就是早上的时候吹风机不太够用,服务很好,大窗很漂亮,还可以欣赏到夜景', '短评打分': 5}
{'短评内容': '很安静也很宽敞，住了八天感觉很舒适，平安夜还有两个平安果给顾客', '短评打分': 3}
{'短评内容': '位置还可以，房间挺温馨，价格也不贵，下次还来', '短评打分': 5}
{'短评内容': '酒店卫生很好，前台服务态度也很好，周边夜市很方便', '短评打分': 3}
{'短评内容': '很好的一家酒店，卫生很好，很温暖。在银行的大楼里，也很安全。', '短评打分': 5}
{'短评内容': '宾馆：干净  卫生   服务：优良   环境：便利   不足：无固定停车场    ', '短评打分': 5}
{'短评内容': '比较干净 房间很小 价格略贵 不过这就是如家的风格', '短评打分': 3}
{'短评内容': '由于入住时没看一下，又没洗澡，不知道退房时少了条浴巾，非让赔60元，真气人。', '短评打分': 3}
{'短评内容': ' 还不错，性价比挺高，但是美食街无美食呀。', '短评打分': 3}
{'短评内容': '下水慢点，其他服务很好', '短评打分': 3}
