{'descr': '没有感觉 暖气有水声', 'star': 4}
{'descr': '干净舒适，还有丰富的早餐。粉不错！支持！', 'star': 5}
{'descr': '地理位置不错。周围是韩国人聚集地，吃饭不成问题，酒店虽然房间不大，但是很干净，保持了汉庭的水准~！', 'star': 5}
{'descr': '环境不错，服务很好\n', 'star': 3}
{'descr': '环境挺好', 'star': 3}
{'descr': '该酒店体置不错，整体感觉还算干净整洁，细节处欠佳。', 'star': 5}
{'descr': '这家酒店住宿环境整洁干净，只是房间里少了一些挂勾，最好房间里多一些能挂衣服的挂勾就更好了。服务态度不错，前台还有电脑免费上网，只是网速稍稍慢了些，出门紧邻着朝鲜街很热闹，去步行街闹市中心交通便理，下次还会去住！', 'star': 5}
{'descr': ' 这个店还不错，房间比较大，就是有点味道。', 'star': 3}
{'descr': '位置不错，酒店很干净整洁，让人感觉很舒服', 'star': 5}
{'descr': '酒店条件很好，价格合理。免费早餐也不错。', 'star': 5}
{'descr': '非常不错啊，位置很好，周边很方便，还有不少美食。', 'star': 5}
{'descr': '位置不错，紧靠着西塔街，爱吃朝鲜菜的朋友可以选择这地方。', 'star': 5}
{'descr': '给朋友预定的。 在西塔，更方便。 服务好。', 'star': 5}
