{'短评内容': '整体上感觉还不错！', '短评打分': 4}
{'短评内容': '除了工作人员服务还可以，环境和房间实在太差了，房间无大灯，房间小，床小，落地玻璃不隔音，还漏风。最奇葩是因为空间太小，马桶外的玻璃门根本无法关，不知道什么脑残设计的。洗澡水忽冷忽热。', '短评打分': 2}
{'短评内容': '前台服务规范 态度不错！大堂装修很讲究，很漂亮！ 一进到房间亮瞎了，很漂亮的壁画和装饰，角角落落打扫的很干净', '短评打分': 4}
{'短评内容': '前台服务规范 态度不错！做房间的阿姨辛苦了，一定很用心。 位置特别便利，就在将台路边上，距离798和餐饮街道很近，省了不少事情和时间！', '短评打分': 4}
{'短评内容': '一如既往', '短评打分': 5}
{'短评内容': '周边很方便，酒店装饰设计风格很艺术！就是卫生间反味，服务员撒了香味好一些但是一直要抽风！', '短评打分': 5}
{'短评内容': '领导出差预定的，性价比不错！地理位置方便，出行方便！就是房间卫生一般，房间设计很有特色，设施齐全，还可以吧', '短评打分': 4}
{'短评内容': '入住房间是写意花鸟', '短评打分': 3}
{'短评内容': '我住过最好的酒店！房间装修别具一格，干净，硬件很好很新，真的很满意！', '短评打分': 3}
{'短评内容': '环境不错，交通方便，适合入住', '短评打分': 3}
{'短评内容': '环境优雅，舒适安静，基本和图片上的差不多。推荐入住。。。。。。', '短评打分': 5}
{'短评内容': '舒适干净，环境挺好的，我们是去北京参加培训，所以网速定的房间。基本和图片上差不多。有机会还会光顾的。。', '短评打分': 5}
{'短评内容': '虽然价格比较便宜，但是没有达到四星的水平，有待改进', '短评打分': 1}
{'短评内容': '连续住了3天，干净，新奇，第一次住这样的酒店，合适单身居住，推荐。。。。。', '短评打分': 5}
{'短评内容': '很不错，挺干净，价格合适，早餐在同价格的饭店中属上等，态度也让人舒服。值得推荐。', '短评打分': 3}
{'短评内容': '面积小，但是卫生整洁。喜欢房间的风格。餐厅很漂亮。服务态度好。', '短评打分': 5}
{'短评内容': '鸟槽很干净，很温馨，就是隔音不好，也是必然的。', '短评打分': 5}
{'短评内容': '是帮别人定的，但酒店的服务很好，会给很多选择及房间的详细情况做参考。', '短评打分': 5}
{'短评内容': '房间比较小，装修、装饰的比较有特色，房间内味道比较大，装修材料用的比较差', '短评打分': 5}
{'短评内容': '还可以！就是洗澡水温凉不定！', '短评打分': 3}
{'短评内容': '很好, 但門全部打開!入住第一晚是沒人的!', '短评打分': 5}
{'短评内容': '蜂窝太有趣了，建议一个人旅游的朋友体验一下。但确实不隔音，喜欢安静的朋友慎选', '短评打分': 5}
{'短评内容': '好像日本的胶囊旅社！真棒的感觉！装修也超有感觉的！！！', '短评打分': 3}
{'短评内容': '还不错就是洗澡水温热不稳定！', '短评打分': 3}
{'短评内容': '酒店设计有些风格，但是无窗房会很压抑不通风。价格偏高，其实就是快捷商务酒店的概念，但设计新颖。前台接待人员服务有待提高', '短评打分': 5}
{'短评内容': '酒店还是挺不错的，服务相当好，卫生也都挺不错的，就是蜂巢公寓房有点太小了，会觉得有些闷，总体很不错，赞一下！', '短评打分': 5}
{'短评内容': '很有创意，自然屋空间不大，但是很有特色，值得一住。服务也很好，唯一不足就是早餐收市时间9点太早', '短评打分': 5}
{'短评内容': '酒店很干净，服务也很好，就是装修后的油漆味道很重', '短评打分': 3}
{'短评内容': '1. 房间干净，空间利用效率高\n2. 前台服务到位，酒店外有停车位\n3. 缺点是大堂内气味有些大，可能是由于新开不久', '短评打分': 5}
{'短评内容': '还可以装修的味道太大', '短评打分': 3}
{'短评内容': '蜂巢，呵呵，很有意思，不过就是晚上有点热，毕竟空间很小。', '短评打分': 5}
{'短评内容': '蜂巢 名副其实的蜂巢 为绿色地球多做贡献太值了 另类的居住 另类的享受', '短评打分': 5}
{'短评内容': '这里还是很不错的~与798的氛围融合的很好~有现代的感觉', '短评打分': 5}
{'短评内容': '一般，房间比较老。设施也一般。尤其是免费早餐太差劲了，全是凉的。', '短评打分': 5}
{'短评内容': '酒店很好很干净！', '短评打分': 3}
{'短评内容': '干净，安静。位置好，价格合理。早上有自助早餐。', '短评打分': 5}
{'短评内容': '装修还好,但是看得出来装修比较久了.房间隔音不太好.总体新价比还不错.', '短评打分': 5}
{'短评内容': '还好，还可以。整体还行。还好，还可以。整体还行。', '短评打分': 5}
{'短评内容': '总的来说还可以，只是没有停车场不太方便。', '短评打分': 5}
{'短评内容': '酒店设施有点旧，我住的豪标房间很大，服务态度在北京算是同级别酒店里较好的。', '短评打分': 5}
{'短评内容': '＋满意', '短评打分': 5}
{'短评内容': '浴室不能淋浴，只能拿手举着，很不方便，反映了也不给修。', '短评打分': 1}
{'短评内容': '服务很不错，随叫随到，住宿环境还蛮好的', '短评打分': 5}
{'短评内容': '酒店的餐厅服务很好，菜的味道很可口，另外位置也不错，离地铁不远，距离机场相对也较近。', '短评打分': 5}
{'短评内容': '房间里面还行只是大堂和外观看起来就跟招待所似的，洗漱用品也不是太好，位置还行挺好找的，价格还是挺便宜的。', '短评打分': 1}
{'短评内容': '房间卫生条件很不错，服务特别的好，酒店交通也蛮方便的。', '短评打分': 5}
{'短评内容': '设施很陈旧，卫生，服务一般，下次不会住了。', '短评打分': 1}
{'短评内容': '早上有自助早餐，晚上回来可以桑拿洗浴，房间也舒适，很满意。', '短评打分': 5}
{'短评内容': '酒店服务很人性化，我们上个月去住的，送了洗衣票，要毛巾之类的东西也是很快就拿来了，感觉对顾客的需要比较上心。', '短评打分': 5}
{'短评内容': '酒店位置不错，周围有很多公司写字楼，公交也方便，内部的话，卫生还是不错的。', '短评打分': 5}
{'短评内容': '房间里空调、电视都能用，收拾的也整洁，看着心情比较舒畅。', '短评打分': 5}
{'短评内容': '位置很好。性价比不错！', '短评打分': 3}
{'短评内容': '位置不错，价位也可以。就是没有窗户，不过这个价格在北京也算可以了。', '短评打分': 5}
