{'短评内容': '酒店还可以吧。标准的快捷酒店。京东服务很好。', '短评打分': 5}
{'短评内容': '酒店位置不错，出门就是地铁口，对面就是益田；周边便利店较少，最近的7-11走过去也要10几分钟，还要过条马路。窗户隔音不好，朝向深南大道一侧的房间，晚上非常吵。', '短评打分': 5}
{'短评内容': '客房好细，唔够大', '短评打分': 3}
{'短评内容': '离地铁站和世界之窗非常近，客栈环境也不错，早餐品种太少，提供行李寄存业务很好，如果去时间之窗玩，住这里是个不错的选择', '短评打分': 4}
{'短评内容': '像城堡一样，孩子很喜欢。去世界之窗和欢乐谷玩，很方便。', '短评打分': 5}
{'短评内容': '酒店位置前，停车方便，还送夜场的世界大观票，还，设施一般性价还行。', '短评打分': 3}
{'短评内容': '客栈的地点好，就在世界之窗，游玩很方便，同时早餐很丰富，去深圳世界之窗的话建议住这里啦！住宿硬件不错，挺舒适的！', '短评打分': 5}
{'短评内容': '房间很一般，就是送两张世界之窗夜场票，里面也没啥看的', '短评打分': 1}
{'短评内容': '酒店处在世界之窗门口，闹中取静，而且有很漂亮的外形；服务人员也很热情友善；更让我们意外的是，还赠送了两张世界之窗的夜场门票；早餐虽然简单、说不上美味，但很家常，品种也算多，干净卫生，很让我们放心；加上门外就是一个很大的停车场，绝对有足够的停车位。这样的价位，这样的位置，这样的服务，我们都很满意。第一次在网上订房，非常的满意，也给了我们以后继续在这里订的信心。', '短评打分': 5}
{'短评内容': '到世界之窗很方便，还送夜场钱，很好', '短评打分': 3}
{'短评内容': '酒店很干净，豪华房很宽敞，离世界之窗和锦绣中华都很近，买世界之窗门票还有优惠，还送夜场门票，包早餐，很不错，很值得入住。', '短评打分': 5}
{'短评内容': '不知出了什么岔头，入住时发现竟没有我预订的房间，折腾了四五十分钟，终于圆满解决。房间很好，环境幽静，交通便利。', '短评打分': 3}
{'短评内容': '交通便利，周围景点很多。', '短评打分': 3}
{'短评内容': '酒店环境不错，较安静，服务较好，在退房时东西拉在了服务台，结果酒店免费给快递过来', '短评打分': 5}
{'短评内容': 'good,very good!jiu shi hao!', '短评打分': 5}
{'短评内容': '酒店挺干静的，交通非常便利。一出地铁就是酒店了。下次去深圳还会选择的。服务也很好。', '短评打分': 5}
{'短评内容': '城市客栈高级单人房网上标的房间面积（20平方米）于实际情况10平方米左右）有很大的出入。照片上的房间于实际也不一样。', '短评打分': 3}
{'短评内容': '离地铁口很近，交通便利，啤酒节和朋友一起入住，早餐后又狂购，\n过了一个快乐的周末。', '短评打分': 5}
{'短评内容': '交通便利，价格实惠。特别是啤酒节期间入住，很方便。值得推荐。。。', '短评打分': 5}
{'短评内容': '女儿第一眼看见酒店就开心地说：“妈妈，这里好萌，我们就住在这样的地方吗？”我们就住这里，漂亮的酒店象一个小小的城堡，房间很干净，烧开水的电水壶是不锈钢的，有当日的报纸，赠送早餐，早餐味道也还好。一切都相当体贴周到，下次去深圳还住这里。', '短评打分': 5}
{'短评内容': '地理位置挺好的', '短评打分': 3}
{'短评内容': '深圳的同学推荐我住的这个酒店   真心的说  地理位置真的很好   但是不知道什么原因  我们被分配到后面一栋楼  里面的大床房  真的很小    不过考虑位置的同学  还是比较推荐的', '短评打分': 1}
{'短评内容': '环境不错，交通便利，还送了门票，不错', '短评打分': 3}
{'短评内容': '城市客栈（深圳世界之窗店）离地铁很近，房间里的设施也很齐全，早上的自助餐很丰富，只是6岁的孩子还要和大人收一样的钱有点不公平，最好是有小孩子标准的收费', '短评打分': 5}
{'短评内容': '环境可以，离世界之窗很近，很好', '短评打分': 3}
{'短评内容': '酒店就在世界之窗附近，白天世界之窗门票可以打折。还是比较方便游玩，设施一般，干净就好。', '短评打分': 3}
{'短评内容': '酒店格调不错，布置也行，但就是空调不够凉…是3205房空调的雪种不够了吗？', '短评打分': 3}
{'短评内容': '给朋友定的，朋友很满意，一般来深圳的朋友，我经常推荐这里，环境好，交通方便。\n', '短评打分': 5}
{'短评内容': '今日巳住进城市客栈6202号', '短评打分': 3}
{'短评内容': '整體不錯，就是房間有陣霉味', '短评打分': 3}
{'短评内容': '酒店很干净，交通也方便，出门就是地铁，就是洗漱用品还是自己带的比较齐全，和朋友同行，朋友上次来住的是威尼斯，说是没有吹风机，没想到这里竟然提供了，整体还是不错的，下次来应该还是会选这里。', '短评打分': 3}
{'短评内容': '差 倒胃口 下次再也不会去的 餐厅那女的三八得要命 看到她就吃不下饭 前台服务态度也差 下次绝不去', '短评打分': 1}
{'短评内容': '出行太方便了，景点就两分钟可到，去罗湖或机场都方便，对面还是大型益田广场，标准房很干净，非常满意', '短评打分': 5}
{'短评内容': '地点很好，服务也很親切，就浴室冲凉不方便，固定在牆上対小孩冲凉很不方便', '短评打分': 3}
{'短评内容': '酒店就在景区门口，地铁口出来即到，实在太方便了！建筑为欧式风格，色彩鲜艳，与景区融为一体，非常有特色。服务方面，总体不错，但早餐有待改进。', '短评打分': 5}
{'短评内容': '就在世界之窗景区边，很适合游玩。房间比较小，属于快捷酒店类型。被子有点潮，盖得不是很舒服。', '短评打分': 5}
{'短评内容': '环境不错，早餐也很好。就是晚上附近没什么逛的，特别是晚上地铁站关闭后，去对面，过马路都要绕一圈才能过去。', '短评打分': 5}
{'短评内容': '位置、价格是去世界之窗的首选，家人非常满意', '短评打分': 5}
{'短评内容': '以住环境很好想', '短评打分': 3}
{'短评内容': '世界之窗的指定酒店，位置好，就在世界之窗边上，离地铁站很近，世界之窗站下车，I出口出来左边就是了，酒店外观很有童话氛围。在酒店前台买门票还有优惠，而且24小时内可以2次入园，非常方便。\n缺点是酒店的自助早餐差了点，种类太少，味道也一般。', '短评打分': 5}
{'短评内容': '就在世界之窗旁边，底下就是地铁，对面有大型的shopping mall，非常方便，房间内饰倒是一般，早餐，就更一般了，综合性价比还行', '短评打分': 5}
{'短评内容': '就在世界之窗旁边，很漂亮，很不错，环境很好，下次还住', '短评打分': 5}
{'短评内容': '交通方便，干净舒适。', '短评打分': 3}
{'短评内容': '很有特色的酒店，但是房间小了点，服务很好；早餐品种少，味道一般。交通方便，出门就是地铁站、公交站，出租车也不少。去世纪之窗步行约3分钟，去欢乐谷步行约15分钟，去野生动物园打车去的，车程20分钟，33元车费。对面就有综合型的大商场益田假日广场，价格稍贵，可以接受。对面还有一佳超市，还有一条小街全是价格比较便宜的各地小吃。还有在酒店买世界之窗门票有折扣，还可以在24小时之内2次入园，很划算。', '短评打分': 5}
{'短评内容': '咖酷旅馆很好，干净，超值。房间隔音差，其他都很好。', '短评打分': 3}
{'短评内容': '房間太小設施老舊,與網上的照片相差太大,淋浴間實在太小了', '短评打分': 1}
{'短评内容': '酒店就在世界之窗停车场内 位置很好 环境也还不错 早餐的饼非常好吃！！就是空调没有暖风 冬天去的朋友要注意了 本人就冻感冒了。。。', '短评打分': 5}
{'短评内容': '交通方便, 周边环境较好, 就是房间太小, 不隔音, 影响睡眠.', '短评打分': 1}
{'短评内容': '还可以 ，靠马路的房间应降价，靠电梯的房间更应相对降价。毕竟，吵。', '短评打分': 5}
{'短评内容': '环境很好,也很干净!离世界之窗真的很近,非常方便!', '短评打分': 5}
{'短评内容': '客栈很方便,样样都好,对面就是超市和饭店,就是热水小点', '短评打分': 3}
{'短评内容': 'No recepit, very old room and facility and different photo on the website..so bad', '短评打分': 1}
{'短评内容': '房间小了一点，但总体不错。距离世界之窗很近，在酒店买世界之窗的门票还是85折，而且还可以在24小时内进入两次，而且酒店附近有地铁站，交通很方便，因为靠近世界之窗，附近吃的也很多，很不错。', '短评打分': 5}
{'短评内容': '交通方便，就在世界之窗的旁边，大马路对面是购物广场，但周围环境好，安静。房间小，但是整洁。', '短评打分': 5}
{'短评内容': '地理位置好，就在世界之窗旁边，离地铁一号线很近，交通非常便利。免费早餐也不错，下次来深圳还会来的！', '短评打分': 5}
{'短评内容': '就在世界之窗隔壁，非常方便，价格在这附近来说算是能够接受，房间非常非常小，其他个方面都还不错，地毯有些脏了', '短评打分': 5}
{'短评内容': '交通、参观景点都很方便。前台接待很热情。', '短评打分': 5}
{'短评内容': '位置很好，就在世界之窗边上，地铁站上来就能看到。以后还会住。', '短评打分': 5}
{'短评内容': '这次的选择是对的', '短评打分': 3}
{'短评内容': '便利，世界之窗和欢乐谷就在附近走几步就到了，旁边有地铁及公交站，十分便捷，就是酒店的设施还有待提高！ 买票还有8.5折的优惠，可以入园两次。', '短评打分': 5}
{'短评内容': '位置佳，环境好，价格适中。赞一个！', '短评打分': 3}
{'短评内容': '挺不错的，离世界之窗和欢乐谷都很近，买票还有8.5折的优惠，可以入园两次。', '短评打分': 5}
{'短评内容': '地理位置非常好，挨着世界之窗。看完晚上的演出可以直接走回去休息。房间也很好，价格合理。满意。', '短评打分': 5}
{'短评内容': '性价比还算可以，毕竟离世界之窗和益田假日广场都很近，到哪都很方便', '短评打分': 5}
{'短评内容': '建议住店后根据清单检查所有物品，我们因为少了个茶杯垫（我们起先就没看到），一定要我们赔，才几块钱啊。查房服务员很弱，第一次房卡落在电视机上，二个服务员都找不到，第二次说电视遥控找不到，又一次亲自上楼找，竟在床前抽屉里，天啊，五个服务员在找啊，差点误了飞机，真是郁闷。', '短评打分': 1}
{'短评内容': '方便，门票确实85折。希望早餐对小朋友收半价', '短评打分': 5}
{'短评内容': '服务有待提高，位置和环境都不错的，就是服务有点差强人意，期待态度好点吧！', '短评打分': 1}
{'短评内容': '便宜实惠，周边也比较方便，下次还会光临便宜实惠，周边也比较方便，下次还会光临', '短评打分': 5}
{'短评内容': '便宜实惠，周边也比较方便，下次还会光临！便宜实惠，周边也比较方便，下次还会光临', '短评打分': 5}
{'短评内容': '房间挺舒适的，洗浴用品比7天，如家要好。。房间也大点，一分价格一分货咯。。', '短评打分': 5}
{'短评内容': '早餐太差劲了，一碗很稀的粥，一点点面条一个鸡蛋，就这么多，和这个酒店的价格和整体感觉太不协调了\n带了小孩子去，问能多给一份早餐么，鸟都不鸟你，火透，下次再也不来了', '短评打分': 1}
{'短评内容': '脚痛便利，世界之窗和欢乐谷就在附近走几步就到了，旁边有地铁及公交站，十分便捷，就是酒店的设施还有待提高！', '短评打分': 5}
{'短评内容': '干净，卫生，交通便利，服务周到 并且提供早餐，参观世界之窗还有折扣，值得入住。', '短评打分': 5}
{'短评内容': '这个酒店紧靠酒吧街，交通非常方便，价格适中。旅游和公干来住都很好', '短评打分': 5}
{'短评内容': '卫生需改进', '短评打分': 3}
{'短评内容': ' 酒店曲径通幽，像是走进了世界之窗，欧式小楼一栋栋，房间窗外就是埃菲尔铁塔，很安静！很喜欢！停车场很大，免费泊车。', '短评打分': 3}
{'短评内容': '酒店环境很好，干净卫生，服务态度佳，下回去还住这里。', '短评打分': 5}
{'短评内容': '第三次入住城市客栈，很安静安全，特别是享受85折（119元）购买世界之窗门票并且24小时内能2次入园游览。就在景区大门隔壁邻几十米远，可以玩累了下午回来酒店休息和景区外便宜就餐，晚上再入园观看节目。就是不满酒店早餐很不好，一人固定那么点，有一个鸡蛋、半碗稀粥、1小面包、一点咸菜，要求多加点热粥也白眼限制。', '短评打分': 5}
{'短评内容': 'DP65很棒，就象住在童话故事里，女儿很喜欢，是世界之窗的一部分', '短评打分': 3}
{'短评内容': '位置非常方便，就在世界之窗旁边。。', '短评打分': 3}
{'短评内容': '紧邻酒吧一条街，欢乐谷，地理位置很好，门口就是地铁', '短评打分': 5}
{'短评内容': '像童话小房子一样，管理算正规，服务人员有点笑容更好了', '短评打分': 3}
{'短评内容': '地段超好，就是世界之窗门前，前台工作人员不够专业，居然在偷打私人电话，不帮结账', '短评打分': 5}
{'短评内容': '離地鐵站非常近,要去世界之窗或是歡樂谷,這裡是個好地方,晚上旁邊還有酒吧! 睡不著還可以去喝點小酒! 酒店的話,我是睡一樓,有點小,不過是乾淨的,但是地毯更新會更好!!', '短评打分': 5}
{'短评内容': '觉得只是地理位置不错，其他的相对一般，不过如果是去世界之窗，还是不错的选择。', '短评打分': 5}
{'短评内容': '服务态度一般!', '短评打分': 3}
{'短评内容': '我还是觉得酒吧周边的环境更好.房间空气不太好。', '短评打分': 5}
{'短评内容': '总体还是不错的，就是早餐简单了点。网速还可以，前台服务态度也不错。', '短评打分': 5}
{'短评内容': '每次陪朋友去深圳到世界之窗必选城市客栈世界之窗店，位置得天独厚，还有门票优惠，虽然比同档次酒店贵一次，但是舒适，方便尤其合适去世界之窗的游客。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '很不错，安静，在地铁站旁边，交通方便，就是早餐一般。', '短评打分': 5}
{'短评内容': '酒店地理位置很好，交通很方便，离地铁站、世界之窗非常近，还可以打折买世界之窗的门票。', '短评打分': 5}
{'短评内容': '性价比低，个人不满意不推荐', '短评打分': 3}
{'短评内容': '不错，又干净，靠近世界之窗和欢乐谷。方便出行，交通方便地理位置好', '短评打分': 5}
{'短评内容': '酒店整体不错，不过我住的一楼空气不太流通。', '短评打分': 3}
{'短评内容': '环境不错，只是房间太小了', '短评打分': 3}
{'短评内容': '除地理位置离世界之窗很近几乎没有优点。热水小，不能洗澡，换气扇是坏的，早餐很简陋。', '短评打分': 1}
{'短评内容': '距离景点很近，还送夜间世界之窗门票，性价比较高！推荐！', '短评打分': 5}
{'短评内容': '无论是内部环境还是外部环境都很不错！！！', '短评打分': 5}
{'短评内容': '好处是 住店进世界之窗8.5折门票，非节假日享受第2次入园免费  服务态度还行 但是1楼的房间比较潮湿 有霉味 ', '短评打分': 1}
{'短评内容': '位置和服务态度都不错，去世界之窗真是很方便，停车也很方便，就是洗手间不给力。早餐量也很少。', '短评打分': 5}
{'短评内容': ' 边上有酒吧，挺好。房间有点怪味，不足。价格有点贵。', '短评打分': 3}
{'短评内容': '  环境一般 交通方便 ，距离地铁站和公交车站都很近。', '短评打分': 3}
{'短评内容': ' 服务非常到位，房间虽然面积不大但很整洁干净，早餐就一般，给个好评。', '短评打分': 3}
{'短评内容': '╭(╯^╰)╮(*^◎^*)O(∩_∩)O~╭(╯^╰)╮↖(^ω^)↗~~o(>_<)o ~~（¯﹃¯）口水(～ o ～)~zZ(+﹏+)~狂晕↖(^ω^)↗O(∩_∩)O~(*^◎^*)~(@^_^@)~(～ o ～)~zZo(>﹏<)o不要啊⊙﹏⊙b汗O(∩_∩)O~O(∩_∩)O~o(╯□╰)o(+﹏+)~狂晕~~o(>_<)o ~~/(ㄒoㄒ)/~~(@﹏@)~ ', '短评打分': 5}
{'短评内容': '环境挺不错的，还有早餐，就是水有点小，总体还是蛮好的。', '短评打分': 5}
{'短评内容': '服务態度好,但除了方便之外.其他都是一般', '短评打分': 1}
{'短评内容': '酒店位置的确超好，出门游玩、购物、交通都很方便。酒店的卫生蛮干净的，就是晚上睡觉时有点吵（窗外就是酒吧街）。欢乐谷地、世界之窗都近在咫尺，不用坐车，步行即到。酒店的外观很漂亮有点欧式的感觉，不错的选择！', '短评打分': 5}
{'短评内容': '位置超好，地铁站旁边，房间干净，就是早餐太简陋', '短评打分': 3}
{'短评内容': '环境还不错，就是早餐比较吃不饱。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，如果选择到世界之窗，锦绣中华，欢乐谷玩，是个不错的选择，交通方便，房间也干净。                 ', '短评打分': 5}
{'短评内容': '酒店位置很好，一出地铁世界之窗站I出口就看到。楼下是小酒吧街，很有情调，房间干净舒适。下一次过深圳也会再来这家。', '短评打分': 5}
{'短评内容': '深圳华侨城性价比最高的酒店，出行、购物、餐饮，都很方便。房间比其他华侨城三家城市客栈大。靠近酒吧街晚上比较热闹，适合情侣住。玩华侨城三大主题公园首选酒店。', '短评打分': 5}
{'短评内容': '比较方便', '短评打分': 3}
{'短评内容': '不错，虽然房间小了点，但是对于想去世界之窗玩的人还是很方便。\n后面就是酒吧街，不过没有感觉很吵。\n送世界之窗的 晚上门票很值', '短评打分': 5}
{'短评内容': '可能是刚举办过大运会的闭幕式吧，感觉重新装修过，比较新，豪华双人房还蛮大的，住得很舒适。就在世界之窗门口，买世界之窗门票可以打85折，比在淘宝上买还便宜，还可以二次进园', '短评打分': 5}
{'短评内容': '环境还好,方便,但房间有点小.', '短评打分': 3}
{'短评内容': '交通很方便，1号线可以直接到，到世界之窗、欢乐谷、锦绣中华都很方便，步行即到。小旅馆，餐饮一般，自带酒水要收开瓶费，周边也没发现合适的饭店，这一点不方便。', '短评打分': 5}
{'短评内容': '还不错，就是早餐太次了，希望能改进早餐，其他的都还好拉。。。。加油，下次我还去住，希望再优惠点就好了', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '挺高的，非常舒适', '短评打分': 3}
{'短评内容': '酒店的风格好喜欢，像座神秘的小城堡。夜晚非常安静，不错！', '短评打分': 3}
{'短评内容': '算得上是一个不错的酒店，离城市之窗很近，不过有点小。', '短评打分': 5}
{'短评内容': '还算得上是个不错的酒店，不过有点小，有点旧。', '短评打分': 5}
{'短评内容': ' 入住城市客栈世界之窗门票能打折，不错！', '短评打分': 3}
{'短评内容': '酒店离世界之窗、欢乐谷非常近，步行只需要10分钟。晚上有客人回来时会比较吵，但其他都很好，很干净。孩子说睡得很舒服。', '短评打分': 5}
{'短评内容': '离地铁口很近，周围交通非常方便，边上就是世界之窗。因为住一楼，所以晚上地铁的声音还是能感觉到一点的。总体还是不错的。', '短评打分': 5}
{'短评内容': '就在世界之窗旁边,很方便.另外在店买世界之窗的门票85折,还可以24小时内两次进入.也就是第二天再去都行哦.房间也不错.性价比高.早餐很一般.', '短评打分': 5}
{'短评内容': '酒店地理位置非常好就在世界之窗地铁口。酒店在一条欧式风情街里面很典雅也很干净。房间也很好看，强烈推荐豪华大床房，性价比特别好，下次来深圳旅行还会选择这家！', '短评打分': 5}
{'短评内容': '酒店位置不错，就在地铁1号线世界之窗站边上，游览世界之窗门票有优惠。对面有一大型综合商城，离欢乐谷步行可以到达，但是城市客栈还有一个欢乐谷店，不知道入住后，游玩欢乐谷的门票是否有优惠。', '短评打分': 5}
{'短评内容': '酒店离世界之窗很近，很方便！可以买2次入圆票，还送一个晚上的票！但酒店的服务一般！', '短评打分': 5}
{'短评内容': '三星的价格，莫泰的服务。交通便利，就在世界之窗地铁口。早餐券要自己去前台拿，不问是不会给的，很奇怪，住这么多酒店就这家有这种情况。其它一般。不是很讲究的人可以住一住。', '短评打分': 1}
{'短评内容': '服务很好单人房间太小 价格相对来说有点贵了 ', '短评打分': 5}
{'短评内容': '太好了,酒店非常好,还可以买打折门票,太划算了.', '短评打分': 5}
{'短评内容': '服务挺好的，房间也还行 比如家和7天差不过 位置很方便 送票很实惠 ', '短评打分': 5}
{'短评内容': '外观比较有feel,购物吃饭比较好,很多bar周围,对面商城人太多~~~', '短评打分': 5}
{'短评内容': '酒店可以,\r服务态度好，下次还来。', '短评打分': 3}
{'短评内容': '如果你要是想去世界之窗和欢乐谷玩耍，选这家就对了！', '短评打分': 5}
{'短评内容': '房间有点小', '短评打分': 3}
{'短评内容': 'H1出口就是酒店了,前方100米左右就是世界之窗正門~\n真的十分方便~\n我的房間面向停車場~所以夜上不會被酒吧街的嘈音騷擾!\n\n', '短评打分': 5}
{'短评内容': '房间环境不错去世界之窗玩还有85折门票不错的选择', '短评打分': 3}
{'短评内容': '房间很旧，特别是地毯，上面全是污迹，看上去很不舒服。我订的豪华双人间，我都怀疑是不是只是个普通双人间，一点豪华的感觉都没有，就觉得沉旧。刚一进去还觉得有霉味，不知道多久没人住过了似的。而且给我安排的6号楼又没有电梯，搬运行李超不方便，只有让行李员帮忙。总之，不会再去这家酒店了。', '短评打分': 1}
{'短评内容': '位置方便，前台及房務態度及服務都都很快很好，但客人多所以等好久。\n酒店外窗依歐洲化，可惜正在裝修，裝修後看起來應該很漂亮。\n房間在6幢地下，旁边有很多酒吧，晚上直至深夜很吵，隔音不好。\n只有主幢有电梯，其他幢都要爬樓梯。\n房間設備斉全，床很舒服。地方整潔，浴室地台去水不佳。\n現在有送世界之窗晚間門票，跟早歺票一样，要問才有，不會主动送。\n早歺很糟，不吃也罷！\n', '短评打分': 5}
{'短评内容': '酒店紧靠世界之窗旅游景点，交通便捷，设施适用，卫生良好。', '短评打分': 5}
{'短评内容': '不是很满意，，，在装修，，，，，，，，，，，，，，，，，，，', '短评打分': 1}
{'短评内容': '酒店外观挺漂亮的,有城堡的感觉,但里面就很一般,交通挺方便的!', '短评打分': 5}
{'短评内容': '早七点施工无法休息 早餐可以说是住过的含早餐酒店最简单寒酸的了', '短评打分': 3}
{'短评内容': '早上七点整工程施工噪音极大非常吵 持续到大运会 想好好休息不可能勿住', '短评打分': 3}
{'短评内容': '感觉不错，很有情调。周边配套也不错。可以去住住。', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '喜欢死了，非常好，酒店可以买到打折门票，很开心', '短评打分': 5}
{'短评内容': '酒店设施太陈旧，墙纸和地毯都很破旧，还泛着陈旧的味道，以后我不会再订这个酒店', '短评打分': 1}
{'短评内容': '還不錯, 但checkin比較麻煩, 房間還算乾淨', '短评打分': 5}
{'短评内容': '客房空間太小，衣櫥深度不夠，無法擺放較多衣服，早餐每天都是固定菜色', '短评打分': 1}
{'短评内容': '环境不错哦，在酒吧街里面，欧式的风格，就是晚上有点吵，房间也有点小，不过还是值得入住的', '短评打分': 3}
{'短评内容': '除了要分两次进入世界之窗玩之外，相信不会推荐任何朋友入住。我是住8楝最贵325元的双人标间豪华房，但酒店装修老旧，入房时地毯未有做好请洁工作，这也算了，叫服务员再打扫便是了(可是扫不走老旧味)，但最要命的是双人房只提供一对一次性拖鞋(向前台投诉但回应这是他们的规定，唉！不知多一双「纸」拖鞋会值多少钱喱？！)，那我只好被迫用另外提供的塑料旧拖鞋了，整晚心理上受很大影响，满不是味儿！！！！……且每一床', '短评打分': 1}
{'短评内容': '林光志已入住', '短评打分': 3}
{'短评内容': '還不錯 價格算高 空調聲音很大 冰箱不制冷，不算新，還可以接受', '短评打分': 5}
{'短评内容': ' 酒店位置不错，但面积比较小 楼层比较低，不知安全情况如何 总体差强人意', '短评打分': 3}
{'短评内容': '地點鄰近世界之窗，方便進入園區。在此客棧購買門票，可以24小時內進入園區2次，方便帶有小孩的人士能有充裕時間遊玩。', '短评打分': 5}
{'短评内容': '整体看来不错，二楼那边地毯有些脏，挺好的', '短评打分': 5}
{'短评内容': '位置不错，临近酒吧确实很吵', '短评打分': 3}
{'短评内容': ' 设备较陈旧 房间小', '短评打分': 3}
{'短评内容': '一般般。', '短评打分': 3}
{'短评内容': '在酒店待了3天。客房服务都还满意。就是早餐太简陋了。连一杯茶或咖啡的饮料也没有。早餐我向服务员要一杯咖啡，竟然要价30元。觉得有点不能接受', '短评打分': 5}
{'短评内容': '给家人订的，说是不错，而且离世界之窗很近，又有优惠门票。', '短评打分': 5}
{'短评内容': '位置非常便利，到深圳世界之窗、欢乐谷、锦绣中华等景区步行就可以，价格在那个片区也是相对比较便宜的。', '短评打分': 5}
{'短评内容': '如果要玩世界之窗的话可以考虑，否则不推荐，房间太小，箱子都没地方放\n', '短评打分': 1}
{'短评内容': '环境感觉还可以，边上酒吧有点吵。价格贵了点。性价比不太高。房间一般。', '短评打分': 5}
{'短评内容': '位置超好，就在世界之窗旁边，坐地铁很方便，酒店环境也不错。', '短评打分': 3}
{'短评内容': '酒店风景很好，地理位置也很佳，房间够大，很喜欢', '短评打分': 5}
{'短评内容': '房间太小了，而且有点吵闹，价格比较贵。。。。。', '短评打分': 1}
{'短评内容': '在深圳世界之窗前边，夜景非常好。交通方便。\n房间面积有点少。给85分。', '短评打分': 5}
{'短评内容': '如果要去世界之窗玩，我认为这是最好的选择。方便，可以玩到关门。', '短评打分': 5}
{'短评内容': '位置特别方便，就是晚上旁边酒吧会闹到很晚', '短评打分': 5}
{'短评内容': '不错。豪华房间蛮宽敞。酒吧街在附近，有点吵。\n可以85折买票，24小时内二次进场，这个不错。', '短评打分': 5}
{'短评内容': '服务态度不错，房间干净，安静，一不小心睡到了11点，早餐都没有吃成，哈哈！下次去还想住那里', '短评打分': 5}
{'短评内容': '离酒吧太近，晚上会吵到12点。。。。。。。。', '短评打分': 1}
{'短评内容': '酒店地理位置不错，就是边上都是酒吧，晚上吵了一点 ', '短评打分': 5}
{'短评内容': '前台慢，望加快', '短评打分': 3}
{'短评内容': '位置好,较卫生,房间小,早餐次', '短评打分': 3}
{'短评内容': '价有所值！价有所值！价有所值！价有所值！价有所值！', '短评打分': 5}
