{'短评内容': '停车很方便', '短评打分': 5}
{'短评内容': '早餐丰富，服务员服务很好，很亲和，很礼貌，很耐心。最好能够后在入住以后提供一份慈溪地图，可以是有偿的也可以是免费的，对于入住的客人，我觉得一份地图很有必要。', '短评打分': 5}
{'短评内容': '酒店的服务还是很不错的给人呢亲切感，第五次入住了。酒店环境不错，很安静。餐厅可以看到花园还可以到花园中吃早饭很好。唯一的缺点是空调早上3点就关闭了，虽然外面的天气在25.26度但是房间时密闭的，而且都是厚厚的杯子所以睡的出汗热醒了，还是希望下次不要提早关空调！！', '短评打分': 5}
{'短评内容': '服务蛮好的，离慈溪东站很近，价格也实惠，还会继续使用的', '短评打分': 5}
{'短评内容': '特价房很实惠，还送两张早餐券！房间也不错，配置良好！', '短评打分': 5}
{'短评内容': '多次入住了，感觉很满意的，实惠的价格入住这么美丽的酒店真爽', '短评打分': 5}
{'短评内容': '位置有些偏，其他还可以', '短评打分': 3}
{'短评内容': '特价房还是超值的。就是酒店太会过日子，每天半夜就把空调关了，早上五六点钟太阳一出来就会被热醒，要打电话叫服务员开空调。', '短评打分': 5}
{'短评内容': '酒店环境非常好，设施很齐全，以后就住这里了！', '短评打分': 5}
{'短评内容': '环境不错哦 ，设施不是很好，早餐也不怎么样，这个价格住着还可以', '短评打分': 5}
{'短评内容': '这个价格很不错了。早餐花样多,但味道一般,需要改进。', '短评打分': 3}
{'短评内容': '第三次来住了房间不大但是很温馨很干净早餐不错下次还选这', '短评打分': 3}
{'短评内容': '＋非常满意', '短评打分': 3}
{'短评内容': '还可以，交通方便，早餐还行，房间还算干净的', '短评打分': 5}
{'短评内容': '房间很大，服务好', '短评打分': 3}
{'短评内容': '舒适，早餐丰富', '短评打分': 3}
{'短评内容': '房间不错，设施齐全', '短评打分': 3}
{'短评内容': '环境还行，比较安静。环境还行，比较安静。', '短评打分': 5}
{'短评内容': ' 房间虽不大,但周围环境优雅安静,洗澡水量大。不足的是,都快五月中旬了,天热仍不开冷空调,房间里也不放电话本,多有不便', '短评打分': 3}
{'短评内容': '早餐很好，房间有些旧，壁纸都脱落了。卫生间不错，服务尚可。', '短评打分': 5}
{'短评内容': '坐车极为不便，装修不怎么样，卫生间太小，一次性用品居然连刮胡刀都没有', '短评打分': 1}
{'短评内容': '一般，房间较小，设备陈旧，性价比不是很高，随便住住', '短评打分': 5}
{'短评内容': '今天推荐朋友入住了这个酒店，但是性价比实在太差了，首先是前台，我们一进房间，卫生间算是时尚吧，但是电视机很古老，房间里一片漆黑，打电话叫电工，电工过来修了30分钟 终于可以用了，蚊子很多，打电话叫过去，前台好像很不耐烦了，口气不是很好。除了周边环境好，离东站进之外没什么好的印象。本人不推荐这个酒店', '短评打分': 1}
{'短评内容': '一般一般一般啦，没什么特别，也没啥特别不好的。。。。', '短评打分': 3}
{'短评内容': '在慈溪好一些的酒店不是很多,我选择了这家入住,硬件和软件条件还行,就是位置偏不太好找,不过总得还说还可以.', '短评打分': 5}
{'短评内容': '房间很干净，设施很齐全，有点还有麻将桌呢，住的还是挺舒适的。', '短评打分': 5}
{'短评内容': '我觉得这家酒店服务上很人性化，从一些细微的小事上看出很细心很周到。', '短评打分': 5}
{'短评内容': '房间设计的挺时尚的，卫生间很大很干净，衣柜都是玻璃的，看上去很实用，感觉挺不错的。', '短评打分': 5}
{'短评内容': '酒店挺干净舒适的，位置也还行，位于主干道上，离汽车站挺近的。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
