{'短评内容': '高大上的外表，中干的内在。', '短评打分': 3}
{'短评内容': '性价比不错,就是交通不便.', '短评打分': 5}
{'短评内容': '当时是在附近参加展会，位置离市区有些远。酒店不错，喜欢他的早餐。推荐！', '短评打分': 5}
{'短评内容': '值得去住', '短评打分': 5}
{'短评内容': '宾馆环境不错，清洁，早餐环境及品种均好。', '短评打分': 5}
{'短评内容': '这个酒店在南昌算是性价比非常高的酒店了，环境也不错，临江。就是矮了一点，景观没有办法欣赏到', '短评打分': 5}
{'短评内容': '酒店离市区较远，娱乐设施未完全配套，但有四星的硬件和服务水平，性价比强，自驾人士建议入住', '短评打分': 5}
{'短评内容': '过年去的，性价比 很好，就是位置远点，档次比较高', '短评打分': 5}
{'短评内容': '不错的欧式低层酒店，酒店的设置与性价比较合适，就是位置偏了些，属于开发中的红谷区。', '短评打分': 5}
{'短评内容': '值得住宿', '短评打分': 5}
{'短评内容': '值得一住', '短评打分': 5}
{'短评内容': '一家很不错的酒店,性价比很高.', '短评打分': 5}
{'短评内容': '整个房间的布局很大~  房型也很好 很舒适 是度假娱乐的好地方！\r\n唯一的不足就是液晶电视有点小~   \r\n总体来说 服务也是很棒的房间也是很棒的！', '短评打分': 5}
