{'短评内容': '很愉快的一次购物。', '短评打分': 5}
{'短评内容': '不满意，条件不行，住的很不舒服，一点都不好！！！！', '短评打分': 1}
{'短评内容': '下次再住', '短评打分': 5}
{'短评内容': '房间设施一般', '短评打分': 5}
{'短评内容': '在良乡算比较好的酒店。', '短评打分': 5}
{'短评内容': '态度不好.\r\n', '短评打分': 1}
{'短评内容': '    总体不错，只是为了能上网才特意订了一间价格贵些的房间，结果第二天早上要用电脑时才发现该房间并没有宽带...', '短评打分': 1}
{'短评内容': '设施很久，很冷，也没空调暖风，和价格不符', '短评打分': 1}
{'短评内容': '门锁不好使，还总没有热水', '短评打分': 5}
{'短评内容': '房间里面比较冷空调的温度老是上不来,而且热水提供不是太及时,设施也是挺陈旧了,前台服务也很一般,位置还是挺好找,性价比不是太高.', '短评打分': 3}
{'短评内容': '酒店整体还不错，感觉比较舒服。以后如果需要的话，还会来这里入住', '短评打分': 5}
{'短评内容': '服务人员态度很周到,人情,地理位置很方便,设施完善,卫生也很干净,价格再优惠些就更好了,下次还会选择入住的.', '短评打分': 3}
{'短评内容': '酒店在房山，周围没事很么玩的，不过交通还算方便，但是他的设施比较简单，服务也很一般的，感觉没有达到四星级标准。', '短评打分': 3}
{'短评内容': '酒店各方便都很一般，有的房间还不能上网，价格有点高，只有位置还比较方便我外出，性价比不好 ', '短评打分': 1}
{'短评内容': '设施不够四星，空调效果非常差。', '短评打分': 1}
{'短评内容': '这是四星级酒店吗？？？没搞错吧？？里面又小，设施还差！！！320元人民币，开。。。开。。。开国际玩笑哪？？？', '短评打分': 1}
{'短评内容': '在房山来讲无论位置,环境设施都是比较不错的酒店了.价格也很合适.', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
