{'短评内容': '有异味，隔音效果差', '短评打分': 2}
{'短评内容': '地理位置还不错 距离北站跟考试地点浙大紫金港都比较近 到延安路跟西湖的公交也蛮多 酒店整体比较干净 不足的是房间面积有点小了，还有就是智能调温的空调晚上睡觉有点冷的 ', '短评打分': 5}
{'短评内容': '房间和洗手间都有味道，令人不快。圆床很舒服，早餐只到9点，睡过了没吃到。', '短评打分': 5}
{'短评内容': '酒店的整体环境不错，比较安静，就是早餐实在太差，难以下咽，希望能够尽快改进，餐厅服务员的态度比较生硬，送餐服务更生硬，只点了一餐就不敢再点了。', '短评打分': 5}
{'短评内容': '环境服务都挺好', '短评打分': 3}
{'短评内容': '很不满意。地方偏这个倒是小问题，第二天早上停电未事先通知，也没有备用电源之类的，连结账都结不了。', '短评打分': 1}
{'短评内容': '不错的选择', '短评打分': 3}
{'短评内容': '还算不错，就是离马近，有点吵，房间小点，房间的消费要注意，本来就没有桶面，结帐时愣是被告知消费了，差点被冤枉了。', '短评打分': 3}
{'短评内容': '酒店服务态度差，卫生不干净 住宿期间需要客房送餐，打电话到送餐服务，接电话的居然说厨师现在不在！ 可我们楼下经过的时候 明明看到厨师在餐厅看报纸！', '短评打分': 1}
{'短评内容': '晚上会有人赛卡片 早餐真是少的可怜 他都还可以', '短评打分': 5}
{'短评内容': '性价比是可以的，价格合理！房间太拥挤了点，地毯很大气，走道也蛮有档次的。服务还不错！早餐稍简单了些，几乎没有荤菜，不过还算过得去。200多元的每晚价格，应该加一个微光调节灯，可惜没有！', '短评打分': 5}
{'短评内容': '酒店一般', '短评打分': 3}
{'短评内容': '还不错，信价比很高 。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店只有一部电梯，高峰时根本不够用，我都是走楼梯。停车场太小，我的车只能停在离酒店有点距离的超市门口。旅游团队客人太多，感觉太嘈杂，尤其吃早饭时，一拥一大拨，根本没法用餐，我去的时候有两个团队在用早餐，拥挤不堪，我只好退出来想等会去，等团队客人走了我去餐厅，已经没什么东西了，才早上八点，酒店也不添加，我只能吃了个包子喝了杯白开水。\n我个人很讨厌大量接待团体旅游客人的酒店，根本住不安心。', '短评打分': 1}
{'短评内容': '＋酒店房间设计不错，但清洁工作有待提高', '短评打分': 3}
{'短评内容': '性价比还可以！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '跟四星级就按不上边，卫生间地面积水，房间也小，不过走道倒是蛮有档次的。', '短评打分': 1}
{'短评内容': '房间小了点，写字台小了点，其他都还可以!!!!!!!!!', '短评打分': 5}
{'短评内容': '总体还可以，就是房间小了点,写字台也小！！！！！！！', '短评打分': 5}
{'短评内容': '酒店太偏僻\u3000附近打车很难打\u3000酒店房间很小\u3000', '短评打分': 1}
{'短评内容': '电视虽然是液晶的，就是不太清楚；\n\n不过总体感觉不错；床感觉特别舒适；\n\n', '短评打分': 5}
{'短评内容': '好，性价比较高，在杭州这么好的酒店价格合理，唯－不足就是位置偏了点', '短评打分': 3}
{'短评内容': '这家酒店非常干净很满意', '短评打分': 5}
{'短评内容': '环境不错，服务态度也还可以，下次过来还会入住。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '+杭州嘉鼎酒店距离城中远些，但性价比可以。', '短评打分': 5}
{'短评内容': '条件挺一般的,硬件条件一般也就算了,不过服务人员的服务也不是很好.我本人感觉这家酒店不太值得推荐.', '短评打分': 1}
{'短评内容': '早餐早上九点半就没有了 关键自助的屋子里同时还养着鸡和蛇 有点让人反胃', '短评打分': 1}
{'短评内容': '卫生和设施条件非常好.不过位置上有些偏不太好找,其它各方面都还不错.', '短评打分': 5}
{'短评内容': '我觉得房间还挺干净挺舒适的，服务方面还可以。整体感觉还不错。', '短评打分': 5}
{'短评内容': '房间看起来还比较新，卫生错，感觉很干净。', '短评打分': 5}
{'短评内容': '临时决定去杭州，周末晚上才想起订房间，匆匆忙忙的发现汉庭那样的酒店都订完了，差不多的就算了这家，看到288还含早应该还不错。因为开车所以酒店的位置一般也没关系。规模应该和一般的汉庭如家差不多，前台只有一个人，还好人不多，否则也忙不过来吧。订了两个房间，房间很小，20个平米以内吧，还好是比较新，所以看着地毯什么的都还不错，圆床房里那张大床也还不错。比较有意思的是洗发水和浴液竟然是大瓶的，这样也算环保', '短评打分': 1}
