{'短评内容': '空间足够了的', '短评打分': 5}
{'短评内容': '房间超大。还带厨房，床也很大，很不错！很安静！房间超大。还带厨房，床也很大，很不错！很安静！房间超大。还带厨房，床也很大，很不错！很安静！', '短评打分': 5}
{'短评内容': '还可以啦，最主要是便宜啊，交通不便，科技园区嘛', '短评打分': 5}
{'短评内容': '马桶不太好用建议把水力调整大点 实在是太不方便了', '短评打分': 1}
{'短评内容': '很好。如果在张江办事，对环境要求不高的话，我觉得还可以', '短评打分': 5}
{'短评内容': '张江地区房间最大的酒店，很安静。设施稍老', '短评打分': 5}
{'短评内容': '性价比高，房间宽敞，环境幽静，可以入住·。。。。。推荐', '短评打分': 5}
{'短评内容': '便宜,酒店式公寓,没有早餐,斯米欧热水器,还可以', '短评打分': 5}
{'短评内容': '你的服务很好', '短评打分': 3}
{'短评内容': '1、房间很大\n2、设施差了一些，总体还凑合\n3、服务员很莽撞，说一句服务员就推门而入', '短评打分': 5}
{'短评内容': '客房环境可以但浴巾毛巾太脏。', '短评打分': 3}
{'短评内容': '上海凯顿酒店很干净，也很大，位于上海浦东新区，环境比较好，就是稍微有点偏。离2号线比较近。', '短评打分': 5}
{'短评内容': '酒店服务、房间条件等各方面还是很好的，性价比合适，不足之处只是地处工业园区，缺少商业氛围。', '短评打分': 5}
{'短评内容': 'very good! strong recommend!', '短评打分': 5}
{'短评内容': 'very good. strong recommend!', '短评打分': 5}
{'短评内容': '单人床房间空间大，设施全（还有厨房），洗手间装潢和使用还不错。楼下有两个餐馆，比较方便。早餐可以到楼下超市购买。服务人员态度好。', '短评打分': 5}
{'短评内容': '总体来说还不错，内设算不上豪华，但还算干净。就是热水器有点麻烦，要自己烧热水的', '短评打分': 5}
{'短评内容': '酒店感觉装修的跟小旅馆似的，服务各个方面做的都不是太好，价格也就一般，酒店的位置也不是很好找。', '短评打分': 1}
{'短评内容': '  我已入住凯顿酒店，感觉酒店还可以，房间很大，很干净，下次还住。李欣新', '短评打分': 3}
{'短评内容': '卫生不错房间还是挺大的设施也很好，性价比相当高，位置虽然很好可是去的时候招牌还没有改过来在门口绕了两圈都没找到。酒店环境真的是挺不错的。', '短评打分': 5}
{'短评内容': '入住上海凯顿酒店 就是图离公司近 张江这边可选的酒店不多 凯顿离张江高科地铁口不太远 交通比较方便 酒店可免费上网 门口有早点摊 ', '短评打分': 3}
{'短评内容': '房间很宽敞，感觉很好，不错，下次还会入住这个酒店\n', '短评打分': 5}
{'短评内容': '张江公寓离2号张江地铁站有3站路远，开始是以凯顿酒店的名字去寻找，发现实际是张江公寓。公寓很大，很适合对生活质量要求不太高的游客，因为里面的东东虽然还算可以，久无人打理，没有市中心的连锁酒店精致（我儿子说最多算是一星级，呵呵）。床非常大，2张1.5米，足可以住4个人。可惜的是，住的时候，空调声音太大，比电视机声音还响，只能关掉。沐浴器根本不能用，配套管理需要进一步提高。（三星级的配套设施，0星级的', '短评打分': 1}
{'短评内容': '性价比较高性价比较高性价比较高性价比较高', '短评打分': 5}
{'短评内容': '酒店当时给我安排的是地下室的房间，通风采光都不太好，不理想.后来换了房间感觉还好.', '短评打分': 1}
{'短评内容': '很宽敞，很便宜因为偏郊区。蛮舒服的，比市区的房子划算多了。有冰箱，热水器，彩电，50平米左右貌似。', '短评打分': 5}
{'短评内容': '服务一般，价格较高;服务一般，价格较高服务一般，价格较高', '短评打分': 1}
{'短评内容': '酒店价格合理,服务不错,安静清爽\n适合租住', '短评打分': 5}
{'短评内容': '便宜，要去附近的盛大开会，方便，这个价格在上海说的过去', '短评打分': 1}
{'短评内容': '1。房间是一室户，还有厨房，比较宽敞\n2。事先联系好的换成大床，也满足了\n3。就是入住的时候是淡季，人不多', '短评打分': 5}
{'短评内容': '定的大床间，结果去了后说没了，还说给免费升级成标间，似乎两个价格本来就一样……\n给了个靠马路的，房间很大，才装修的，隔音很差', '短评打分': 1}
{'短评内容': '环境还可以，去展会还算近，但是座地铁还是比较远，打车到会展中心也就是起步价多一点。', '短评打分': 5}
{'短评内容': '入住的是双人间很宽敞 房间内很干净 就是地方有点偏僻 路边标志不明显 不过里面挺宽敞，好停车，前台太小\n', '短评打分': 5}
{'短评内容': '这个酒店实际上就是张江服务公寓，在上海这样的价格来讲条件还可以，房间比较大，对于到新国际会展中心参展还是比较方便。', '短评打分': 5}
{'短评内容': '和介绍的有冲突。我说下我的整个入宿经历：\n1：到了，首先就告诉我，订的大床房没有了，帮我改为标间。我问，我昨天就订了，为什么，现在告诉我没有？好吧，忍了，算了，因为已经很晚，我不可能再去找别家。\n2：然后告诉我是一楼的标间，我问有没有非一楼的，回答没有，也忍了。然后，拿了房卡，去的地方，竟然是对面的张江公寓，而不是凯顿酒店本身这栋楼，到了房间，发现竟然就在路口，非常吵，无法容忍，要求退房，于是他们', '短评打分': 1}
{'短评内容': '可能是家老酒店，设施有些陈旧，但蛮齐全的，服务很好，前台周到热情，价格有些偏高，其他都还可以', '短评打分': 1}
{'短评内容': '帮朋友定的，自己来不急过去看，不过朋友说环境还可以去展会还算近。呵呵~', '短评打分': 5}
{'短评内容': '房间还是一般的，酒店停车也不方便，价格和酒店环境不是太匹配，', '短评打分': 1}
{'短评内容': '里面装修卫生，位置还是蛮方便的，价格的话倒是蛮贵了。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '我入住的是双人间很宽敞  房间内很干净  就是地方有点偏僻  路边也没有明显标志  不过里面挺宽敞前台服务也可以', '短评打分': 5}
