{'descr': '非常好的酒店', 'star': 5}
{'descr': '酒店与一般的酒店都差不多，但是卫生条件稍差，交通位置也还可以，性价比一般，感觉没有如家好。', 'star': 1}
{'descr': '酒店的环境硬件设施都很达标，位置也是非常好的地段上的酒店，就是当时附近在修路，不是很方便出行，价格合理适中，整体来讲算是比较不错的酒店值得推荐入住。', 'star': 5}
{'descr': '服务不错！以后到太原还选择这个酒店', 'star': 5}
{'descr': '为什么不推荐呢，只有一点。就是这个宾馆的网络非常的差，尤其是下午和晚上，基本上两分钟就掉一次。实在受不了了。网页打不开，游戏上不去。不知道怎么搞的。后面就是消防队，想睡懒觉的别选这里，早上会出早操和唱歌的。', 'star': 1}
{'descr': '这个酒店的价格有点贵，不过环境设施还挺不错的，而且交通便利。', 'star': 5}
{'descr': '经济实惠，干净整洁，比较不错快捷酒店', 'star': 5}
{'descr': '服务不错,蛮干净.夜里也没有人骚扰.最重要的是非常安全.', 'star': 5}
{'descr': '酒店的设施旧，也不齐全，早餐虽然提供，但是也不怎么样，就是位置和价位还可以。', 'star': 1}
{'descr': '酒店位置不错,交通挺便利的,价格在当地来说也不贵', 'star': 5}
{'descr': '这可是准二星的经济型酒店,你以为五星宾馆啊.', 'star': 3}
{'descr': '优点:酒店装修实用,房间不大,设施齐全,上网方便,电源够多,干净卫生,价格便宜.&lt;br /&gt;\n缺点:隔音很差,卫生间全是透明玻璃,不小心一开房门就会暴光,早餐不在房费之内,而且很一般.', 'star': 3}
