{'短评内容': '还可以我朋友说就是暖气不好', '短评打分': 4}
{'短评内容': '   酒店不错', '短评打分': 3}
{'短评内容': '环境挺好的，稍稍偏了一点。', '短评打分': 3}
{'短评内容': '酒店很安静,环境也很好!自己开车也容易找,就是离景区有点远', '短评打分': 3}
{'短评内容': '总体来说不错，液晶电视和电脑很给力，如果这样的价位包含早餐就超值了', '短评打分': 3}
{'短评内容': '房间漂亮整齐，打扫卫生的阿姨很尽职而且服务态度很好，我下楼在电梯遇到，说小姐好。弄的我都不好意思。而且离考试地点近，交通便利。如果以后包括早餐的住宿就更加好了。', '短评打分': 5}
{'短评内容': '酒店离浙大紫荆小区打车只要15块以前的钱。所以对考生来说是非常好的选择。如果有伴的话2个人一个房间住的又舒服又便宜哦。性价比很高。而且酒店里面的服务人员态度都很好，保安大哥会帮你叫车。而且楼下就是世纪联华超市，购物极其方便。就是附近吃饭的地方性价比不高，又不怎么好吃。但是环境装潢真的是漂亮的，希望下次有机会还要住下。欧式房间住过了，下次住日式吧！哈哈！', '短评打分': 5}
{'短评内容': '酒店很新 非常干净 各方面设施都不错\n又住了一天 挺值的', '短评打分': 5}
{'短评内容': '酒店挺新的，也很干净，不错！', '短评打分': 3}
{'短评内容': '新建的酒店，果然很干净，相当满意！', '短评打分': 3}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '没有免费早餐提供,另外地方稍偏,室内还算不错,但总体性价比不高;', '短评打分': 1}
{'短评内容': '服务热情周到，房间整洁卫生舒适而有特点，强烈推荐！', '短评打分': 5}
{'短评内容': '店内设计时尚前卫  有个性  很干净也很温馨   不同的房间有不一样的风格  房间内设施齐备  应该来说是一个比较满意的酒店', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '这家酒店外表并不起眼，但进入房间后感觉很好，房间的装修很精致，也很舒适、干净，卫生间淋浴设备很好哦。早餐很不错，送到房间，还很便宜。', '短评打分': 5}
