{'短评内容': '不错空调，好！', '短评打分': 5}
{'短评内容': '很不错，老板娘的态度很好，就是离码头有点远，要过笔山洞才找得到！', '短评打分': 5}
{'短评内容': '住的挺舒服的，很安静也很安全，隔音不错。新旅馆。总的都不错ok', '短评打分': 5}
{'短评内容': '挺好的，住的舒服，很安静卫生也干净，有机会还来住', '短评打分': 5}
{'短评内容': '有点难找，但觉得整体不错。住还算是舒适！', '短评打分': 5}
{'短评内容': '离码头太远', '短评打分': 3}
{'短评内容': '满好的，服务态度很好。有机会一定再去那里。设计风格好。', '短评打分': 5}
{'短评内容': '满好的，就是早餐不怎么样', '短评打分': 3}
{'短评内容': '老板娘人还不错，旅馆设施普通，没有一次性拖鞋等，洗漱用品也比较烂，住宿价格偏高，性价比不高。', '短评打分': 1}
{'短评内容': '卫生干净，装修好，住的舒服，很安静，我很喜欢，有机会再来住', '短评打分': 5}
{'短评内容': '环境不错，价格便宜，喜欢院子。', '短评打分': 3}
{'短评内容': '＋路太难找，房间还算干净', '短评打分': 3}
{'短评内容': ',环境一般，比较偏僻，老板布不太爽快，要了几遍\n吹风机说晚上也没送，第二天一早才自己要到。而且送馅饼也很小气。下次不来了。', '短评打分': 3}
{'短评内容': '外观感觉还好，房间属于标准。就是酒店位置离旺点的距离远呀。整体如果带了地图走的话都算不错的。', '短评打分': 3}
{'短评内容': '环境还不错，但就是很难找，而且晚上很早关门。', '短评打分': 3}
{'短评内容': '装修美观，卫生干净，设施齐全。以后来厦门还会住红萝卜旅馆', '短评打分': 5}
{'短评内容': '舒服的酒店，卫生干净，服务态度好。周围环境优美，去景点游玩方便', '短评打分': 5}
{'短评内容': '服务态度还行，就是太偏太偏，另外住在一楼实在太阴太潮，同样的价格，住在厦门，环境会好很多，因此还是建议住岛内，反正很晚都还有轮渡回厦门。', '短评打分': 1}
{'短评内容': '房间还可以，不过不好找', '短评打分': 3}
{'短评内容': '我住的是205房，房间很浪漫舒服，还送2瓶台湾咖啡，院子很大，有咖啡桌椅，好多花草，，，价钱不贵，一般，很值得，新酒店。好好好，，，', '短评打分': 5}
{'短评内容': '位置不错，房间设施好，大堂很漂亮，大堂的熊猫好可爱，有机会还来哦，，，', '短评打分': 5}
{'短评内容': '酒店装修不错，大堂很有特色，晚上睡觉很舒服，以前我住过一家太吵了，明年带我妈妈来，多送我一盒台湾饼，要记得哦，，，哈哈哈', '短评打分': 5}
{'短评内容': '旅馆很好，住的舒服卫生环境都好，下次还来哦\n\n\n\n\n\n\n\n', '短评打分': 5}
{'短评内容': '这家旅馆位置比较偏，不过尚算在中心，如果能事先认识地图的话可能会比较好找，PS：地图只显示大道，不显示小路的，有需要的朋友可以找我，那条路我已经走过N次了。\n其次说说旅馆的的优缺点。缺点：环境普通，隔音一般，不好找，房间细。优点：免费上网', '短评打分': 5}
{'短评内容': '我应该会向朋友推荐。毕竟还算实惠的这个价格在岛上，不过有点偏，一开始绕来绕去绕很久，之后走隧道了就还好 不过老板人很好，借我们用电话机，还忙着打征途，哈哈哈。住的103，房间挺小 放东西的地方啊没有。卫生一般性。可能因为比较潮 ，墙上的壁纸有很多脱落了。空调摆风叶竟然没有，，，大房间就一双拖鞋，建议来住的话卫生纸啊牙膏牙刷还是自己带比较好。。。\n', '短评打分': 5}
{'短评内容': '价格和实际条件有差别，店家态度也一般卫生做不好。', '短评打分': 1}
{'短评内容': '还可以啦  就是房间内的墙被水渍弄的优点脏 。。。其他都还可以 住的是207 其他卫生方面都不错 ', '短评打分': 5}
{'短评内容': '价格价格变来变去，早早定好，入住时反而便宜了，但已信用卡担保，不能享受低价，不爽。', '短评打分': 1}
{'短评内容': '该旅馆环境不错，是一家很不错的家庭旅馆，来了几次鼓浪屿，红萝卜旅馆装修是不错的，以前住在龙头路那边晚上睡觉太吵了，后来选择内厝沃这边，出去方便回来安静舒适，而且发现这家旅馆离沙滩很近，下次会推荐朋友来这的。希望下次来的时候会更好。', '短评打分': 5}
{'短评内容': '酒店很有个性特点，卫生好，服务好，更重要的是靠海边，方便我们游泳。在岛上要找到价格实惠，又有档次的酒店实属不易，红萝卜旅馆是我精挑细选，提前半个月就已经订好了。入住后果然不错，离别墅码头非常近，又是在岛上闹中取静的内厝澳路，正好符合我所有的要求，非常满意！下次来还会选择它！ \n\n------------------------------------------------------------', '短评打分': 5}
{'短评内容': '下次去厦门我还住红萝卜，因为房间的价格在同行业当中算实在的，卫生 服务都做得很好，位置是属于闹中取静的一个地方，到主要景点也很方便，更不错的是靠近海摈浴场。这次旅游真的给我带来很多愉悦回味的事情，红萝卜我会记住你的，厦门我会记住你的，谢谢/', '短评打分': 5}
{'短评内容': '酒店卫生还可以。就是位置有点差,其他的也都还可以吧，服务一般般', '短评打分': 5}
{'短评内容': '地方不错就是难找', '短评打分': 3}
{'短评内容': '酒店还比较干净，相对安静，就是很难找', '短评打分': 3}
{'短评内容': '很安静，路也很好找，离鼓浪屿别墅码头很近..', '短评打分': 5}
{'短评内容': '鼓浪屿的海不错，红萝卜的环境也很好，下次来的时候继续！', '短评打分': 3}
{'短评内容': '房间太小，又在门外，院子里搭的一个小间。除了一张床就快站不下人了。价格是便宜，但一分价格一分货，要是之前知道是这个情况，我死也不会定。', '短评打分': 1}
{'短评内容': '房間霉味很重靠近櫃檯太吵了房價相對也很高接近鼓浪嶼別墅房價', '短评打分': 1}
{'短评内容': '不错,卫生还好,服务也还行,位置佳.', '短评打分': 3}
{'短评内容': '＋硬件与服务都很一般，价格太贵了', '短评打分': 3}
{'短评内容': '设施跟价格差很多，性价比不高，希望右面能改善设备', '短评打分': 1}
{'短评内容': '服务太差，位置太偏，基本是全岛订满无奈选择', '短评打分': 1}
{'短评内容': '已入住', '短评打分': 3}
