{'短评内容': '服务好 服务员杨维弟女士看我洗衣服没地方晾还送来晾衣架 有赠送的水果和牛奶 周边繁华 吃饭方便 推荐入住', '短评打分': 5}
{'短评内容': '第一次到连云港，没有注意看地理位置，离市区很远。一个比较新的酒店，可是装修风格真不敢恭维。房间的热水很小，还忽冷忽热，与5星差距还远。', '短评打分': 1}
{'短评内容': '酒店的早餐太差了，还没到点就全收了。不推荐', '短评打分': 5}
{'短评内容': '住了两天，酒店地理位置好，高级单间不错，早餐不够丰富。', '短评打分': 3}
{'短评内容': '很新的一家酒店，很不错的，就是早饭貌似弱了点，房间设施，位置还是相当不错的，下次还住这', '短评打分': 5}
{'短评内容': '酒店很干净，很安静，门口的保安为我停车和问路都能热情安排、回答。下次来连云港还住这里。', '短评打分': 3}
{'短评内容': '\n非常不错，还有惊喜的小礼物，暂！', '短评打分': 3}
{'短评内容': '还行，就是大厅太小，远够不上五星的标准。', '短评打分': 5}
{'短评内容': '虽然土了点，一看就知是本土投资的，但想到要鼓励民族酒店业，还是订了。呵呵。硬件不错，还是有点小问题，地毯选的不对，纹理太粗，清洁不彻底，空调太响，电视没有国际频道，还有，有哪家酒店把一大瓶飘柔和一大瓶舒肤佳放在卫生间的啊⋯⋯真是晕，总的来说还干净，枕套上有头油味，像那种睡了很久才洗的，叫服务生拿了个新的来再换上，还是这个味，不知哪里出了问题。加了一床被子，睡的很香，感谢客房服务。早餐对于一个中餐爱', '短评打分': 5}
{'短评内容': '总体还可以，房间空间大，空调可以，就是卫生间淋浴房地漏有问题，不下水，还有就是淋浴喷头不好调，时冷时热', '短评打分': 5}
{'短评内容': ' 新开的酒店，符合星级标准，早饭也可以。', '短评打分': 3}
{'短评内容': '环境和服务都很不错，只可惜因为突发事件，没能在酒店好好体会更多的细节！', '短评打分': 5}
{'短评内容': '房间的洗澡喷头很好，上中下都有。早餐还不错，比较丰盛。房间还比较干净，就是没有送水果呢，', '短评打分': 5}
{'短评内容': '地理位置優越，硬體設備很新，只可惜缺保險箱及工作桌上沒檯燈希望能改善', '短评打分': 5}
{'短评内容': '酒店环境不错,就是服务员服务意识不是很强', '短评打分': 3}
{'短评内容': '酒店不错，房间通风效果很好，服务态度不错，早餐很丰富。交通很方便，离云龙湖很近，附近有百货商场可以逛逛，挺不错的。物有所值。', '短评打分': 5}
{'短评内容': '酒店设施质量有点跟不上五星级的标准。希望能够提高屋里设施质量。酒店门口有点乱。希望把酒店门口道路和停车位扩大。酒店大厅里没有免费无线网络。', '短评打分': 5}
{'短评内容': '就想说一句：这家准五星酒店的卫生间绝对是三星级的。', '短评打分': 3}
{'短评内容': '干净，服务态度好', '短评打分': 3}
{'短评内容': '己入住,环境不错', '短评打分': 3}
{'短评内容': '酒店非常好！出乎我的想象，推荐大家入住！', '短评打分': 5}
{'短评内容': '我住的是标间，房间硬件条件不错，卫浴好像是科勒的，价格比九龙贵了点，书桌上多个台灯就好了。位置也不错，去哪里都比较方便。', '短评打分': 5}
{'短评内容': '房間設施一般,服務員服務意識不是很高,總體來說性價比不高.', '短评打分': 1}
